material_id,chem_formula,R$_0$,B,Sm_chemenv,num_Sm_chemenvs,Sm_wyckoff,num_Sm_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Sm_sites,num_CN_env,num_charge_states,SmX_coordn,SmO_coordn,mean_coordn_Sm-X,min_coordn_Sm-X,max_coordn_Sm-X,mean_coordn_Sm-O,min_coordn_Sm-O,max_coordn_Sm-O,mean_Sm_charge,min_Sm_charge,max_Sm_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_SmO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-555268,K2Sm2IrO7,0.6811316631672611,2.2553124250926753,Square-face capped trigonal prism,1,4c,1,[3.696372851988671],0.0,3.696372851988671,AB2C2D7,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",2.466301974178439,GGA,Ir-K-O-Sm,0.0,-2.484167529541666,0.2757,4,Trigonal,-3m,R-3c,oxide,K,None,Ir,None,None,None,"O, S",I,None,Sm,None,B > 1,Positive B
mp-555525,Sm3RuO7,2.065151686459472,0.3966164061299325,"Square-face bicapped trigonal prism, Face-capped octahedron, Pentagonal bipyramid",3,4a,1,"[1.9079640889418252, 2.263555437181248, 4.277428785860192, 4.204562239050982, 4.018198469435728, 2.830718227455788]",0.0,3.2504045413209606,AB3C7,3,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.4280834778102265,r2SCAN,O-Ru-Sm,0.0,-3.009184246136364,0.0,3,Orthorhombic,mm2,Pna2_1,oxide,None,None,Ru,None,None,None,"O, S",None,None,Sm,None,"B $\in$ [0.1, 0.5]",Positive B
mp-555559,Sm3NbSe3O4,2.139651214390204,0.29354028430353474,"Square antiprism, Dodecahedron with triangular faces",2,"8d, 4c",2,"[1.9963988411582099, 2.12489577807508]",0.0,2.0606473096166447,AB3C3D4,2,2,1,"[4.0, 3.0]","[4.0, 3.0]",3.5,3.0,4.0,3.5,3.0,4.0,3.0,3.0,3.0,2.0,2,2,O2-,"Lanthanides, Nonmetals, Transition Metals",2.38749829345353,GGA,Nb-O-Se-Sm,0.024004806666656,-2.921611879730114,1.801499999999999,4,Orthorhombic,mmm,Pnma,oxide,None,None,Nb,None,None,None,"N, O, S, Se",None,None,Sm,None,"B $\in$ [0.1, 0.5]",Positive B
mp-555904,NaSmGeO4,1.9893818742719298,0.5792520306066897,Octahedron,1,4c,1,[2.538566975893441],0.0,2.538566975893441,ABCD4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",2.364061358744759,GGA,Ge-Na-O-Sm,0.0,-2.829869232339901,3.6029,4,Orthorhombic,mmm,Pnma,oxide,Na,None,None,None,None,Ge,"N, O, S",None,None,Sm,None,"B $\in$ [0.5, 1]",Positive B
mp-556820,Sm3Si2Cl5O6,1.9233678335307736,0.5488508950603723,"Hexagonal bipyramid, Pentagonal bipyramid",2,"4j, 2e",2,"[0.771451004843408, 1.082894836876565]",0.0,0.9271729208599865,A2B3C5D6,2,2,1,"[2.0, 6.0]","[2.0, 6.0]",4.0,2.0,6.0,4.0,2.0,6.0,3.0,3.0,3.0,2.0,2,2,O2-,"Halogens, Lanthanides, Metalloids, Nonmetals",2.4644241315982387,GGA,Cl-O-Si-Sm,0.0,-3.2213490909375,4.6078,4,Monoclinic,2/m,C2/m,oxide,None,None,None,None,None,Si,"C, O, S",Cl,None,Sm,None,"B $\in$ [0.5, 1]",Positive B
mp-557063,Sm7V(Se2O)4,2.58138157102688,-0.3031024470694117,"Square-face capped trigonal prism, Pentagonal pyramid, Square antiprism, Octahedron",4,"4g, 4h, 2c",3,"[1.457496028683185, 0.5505036964418061, 9.05859337849846, 0.417617391802432]",0.25,2.8710526238564706,AB4C7D8,4,3,1,"[3.0, 0, 1.0]","[3.0, 0, 1.0]",1.3333333333333333,0.0,3.0,2.0,0.0,3.0,3.0,3.0,3.0,1.6666666666666667,1,2,O2-,"Lanthanides, Nonmetals, Transition Metals",2.3556580761204216,GGA_U,O-Se-Sm-V,0.02698557887501,-2.623430655437499,1.4652,4,Orthorhombic,mmm,Pbam,oxide,None,None,V,None,None,None,"O, S, Se",None,None,Sm,None,"B $\in$ [-1, -0.1]",Negative B
mp-557232,KSmPdO3,2.5129099038966936,-0.03527668314620429,Square-face capped trigonal prism,1,2i,1,[4.01427471999173],0.0,4.01427471999173,ABCD3,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",2.453048708570163,GGA,K-O-Pd-Sm,0.023095764770829003,-2.298623613708333,0.7336,4,Monoclinic,2/m,C2/m,oxide,K,None,Pd,None,None,None,"O, P, S",None,None,Sm,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-557438,Sm2Ti3(BiO6)2,1.9437515541824517,0.523006137224103,Cuboctahedron,1,2e,1,[0.101978547141996],0.0,0.101978547141996,A2B2C3D12,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",2.696914025068981,GGA,Bi-O-Sm-Ti,0.040300092500086,-2.9394991976314992,1.4955,4,Tetragonal,4/mmm,I4/mmm,oxide,None,None,Ti,None,Bi,B,"O, S",None,None,Sm,None,"B $\in$ [0.5, 1]",Positive B
mp-558007,Sm(IO3)3,2.4209201437199113,0.00145922449040152,Dodecahedron with triangular faces - p2345 plane normalized,1,4e,1,[1.511874651891366],0.0,1.511874651891366,AB3C9,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals",2.4223726206882965,r2SCAN,I-O-Sm,0.0,-1.101016449807693,3.6185,3,Monoclinic,2/m,P2_1/c,iodate,None,None,None,None,None,None,"O, S",I,None,Sm,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-558131,Sm2Tc2O7,1.7765593603733503,0.6748066026928038,Cube,1,4c,1,[1.738105918748865],0.0,1.738105918748865,A2B2C7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.4495095502246125,r2SCAN,O-Sm-Tc,0.0,-2.723225800909094,0.0,3,Cubic,m-3m,Fd-3m,oxide,None,None,Tc,None,None,None,"O, S",None,None,Sm,None,"B $\in$ [0.5, 1]",Positive B
mp-558638,SmMoO4F,2.2392972056611375,0.20122524919096332,Square antiprism,1,4e,1,[1.699531135970859],0.0,1.699531135970859,ABCD4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,2.0,2,2,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",2.453428191504692,GGA_U,F-Mo-O-Sm,0.0,-2.980700866785715,3.8342,4,Monoclinic,2/m,P2_1/c,fluoride,None,None,Mo,None,None,None,"O, S",F,None,Sm,None,"B $\in$ [0.1, 0.5]",Positive B
