material_id,chem_formula,R$_0$,B,K_chemenv,num_K_chemenvs,K_wyckoff,num_K_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_K_sites,num_CN_env,num_charge_states,KX_coordn,KO_coordn,mean_coordn_K-X,min_coordn_K-X,max_coordn_K-X,mean_coordn_K-O,min_coordn_K-O,max_coordn_K-O,mean_K_charge,min_K_charge,max_K_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_KO_BondL
mp-782640,K8Li3Cr4O16,2.650251273036859,0.1290425380169778,"Face-capped octahedron, Square antiprism, Dodecahedron with triangular faces",3,1a,1,"[3.524345329332248, 4.456042327324501, 3.312110800465908, 4.548937015030193, 4.708686457191311, 3.270260396121287, 4.969665335921944, 3.390146768284256]",0.0,4.0225243037089555,A3B4C8D16,3,3,1,"[3.0, 5.0, 6.0]","[3.0, 5.0, 6.0]",4.666666666666667,3.0,6.0,4.666666666666667,3.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Cr-K-Li-O,0.037726483387102,-2.012457104129032,0.0,4,Triclinic,1,P1,oxide,"Li, K",,Cr,,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.858384807309715
mp-8065,K2Ti6O13,2.71575203964667,0.0725942356937796,Cube,1,2i,1,[2.801316688112463],0.0,2.801316688112463,A2B6C13,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,K-O-Ti,0.0,-3.347455425690477,2.7535,3,Monoclinic,2/m,C2/m,oxide,K,,Ti,,,,O,,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.867348913230221
mp-8355,KAlSiO4,3.143105813246544,-0.0527044670044843,Tridiminished icosahedron,1,2a,1,[5.101071084042336],1.0,5.101071084042336,ABCD4,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-K-O-Si,0.002165910357143,-3.183893003178571,4.5021,4,Hexagonal,6,P6_3,silicate,K,,,,Al,Si,"O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,3.01208515239888
mp-8380,K2Si4O9,2.6295709336199424,0.1864413464073328,Anticuboctahedron,1,4f,1,[8.553472608110276],1.0,8.553472608110276,A2B4C9,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",SCAN,K-O-Si,0.030739709666667,-3.0335081523,4.6302,3,Hexagonal,6/m,P6_3/m,oxide,K,,,,,Si,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.011371759692046
mp-8429,K4IrO4,1.8537882158460508,0.5816688708783063,"Trigonal prism, Square non-coplanar",2,2i,1,"[5.973707925065963, 2.051577684706792]",0.5,4.012642804886378,AB4C4,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",r2SCAN,Ir-K-O,0.0,-1.526256729888885,0.428199999999999,3,Monoclinic,2/m,C2/m,oxide,K,,Ir,,,,O,I,,,,"B $\in$ [0.5, 1]",Positive B,2.7405099251314198
mp-850535,K2Mn3H10S4O21,2.7641093779472854,0.1384801755941433,"Square-face bicapped square antiprism, Tricapped octahedron (all 3 cap faces share one atom)",2,4e,1,"[6.100082590018467, 7.250768334836763]",1.0,6.675425462427615,A2B3C4D10E21,2,2,1,"[11.0, 2.0]","[10.0, 2.0]",6.5,2.0,11.0,6.0,2.0,10.0,1.0,1.0,1.0,1.5,1,2,"O2-, H+","Alkali Metals, Nonmetals, Transition Metals",GGA_U,H-K-Mn-O-S,0.017050311312521,-1.792806092957327,2.2189,5,Monoclinic,2/m,P2_1/c,oxide,K,,Mn,,,,"H, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.0168977522953853
mp-851118,KNa2LiZr2(Si2O5)6,2.9662202462620124,0.0497202357450282,Hexagonal antiprism,1,2a,1,[3.643120696275806],0.0,3.643120696275806,ABC2D2E12F30,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,K-Li-Na-O-Si-Zr,0.015780768888888,-3.21811263486129,4.7585,6,Orthorhombic,mmm,Cccm,oxide,"Li, Na, K",,Zr,,,Si,"N, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,3.0898544950896607
mp-8564,CsK2Sc(PO4)2,2.479755599345126,0.1988265888492819,End-trigonal-face capped trigonal prism,1,2d,1,[18.7312073784718],1.0,18.7312073784718,ABC2D2E8,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Cs-K-O-P-Sc,0.0,-2.943092079888634,4.0983,5,Trigonal,-3m,P-3m1,phosphate,"K, Cs",,Sc,,,,"C, O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.8725635740587987
mp-8614,K3NdSi2O7,2.503902189165633,0.2204004709902199,"Triangular cupola, Tricapped triangular prism (three square-face caps), Octahedron",3,"2b, 4c, 12k",3,"[9.82607611425283, 6.04029814568613, 11.827173220350723]",1.0,9.231182493429893,AB2C3D7,3,3,1,"[6.0, 8.0, 9.0]","[6.0, 8.0, 9.0]",7.666666666666667,6.0,9.0,7.666666666666667,6.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",r2SCAN,K-Nd-O-Si,0.0,-3.035138234301277,0.0,4,Hexagonal,6/mmm,P6_3/mcm,oxide,K,,,,,Si,"N, O, S",,,Nd,,"B $\in$ [0.1, 0.5]",Positive B,2.964842954082075
mp-862794,K2Pu2O5,1.2316664691931374,0.7752796498195982,"Cube, Cuboctahedron",2,"1a, 1b",2,"[1.129429400787669, 0.323847551032771]",0.0,0.72663847591022,A2B2C5,2,2,1,"[12.0, 8.0]","[12.0, 8.0]",10.0,8.0,12.0,10.0,8.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Nonmetals",r2SCAN,K-O-Pu,0.0,-2.788405569666666,0.0,3,Tetragonal,4/mmm,P4/mmm,oxide,K,,,,,,"O, P",,,,Pu,"B $\in$ [0.5, 1]",Positive B,3.0410409471290705
