material_id,chem_formula,R$_0$,B,K_chemenv,num_K_chemenvs,K_wyckoff,num_K_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_K_sites,num_CN_env,num_charge_states,KX_coordn,KO_coordn,mean_coordn_K-X,min_coordn_K-X,max_coordn_K-X,mean_coordn_K-O,min_coordn_K-O,max_coordn_K-O,mean_K_charge,min_K_charge,max_K_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_KO_BondL
mp-1003437,KMn2O4,3.302022142167254,-0.1705225263486377,Square-face bicapped trigonal prism,1,4g,1,"[6.939144462890207, 6.725268781811483]",1.0,6.832206622350845,AB2C4,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,K-Mn-O,0.018348749107142,-1.946882369908867,0.9303,3,Monoclinic,2/m,P2/c,oxide,K,,Mn,,,,O,,,,,"B $\in$ [-1, -0.1]",Negative B,2.8603233451318024
mp-1003764,K3Mn4O8,1.5698617360897575,0.6335430535368008,"Trigonal prism, Square-face capped trigonal prism",2,1a,1,"[7.226228925480109, 2.623121270858856, 2.565272552365201, 2.707591350857375, 2.8396985249738433, 2.338932273238053, 2.802042672889943, 3.012937603919052, 3.166830247568428, 3.940343476630035, 2.954937916185579, 1.990386671692901]",0.083,3.1806936238882813,A3B4C8,2,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,K-Mn-O,0.0,-1.955604567398289,0.487499999999999,3,Triclinic,1,P1,oxide,K,,Mn,,,,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.7077755373262615
mp-1016190,KMn3O6,1.982733388346805,0.4512384157494892,Octahedron,1,4f,1,[11.490653388862649],1.0,11.490653388862649,AB3C6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,K-Mn-O,0.0,-1.965370852104309,1.198599999999999,3,Monoclinic,2/m,C2/c,oxide,K,,Mn,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.81501216466307
mp-1019744,K2Al2Si3O10,3.419686355164411,-0.2314740873967161,Square antiprism,1,4b,1,[8.588854353344985],1.0,8.588854353344985,A2B2C3D10,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-K-O-Si,0.017998480955885,-3.190578273205883,4.3747,4,Orthorhombic,mm2,Fdd2,oxide,K,,,,Al,Si,"O, S",,,,,"B $\in$ [-1, -0.1]",Negative B,2.995811789789362
mp-1019745,K2Ca3Si3O10,2.9686523116213346,0.0540551492622426,Square-face bicapped square antiprism,1,4f,1,[7.423665792035826],1.0,7.423665792035826,A2B3C3D10,1,1,1,[10.0],[10.0],10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Ca-K-O-Si,0.009612258333333,-3.194926496083334,4.7685,4,Monoclinic,2/m,C2/c,oxide,K,Ca,,,,Si,"C, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.943246519867439
mp-1019746,K2Ca4Si8O21,2.758643519113389,0.1203447895212291,Tricapped octahedron (all 3 cap faces share one atom),1,2i,1,[6.77803065841134],1.0,6.77803065841134,A2B4C8D21,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Ca-K-O-Si,0.0,-3.287697046557144,4.594,4,Triclinic,-1,P-1,oxide,K,Ca,,,,Si,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.0164637979114315
mp-1019774,K2CeAl(SiO3)4,2.836894427414781,0.0929469478632591,"Bicapped square prism (adjacent faces), Tridiminished icosahedron",2,4f,1,"[6.187953550652532, 8.994899021567896]",1.0,7.591426286110214,ABC2D4E12,2,2,1,"[5.0, 7.0]","[5.0, 7.0]",6.0,5.0,7.0,6.0,5.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ce-K-O-Si,0.0,-3.260349144725,0.170799999999999,5,Monoclinic,2/m,C2/c,oxide,K,,,,Al,Si,"C, O, S",,,Ce,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,3.022051104354965
mp-1019777,K2La2B2O7,2.7175491600633466,0.070997388241133,"Pentagonal bipyramid, Square-face capped trigonal prism",2,4e,1,"[4.146811004318017, 5.412731261230137]",0.5,4.779771132774076,A2B2C2D7,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",GGA,B-K-La-O,0.0,-3.148412294641026,4.2792,4,Monoclinic,2/m,P2_1/c,oxide,K,,,,,B,O,,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.8095324729994493
mp-1019779,K2Mg2Si2O7,2.531477205814415,0.1259775922514563,Tridiminished icosahedron,1,2d,1,[5.131157080130208],1.0,5.131157080130208,A2B2C2D7,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,K-Mg-O-Si,0.034885138397437,-2.92937610226923,4.9573,4,Trigonal,-3m,P-31m,oxide,K,Mg,,,,Si,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.836792013340684
mp-1019781,K2Na3P3O10,1.9045294492435143,0.554708747824282,Square-face capped square prism,1,4f,1,[7.335905894807153],1.0,7.335905894807153,A2B3C3D10,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",GGA,K-Na-O-P,0.0,-2.638942295142583,4.3865,4,Monoclinic,2/m,C2/c,oxide,"Na, K",,,,,,"N, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.9766840167536506
mp-1019782,K2LiB(PO4)2,2.641849741245513,0.0867323254088054,"Square-face capped square prism, Pentagonal bipyramid",2,4e,1,"[7.591254183548518, 6.468748549808234]",1.0,7.030001366678376,ABC2D2E8,2,2,1,"[5.0, 9.0]","[5.0, 9.0]",7.0,5.0,9.0,7.0,5.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",r2SCAN,B-K-Li-O-P,0.0,-2.739611065448979,5.5562000000000005,5,Monoclinic,2/m,P2_1/c,phosphate,"Li, K",,,,,B,"O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.8322231047904554
mp-1019786,K3Zn(BO2)5,2.207636004532428,0.3438836034370301,"Cube, Dodecahedron with triangular faces - p2345 plane normalized, Square-face capped trigonal prism",3,4e,1,"[7.551316868350451, 7.9093546963378945, 6.680068254654016]",1.0,7.380246606447454,AB3C5D10,3,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,B-K-O-Zn,0.0,-2.648206880135965,4.3815,4,Monoclinic,2/m,P2_1/c,metaborate,K,,Zn,,,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.826237783052844
mp-1019787,K2NaZn(BO2)5,2.034179117782557,0.4534519765110681,"Cube, Square-face capped trigonal prism",2,4f,1,"[8.591572540168176, 7.360051716689542]",1.0,7.975812128428859,ABC2D5E10,2,2,1,"[6.0, 8.0]","[6.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,B-K-Na-O-Zn,0.0,-2.645673866011192,4.2359,5,Monoclinic,2/m,C2/c,metaborate,"Na, K",,Zn,,,B,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.9023847209605202
mp-1019792,K2ZrSi2O7,3.0030904047548046,0.009574617915303,"Anticuboctahedron, Bicapped square prism (adjacent faces), Diminished icosahedron, Truncated tetrahedron",4,"4j, 2i",2,"[6.579266793355259, 6.582974638842877, 7.467446152415112, 7.358661703727633, 8.909975370385151, 9.007861743217973]",1.0,7.651031066990669,AB2C2D7,4,4,1,"[10.0, 11.0, 8.0, 9.0]","[10.0, 11.0, 8.0, 9.0]",9.5,8.0,11.0,9.5,8.0,11.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,K-O-Si-Zr,0.002179136770833,-3.183964880479166,4.520300000000001,4,Monoclinic,2/m,C2/m,oxide,K,,Zr,,,Si,"O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,3.021428226204375
mp-1019793,K3La(PO4)2,1.976563579382724,0.4449825898134912,"Bicapped square prism (adjacent faces), Tricapped triangular prism (two square-face caps and one triangular-face cap), Hendecahedron",3,2e,1,"[8.610094217976636, 7.658952965998733, 5.415296676393045]",1.0,7.2281146201228035,AB2C3D8,3,3,1,"[10.0, 11.0, 9.0]","[10.0, 11.0, 9.0]",10.0,9.0,11.0,10.0,9.0,11.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,K-La-O-P,0.0,-2.9902919022168373,4.662000000000001,4,Monoclinic,2/m,P2_1/m,phosphate,K,,,,,,"O, P",,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.9809375501329916
mp-1019794,K3LiP2O7,2.619777382208703,0.1384827857787213,"Square-face bicapped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized",2,"4c, 2a",2,"[3.159782832015317, 5.019272068550194]",0.5,4.089527450282755,AB2C3D7,2,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",GGA,K-Li-O-P,0.0,-2.671974138028389,5.0761,4,Orthorhombic,222,C222_1,oxide,"Li, K",,,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.8340412840659863
mp-1019796,K4P2O7,0.3644352043566362,1.3017214276704718,"Triangular cupola, Tricapped octahedron (all 3 cap faces are sharingone edge of a face), Octahedron",3,"2b, 4f, 2a",3,"[2.834687688018395, 16.074006647155496, 0.9787275708701331]",0.333,6.6291406353480085,A2B4C7,3,2,1,"[6.0, 9.0]","[6.0, 9.0]",7.5,6.0,9.0,7.5,6.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",r2SCAN,K-O-P,0.0,-2.6051445840989,3.7435,3,Hexagonal,6/mmm,P6_3/mmc,oxide,K,,,,,,"O, P",,,,,B > 1,Positive B,2.925980545345652
mp-1019802,KAl(PO3)4,3.4310746165042767,-0.0735897566814118,Bicapped square prism (opposite faces),1,2i,1,[6.622896870068644],1.0,6.622896870068644,ABC4D12,1,1,1,[10.0],[10.0],10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals",GGA,Al-K-O-P,0.001154180972229,-2.796808548378968,5.179699999999999,4,Monoclinic,2/m,C2/m,phosphite,K,,,,Al,,"O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,3.0685510526656823
mp-1019803,KAl9O14,3.095606653029704,-0.0822666066411323,Bicapped square prism (opposite faces),1,2b,1,[4.743460437971946],0.0,4.743460437971946,AB9C14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals",GGA,Al-K-O,0.009967313057263,-3.354464808010416,4.3523,3,Monoclinic,2/m,P2_1/c,oxide,K,,,,Al,,O,,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.916333043281572
mp-1019805,KB(S2O7)2,2.314476781046773,0.3105070789571496,"Tricapped triangular prism (two square-face caps and one triangular-face cap), Square-face monocapped antiprism",2,2a,1,"[1.512004744629112, 5.675333131191134]",0.5,3.593668937910123,ABC4D14,2,2,1,"[8.0, 9.0]","[8.0, 9.0]",8.5,8.0,9.0,8.5,8.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,B-K-O-S,0.0,-1.932416156695832,5.601,4,Monoclinic,m,Cc,oxide,K,,,,,B,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.9827773412307788
mp-1019808,KBe2B3O7,2.838470592157773,0.0512630809735243,"Cube, Bicapped octahedron (cap faces with one atom in common), Pentagonal prism",3,2a,1,"[7.984216553329504, 7.108343923055115, 3.9515189659417373]",0.667,6.348026480775452,AB2C3D7,3,3,1,"[10.0, 6.0, 8.0]","[10.0, 6.0, 8.0]",8.0,6.0,10.0,8.0,6.0,10.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Be-K-O,0.00492947658118,-2.897050703057692,5.0187,4,Monoclinic,2,P2_1,triborate,K,Be,,,,B,O,,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.9550845644214996
mp-1019809,KBe2B3O7,2.576404512210729,0.2208347839015197,"Hexagonal antiprism, Square-face capped trigonal prism",2,2a,1,"[3.644996763496411, 9.77587721050517]",0.5,6.71043698700079,AB2C3D7,2,2,1,"[5.0, 9.0]","[5.0, 9.0]",7.0,5.0,9.0,7.0,5.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Be-K-O,0.010276160235027,-2.891704019403846,5.1446,4,Orthorhombic,mm2,Pmn2_1,triborate,K,Be,,,,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,3.013145442234014
mp-1019889,KSi2BO6,3.3507211608248624,-0.1194355267217961,Bicapped square prism (adjacent faces),1,4a,1,[6.659425870972468],1.0,6.659425870972468,ABC2D6,1,1,1,[10.0],[10.0],10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,B-K-O-Si,0.0,-3.051882602891666,5.3234,4,Orthorhombic,222,P2_12_12_1,oxide,K,,,,,"B, Si","O, S",,,,,"B $\in$ [-1, -0.1]",Negative B,2.9967108195881496
mp-1020193,KNO3,2.404982827663731,0.2168737872307562,Hexagonal bipyramid,1,4e,1,[6.013422255085362],1.0,6.013422255085362,ABC3,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",r2SCAN,K-N-O,0.013152605000001,-1.408985991949999,2.9530000000000003,3,Monoclinic,2/m,P2_1/c,nitrate,K,,,,,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.8014293218882305
mp-1022965,K3V2(PO4)3,3.0892750057192595,-0.1955407573293558,"Square antiprism, Octahedron",2,"4f, 2c",2,"[8.058314629918794, 7.438152755511554]",1.0,7.748233692715174,A2B3C3D12,2,2,1,"[6.0, 8.0]","[6.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,K-O-P-V,0.028717092781255,-2.642631507283928,1.8037,4,Monoclinic,2/m,C2/c,phosphate,K,,V,,,,"O, P",,,,,"B $\in$ [-1, -0.1]",Negative B,2.695695083897185
mp-1024073,K2Sn3O7,2.7059308239936635,0.0714703879085653,"Square-face bicapped trigonal prism, Square-face capped trigonal prism",2,4c,1,"[5.536162237539669, 3.598882993593175]",0.5,4.567522615566422,A2B3C7,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals",GGA,K-O-Sn,0.0,-2.08584630975,1.5671,3,Orthorhombic,mmm,Pnma,oxide,K,,,,Sn,,"O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.8447541386354325
mp-1037604,KMg30FeO32,2.228060062470848,0.0716390951366864,no_data,1,no_data,1,no_data,0.0,no_data,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Fe-K-Mg-O,0.046003716376953,-2.910652190582031,2.6424000000000003,4,Tetragonal,4/mmm,P4/mmm,oxide,K,Mg,Fe,,,,O,F,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.356924288827335
mp-1038115,KMg30MnO32,2.143573714487686,0.122213675520767,Octahedron,1,1b,1,[0.003875824431175],0.0,0.003875824431175,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,K-Mg-Mn-O,0.044293576705729,-2.925748330862203,1.8944,4,Tetragonal,4/mmm,P4/mmm,oxide,K,Mg,Mn,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.3634120803439997
mp-1040266,KMg30CrO32,2.3269131714420386,0.012888623262566,Octahedron,1,1a,1,[4.371268198186692e-05],0.0,4.371268198186692e-05,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Cr-K-Mg-O,0.042850153125,-2.937982549644531,3.6932,4,Tetragonal,4/mmm,P4/mmm,oxide,K,Mg,Cr,,,,"C, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.350096617712
mp-1040443,KBaBiTeO6,3.875261234911496,-0.2801464040118408,Cuboctahedron,1,2e,1,[0.859962505381458],0.0,0.859962505381458,ABCDE6,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Ba-Bi-K-O-Te,0.0,-2.074538539391667,1.561499999999999,5,Monoclinic,2/m,P2_1/m,oxide,K,Ba,,,Bi,"B, Te",O,,,,,"B $\in$ [-1, -0.1]",Negative B,3.1000886252598234
mp-10543,K3SbO4,2.709691051367028,0.0816297272976421,Octahedron,1,"2f, 2e",2,"[5.229443632971121, 5.76270361045822, 5.52102355723909]",1.0,5.504390266889477,AB3C4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",r2SCAN,K-O-Sb,0.0,-1.877404752718749,1.8402,3,Monoclinic,2/m,P2/c,oxide,K,,,,,Sb,"O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.781262937401735
mp-1076412,K5Na3Nb6(WO12)2,2.854524090748524,0.0021810154810687,no_data,1,no_data,1,no_data,0.0,no_data,A2B3C5D6E24,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,K-Na-Nb-O-W,0.02794870445833,-2.658750792509697,0.0,5,Orthorhombic,mm2,Amm2,oxide,"Na, K",,"Nb, W",,,,"N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.863013079673424
mp-1076481,K5Na3Nb5(WO8)3,2.863383487745103,-0.0013229286209632,Cuboctahedron,1,1a,1,"[0.012211734105629, 0.012101351051160001, 0.01155243555426, 0.008086330172907, 0.011539831522199001]",0.0,0.011098336481231002,A3B3C5D5E24,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,K-Na-Nb-O-W,0.019438791562494,-2.585916285259698,0.0,5,Triclinic,1,P1,oxide,"Na, K",,"Nb, W",,,,"N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.85980982035768
mp-1076659,KNaMoWO6,2.7862147010223968,0.0230565835782528,Cuboctahedron,1,4d,1,[0.055057768400438],0.0,0.055057768400438,ABCDE6,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,K-Mo-Na-O-W,0.020397973750001,-2.151015016112931,0.209299999999999,5,Tetragonal,4mm,P4mm,oxide,"Na, K",,"Mo, W",,,,"N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.8542625966848156
mp-1076685,K4Na4MoW7O24,2.804420749060141,0.0171475745208392,Cuboctahedron,1,4d,1,[0.049452741372276],0.0,0.049452741372276,AB4C4D7E24,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,K-Mo-Na-O-W,0.014323819483691,-2.170044589362932,0.0,5,Tetragonal,4mm,P4mm,oxide,"Na, K",,"Mo, W",,,,"N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.8540494513610306
mp-1076751,K4Na4NbW7O24,2.8181665754014,0.0104996718688251,Cuboctahedron,1,4d,1,[0.025376459399886003],0.0,0.025376459399886003,AB4C4D7E24,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,K-Na-Nb-O-W,0.022720019413052,-2.246943295612932,0.0,5,Tetragonal,4mm,P4mm,oxide,"Na, K",,"Nb, W",,,,"N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.849336683973758
mp-1076812,K2Na2Nb(WO4)3,2.828612954959764,0.0068885471617843,Cuboctahedron,1,2h,1,[0.027240237521575002],0.0,0.027240237521575002,AB2C2D3E12,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,K-Na-Nb-O-W,0.029603871624996,-2.325379436362931,0.0,5,Orthorhombic,mm2,Pmm2,oxide,"Na, K",,"Nb, W",,,,"N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.8493188030445524
mp-1095429,KUClO3,0.3547452114798343,2.3723526619476045,Square-face bicapped trigonal prism,1,2e,1,[1.694333271177957],0.0,1.694333271177957,ABCD3,1,1,1,[8.0],[5.0],8.0,8.0,8.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,2,2,"Cl-, O2-","Actinides, Alkali Metals, Halogens, Nonmetals",GGA,Cl-K-O-U,0.013651546666668,-3.143717613708331,1.758299999999999,4,Monoclinic,2/m,P2_1/m,chlorate,K,,,,,,"C, O",Cl,,,U,B > 1,Positive B,2.986503878470662
mp-1097033,K3V2P2O8F3,2.0389332183460693,0.3881064944397837,"End-trigonal-face capped trigonal prism, Square-face capped trigonal prism",2,2a,1,"[1.283802649677805, 7.753317850637702, 1.792379742308857]",0.333,3.6098334142081208,A2B2C3D3E8,2,1,1,[7.0],[4.0],7.0,7.0,7.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,2,2,"O2-, F-","Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA_U,F-K-O-P-V,0.020575713055555,-2.835437796724206,2.247499999999999,5,Orthorhombic,mm2,Cmc2_1,fluoride,K,,V,,,,"O, P",F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.766322465494344
mp-1099601,K4Na4Mo3W5O24,2.793741708538405,0.0214245646067218,Cuboctahedron,1,4i,1,[0.06623009824633601],0.0,0.06623009824633601,A3B4C4D5E24,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,K-Mo-Na-O-W,0.013751252937502,-2.163457768362931,0.193099999999999,5,Orthorhombic,mm2,Pmm2,oxide,"Na, K",,"Mo, W",,,,"N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.8584309516393147
mp-1099622,K5Na3Nb7WO24,2.825422646025632,0.0132028115939456,Cuboctahedron,1,"1a, 2b",2,"[0.009441692478659001, 0.009402543828519001, 0.008494613873046, 0.009435154583824]",0.0,0.009193501191012001,AB3C5D7E24,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,K-Na-Nb-O-W,0.01898101235416,-2.749062904759698,0.0,5,Monoclinic,m,Cm,oxide,"Na, K",,"Nb, W",,,,"N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.858575951367672
mp-1099687,K4Na4Nb3W5O24,2.857262398237269,-0.0017481254969954,Cuboctahedron,1,4i,1,[0.018428185870742003],0.0,0.018428185870742003,A3B4C4D5E24,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,K-Na-Nb-O-W,0.019391085520828,-2.419649339612932,0.0,5,Orthorhombic,mm2,Pmm2,oxide,"Na, K",,"Nb, W",,,,"N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.8519223711202017
mp-1099727,K4Na4Mo5(WO8)3,2.799297274192071,0.0190862093546638,Cuboctahedron,1,4i,1,[0.062910630792502],0.0,0.062910630792502,A3B4C4D5E24,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,K-Mo-Na-O-W,0.03601475225,-2.126276935112931,0.593,5,Orthorhombic,mm2,Pmm2,oxide,"Na, K",,"Mo, W",,,,"N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.850394446604417
