material_id,chem_formula,R$_0$,B,Be_chemenv,num_Be_chemenvs,Be_wyckoff,num_Be_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Be_sites,num_CN_env,num_charge_states,BeX_coordn,BeO_coordn,mean_coordn_Be-X,min_coordn_Be-X,max_coordn_Be-X,mean_coordn_Be-O,min_coordn_Be-O,max_coordn_Be-O,mean_Be_charge,min_Be_charge,max_Be_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_BeO_BondL
mp-1193116,KBe2B3O7,1.2049866338041697,0.6594369281885173,Tetrahedron,1,4f,1,[0.854710263234135],0.0,0.854710263234135,AB2C3D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Be-K-O,0.000782213504257,-2.9011979661346152,5.5029,4,Monoclinic,2/m,C2/c,triborate,K,Be,,,,B,O,,,,,"B $\in$ [0.5, 1]",Positive B,1.6542998489033671
mp-1193627,NaCaBe2B2O6F,1.7006947448085792,-0.1402412999718882,Tetrahedron,1,2a,1,"[0.24123105782407403, 0.194227517225446]",0.0,0.21772928752476,ABCD2E2F6,1,1,1,[4.0],[3.0],4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2,2,"O2-, F-","Alkali Metals, Alkaline Earth Metals, Halogens, Metalloids, Nonmetals",GGA,B-Be-Ca-F-Na-O,0.003618991923073,-3.089655617670204,5.0458,6,Monoclinic,m,Cc,fluoride,Na,"Be, Ca",,,,B,"C, N, O",F,,,,"B $\in$ [-1, -0.1]",Negative B,1.6119579316013624
mp-1198243,Mg2Be3P3H13O19,1.452424093067806,0.2803666638581171,Tetrahedron,1,6c,1,[0.09609916423182101],0.0,0.09609916423182101,A2B3C3D13E19,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Be-H-Mg-O-P,0.0,-2.164323529879464,5.3108,5,Hexagonal,6,P6_3,oxide,,"Be, Mg",,,,B,"H, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6530238531513108
mp-1198968,Be2P2PbO8,1.5433958839633526,0.1368612154137668,Tetrahedron,1,4e,1,"[0.067352287772057, 0.216155727988448]",0.0,0.1417540078802525,AB2C2D8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Be-O-P-Pb,0.0,-2.788215279560439,4.5437,4,Monoclinic,2/m,P2_1/c,oxide,,Be,,,Pb,B,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6389154046974648
mp-1200275,Be2AsH5O7,1.669023732618955,-0.0382940581877691,Tetrahedron,1,4e,1,"[0.12007528116005901, 0.08569145533984501]",0.0,0.102883368249952,AB2C5D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",GGA,As-Be-H-O,0.0,-1.881622949083333,4.3533,4,Monoclinic,2/m,P2_1/c,oxide,,Be,,,,"B, As","H, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.6414339275231296
mp-1201252,CsBe2P2HO8,1.3805627518396264,0.3739128621494479,no_data,1,no_data,1,no_data,0.0,no_data,ABC2D2E8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Be-Cs-H-O-P,0.0,-2.736826344656491,5.5956,5,Triclinic,-1,P-1,oxide,Cs,Be,,,,B,"H, C, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6411882376577576
mp-1203787,Ca6MnBe4Si6HO24,1.579069733791176,0.1070817877001141,Tetrahedron,1,"4c, 8d",2,"[0.26585044482478104, 0.21903898526921903, 0.08667956500042201]",0.0,0.19052299836480735,ABC4D6E6F24,1,2,1,"[4.0, 4.0]","[4.0, 4.0]",4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.5,1,2,"O-, O2-","Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Be-Ca-H-Mn-O-Si,0.042116979457692,-3.178903958016216,0.0,6,Orthorhombic,mmm,Pnma,oxide,,"Be, Ca",Mn,,,"B, Si","H, C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.657915089697417
mp-1207992,Tm2Be2SiO7,1.40289861882053,0.3270930825314756,Tetrahedron,1,4e,1,[0.5280321133521221],0.0,0.5280321133521221,AB2C2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Be-O-Si-Tm,0.0,-3.597782614583334,5.3393,4,Tetragonal,-42m,P-42_1m,oxide,,Be,,,,"B, Si","O, S",,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,1.6348726005310756
mp-1208014,Tm2Be2GeO7,1.4084189595711305,0.3206764273535177,Tetrahedron,1,4e,1,[0.7429607539891261],0.0,0.7429607539891261,AB2C2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Be-Ge-O-Tm,0.010999272916668,-3.29546294375,4.3832,4,Tetragonal,-42m,P-42_1m,oxide,,Be,,,,"B, Ge",O,,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,1.6357599910176477
mp-1208513,Tb2Be2GeO7,1.3728734581643938,0.3813602960484943,Tetrahedron,1,4e,1,[0.63300142107651],0.0,0.63300142107651,AB2C2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Be-Ge-O-Tb,0.0,-3.284900051944444,4.4749,4,Tetragonal,-42m,P-42_1m,oxide,,Be,,,,"B, Ge",O,,,Tb,,"B $\in$ [0.1, 0.5]",Positive B,1.6431470680248905
