material_id,chem_formula,R$_0$,B,Au_chemenv,num_Au_chemenvs,Au_wyckoff,num_Au_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Au_sites,num_CN_env,num_charge_states,AuX_coordn,AuO_coordn,mean_coordn_Au-X,min_coordn_Au-X,max_coordn_Au-X,mean_coordn_Au-O,min_coordn_Au-O,max_coordn_Au-O,mean_Au_charge,min_Au_charge,max_Au_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_AuO_BondL
mp-1200560,CsAu(IO3)4,2.0202831886757666,0.0189406419589447,Square plane,1,2i,1,[0.5980899741474961],0.0,0.5980899741474961,ABC4D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-Cs-I-O,0.0,-0.9177759949808432,1.934499999999999,4,Triclinic,-1,P-1,iodate,Cs,,Au,,,,"C, O",I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.026159686015265
mp-1202202,NaAu(IO3)4,2.0073501303977306,0.0029348620407708,Square plane,1,2a,1,[0.00047790616048400006],0.0,0.000477906160484,ABC4D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",r2SCAN,Au-I-Na-O,0.0,-0.488299794166666,1.9991,4,Monoclinic,2/m,P2_1/c,iodate,Na,,Au,,,,"N, O",I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0082349414681167
mp-1229194,AgAu(IO3)4,2.0269519895951804,0.0059274815128725,Square plane,1,2a,1,[0.160143262650381],0.0,0.160143262650381,ABC4D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",GGA,Ag-Au-I-O,0.0,-0.713105557037036,1.257299999999999,4,Monoclinic,m,Pc,iodate,,,"Ag, Au",,,,O,I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0289802598613673
mp-1234500,MgAu4Se4(ClO3)4,2.0386657434750965,-0.0021347617243044,"See-saw, Square plane",2,1a,1,"[6.505043910094803, 0.024141973566072002, 0.46432893993029106, 0.5635892802507081]",0.25,1.8892760259604688,AB4C4D4E12,2,4,1,"[3.0, 4.0, 4.0, 4.0]","[0, 2.0, 3.0, 4.0]",3.75,3.0,4.0,3.0,0.0,4.0,3.0,3.0,3.0,1.5,1,2,"Cl-, O2-","Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-Cl-Mg-O-Se,0.04186858945,-1.075852478975,0.5009,5,Triclinic,1,P1,chlorate,,Mg,Au,,,,"C, O, S, Se",Cl,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.03825373138753
mp-1235050,LiAu4Se4(ClO3)4,2.082415485034933,-0.0696040145889979,Square plane,1,1a,1,"[0.61314543834319, 0.166644105675917, 0.698106099192848, 0.490318035434383]",0.0,0.4920534196615845,AB4C4D4E12,1,3,1,"[4.0, 4.0, 4.0]","[2.0, 3.0, 4.0]",4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,1.6666666666666667,1,2,"Cl-, O2-","Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-Cl-Li-O-Se,0.047322044033334,-0.982102541308334,0.0,5,Triclinic,1,P1,chlorate,Li,,Au,,,,"C, O, S, Se",Cl,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0610696913969693
mp-1235220,LiAu4Se4(ClO3)4,2.071298559754345,0.0082940829712529,Square plane,1,1a,1,"[0.9864141908728511, 0.47862568823255003, 0.7025686807185411, 0.441621928440356]",0.0,0.6523076220660746,AB4C4D4E12,1,3,1,"[4.0, 4.0, 4.0]","[2.0, 3.0, 4.0]",4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,1.6666666666666667,1,2,"Cl-, O2-","Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-Cl-Li-O-Se,0.049279346033334,-0.9801452393083332,0.0,5,Triclinic,1,P1,chlorate,Li,,Au,,,,"C, O, S, Se",Cl,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0748542624079422
mp-1235291,LiAu4Se4(ClO3)4,2.06225630161284,0.0199121503706835,Square plane,1,1a,1,"[1.163912029311881, 0.13573225400941702, 1.162644220153588, 0.45848653279948304]",0.0,0.7301937590685922,AB4C4D4E12,1,3,1,"[4.0, 4.0, 4.0]","[2.0, 3.0, 4.0]",4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,1.6666666666666667,1,2,"Cl-, O2-","Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-Cl-Li-O-Se,0.046212828833334,-0.983211756508333,0.0,5,Triclinic,1,P1,chlorate,Li,,Au,,,,"C, O, S, Se",Cl,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0708365492417293
mp-1235582,LiAu4Se4(ClO3)4,2.1361901670004912,-0.2056569142607832,Square plane,1,1a,1,"[0.7587262197223451, 0.050382007097772005, 0.6216478249727161, 0.47220758839693505]",0.0,0.475740910047442,AB4C4D4E12,1,3,1,"[4.0, 4.0, 4.0]","[2.0, 3.0, 4.0]",4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,1.6666666666666667,1,2,"Cl-, O2-","Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-Cl-Li-O-Se,0.049563639233334,-0.9798609461083332,0.0459,5,Triclinic,1,P1,chlorate,Li,,Au,,,,"C, O, S, Se",Cl,,,,"B $\in$ [-1, -0.1]",Negative B,2.071069978990399
mp-1236013,LiAu4Se4(ClO3)4,2.125140013332582,-0.1077420239945484,Square plane,1,1a,1,"[0.6590317927264701, 0.261720048056702, 0.7645783676719371, 0.62698451632355]",0.0,0.5780786811946648,AB4C4D4E12,1,3,1,"[4.0, 4.0, 4.0]","[2.0, 3.0, 4.0]",4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,1.6666666666666667,1,2,"Cl-, O2-","Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-Cl-Li-O-Se,0.044455231233334,-0.9849693541083332,0.132199999999999,5,Triclinic,1,P1,chlorate,Li,,Au,,,,"C, O, S, Se",Cl,,,,"B $\in$ [-1, -0.1]",Negative B,2.0851733774837595
mp-27253,Au2O3,1.963727731796764,0.2705868088111766,Square plane,1,4b,1,[0.194377661878838],0.0,0.194377661878838,A2B3,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Au-O,0.0,-0.153386996,0.8689999999999991,2,Orthorhombic,mm2,Fdd2,oxide,,,Au,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.022686340952605
