material_id,chem_formula,R$_0$,B,Tm_chemenv,num_Tm_chemenvs,Tm_wyckoff,num_Tm_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Tm_sites,num_CN_env,num_charge_states,TmX_coordn,TmO_coordn,mean_coordn_Tm-X,min_coordn_Tm-X,max_coordn_Tm-X,mean_coordn_Tm-O,min_coordn_Tm-O,max_coordn_Tm-O,mean_Tm_charge,min_Tm_charge,max_Tm_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_TmO_BondL
mp-1214595,Ba5Tm8Ni4O21,2.3862631428563863,-0.0579290733140823,Square-face capped trigonal prism,1,4h,1,"[1.596761504778558, 2.244703213550784]",0.0,1.920732359164671,A4B5C8D21,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Ba-Ni-O-Tm,0.0,-3.16490736276316,2.3991,4,Tetragonal,4/m,I4/m,oxide,,Ba,Ni,,,B,"N, O",,,Tm,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.3172455940791514
mp-1216807,Tm2Mn3Sb3O14,2.1204445110575687,0.2899608111509112,Cube,1,2e,1,[1.704003505761525],0.0,1.704003505761525,A2B3C3D14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Mn-O-Sb-Tm,0.009631442159109,-2.481681711536049,1.2092,4,Monoclinic,2/m,C2/m,oxide,,,Mn,,,Sb,"O, S",,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.417461246232613
mp-1216821,Tm4Zr3O12,1.9874679922586216,0.3741654157411213,Square-face capped trigonal prism,1,2i,1,"[3.954957096715715, 4.041887327805753]",0.0,3.998422212260734,A3B4C12,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,O-Tm-Zr,0.0,-3.938189594473685,4.1281,3,Triclinic,-1,P-1,oxide,,,Zr,,,,O,,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.2877595338297296
mp-1216870,TmTaTiO6,2.113730508784787,0.3336605095698959,Square antiprism,1,4e,1,[1.9079010440642952],0.0,1.9079010440642952,ABCD6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,O-Ta-Ti-Tm,0.002817715277789,-3.507313690166657,3.338799999999999,4,Monoclinic,2/m,P2_1/c,oxide,,,"Ti, Ta",,,,O,,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.3652247695658235
mp-1216872,Tm2Mn(GeO3)4,1.985798588881284,0.3711092044876348,"Octahedron, Square antiprism",2,"2b, 2f",2,"[1.249080378648358, 0.044491133022535004]",0.0,0.6467857558354465,AB2C4D12,2,2,1,"[6.0, 8.0]","[6.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Ge-Mn-O-Tm,0.007815946184202,-2.680978025417423,1.9907,4,Orthorhombic,mmm,Cmme,oxide,,,Mn,,,Ge,O,,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.3078708857954973
mp-1220905,NaTmTi2O6,0.5462641972078087,1.948142195490585,Square-face bicapped trigonal prism,1,2a,1,[2.489207361291944],0.0,2.489207361291944,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Na-O-Ti-Tm,0.01292942412501,-3.449023275304598,2.4036,4,Orthorhombic,mm2,Pmn2_1,oxide,Na,,Ti,,,,"N, O",,,Tm,,B > 1,Positive B,2.395464947956441
mp-1221233,Na3TmTi2Nb2O12,0.1207621516355267,2.302106265714099,Square-face bicapped trigonal prism,1,1a,1,[2.351160094783403],0.0,2.351160094783403,AB2C2D3E12,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Na-Nb-O-Ti-Tm,0.017354713812503,-3.13603301854023,0.0,5,Triclinic,1,P1,oxide,Na,,"Ti, Nb",,,,"N, O",,,Tm,,B > 1,Positive B,2.37935057921833
mp-1227152,CaTmMn2O6,1.02336020791053,0.9992803778963782,Square-face bicapped trigonal prism,1,2a,1,[2.165675415641457],0.0,2.165675415641457,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Ca-Mn-O-Tm,0.022164338666682,-2.794673149586208,0.0,4,Orthorhombic,mm2,Pmn2_1,oxide,,Ca,Mn,,,,"C, O",,,Tm,,"B $\in$ [0.5, 1]",Positive B,2.4049274262893063
mp-1227160,CaTmMn2O6,1.3231183475336814,0.7912716083364726,Square-face bicapped trigonal prism,1,2a,1,[1.9350362013678881],0.0,1.9350362013678881,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Ca-Mn-O-Tm,0.019589281666682,-2.7972482065862083,0.0,4,Orthorhombic,mm2,Pmc2_1,oxide,,Ca,Mn,,,,"C, O",,,Tm,,"B $\in$ [0.5, 1]",Positive B,2.377816318574853
mp-1227267,CaTm2(GeO3)4,1.9539118845711,0.4143961074425586,"Octahedron, Square antiprism",2,"2b, 2f",2,"[1.036811144930884, 0.123344630894563]",0.0,0.5800778879127235,AB2C4D12,2,2,1,"[6.0, 8.0]","[6.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Ca-Ge-O-Tm,0.010032357675433,-2.844765386052633,3.1273,4,Orthorhombic,mmm,Cmme,oxide,,Ca,,,,Ge,"C, O",,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.315063828732287
mp-1227814,BaSr2Tm6O12,2.0818091697225656,0.2676112334920766,Octahedron,1,"3k, 3j",2,"[0.9477699533736661, 1.260234477470218]",0.0,1.104002215421942,AB2C6D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Ba-O-Sr-Tm,0.015504250992064,-3.766883942380954,2.6054999999999997,4,Hexagonal,-6,P-6,oxide,,"Sr, Ba",,,,B,"O, S",,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.2735394082066733
mp-1227963,Ba3TmIrRuO9,1.8629641799728087,0.4771566250721813,Octahedron,1,2a,1,[0.00246620989159],0.0,0.00246620989159,ABCD3E9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Ir-O-Ru-Tm,0.0,-2.607930883666667,0.0,5,Hexagonal,6mm,P6_3mc,oxide,,Ba,"Ru, Ir",,,B,O,I,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.1939442483851823
mp-1228529,Ba2SrTm6O12,2.1225453737069166,0.2288495600944699,Octahedron,1,3d,1,"[1.549534215723958, 1.238790438208644]",0.0,1.394162326966301,AB2C6D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Ba-O-Sr-Tm,0.035518972936509,-3.7237142995238113,2.4154,4,Trigonal,3,P3,oxide,,"Sr, Ba",,,,B,"O, S",,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.2813835800515303
mp-1228595,Ba2Tm2Zn8O13,1.9156999812979465,0.5125053782011278,"Octahedron, Square pyramid",2,1a,1,"[0.5116729000686211, 0.63294822761728]",0.0,0.5723105638429505,A2B2C8D13,2,2,1,"[5.0, 6.0]","[5.0, 6.0]",5.5,5.0,6.0,5.5,5.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Ba-O-Tm-Zn,0.039719105833331,-2.394862740600001,1.621299999999999,4,Monoclinic,m,Cm,oxide,,Ba,Zn,,,B,O,,,Tm,,"B $\in$ [0.5, 1]",Positive B,2.232912489963088
mp-12933,TmTaO4,2.1168398432809346,0.2699254415310559,Square antiprism,1,2e,1,[2.186197879929002],0.0,2.186197879929002,ABC4,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,O-Ta-Tm,0.0,-3.6069773287222233,4.0758,3,Monoclinic,2/m,P2/c,oxide,,,Ta,,,,O,,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.330163857809138
mp-13374,LaTmO3,2.3529116316245693,-0.154455896437731,Octahedron,1,4b,1,[0.11610506191800601],0.0,0.11610506191800601,ABC3,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",GGA,La-O-Tm,0.020490914375002,-3.8607842402499952,4.414,3,Orthorhombic,mmm,Pnma,oxide,,,,,,,O,,,"La, Tm",,"B $\in$ [-1, -0.1]",Negative B,2.240146648052973
mp-14322,Ba3Tm4O9,2.394846755570025,-0.1912201979506365,"Octahedron, Trigonal prism",2,1a,1,"[0.41177648067333006, 0.364324455180066, 0.47652119263499704, 0.43654938271528904]",0.0,0.42229287780092056,A3B4C9,2,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Ba-O-Tm,0.0,-3.625455054062501,3.2767,3,Trigonal,3,R3,oxide,,Ba,,,,B,O,,,Tm,,"B $\in$ [-1, -0.1]",Negative B,2.2609619996293606
mp-14385,Ba3Tm(BO3)3,2.0005681582778942,0.2977220493641887,Octahedron,1,"4b, 2a",2,"[0.126141177491977, 0.161980295403701]",0.0,0.144060736447839,AB3C3D9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",r2SCAN,B-Ba-O-Tm,0.0,-3.315729301302055,3.8436,4,Hexagonal,6mm,P6_3cm,orthoborate,,Ba,,,,B,O,,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.2071315090514303
mp-14708,Tm2Ge2O7,1.6975483099979212,0.790903004048064,Square-face capped trigonal prism,1,8b,1,[3.499936294276724],0.0,3.499936294276724,A2B2C7,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",r2SCAN,Ge-O-Tm,0.0,-3.085245870681819,3.725,3,Tetragonal,422,P4_12_12,oxide,,,,,,Ge,O,,,Tm,,"B $\in$ [0.5, 1]",Positive B,2.2922201618705773
mp-15066,LiTmSiO4,2.008611133957855,0.3797821888502173,Octahedron,1,4c,1,[1.965612121761875],0.0,1.965612121761875,ABCD4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",GGA,Li-O-Si-Tm,0.0,-3.440315098690477,4.8668,4,Orthorhombic,mmm,Pnma,silicate,Li,,,,,Si,"O, S",,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.2453837095070797
mp-15382,TmP5O14,2.1985110680735493,0.1352831021574513,"Dodecahedron with triangular faces - p2345 plane normalized, Square antiprism",2,2e,1,"[0.8783056817381251, 1.127309343338005]",0.0,1.002807512538065,AB5C14,2,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",GGA,O-P-Tm,0.0,-2.832076116785713,5.4384000000000015,3,Monoclinic,2/m,C2/c,oxide,,,,,,,"O, P",,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.3322027655337383
mp-16591,Tm4Si2S3O7,2.121497759409916,0.2628422779384432,"Trigonal prism, Tricapped triangular prism (three square-face caps)",2,"8g, 8h",2,"[1.711579027808281, 1.563517284181866]",0.0,1.6375481559950735,A2B3C4D7,2,2,1,"[9.0, 6.0]","[6.0, 3.0]",7.5,6.0,9.0,4.5,3.0,6.0,3.0,3.0,3.0,2.0,2,2,"O2-, S2-","Lanthanides, Metalloids, Nonmetals",GGA,O-S-Si-Tm,0.043018153841146,-3.253322009843751,2.748999999999999,4,Tetragonal,4/mmm,I4_1/amd,oxide,,,,,,Si,"O, S",,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.386632890939746
mp-16605,Sr2TmTaO6,2.214322374020876,0.012373883133753,Octahedron,1,2b,1,[0.027670513377093003],0.0,0.027670513377093003,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA,O-Sr-Ta-Tm,0.0,-3.6324212707333343,3.8819,4,Monoclinic,2/m,P2_1/c,oxide,,Sr,Ta,,,,"O, S",,,Tm,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.222917831559951
mp-17395,TmCu(BO2)5,1.7942079387744592,0.5585633932626284,Dodecahedron with triangular faces - p2345 plane normalized,1,2b,1,[1.602365816057537],0.0,1.602365816057537,ABC5D10,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,B-Cu-O-Tm,0.007853055674017,-2.820029439460785,0.5997,4,Orthorhombic,mmm,Ibam,metaborate,,,Cu,,,B,"C, O",,,Tm,,"B $\in$ [0.5, 1]",Positive B,2.3569839773352683
