material_id,chem_formula,R$_0$,B,Tm_chemenv,num_Tm_chemenvs,Tm_wyckoff,num_Tm_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Tm_sites,num_CN_env,num_charge_states,TmX_coordn,TmO_coordn,mean_coordn_Tm-X,min_coordn_Tm-X,max_coordn_Tm-X,mean_coordn_Tm-O,min_coordn_Tm-O,max_coordn_Tm-O,mean_Tm_charge,min_Tm_charge,max_Tm_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_TmO_BondL
mp-17475,TmCu(WO4)2,2.248970199436342,-0.0048252881568256,Octahedron,1,2e,1,[0.8195537339058491],0.0,0.8195537339058491,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Cu-O-Tm-W,0.037810486197921,-2.39106424625,1.1147,4,Monoclinic,2/m,P2/c,oxide,,,"Cu, W",,,,"C, O",,,Tm,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.245369084376581
mp-17704,Tm2SiO5,1.8777805709378697,0.5325818168401352,"Pentagonal bipyramid, Face-capped octahedron",2,4e,1,"[3.699767442154865, 2.831032245998924]",0.0,3.2653998440768945,AB2C5,2,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",r2SCAN,O-Si-Tm,0.0,-3.7238467440625023,4.6073,3,Monoclinic,2/m,P2_1/c,oxide,,,,,,Si,"O, S",,,Tm,,"B $\in$ [0.5, 1]",Positive B,2.296216530381608
mp-18318,Tm2Si2O7,1.9591889098452464,0.4073617250314894,"Octahedron, Square-face capped trigonal prism, Square-face bicapped trigonal prism",3,2i,1,"[2.6172627692514, 2.987381844846523, 2.182385217143784, 2.320024354015963]",0.0,2.5267635463144176,A2B2C7,3,3,1,"[6.0, 7.0, 8.0]","[6.0, 7.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",SCAN,O-Si-Tm,0.036575726818162,-3.542183865000006,4.9405,3,Triclinic,-1,P-1,oxide,,,,,,Si,"O, S",,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.3241566910338833
mp-18576,Tm2Cu(B2O5)2,2.0102456757632066,0.3559139705948425,Square antiprism,1,4e,1,[1.458295298265212],0.0,1.458295298265212,AB2C4D10,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,B-Cu-O-Tm,0.003653376341922,-3.035146655392158,0.6744,4,Monoclinic,2/m,P2_1/c,diborate,,,Cu,,,B,"C, O",,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.367793560093732
mp-18629,NaTmGeO4,1.834888788512674,0.6541629991083296,Octahedron,1,4c,1,[2.325132312710311],0.0,2.325132312710311,ABCD4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",GGA,Ge-Na-O-Tm,0.0,-2.895737338054187,3.6137,4,Orthorhombic,mmm,Pnma,oxide,Na,,,,,Ge,"N, O",,,Tm,,"B $\in$ [0.5, 1]",Positive B,2.2638551455559655
mp-18756,BaTm2NiO5,1.890346697763781e-05,2.8184717658741625,Square-face capped trigonal prism,1,2i,1,[2.325906482899344],0.0,2.325906482899344,ABC2D5,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Ba-Ni-O-Tm,0.022402691722209,-3.158775417222224,0.0,4,Orthorhombic,mmm,Immm,oxide,,Ba,Ni,,,B,"N, O",,,Tm,,B > 1,Positive B,2.334579675622421
mp-19002,TmNiO3,1.048847167010551,1.439407991648442,Square-face bicapped trigonal prism,1,4c,1,[1.39969946506096],0.0,1.39969946506096,ABC3,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Ni-O-Tm,0.006808182416667,-2.526711635000001,0.0,3,Orthorhombic,mmm,Pnma,oxide,,,Ni,,,,"N, O",,,Tm,,B > 1,Positive B,2.3477999248343817
mp-19036,Tm2V2O7,1.6893975350506427,0.657853308810995,Cube,1,4c,1,[1.796214756929247],0.0,1.796214756929247,A2B2C7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,O-Tm-V,0.003586823181819,-3.259915154545456,0.0,3,Cubic,m-3m,Fd-3m,oxide,,,V,,,,O,,,Tm,,"B $\in$ [0.5, 1]",Positive B,2.3454382382274894
mp-19483,TmFeGe2O7,1.7339422080192868,0.7536915707067047,Octahedron,1,2g,1,[6.8522675199450145],1.0,6.8522675199450145,ABC2D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Fe-Ge-O-Tm,0.026353479659087,-2.492423580454545,0.0,4,Monoclinic,2/m,C2/m,oxide,,,Fe,,,Ge,O,F,,Tm,,"B $\in$ [0.5, 1]",Positive B,2.2608346817855134
mp-2017426,Ba3Tm4O9,1.830611595870525,0.5867372755834566,"Octahedron, Trigonal prism",2,1a,1,"[0.38367724075180304, 0.386480763389677, 0.42304764814466905, 0.42453140419455204]",0.0,0.4044342641201753,A3B4C9,2,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",r2SCAN,Ba-O-Tm,0.0,-3.5466282934375,3.7874,3,Trigonal,32,R32,oxide,,Ba,,,,B,O,,,Tm,,"B $\in$ [0.5, 1]",Positive B,2.237610262781925
mp-20651,TmFeO3,0.5435003324725629,2.1033451069660822,Square-face bicapped trigonal prism,1,4c,1,[1.642568572844235],0.0,1.642568572844235,ABC3,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",GGA_U,Fe-O-Tm,0.02430563525,-2.874276493000002,1.6368,3,Orthorhombic,mmm,Pnma,oxide,,,Fe,,,,O,F,,Tm,,B > 1,Positive B,2.420357412671864
mp-2207479,Tm3SbO7,1.949745746994708,0.4472714532722793,"Cube, Pentagonal bipyramid",2,"4c, 2a",2,"[3.901930406529123, 1.101462540426627]",0.0,2.501696473477875,AB3C7,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",r2SCAN,O-Sb-Tm,0.0,-3.345131970909092,3.7679,3,Orthorhombic,mmm,Cmcm,oxide,,,,,,Sb,"O, S",,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.336629328879977
mp-22202,BaTm2CuO5,1.549519606301838,0.914669899079642,Square-face capped trigonal prism,1,4c,1,"[2.175881736511624, 1.920249896003874]",0.0,2.048065816257749,ABC2D5,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Cu-O-Tm,0.035183147500002,-3.122397166111112,0.0,4,Orthorhombic,mmm,Pnma,oxide,,Ba,Cu,,,B,"C, O",,,Tm,,"B $\in$ [0.5, 1]",Positive B,2.3122360194593554
mp-2763937,Tm2GeO5,1.8825499240016808,0.5163476611798581,"Pentagonal bipyramid, Face-capped octahedron",2,4e,1,"[4.089247212327299, 2.402671321276156]",0.0,3.2459592668017274,AB2C5,2,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",r2SCAN,Ge-O-Tm,0.000189526875008,-3.40807589687501,3.6773,3,Monoclinic,2/m,P2_1/c,oxide,,,,,,Ge,O,,,Tm,,"B $\in$ [0.5, 1]",Positive B,2.295820089583999
mp-31123,Tm2MoO6,2.1491160142660943,0.2166878945782881,"Cube, Square antiprism",2,"4f, 2e",2,"[3.60886058846551, 3.030702254577852, 1.69093493965048]",0.0,2.7768325942312804,AB2C6,2,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Mo-O-Tm,0.0,-3.208992745277777,2.091,3,Monoclinic,2/m,C2/c,oxide,,,Mo,,,,O,,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.351348424247676
mp-3334,Tm2Sn2O7,1.8513974340186727,0.5492570538063888,Cube,1,4d,1,[1.235514698414361],0.0,1.235514698414361,A2B2C7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals",r2SCAN,O-Sn-Tm,0.0,-3.032940869545466,2.6576,3,Cubic,m-3m,Fd-3m,oxide,,,,,Sn,,"O, S",,,Tm,,"B $\in$ [0.5, 1]",Positive B,2.399140643630564
mp-38418,Tm2Ti2O7,1.71744216769339,0.6721966752978747,Cube,1,4d,1,[1.8083692426420042],0.0,1.8083692426420042,A2B2C7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,O-Ti-Tm,0.021351836136378,-3.677384460075744,2.6252999999999997,3,Cubic,m-3m,Fd-3m,oxide,,,Ti,,,,O,,,Tm,,"B $\in$ [0.5, 1]",Positive B,2.3877889564168653
mp-510134,BaTm2NiO5,2.1132811417479576,0.252933075343276,Square-face capped trigonal prism,1,4c,1,"[1.551635953093374, 2.116592676038368]",0.0,1.8341143145658712,ABC2D5,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Ba-Ni-O-Tm,0.004238226444432,-3.176939882500002,1.5393,4,Orthorhombic,mmm,Pnma,oxide,,Ba,Ni,,,B,"N, O",,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.316226972532086
mp-541168,RbTm(PO3)4,1.877247224888108,0.4788580758851467,Square antiprism,1,4e,1,[0.386500721923386],0.0,0.386500721923386,ABC4D12,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,O-P-Rb-Tm,0.008673799374999,-2.92147121561508,5.4711,4,Monoclinic,2/m,P2_1/c,phosphite,Rb,,,,,,"O, P",,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.3483141674683283
mp-542767,Sr2TmRuO6,2.1797243530218253,0.0267747737926211,Octahedron,1,2b,1,[0.014748274915691001],0.0,0.014748274915691001,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA,O-Ru-Sr-Tm,0.0,-2.8894845945,0.0,4,Monoclinic,2/m,P2_1/c,oxide,,Sr,Ru,,,,"O, S",,,Tm,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.1983233807429166
mp-554211,TmMnO3,2.0721806876028688,0.2303969329360121,Face-capped octahedron,1,"4b, 2a",2,"[2.875774964932055, 3.209057065447311]",0.0,3.042416015189683,ABC3,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Mn-O-Tm,0.0,-3.098161968586209,0.0,3,Hexagonal,6mm,P6_3cm,oxide,,,Mn,,,,O,,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.270357091970182
mp-554270,TmMnO3,1.0009566491736177,1.565814205899797,Square-face bicapped trigonal prism,1,4c,1,[1.452189750953568],0.0,1.452189750953568,ABC3,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Mn-O-Tm,0.041078848500001,-3.057083120086209,2.007599999999999,3,Orthorhombic,mmm,Pnma,oxide,,,Mn,,,,O,,,Tm,,B > 1,Positive B,2.407915941060566
mp-555109,TmNbO4,2.2914850481767743,0.061561690326233,Square antiprism,1,2e,1,[2.8244902105390013],0.0,2.8244902105390013,ABC4,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Nb-O-Tm,0.0,-3.5836585325,3.428,3,Monoclinic,2/m,C2/c,oxide,,,Nb,,,,"N, O",,,Tm,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.3169704827590025
mp-555236,Tm2Te5O13,2.305899646051858,-0.0015680197476695,"Dodecahedron with triangular faces - p2345 plane normalized, Pentagonal bipyramid",2,2i,1,"[1.300726112208933, 1.770368217148984]",0.0,1.5355471646789587,A2B5C13,2,2,1,"[6.0, 8.0]","[6.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",r2SCAN,O-Te-Tm,0.0,-2.205418816916668,3.0101,3,Triclinic,-1,P-1,oxide,,,,,,Te,O,,,Tm,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.3000192510044606
mp-555421,Na3TmSi2O7,2.4616671389623126,-0.3214433919557078,"Octahedron, Trigonal prism",2,"2b, 2a",2,"[0.104197354196704, 0.021768147741046, 0.20470466527824202]",0.0,0.11022338907199734,AB2C3D7,2,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",GGA,Na-O-Si-Tm,0.0,-3.064922186856765,3.96,4,Hexagonal,6,P6_3,oxide,Na,,,,,Si,"N, O, S",,,Tm,,"B $\in$ [-1, -0.1]",Negative B,2.238798511203603
mp-555716,Tm2Ru2O7,1.785819620340326,0.5883479266717833,Cube,1,4d,1,[1.432342197257362],0.0,1.432342197257362,A2B2C7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,O-Ru-Tm,0.043792458863631,-2.610419896363638,0.0,3,Cubic,m-3m,Fd-3m,oxide,,,Ru,,,,O,,,Tm,,"B $\in$ [0.5, 1]",Positive B,2.3725476139689405
mp-556253,Tm2O3,1.8684115650022364,0.565345600786028,"Octahedron, Square-face capped trigonal prism",2,2i,1,"[1.634646012096474, 2.219386522359912, 1.2656421098153992]",0.0,1.7065582147572618,A2B3,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",r2SCAN,O-Tm,0.03859901858333,-3.988920048666667,4.1691,2,Monoclinic,2/m,C2/m,oxide,,,,,,,O,,,Tm,,"B $\in$ [0.5, 1]",Positive B,2.2981688405595646
mp-556414,CsTmSeCl2O3,1.9987382195592407,0.3620170339063944,Pentagonal bipyramid,1,4e,1,[1.692268390272319],0.0,1.692268390272319,ABCD2E3,1,1,1,[7.0],[5.0],7.0,7.0,7.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,2,2,"Cl-, O2-","Alkali Metals, Halogens, Lanthanides, Nonmetals",r2SCAN,Cl-Cs-O-Se-Tm,0.0,-2.445301208062367,4.3242,5,Monoclinic,2/m,P2_1/c,oxide,Cs,,,,,,"C, O, S, Se",Cl,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.2957642900304327
mp-557086,TmMoO4F,2.162921488571008,0.1759633893004606,Square antiprism,1,4e,1,[1.684614351635144],0.0,1.684614351635144,ABCD4,1,1,1,[8.0],[6.0],8.0,8.0,8.0,6.0,6.0,6.0,3.0,3.0,3.0,2.0,2,2,"F-, O2-","Halogens, Lanthanides, Nonmetals, Transition Metals",GGA_U,F-Mo-O-Tm,0.0,-3.006063736785715,3.7173,4,Monoclinic,2/m,P2_1/c,fluoride,,,Mo,,,,O,F,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.3467165110141224
mp-557354,Tm2Te4O11,2.222163773303876,0.1474595555847729,Square-face bicapped trigonal prism,1,4f,1,[1.579722626282233],0.0,1.579722626282233,A2B4C11,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",r2SCAN,O-Te-Tm,0.003265863382355,-2.313014958627451,3.2247,3,Monoclinic,2/m,C2/c,oxide,,,,,,Te,O,,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.337947905042834
mp-557457,TmSeO3F,1.901156988993364,0.5153687413926684,Square-face bicapped trigonal prism,1,4e,1,[3.078200010518268],0.0,3.078200010518268,ABCD3,1,1,1,[8.0],[6.0],8.0,8.0,8.0,6.0,6.0,6.0,3.0,3.0,3.0,2.0,2,2,"F-, O2-","Halogens, Lanthanides, Nonmetals",GGA,F-O-Se-Tm,0.0,-2.826438744557293,4.3012,4,Monoclinic,2/m,P2_1/c,fluoride,,,,,,,"O, S, Se",F,,Tm,,"B $\in$ [0.5, 1]",Positive B,2.4056580974927786
mp-558400,TmFeO3,1.9559838338756703,0.3690348094467369,Face-capped octahedron,1,"4b, 2a",2,"[2.694572347616155, 3.044722889660617]",0.0,2.869647618638386,ABC3,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",r2SCAN,Fe-O-Tm,0.009748756583332,-2.888833371666667,0.0,3,Hexagonal,6mm,P6_3cm,oxide,,,Fe,,,,O,F,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.2722066500868996
mp-558516,TmSeClO3,1.928491947861848,0.4075599290684236,Pentagonal bipyramid,1,4c,1,[1.4551032042382341],0.0,1.4551032042382341,ABCD3,1,1,1,[7.0],[5.0],7.0,7.0,7.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,2,2,"Cl-, O2-","Halogens, Lanthanides, Nonmetals",GGA,Cl-O-Se-Tm,0.0,-2.500066126223959,4.336799999999999,4,Orthorhombic,mmm,Pnma,chlorate,,,,,,,"C, O, S, Se",Cl,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.2729627348107386
mp-558534,Tm3B5O12,1.9397435694043643,0.3805963211288233,Square antiprism,1,"4e, 8i",2,"[2.027796344723621, 0.913737652807822]",0.0,1.4707669987657215,A3B5C12,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",r2SCAN,B-O-Tm,0.0,-3.376162679666668,5.3919,3,Orthorhombic,mmm,Pmna,oxide,,,,,,B,O,,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.3271953164657124
mp-559178,TmMoClO4,1.5999559561612062,0.8060909535706351,Dodecahedron with triangular faces - p2345 plane normalized,1,2i,1,[0.847985448689293],0.0,0.847985448689293,ABCD4,1,1,1,[8.0],[6.0],8.0,8.0,8.0,6.0,6.0,6.0,3.0,3.0,3.0,2.0,2,2,"Cl-, O2-","Halogens, Lanthanides, Nonmetals, Transition Metals",GGA_U,Cl-Mo-O-Tm,0.0,-2.685964126428572,2.6792,4,Monoclinic,2/m,C2/m,perchlorate,,,Mo,,,,"C, O",Cl,,Tm,,"B $\in$ [0.5, 1]",Positive B,2.384042097767083
mp-561954,TmCoO3,1.1087998537862969,1.4046200360392254,Square-face bicapped trigonal prism,1,4c,1,[1.324857467501718],0.0,1.324857467501718,ABC3,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Co-O-Tm,0.022681563464287,-2.637331035000001,1.188599999999999,3,Orthorhombic,mmm,Pnma,oxide,,,Co,,,,"C, O",,,Tm,,B > 1,Positive B,2.3754719277755134
mp-6054,Ba5Tm8Zn4O21,2.7466886436591875,-0.4679240056814109,Square-face capped trigonal prism,1,4h,1,"[1.597525798807574, 2.367695506896584]",0.0,1.982610652852079,A4B5C8D21,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Ba-O-Tm-Zn,0.016919859013157,-3.282880889078951,3.359,4,Tetragonal,4/m,I4/m,oxide,,Ba,Zn,,,B,O,,,Tm,,"B $\in$ [-1, -0.1]",Negative B,2.327260562980725
mp-6250,BaTm2ZnO5,2.287978064518236,0.0490649495600269,Square-face capped trigonal prism,1,4c,1,"[2.15966937178427, 1.648602010638714]",0.0,1.9041356912114922,ABC2D5,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Ba-O-Tm-Zn,0.026635475185181,-3.296926820833334,3.0578,4,Orthorhombic,mmm,Pnma,oxide,,Ba,Zn,,,B,O,,,Tm,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.3224285233678117
mp-677391,Tm4Zr3O12,1.8736295042285465,0.496002016798479,Square-face capped trigonal prism,1,2i,1,"[4.060358714842262, 4.330625340788382, 3.9350338368976603, 4.331931815188579]",0.0,4.16448742692922,A3B4C12,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,O-Tm-Zr,0.003152824736844,-3.93503676973684,4.1813,3,Triclinic,-1,P-1,oxide,,,Zr,,,,O,,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.289446236289637
mp-680717,Tm(BO2)3,1.8662271762849567,0.54174578830399,"Bicapped octahedron (cap faces with one atom in common), Square-face bicapped trigonal prism, Square antiprism",3,4c,1,"[2.381550806400851, 3.219190885945532, 6.404221040899578, 2.67209806105336]",0.25,3.66926519857483,AB3C6,3,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",GGA,B-O-Tm,0.0,-3.2024767715625,5.8407,3,Orthorhombic,mmm,Pnma,metaborate,,,,,,B,O,,,Tm,,"B $\in$ [0.5, 1]",Positive B,2.3903547785611368
mp-729272,Tm2Te5O13,2.3399224006933657,0.0027129451742649,"Dodecahedron with triangular faces - p2345 plane normalized, Pentagonal bipyramid",2,1a,1,"[1.348540529442789, 1.349594904990178, 1.412090939801238, 1.9610897780703551]",0.0,1.5178290380761401,A2B5C13,2,3,1,"[6.0, 7.0, 8.0]","[6.0, 7.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",GGA,O-Te-Tm,0.047938552250001,-2.157480264666667,2.8923,3,Triclinic,1,P1,oxide,,,,,,Te,O,,,Tm,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.3427466877768914
mp-752406,Rb3TmO3,1.9605693998536728,0.5085392996013687,Tetrahedron,1,4e,1,[1.502873714590046],0.0,1.502873714590046,AB3C3,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",r2SCAN,O-Rb-Tm,0.001614600000002,-2.248256205357143,2.1734,3,Monoclinic,2/m,P2_1/c,oxide,Rb,,,,,,O,,,Tm,,"B $\in$ [0.5, 1]",Positive B,2.1084319073724087
mp-752411,Tm2Pb2O7,2.06560902848926,0.3576378491867787,Cube,1,4c,1,[0.542047766285788],0.0,0.542047766285788,A2B2C7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals",GGA,O-Pb-Tm,0.021082372954546,-2.5469400550000003,1.1489,3,Cubic,m-3m,Fd-3m,oxide,,,,,Pb,,"O, P",,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.422264115416474
mp-752579,Tm2TiO5,2.288937569527954,-0.0018427017005161,Face-capped octahedron,1,4c,1,"[2.814830414191353, 3.063737090578963]",0.0,2.9392837523851583,AB2C5,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,O-Ti-Tm,0.0,-3.808250822395834,3.2759,3,Orthorhombic,mmm,Pnma,oxide,,,Ti,,,,O,,,Tm,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.289870084995084
mp-752684,BaTm2O4,1.9209207930305463,0.5608298354231545,Octahedron,1,4f,1,[0.9190739256148571],0.0,0.9190739256148571,AB2C4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Ba-O-Tm,0.041630642976189,-3.694447708571431,2.8878999999999992,3,Orthorhombic,mmm,Cmcm,oxide,,Ba,,,,B,O,,,Tm,,"B $\in$ [0.5, 1]",Positive B,2.2939157802273145
mp-754971,Cs3TmO3,2.204457698362231,-0.3105138732092868,Tetrahedron,1,2i,1,[1.633647765612476],0.0,1.633647765612476,AB3C3,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",r2SCAN,Cs-O-Tm,0.010128094642858,-2.158447895714285,2.267,3,Monoclinic,2/m,C2/m,oxide,Cs,,,,,,"C, O",,,Tm,,"B $\in$ [-1, -0.1]",Negative B,2.10993787165535
