material_id,chem_formula,R$_0$,B,S_chemenv,num_S_chemenvs,S_wyckoff,num_S_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_S_sites,num_CN_env,num_charge_states,SX_coordn,SO_coordn,mean_coordn_S-X,min_coordn_S-X,max_coordn_S-X,mean_coordn_S-O,min_coordn_S-O,max_coordn_S-O,mean_S_charge,min_S_charge,max_S_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_SO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-505139,TiH2SO6,1.5099607986384438,0.06079068984278202,Tetrahedron,1,4a,1,[0.024018928477342],0.0,0.024018928477342,ABC2D6,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",1.4863081151430226,GGA,H-O-S-Ti,0.006459188000005001,-2.159825845083333,2.5139,4,Orthorhombic,222,P2_12_12_1,oxide,None,None,Ti,None,None,None,"H, O, S",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-505274,Na2SO4,1.6848538809323084,0.5121315659995646,Tetrahedron,1,4c,1,[0.004846051193753],0.0,0.004846051193753,AB2C4,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",1.477253053576876,r2SCAN,Na-O-S,0.006119667142850001,-1.9899066796874991,5.0327,3,Orthorhombic,mmm,Pnma,sulfate,Na,None,None,None,None,None,"N, O, S",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-505281,CsSbS6(O3F)6,1.5893043887012392,0.2780225168433154,"Tetrahedron, Octahedron",2,"6f, 1b",2,"[0.19978227457876002, 0.329022101972114]",0.0,0.26440218827543704,ABC6D6E18,2,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,2.0,2,2,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals",1.4544338839328081,r2SCAN,Cs-F-O-S-Sb,0.0,-1.9339159529579741,2.6292,5,Trigonal,-3,R-3,fluoride,Cs,None,None,None,None,Sb,"C, O, S",F,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-505481,MnH4S2O9,1.5823508518325853,0.22441022967329358,Tetrahedron,1,4e,1,"[0.12491824570731301, 0.16454769888546703]",0.0,0.14473297229639,AB2C4D9,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",1.4963723134044722,GGA_U,H-Mn-O-S,0.0013307557812440001,-1.694291797995689,4.5401,4,Monoclinic,2/m,P2_1/c,oxide,None,None,Mn,None,None,None,"H, O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-505603,Pb5SO8,1.409362203633771,-0.18025432331382082,Tetrahedron,1,4e,1,[0.010000719566823],0.0,0.010000719566823,AB5C8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals",1.4824198799327308,r2SCAN,O-Pb-S,0.0,-1.6805810569642832,2.703199999999999,3,Monoclinic,2/m,P2_1/c,oxide,None,None,None,None,Pb,None,"O, P, S",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-510452,CeHSO5,1.6045949693943093,0.2868281910632067,Tetrahedron,1,4e,1,[0.015578705863072001],0.0,0.015578705863072001,ABCD5,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",1.4886210841048,GGA,Ce-H-O-S,0.010952353593746,-2.482910904843749,0.0,4,Monoclinic,2/m,P2_1/c,oxide,None,None,None,None,None,None,"H, C, O, S",None,None,Ce,None,"B $\in$ [0.1, 0.5]",Positive B
mp-510526,Na2NiH8(SO6)2,1.6102158874503716,0.2844376998175155,Tetrahedron,1,4e,1,[0.024924358530064],0.0,0.024924358530064,AB2C2D8E12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.4950723956137453,GGA_U,H-Na-Ni-O-S,0.0,-1.6552473147103441,4.58,5,Monoclinic,2/m,P2_1/c,oxide,Na,None,Ni,None,None,None,"H, N, O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-510545,K2BeH4(SO5)2,1.5671495726480682,0.18141662332120104,Tetrahedron,1,4e,1,"[0.028258475293811, 0.047088166993569006]",0.0,0.03767332114369,AB2C2D4E10,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",1.4941610477375677,GGA,Be-H-K-O-S,0.0,-1.992458496552632,5.4383,5,Monoclinic,2/m,P2_1/c,oxide,K,Be,None,None,None,B,"H, O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-510629,K2Co3H6S3O16,1.5041296652986251,0.026630333350486625,Tetrahedron,1,"4b, 2a",2,"[0.012726193123635002, 0.01771578061229]",0.0,0.015220986867962501,A2B3C3D6E16,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.4924179364672838,GGA_U,Co-H-K-O-S,0.012852817733334,-1.694763989483333,0.024200000000000003,5,Orthorhombic,mm2,Cmc2_1,oxide,K,None,Co,None,None,None,"H, C, O, S",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-510730,K2FeH12(SO7)2,1.4863325000224312,-0.024418025297731266,Tetrahedron,1,4e,1,[0.009576584879219],0.0,0.009576584879219,AB2C2D12E14,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",1.496154474456301,GGA_U,Fe-H-K-O-S,0.00044328290321500005,-1.6216568194999992,1.122599999999999,5,Monoclinic,2/m,P2_1/c,oxide,K,None,Fe,None,None,None,"H, O, S",F,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
