material_id,chem_formula,R$_0$,B,Pr_chemenv,num_Pr_chemenvs,Pr_wyckoff,num_Pr_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Pr_sites,num_CN_env,num_charge_states,PrX_coordn,PrO_coordn,mean_coordn_Pr-X,min_coordn_Pr-X,max_coordn_Pr-X,mean_coordn_Pr-O,min_coordn_Pr-O,max_coordn_Pr-O,mean_Pr_charge,min_Pr_charge,max_Pr_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_PrO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-556092,Pr2Te4MoO14,2.346729544295869,0.16305634414877443,"Hexagonal bipyramid, Tricapped triangular prism (three square-face caps)",2,2i,1,"[2.572353878800156, 6.464454098707153]",0.5,4.518403988753654,AB2C4D14,2,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",2.5257771357380934,GGA_U,Mo-O-Pr-Te,0.0,-2.2219475714285712,3.266899999999999,4,Triclinic,-1,P-1,oxide,None,None,Mo,None,None,Te,"O, P",None,None,Pr,None,"B $\in$ [0.1, 0.5]",Positive B
mp-556450,PrB2ClO4,2.614953503793192,0.03928994779742091,Square-face bicapped square antiprism,1,2i,1,[3.4438358114598993],0.0,3.4438358114598993,ABC2D4,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,2.0,2,2,O2-,"Halogens, Lanthanides, Metalloids, Nonmetals",2.5942737228971615,r2SCAN,B-Cl-O-Pr,0.0,-2.911424569895832,5.0695,4,Triclinic,-1,P-1,perchlorate,None,None,None,None,None,B,"C, O, P",Cl,None,Pr,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-556474,Pr2B2MoO9,2.1329737107524585,0.40098440420514897,Square antiprism,1,2i,1,"[3.797944296766306, 0.8621692092738791]",0.0,2.3300567530200924,AB2C2D9,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",2.525708149963943,GGA_U,B-Mo-O-Pr,0.008752848035728001,-3.044116537619047,3.3843,4,Triclinic,-1,P-1,oxide,None,None,Mo,None,None,B,"O, P",None,None,Pr,None,"B $\in$ [0.1, 0.5]",Positive B
mp-556737,Pr6Ti2S7O6,2.111215740733087,0.4622510216725221,"Square-face bicapped trigonal prism, Face-capped octahedron, Tricapped triangular prism (three square-face caps)",3,2e,1,"[2.218087152729489, 0.9300251197469571, 1.400284839746646, 0.6715257297085471, 3.3428438567739, 2.376552753275091]",0.0,1.8232199086634384,A2B6C6D7,3,5,1,"[5.0, 3.0, 4.0, 3.0, 1.0]","[5.0, 3.0, 4.0, 3.0, 1.0]",3.2,1.0,5.0,3.2,1.0,5.0,3.0,3.0,3.0,2.0,2,2,O2-,"Lanthanides, Nonmetals, Transition Metals",2.528217400946355,GGA,O-Pr-S-Ti,0.005608533253957,-2.9469755228174592,1.3441,4,Monoclinic,2/m,P2_1/m,oxide,None,None,Ti,None,None,None,"O, P, S",None,None,Pr,None,"B $\in$ [0.1, 0.5]",Positive B
mp-556938,Pr30Ti24Se58I8O25,2.4187738729469688,0.05828052218556853,Square antiprism,1,"24k, 6e",2,"[1.507126345423801, 1.518172181290113]",0.0,1.512649263356957,A8B24C25D30E58,1,2,1,"[4.0, 2.0]","[4.0, 2.0]",3.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,2.5,2,3,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",2.471882683532245,GGA,I-O-Pr-Se-Ti,0.0,-2.345480533040948,0.17020000000000002,5,Cubic,m-3m,Fm-3m,oxide,None,None,Ti,None,None,None,"O, P, S, Se",I,None,Pr,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-557002,Pr9O16,2.1467934988775736,0.46253818164095933,"Cube, Face-capped octahedron, Square-face capped trigonal prism, Octahedron",4,"2i, 1a",2,"[0.7002798822445511, 4.480899741720745, 4.398337218009836, 2.858037111234409, 4.105917406238237]",0.0,3.308694271889556,A9B16,4,3,1,"[6.0, 7.0, 8.0]","[6.0, 7.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,3.56,3.56,3.56,1.0,1,1,O2-,"Lanthanides, Nonmetals",2.463785345010756,GGA,O-Pr,0.048339843475002,-3.195726989149999,0.0,2,Triclinic,-1,P-1,oxide,None,None,None,None,None,None,"O, P",None,None,Pr,None,"B $\in$ [0.1, 0.5]",Positive B
mp-557074,BaPr2Ti3O10,2.089652073750762,0.47231774529312415,"Bicapped square prism (adjacent faces), Cuboctahedron",2,2c,1,"[1.411622985807967, 2.204958409614431]",0.0,1.808290697711199,AB2C3D10,2,2,1,"[10.0, 8.0]","[10.0, 8.0]",9.0,8.0,10.0,9.0,8.0,10.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",2.6181335068132396,GGA,Ba-O-Pr-Ti,0.0033934742187550003,-3.641620338645833,1.947299999999999,4,Orthorhombic,mmm,Cmcm,oxide,None,Ba,Ti,None,None,B,"O, P",None,None,Pr,None,"B $\in$ [0.1, 0.5]",Positive B
mp-557126,NaPr(Si3O7)2,2.1140315877403077,0.40566907392611223,Square antiprism,1,4g,1,[1.50688385057469],0.0,1.50688385057469,ABC6D14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",2.5344006816019915,GGA,Na-O-Pr-Si,0.0013820153598440002,-3.279038575706635,4.8347000000000016,4,Orthorhombic,mmm,Ibam,oxide,Na,None,None,None,None,Si,"N, O, P, S",None,None,Pr,None,"B $\in$ [0.1, 0.5]",Positive B
mp-557497,Pr2Nb11O30,2.3860164224373133,0.15518423049310764,Bicapped octahedron (opposed cap faces),1,4f,1,[4.474582299591073],0.0,4.474582299591073,A2B11C30,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.5261845713136957,GGA,Nb-O-Pr,0.023369457076402003,-3.143996733565892,0.0,3,Hexagonal,-6m2,P-62c,oxide,None,None,Nb,None,None,None,"N, O, P",None,None,Pr,None,"B $\in$ [0.1, 0.5]",Positive B
mp-558051,Pr3BWO9,1.7911672081531946,0.8253771106781802,Dodecahedron with triangular faces - p2345 plane normalized,1,6c,1,[2.539762633625298],0.0,2.539762633625298,ABC3D9,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",2.5234620862682173,GGA_U,B-O-Pr-W,0.0,-3.311746417083333,3.807799999999999,4,Hexagonal,6,P6_3,oxide,None,None,W,None,None,B,"O, P",None,None,Pr,None,"B $\in$ [0.5, 1]",Positive B
mp-558248,PrTa3O9,2.5035214591265293,0.011869211406922053,Square-face bicapped trigonal prism,1,2e,1,[2.099178705767223],0.0,2.099178705767223,AB3C9,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.5040465346868013,r2SCAN,O-Pr-Ta,0.0,-3.300478533743593,3.1742,3,Monoclinic,2/m,P2_1/m,oxide,None,None,Ta,None,None,None,"O, P",None,None,Pr,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-558373,PrNb3O9,2.5233931427227683,0.015007666406139191,Square-face bicapped trigonal prism,1,4e,1,[1.865375264286056],0.0,1.865375264286056,AB3C9,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.5211697272634517,GGA,Nb-O-Pr,0.007266721758242001,-3.243315032435897,2.848499999999999,3,Monoclinic,2/m,P2_1/c,oxide,None,None,Nb,None,None,None,"N, O, P",None,None,Pr,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-558448,Pr2Ir2O7,1.7637214253204383,0.7229376822229563,Cube,1,4d,1,[1.920796909642283],0.0,1.920796909642283,A2B2C7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",2.484670984156235,r2SCAN,Ir-O-Pr,0.0,-2.404353863939392,0.0,3,Cubic,m-3m,Fd-3m,oxide,None,None,Ir,None,None,None,"O, P",I,None,Pr,None,"B $\in$ [0.5, 1]",Positive B
mp-558801,K2Pr4Cl9O2,2.3334052572660706,0.05293340063033216,Square-face bicapped trigonal prism,1,"4f, 2e",2,"[1.7149750636662882, 2.079082858118933, 1.611279399890259]",0.0,1.80177910722516,A2B2C4D9,1,3,2,"[2.0, 2.0, 2.0]","[2.0, 2.0, 2.0]",2.0,2.0,2.0,2.0,2.0,2.0,2.6666666666666665,2.0,3.0,2.0,2,2,O2-,"Alkali Metals, Halogens, Lanthanides, Nonmetals",2.3791572016580145,GGA,Cl-K-O-Pr,0.038039012222221,-2.809755949186275,0.41950000000000004,4,Monoclinic,2/m,P2_1/m,oxide,K,None,None,None,None,None,"C, O, P",Cl,None,Pr,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-558974,Pr5(RuO6)2,2.4123615382996344,0.04062109730338633,"Square-face capped trigonal prism, Octahedron",2,"2i, 1c",2,"[2.840736625885993, 2.9147873305861793, 0.8950446123597631]",0.0,2.2168561896106453,A2B5C12,2,2,2,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,2.5,2.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.4350692674561376,r2SCAN,O-Pr-Ru,0.0,-2.8817564030701712,0.192199999999999,3,Monoclinic,2/m,C2/m,oxide,None,None,Ru,None,None,None,"O, P",None,None,Pr,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-559104,Pr4B10O21,2.259915091598878,0.303935652214392,Square-face bicapped square antiprism,1,4e,1,"[5.398077740929226, 5.349997392017153, 5.233661392346804, 3.290332276680321]",0.75,4.818017200493376,A4B10C21,1,2,1,"[10.0, 9.0]","[10.0, 9.0]",9.5,9.0,10.0,9.5,9.0,10.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",2.6196878335035954,GGA,B-O-Pr,0.012198551785713002,-3.007946836619047,4.990399999999999,3,Monoclinic,2/m,P2_1/c,oxide,None,None,None,None,None,B,"O, P",None,None,Pr,None,"B $\in$ [0.1, 0.5]",Positive B
mp-559391,Pr3Si2Cl3O7,2.0081157540477856,0.5353583328609657,"Square-face bicapped trigonal prism, Square-face bicapped square antiprism, Tricapped triangular prism (three square-face caps)",3,2a,1,"[1.7261130222818402, 3.2912140052182393, 6.639034359200438]",0.333,3.885453795566839,A2B3C3D7,3,3,1,"[5.0, 5.0, 6.0]","[5.0, 5.0, 6.0]",5.333333333333333,5.0,6.0,5.333333333333333,5.0,6.0,3.0,3.0,3.0,2.0,2,2,O2-,"Halogens, Lanthanides, Metalloids, Nonmetals",2.5418378636450294,GGA,Cl-O-Pr-Si,0.005522113138884,-3.377773632333332,4.8482,4,Monoclinic,2,P2_1,oxide,None,None,None,None,None,Si,"C, O, P, S",Cl,None,Pr,None,"B $\in$ [0.5, 1]",Positive B
mp-559426,Pr2Zr2O7,1.842295795962352,0.7010957025935504,Cube,1,4c,1,[1.742436386601376],0.0,1.742436386601376,A2B2C7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.5414589683935183,r2SCAN,O-Pr-Zr,0.0,-3.774472676666668,3.462099999999999,3,Cubic,m-3m,Fd-3m,oxide,None,None,Zr,None,None,None,"O, P",None,None,Pr,None,"B $\in$ [0.5, 1]",Positive B
mp-559590,PrGeBO5,2.2286558567089325,0.28899754310794074,Tricapped triangular prism (two square-face caps and one triangular-face cap),1,3a,1,"[4.3629063323844175, 4.6871191427491485, 4.520095737957573]",0.0,4.523373737697046,ABCD5,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",2.5623136343609176,SCAN,B-Ge-O-Pr,0.0053378733680560005,-2.9574688682986103,4.000100000000001,4,Trigonal,3,P3_1,oxide,None,None,None,None,None,"B, Ge","O, P",None,None,Pr,None,"B $\in$ [0.1, 0.5]",Positive B
mp-559702,Pr2Ta2Cl2O7,2.2268372480910834,0.2861537991836006,Tricapped triangular prism (three square-face caps),1,2i,1,[2.509434150481376],0.0,2.509434150481376,A2B2C2D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,2.0,2,2,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",2.538089105451022,GGA,Cl-O-Pr-Ta,0.0,-3.427969954076923,3.0662,4,Monoclinic,2/m,C2/m,oxide,None,None,Ta,None,None,None,"C, O, P",Cl,None,Pr,None,"B $\in$ [0.1, 0.5]",Positive B
mp-559719,LiPr(SO4)2,2.031607860459309,0.5016531284535948,Square-face monocapped antiprism,1,4e,1,[3.733392455492873],0.0,3.733392455492873,ABC2D8,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",2.542695992187535,GGA,Li-O-Pr-S,0.0,-2.528483322499999,5.3953,4,Monoclinic,2/m,P2_1/c,sulfate,Li,None,None,None,None,None,"O, P, S",None,None,Pr,None,"B $\in$ [0.5, 1]",Positive B
mp-559756,PrScO3,0.9774548752535468,1.8224209322478864,Square-face bicapped trigonal prism,1,4c,1,[2.154771552672183],0.0,2.154771552672183,ABC3,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.5858179360309586,r2SCAN,O-Pr-Sc,0.0,-3.7906862873333322,4.2605,3,Orthorhombic,mmm,Pnma,oxide,None,None,Sc,None,None,None,"O, P, S",None,None,Pr,None,B > 1,Positive B
mp-560263,Pr4Se3(O5F3)2,2.7372236571050874,-0.1453962626221617,Square-face bicapped square antiprism,1,4f,1,"[3.757034856140266, 3.239730134989419]",0.0,3.498382495564843,A3B4C6D10,1,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,4.0,4.0,4.0,2.0,2,2,O2-,"Halogens, Lanthanides, Nonmetals",2.6226181476155714,GGA,F-O-Pr-Se,0.0,-2.977718611247735,4.005800000000001,4,Monoclinic,2/m,C2/c,fluoride,None,None,None,None,None,None,"O, P, S, Se",F,None,Pr,None,"B $\in$ [-1, -0.1]",Negative B
mp-560569,KPrPdO3,2.503788329112793,0.0302676731906636,Square-face capped trigonal prism,1,2i,1,[4.05520764705701],0.0,4.05520764705701,ABCD3,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",2.5013582422921,GGA,K-O-Pd-Pr,0.006787142062496001,-2.259648028986111,0.597799999999999,4,Monoclinic,2/m,C2/m,oxide,K,None,Pd,None,None,None,"O, P",None,None,Pr,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-560673,NaPr2S2O8F3,1.6027558433635594,0.8423387148923556,Square-face bicapped square antiprism,1,4f,1,[4.179940087140137],0.0,4.179940087140137,AB2C2D3E8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,2.0,2,2,O2-,"Alkali Metals, Halogens, Lanthanides, Nonmetals",2.6129177486930515,GGA,F-Na-O-Pr-S,0.0,-2.9949262818570404,6.1633,5,Monoclinic,2/m,C2/c,fluoride,Na,None,None,None,None,None,"N, O, P, S",F,None,Pr,None,"B $\in$ [0.5, 1]",Positive B
mp-560897,Pr2Mo4O15,2.2668049692740304,0.23227367089019912,"Square-face bicapped trigonal prism, Square-face capped trigonal prism",2,2i,1,"[2.990799898174386, 2.394283531142044]",0.0,2.6925417146582147,A2B4C15,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.493339893421457,GGA_U,Mo-O-Pr,0.023611874464284,-2.482949909206349,3.2004,3,Triclinic,-1,P-1,oxide,None,None,Mo,None,None,None,"O, P",None,None,Pr,None,"B $\in$ [0.1, 0.5]",Positive B
