material_id,chem_formula,R$_0$,B,Mg_chemenv,num_Mg_chemenvs,Mg_wyckoff,num_Mg_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Mg_sites,num_CN_env,num_charge_states,MgX_coordn,MgO_coordn,mean_coordn_Mg-X,min_coordn_Mg-X,max_coordn_Mg-X,mean_coordn_Mg-O,min_coordn_Mg-O,max_coordn_Mg-O,mean_Mg_charge,min_Mg_charge,max_Mg_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_MgO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1020118,MgSiO3,1.645793111043026,0.4523681648403829,Octahedron,1,4a,1,"[0.44193396412089503, 1.550287995581945, 0.38182305472439204, 1.712632823889206]",0.0,1.0216694595791096,ABC3,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",2.1390538369639076,GGA,Mg-O-Si,0.018486247291669002,-3.212551147875,4.800600000000001,3,Orthorhombic,mm2,Pca2_1,oxide,None,Mg,None,None,None,Si,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1020123,MgSiO3,1.6105225232540163,0.5138815619392504,no_data,1,no_data,1,no_data,0.0,no_data,ABC3,2,2,1,"[5.0, 6.0]","[5.0, 6.0]",5.5,5.0,6.0,5.5,5.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",2.1444271126246375,GGA,Mg-O-Si,0.020657474666670003,-3.210379920499999,4.6316,3,Monoclinic,2/m,P2/c,oxide,None,Mg,None,None,None,Si,"O, S",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1020124,MgSiO3,1.5280721727753965,0.5737172090105351,Octahedron,1,4e,1,"[0.41372621880159804, 2.8738075136352492, 0.44804628160583204, 2.064281676936681]",0.0,1.4499654227448402,ABC3,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",2.1544754949581004,GGA,Mg-O-Si,0.010191609166669,-3.220845786,4.8602,3,Monoclinic,2/m,P2_1/c,oxide,None,Mg,None,None,None,Si,"O, S",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1020125,MgSiO3,1.7269659833396933,0.3809387879788343,"Square pyramid, Octahedron",2,4a,1,"[0.42936153170220004, 5.319951964419882, 0.5269353163071361, 2.851664317188176]",0.25,2.2819782824043484,ABC3,2,2,1,"[5.0, 6.0]","[5.0, 6.0]",5.5,5.0,6.0,5.5,5.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",2.124669689573533,GGA,Mg-O-Si,0.01116162841667,-3.219875766749999,4.831,3,Orthorhombic,mm2,Pca2_1,oxide,None,Mg,None,None,None,Si,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1020147,Na2Mg2P3NO9,2.20601121791121,-0.10303478797807186,Octahedron,1,4a,1,"[0.41230128138766703, 1.075338578087325]",0.0,0.743819929737496,AB2C2D3E9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals",2.0923038211503657,GGA,Mg-N-Na-O-P,0.0,-2.680814938334541,5.2409,5,Cubic,23,P2_13,oxide,Na,Mg,None,None,None,None,"N, O, P",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-1020162,Na4Mg3P4O15,1.581849458659922,0.5067226536330421,Octahedron,1,4a,1,"[1.7456515945491202, 3.701246468255654, 2.946836695885886]",0.0,2.7979115862302195,A3B4C4D15,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals",2.140070854092004,GGA,Mg-Na-O-P,0.0,-2.839377823426487,4.9429,4,Orthorhombic,mm2,Pna2_1,oxide,Na,Mg,None,None,None,None,"N, O, P",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1020180,Na2SrMg(PO4)2,2.404896340454814,-0.287950020911178,Octahedron,1,4e,1,[0.26421070183854],0.0,0.26421070183854,ABC2D2E8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals",2.088442103056718,GGA,Mg-Na-O-P-Sr,0.000171755535713,-2.962684391931737,5.2433,5,Monoclinic,2/m,P2_1/c,phosphate,Na,"Mg, Sr",None,None,None,None,"N, O, P, S",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-1020361,MgSiO3,1.7322097885525423,0.3743684374036923,"Square pyramid, Octahedron",2,"4g, 2f, 2e",3,"[0.48634932793246205, 5.508989998044781, 0.552858493696311, 3.2178329428120342, 0.43173803600119603, 8.259853809830435]",0.333,3.0762704347195364,ABC3,2,2,1,"[5.0, 6.0]","[5.0, 6.0]",5.5,5.0,6.0,5.5,5.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",2.1238730005216473,GGA,Mg-O-Si,0.01051417991667,-3.220523215249999,4.7926,3,Monoclinic,2/m,P2/c,oxide,None,Mg,None,None,None,Si,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1020616,RbMgPO4,1.4426074131067321,0.6832659987460181,"Tetrahedron, Square pyramid",2,4a,1,"[0.20417023388687403, 0.413051051324266, 2.90035497757719]",0.0,1.1725254209294433,ABCD4,2,2,1,"[4.0, 5.0]","[4.0, 5.0]",4.5,4.0,5.0,4.5,4.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals",1.9652734492511617,SCAN,Mg-O-P-Rb,0.0,-2.904985484948979,4.6422,4,Orthorhombic,mm2,Pna2_1,phosphate,Rb,Mg,None,None,None,None,"O, P",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1020634,SrMgB2O5,1.714809478889125,0.3555134045063049,Square pyramid,1,4e,1,[0.5545095910905],0.0,0.5545095910905,ABC2D5,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",2.044695526352735,GGA,B-Mg-O-Sr,0.0,-3.118267839537037,4.9917,4,Monoclinic,2/m,P2_1/c,diborate,None,"Mg, Sr",None,None,None,B,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
