material_id,chem_formula,R$_0$,B,Zr_chemenv,num_Zr_chemenvs,Zr_wyckoff,num_Zr_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Zr_sites,num_CN_env,num_charge_states,ZrX_coordn,ZrO_coordn,mean_coordn_Zr-X,min_coordn_Zr-X,max_coordn_Zr-X,mean_coordn_Zr-O,min_coordn_Zr-O,max_coordn_Zr-O,mean_Zr_charge,min_Zr_charge,max_Zr_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_ZrO_BondL
mp-1100803,ZrPbO3,2.0116900771834523,0.370550986905362,Octahedron,1,2c,1,"[0.5852406317052821, 0.514573288398213]",0.0,0.5499069600517476,ABC3,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA,O-Pb-Zr,0.036062705812501,-2.735734189187513,2.6291,3,Monoclinic,m,Pm,oxide,,,Zr,,Pb,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1391070817171483
mp-1100812,Zr4FeBiPb4O15,2.231669303324714,-0.2250751669048822,Octahedron,1,2a,1,"[0.25788388406561, 0.296862752916281, 0.25149165671587903, 0.256639447594936]",0.0,0.2657194353231765,ABC4D4E15,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Halogens, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Bi-Fe-O-Pb-Zr,0.034414068849995,-2.6013954582,2.3058,5,Monoclinic,m,Cc,oxide,,,"Fe, Zr",,"Pb, Bi",B,"O, P",F,,,,"B $\in$ [-1, -0.1]",Negative B,2.134642914556444
mp-1101160,Zr3N2O3,1.948796344879365,0.4071044790547257,Octahedron,1,1a,1,"[3.6915910986828413, 4.485538788065925, 5.029230851738371, 5.79542223282107, 4.261809325872468, 3.7850010887308283]",0.333,4.508098897651917,A2B3C3,1,3,1,"[6.0, 6.0, 6.0]","[2.0, 3.0, 4.0]",6.0,6.0,6.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,2,2,"O2-, N3-","Nonmetals, Transition Metals",r2SCAN,N-O-Zr,0.0,-2.904702305,2.538599999999999,3,Monoclinic,m,Cm,oxide,,,Zr,,,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.152073353947148
mp-1101461,Rb2ZrO3,1.8315475853224137,1.0304870590281778,Square pyramid,1,4c,1,[2.41242671906791],0.0,2.41242671906791,AB2C3,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,O-Rb-Zr,0.0,-2.7505519329166663,3.538599999999999,3,Orthorhombic,mmm,Pnma,oxide,Rb,,Zr,,,,O,,,,,B > 1,Positive B,2.060469320955685
mp-1133317,Na3Zr2Si2PO12,1.871418162412368,0.6056831412972983,Octahedron,1,1a,1,"[0.12061195809735001, 0.27192965347017, 0.11776882938332801, 0.155339195043734, 0.254919465838058, 0.202555078920288, 0.14781907199049502, 0.144375559436038]",0.0,0.17691485152243264,AB2C2D3E12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,Na-O-P-Si-Zr,0.005882833624999,-3.13979349631404,0.0,5,Triclinic,1,P1,oxide,Na,,Zr,,,Si,"N, O, P, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.120193590346222
mp-1133351,Na3Zr2Si2PO12,1.8704722463739607,0.604655485810066,Octahedron,1,1a,1,"[0.26542162258003804, 0.212102527457555, 0.28305956718609704, 0.26363246968375703]",0.0,0.2560540467268618,AB2C2D3E12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,Na-O-P-Si-Zr,0.007590509499999,-3.13808582043904,4.498,5,Triclinic,1,P1,oxide,Na,,Zr,,,Si,"N, O, P, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.1191841858953246
mp-1190186,ZrO2,2.1257347366097585,0.1560017235674587,Square-face capped trigonal prism,1,8c,1,[2.241852243536071],0.0,2.241852243536071,AB2,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,O-Zr,0.013256612916665,-3.768565615416667,3.579399999999999,2,Orthorhombic,mmm,Pbca,oxide,,,Zr,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1632779249638765
mp-1194692,Na2ZrSi6(HO3)6,2.029883870912454,0.1896677622173321,Octahedron,1,4c,1,[0.062643962550348],0.0,0.062643962550348,AB2C6D6E18,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,H-Na-O-Si-Zr,0.008442724797972,-2.6777935726593523,4.9411000000000005,5,Orthorhombic,mmm,Pbcm,oxide,Na,,Zr,,,Si,"H, N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.10704939416315
mp-1194879,CaZrSi6H4O17,2.0489902445441475,0.1444358884262301,Octahedron,1,2e,1,[0.278057489482301],0.0,0.278057489482301,ABC4D6E17,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ca-H-O-Si-Zr,0.013144724166674,-2.936744717241379,4.8014,5,Monoclinic,2/m,C2/m,oxide,,Ca,Zr,,,Si,"H, C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1103398705026186
mp-1195770,LiZr2(AsO4)3,1.80492143067338,0.7304208722251627,Octahedron,1,4c,1,[0.563019967149707],0.0,0.563019967149707,AB2C3D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,As-Li-O-Zr,0.014140145833307,-2.492278307824073,3.6422,4,Trigonal,-3m,R-3c,oxide,Li,,Zr,,,As,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.1025119454449546
