material_id,chem_formula,R$_0$,B,Nd_chemenv,num_Nd_chemenvs,Nd_wyckoff,num_Nd_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Nd_sites,num_CN_env,num_charge_states,NdX_coordn,NdO_coordn,mean_coordn_Nd-X,min_coordn_Nd-X,max_coordn_Nd-X,mean_coordn_Nd-O,min_coordn_Nd-O,max_coordn_Nd-O,mean_Nd_charge,min_Nd_charge,max_Nd_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_NdO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-11691,Nd2HgO4,2.274435009908748,0.2227432643807122,Square-face capped trigonal prism,1,2i,1,"[3.192915190252771, 3.880198037127983]",0.0,3.5365566136903768,AB2C4,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.450499855517669,r2SCAN,Hg-Nd-O,0.0,-2.787892893928573,2.2099,3,Monoclinic,2/m,C2/m,oxide,None,None,Hg,None,None,None,"H, N, O",None,None,Nd,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1173209,Sr4Nd3Ta2Al5O21,1.592752238170291,0.7937153949279123,Cuboctahedron,1,"1a, 2c",2,"[0.033598553748891, 0.031809965169926]",0.0,0.0327042594594085,A2B3C4D5E21,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Post-Transition Metals, Transition Metals",2.7076960048072354,GGA,Al-Nd-O-Sr-Ta,0.029214639285717003,-3.536336247490476,3.194,5,Trigonal,-3m,R-3m,oxide,None,Sr,Ta,None,Al,None,"N, O, S",None,None,Nd,None,"B $\in$ [0.5, 1]",Positive B
mp-1173257,Sr2Nd2MnCuO8,2.334080756934979,0.24460932368704907,Tricapped triangular prism (three square-face caps),1,2i,1,"[2.823469605438043, 2.062179361143271]",0.0,2.442824483290657,ABC2D2E8,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",2.591750620060082,GGA_U,Cu-Mn-Nd-O-Sr,0.024048904234687002,-2.821500970209359,0.0,5,Triclinic,-1,P-1,oxide,None,Sr,"Mn, Cu",None,None,None,"C, N, O, S",None,None,Nd,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1173386,NdCuO3,2.1784568974380045,0.3295610050987948,Square-face bicapped trigonal prism,1,4c,1,[2.014804754902388],0.0,2.014804754902388,ABC3,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.4744795759403844,r2SCAN,Cu-Nd-O,0.020779494499999003,-2.2308290705,0.12299999999999901,3,Orthorhombic,mmm,Pnma,oxide,None,None,Cu,None,None,None,"C, N, O",None,None,Nd,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1173443,NdTa3O9,2.552261712282998,0.08410013634364794,Cuboctahedron,1,2i,1,"[0.903210932776179, 0.69464217287077]",0.0,0.7989265528234746,AB3C9,1,2,1,"[10.0, 11.0]","[10.0, 11.0]",10.5,10.0,11.0,10.5,10.0,11.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.6344057503593517,GGA,Nd-O-Ta,0.011926217307728,-3.294921313807656,2.3229,3,Triclinic,-1,P-1,oxide,None,None,Ta,None,None,None,"N, O",None,None,Nd,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1173450,NdNb3O9,2.5060359867280484,0.07847873304833561,"Diminished icosahedron, Bicapped square prism (adjacent faces)",2,2i,1,"[6.153143899824016, 2.575863565805257]",0.5,4.3645037328146365,AB3C9,2,2,1,"[10.0, 8.0]","[10.0, 8.0]",9.0,8.0,10.0,9.0,8.0,10.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.5871630726608483,GGA,Nb-Nd-O,0.036603962527472,-3.220672069807691,1.8044,3,Triclinic,-1,P-1,oxide,None,None,Nb,None,None,None,"N, O",None,None,Nd,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1173532,Nd4Mg2Ti3(Si2O11)2,2.203350993336673,0.33703462779734417,"Tricapped triangular prism (two square-face caps and one triangular-face cap), Square-face monocapped antiprism",2,4e,1,"[4.817189293173222, 4.053095636949208]",0.0,4.435142465061215,A2B3C4D4E22,2,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",2.589721796334607,GGA,Mg-Nd-O-Si-Ti,0.026114677749998,-3.506303025571427,2.496,5,Monoclinic,2/m,P2_1/c,oxide,None,Mg,Ti,None,None,Si,"N, O, S",None,None,Nd,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1173561,NdTa3O9,2.315637494148254,0.2618620211854883,"Diminished icosahedron, Cuboctahedron",2,1a,1,"[0.47142369925945504, 0.47273582522931706, 0.454263872105761, 5.269412413994509]",0.25,1.6669589526472606,AB3C9,2,3,1,"[10.0, 11.0, 9.0]","[10.0, 11.0, 9.0]",10.0,9.0,11.0,10.0,9.0,11.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.6276061500278045,GGA,Nd-O-Ta,0.037683875000038,-3.269163656115348,2.6428000000000003,3,Monoclinic,m,Pm,oxide,None,None,Ta,None,None,None,"N, O",None,None,Nd,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1173610,Nd19Ti20O60,2.3293603645212015,0.17311134278530613,"Square-face bicapped trigonal prism, Square antiprism, Tricapped triangular prism (three square-face caps)",3,1a,1,"[2.369002132083199, 2.276542191904035, 2.698401198274124, 2.683906795553668, 2.432557204048109, 2.7566950394505163, 2.566021746440462, 2.395743005868528, 2.587665293232294, 2.36026145176364, 2.028959697846418, 2.835677741615898, 2.414497866407347, 2.413992029933668, 2.258105460924004, 2.267458645058327, 2.375393126622806, 2.355323308878315, 2.36444578022015]",0.0,2.4442447219013426,A19B20C60,3,4,2,"[10.0, 8.0, 9.0, 8.0]","[10.0, 8.0, 9.0, 8.0]",8.75,8.0,10.0,8.75,8.0,10.0,2.25,2.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.5513917360056446,GGA,Nd-O-Ti,0.032218367499988,-3.463309416384671,0.0,3,Triclinic,1,P1,oxide,None,None,Ti,None,None,None,"N, O",None,None,Nd,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1173626,Nd2CO5,2.034390940323161,0.4722872703987062,Cube,1,4f,1,[1.036269622601466],0.0,1.036269622601466,AB2C5,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",2.496404705511562,r2SCAN,C-Nd-O,0.0,-3.065255603437501,3.978399999999999,3,Orthorhombic,mmm,Cmcm,oxide,None,None,None,None,None,None,"C, N, O",None,None,Nd,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1173718,Na3NdTi2Nb2O12,3.170305618817283,-0.6687721765239364,Square-face bicapped trigonal prism,1,2a,1,[3.274480059491194],0.0,3.274480059491194,AB2C2D3E12,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",2.508977104491857,GGA,Na-Nb-Nd-O-Ti,0.0028344570999930003,-3.12847544816523,2.5085,5,Orthorhombic,mm2,Pmc2_1,oxide,Na,None,"Ti, Nb",None,None,None,"N, O",None,None,Nd,None,"B $\in$ [-1, -0.1]",Negative B
mp-11773,Nd3GaO6,1.8428498068503785,0.7281245560864178,Square-face capped trigonal prism,1,"4b, 2a",2,"[4.152304769383855, 2.628687129008438]",0.0,3.3904959491961466,AB3C6,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals",2.4586453127505443,r2SCAN,Ga-Nd-O,0.0,-3.450884103499985,3.6505,3,Orthorhombic,mm2,Cmc2_1,oxide,None,None,None,None,Ga,None,"N, O",None,None,Nd,None,"B $\in$ [0.5, 1]",Positive B
mp-1179980,NdCu(WO4)2,2.3899508616089915,0.015434857754577633,Octahedron,1,1a,1,[0.938301095602433],0.0,0.938301095602433,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.402140887330404,GGA_U,Cu-Nd-O-W,0.036272072708333006,-2.3592743547916672,1.5619,4,Triclinic,1,P1,oxide,None,None,"Cu, W",None,None,None,"C, N, O",None,None,Nd,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1182187,BaNdFe2O5,2.5014670610691523,0.011165821482163168,Cube,1,2a,1,[0.082801960963643],0.0,0.082801960963643,ABC2D5,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals",2.5099272774063808,GGA_U,Ba-Fe-Nd-O,0.007647486342596,-2.530522628611111,0.0,4,Orthorhombic,mm2,Pmc2_1,oxide,None,Ba,Fe,None,None,B,"N, O",F,None,Nd,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1185531,LiNd6B3O13F2,2.1189051472940137,0.39836862016294894,"Cube, Square-face capped trigonal prism",2,4f,1,"[3.462394140876039, 2.630412962764702, 2.58941313897854]",0.0,2.8940734142064266,AB2C3D6E13,2,3,1,"[6.0, 6.0, 7.0]","[6.0, 6.0, 7.0]",6.333333333333333,6.0,7.0,6.333333333333333,6.0,7.0,3.0,3.0,3.0,2.0,2,2,O2-,"Alkali Metals, Halogens, Lanthanides, Metalloids, Nonmetals",2.470480529221709,GGA,B-F-Li-Nd-O,0.0,-3.595009685633333,4.4538,5,Monoclinic,2/m,C2/c,fluoride,Li,None,None,None,None,B,"N, O",F,None,Nd,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1186277,Nd3FeO6,1.8791007947046432,0.6746453570028224,Square-face capped trigonal prism,1,"4b, 2a",2,"[2.489636123092383, 4.087146613033445]",0.0,3.288391368062914,AB3C6,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",2.4543760886243207,r2SCAN,Fe-Nd-O,0.0,-3.28377778625,2.080899999999999,3,Orthorhombic,mm2,Cmc2_1,oxide,None,None,Fe,None,None,None,"N, O",F,None,Nd,None,"B $\in$ [0.5, 1]",Positive B
mp-1189143,NaNdFeWO6,4.429044589867026,-1.907084348113134,Square-face bicapped trigonal prism,1,2a,1,[2.8331228819163132],0.0,2.8331228819163132,ABCDE6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",2.5191770005849143,GGA_U,Fe-Na-Nd-O-W,0.0,-2.548066084387931,2.4171,5,Monoclinic,2,P2_1,oxide,Na,None,"Fe, W",None,None,None,"N, O",F,None,Nd,None,B < -1,Negative B
mp-11892,NaNd2RuO6,0.6669187803205628,2.104733522170915,Square-face bicapped trigonal prism,1,4e,1,[2.027090332248812],0.0,2.027090332248812,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",2.558936294354016,GGA,Na-Nd-O-Ru,0.037560917750004,-2.673883322137931,0.0,4,Monoclinic,2/m,P2_1/c,oxide,Na,None,Ru,None,None,None,"N, O",None,None,Nd,None,B > 1,Positive B
mp-1189476,NdMnO3,1.076537810590084,1.6839883246094125,Square-face bicapped trigonal prism,1,4e,1,[2.7265144103216423],0.0,2.7265144103216423,ABC3,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.5512290990175144,GGA_U,Mn-Nd-O,0.011342368500001001,-2.9521364435862063,0.0,3,Monoclinic,2/m,P2_1/c,oxide,None,None,Mn,None,None,None,"N, O",None,None,Nd,None,B > 1,Positive B
mp-1190299,Nd2Ir2O7,1.7703538383666484,0.6975383480683537,Cube,1,4c,1,[1.824887908796799],0.0,1.824887908796799,A2B2C7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",2.4659715802758466,r2SCAN,Ir-Nd-O,0.0,-2.432281358636364,0.0,3,Cubic,m-3m,Fd-3m,oxide,None,None,Ir,None,None,None,"N, O",I,None,Nd,None,"B $\in$ [0.5, 1]",Positive B
mp-1190341,Nd2CoTe2(SO7)2,2.311159918642531,0.2035648847591593,Dodecahedron with triangular faces - p2345 plane normalized,1,2i,1,[2.867387370179673],0.0,2.867387370179673,AB2C2D2E14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",2.495905208370235,GGA_U,Co-Nd-O-S-Te,0.0,-2.323792596825397,3.1295,5,Triclinic,-1,P-1,oxide,None,None,Co,None,None,Te,"C, N, O, S",None,None,Nd,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1190435,Nd2CuTe2(SO7)2,2.3684552579492633,0.1184688268622374,Dodecahedron with triangular faces - p2345 plane normalized,1,2i,1,[2.979484478864101],0.0,2.979484478864101,AB2C2D2E14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",2.4720474418780416,r2SCAN,Cu-Nd-O-S-Te,0.0,-2.268456409206348,0.8712000000000001,5,Triclinic,-1,P-1,oxide,None,None,Cu,None,None,Te,"C, N, O, S",None,None,Nd,None,"B $\in$ [0.1, 0.5]",Positive B
