material_id,chem_formula,R$_0$,B,Si_chemenv,num_Si_chemenvs,Si_wyckoff,num_Si_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Si_sites,num_CN_env,num_charge_states,mean_coordn_Si-X,min_coordn_Si-X,max_coordn_Si-X,mean_coordn_Si-O,min_coordn_Si-O,max_coordn_Si-O,mean_Si_charge,min_Si_charge,max_Si_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_SiO_BondL,SiX_coordn,SiO_coordn
mp-556172,SiPb4(BrO)4,1.6538344897411943,0.0267333966457281,Tetrahedron,1,4e,1,[0.24384797743059292],0.0,0.24384797743059292,AB4C4D4,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Halogens, Metalloids, Nonmetals, Post-Transition Metals",GGA,Br-O-Pb-Si,0.0,-1.8746925588461527,3.1492,4,Monoclinic,2/m,P2_1/c,hypobromite,,,,,Pb,"B, Si","O, P, S",Br,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.6538503855643327,[4.0],[4.0]
mp-556177,Cs2Cu2Si8O19,1.6340544342877432,0.1939755682846637,Tetrahedron,1,4f,1,"[0.10524075584123209, 0.029854670141993594, 0.19492325827801787, 0.08249152754446988]",0.0,0.10312755295142836,A2B2C8D19,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,Cs-Cu-O-Si,0.0,-2.866649330380978,0.7552000000000001,4,Monoclinic,2/m,P2_1/m,oxide,Cs,,Cu,,,Si,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6347567080666563,[4.0],[4.0]
mp-556198,Na2Si3O7,1.6388564951250977,0.3412470819690026,Tetrahedron,1,4e,1,"[0.06678220256655386, 0.25501788582089085, 0.16995641635212055]",0.0,0.16391883491318843,A2B3C7,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,Na-O-Si,0.0164796527083321,-2.809920969097224,4.196899999999999,3,Monoclinic,2/m,P2_1/c,oxide,Na,,,,,Si,"N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.640205316684919,[4.0],[4.0]
mp-556258,Na3BeAl(SiO4)2,1.6464381216391497,0.498794281456307,Tetrahedron,1,4c,1,[0.0865553607653428],0.0,0.0865553607653428,ABC2D3E8,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Be-Na-O-Si,0.0,-2.9743356692758613,4.6048,5,Orthorhombic,222,P2_12_12,silicate,Na,Be,,,Al,"B, Si","N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6468503598933837,[4.0],[4.0]
mp-556265,Cs6Si2NiO8,1.667175362365051,0.723005744821107,Tetrahedron,1,2i,1,[0.46948642912167277],0.0,0.46948642912167277,AB2C6D8,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Cs-Ni-O-Si,0.0175324991176486,-2.229546199290062,3.087,4,Triclinic,-1,P-1,oxide,Cs,,Ni,,,Si,"C, N, O, S",,,,,"B $\in$ [0.5, 1]",Positive B,1.6673874271193037,[4.0],[4.0]
mp-556283,Na2TiSi4O11,1.6338640915054636,0.5137350182768274,Tetrahedron,1,8i,1,[0.08662697662429764],0.0,0.08662697662429764,AB2C4D11,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,Na-O-Si-Ti,0.0144242352777821,-3.1172096551995514,2.7261999999999995,4,Tetragonal,4/m,I4/m,oxide,Na,,Ti,,,Si,"N, O, S",,,,,"B $\in$ [0.5, 1]",Positive B,1.634239076264965,[4.0],[4.0]
mp-556307,Na2Si2O5,1.623672777299652,0.3514656516681868,Tetrahedron,1,4e,1,"[0.13473694956664084, 0.11131013820387069]",0.0,0.12302354388525577,A2B2C5,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",R2SCAN,Na-O-Si,0.0062763125000007,-2.746985176388888,4.4459,3,Monoclinic,2/m,P2_1/c,oxide,Na,,,,,Si,"N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6243484028017228,[4.0],[4.0]
mp-556318,Cr4Si2Cl2O7,1.6443595010093712,0.1243820271894281,Tetrahedron,1,2a,1,"[0.1736346583268807, 0.07825013225085206, 0.22888895231455417, 0.12649663519431031]",0.0,0.1518175945216493,A2B2C4D7,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Halogens, Metalloids, Nonmetals, Transition Metals",GGA_U,Cl-Cr-O-Si,0.0,-2.4121401736666663,2.3203,4,Monoclinic,m,Pc,oxide,,,Cr,,,Si,"C, O, S",Cl,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6447637584078,[4.0],[4.0]
mp-556356,Na2SrAl4(SiO4)4,1.6239836304557935,0.2460503950632659,Tetrahedron,1,4c,1,"[0.08187408768692205, 0.24161685157202614]",0.0,0.1617454696294741,AB2C4D4E16,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",R2SCAN,Al-Na-O-Si-Sr,0.0,-3.2926352828799472,4.7045,5,Orthorhombic,mm2,Iba2,silicate,Na,Sr,,,Al,Si,"N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6240583083886817,[4.0],[4.0]
mp-556364,Ca2SiCl2O3,1.6416400369805708,0.2419894482872862,Tetrahedron,1,4c,1,[0.563956793319849],0.0,0.563956793319849,AB2C2D3,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Metalloids, Nonmetals",GGA,Ca-Cl-O-Si,0.0168237970833295,-3.1886054559375,5.1049,4,Tetragonal,4,I4,oxide,,Ca,,,,Si,"C, O, S",Cl,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6422989634499507,[4.0],[4.0]
mp-556390,Rb10Si6O17,1.655359109623893,0.5945350281978301,Tetrahedron,1,8c,1,"[0.1443310708335394, 0.13531967472024165, 0.12322572816073349]",0.0,0.13429215790483817,A6B10C17,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,O-Rb-Si,0.0005599903282815,-2.70095674280303,3.4663,3,Orthorhombic,mmm,Pbca,oxide,Rb,,,,,Si,"O, S",,,,,"B $\in$ [0.5, 1]",Positive B,1.6567646380342251,[4.0],[4.0]
mp-556413,Na4Cd2Si3O10,1.653048963016832,0.4444379862184034,Tetrahedron,1,"2e, 4f",2,"[0.19348862745529044, 0.10900629377021734]",0.0,0.1512474606127539,A2B3C4D10,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,Cd-Na-O-Si,0.0,-2.529008713448276,2.7505,4,Monoclinic,2/m,C2/c,oxide,Na,,Cd,,,Si,"C, N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6538363736934014,[4.0],[4.0]
mp-556423,Na2Si2O5,1.6430567952298532,0.4261904057779556,Tetrahedron,1,4e,1,"[0.15918400853422843, 0.15196807773568802, 0.06329786064495331, 0.08328899356278528]",0.0,0.11443473511941375,A2B2C5,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,Na-O-Si,0.0010396205555558,-2.7522218683333333,4.4499,3,Monoclinic,2/m,P2_1/c,oxide,Na,,,,,Si,"N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6438775217000048,[4.0],[4.0]
mp-556661,Y2SiCO7,1.649543260786405,0.2886340351469664,Tetrahedron,1,2i,1,[0.20330420070714023],0.0,0.20330420070714023,ABC2D7,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA,C-O-Si-Y,0.0,-3.281440604545453,4.7935,4,Triclinic,-1,P-1,oxide,,,Y,,,Si,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6499364670001493,[4.0],[4.0]
mp-556679,Na2Ca3Si3O10,1.6554562213983588,0.3776671349710453,Tetrahedron,1,"2e, 4f",2,"[0.1806823504491102, 0.18757692849559193]",0.0,0.18412963947235106,A2B3C3D10,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Ca-Na-O-Si,0.0,-3.215295309042145,4.375500000000001,4,Monoclinic,2/m,C2/c,oxide,Na,Ca,,,,Si,"C, N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6568988150909931,[4.0],[4.0]
mp-556703,Ba3Mg(SiO4)2,1.65749208807151,0.3333077873276823,Tetrahedron,1,6g,1,[0.07693975822104171],0.0,0.07693975822104171,AB2C3D8,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Ba-Mg-O-Si,0.0182084910118911,-3.3189064227380944,4.6934000000000005,4,Trigonal,-3,P-3,silicate,,"Mg, Ba",,,,"B, Si","O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6581438021171249,[4.0],[4.0]
mp-556709,Na2ZrSiO5,1.648589115048854,-0.1036651000344618,Tetrahedron,1,4e,1,"[0.03808521454064198, 0.025888852297282237]",0.0,0.03198703341896211,ABC2D5,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,Na-O-Si-Zr,0.0,-3.0727305369731805,4.004,4,Monoclinic,2/m,P2_1/c,oxide,Na,,Zr,,,Si,"N, O, S",,,,,"B $\in$ [-1, -0.1]",Negative B,1.6485801858445202,[4.0],[4.0]
mp-556719,K2Ti(SiO3)3,1.642367354886216,0.3302528525525753,Tetrahedron,1,3b,1,"[0.06024934617380653, 0.06032510173625906]",0.0,0.06028722395503279,AB2C3D9,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,K-O-Si-Ti,0.0,-3.1394682466888897,3.3701,4,Trigonal,3,R3,oxide,K,,Ti,,,Si,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.642958020747426,[4.0],[4.0]
