material_id,chem_formula,R$_0$,B,In_chemenv,num_In_chemenvs,In_wyckoff,num_In_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_In_sites,num_CN_env,num_charge_states,mean_coordn_In-X,min_coordn_In-X,max_coordn_In-X,mean_coordn_In-O,min_coordn_In-O,max_coordn_In-O,mean_In_charge,min_In_charge,max_In_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_InO_BondL,InX_coordn,InO_coordn
mp-2715250,Na6TaIn3Si2(PO6)4,1.890346225681044,0.4007029769311507,Octahedron,1,2a,1,"[0.637596056655166, 0.7485561025257537, 0.6771000363144666]",0.0,0.6877507318317955,AB2C3D4E6F24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-Na-O-P-Si-Ta,0.0430365681875022,-2.6507767748545144,3.464,6,Triclinic,1,P1,oxide,Na,,Ta,,In,Si,"N, O, P, S",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1709265337932533,[6.0],[6.0]
mp-2715270,Na3ZrInSi(PO6)2,1.7533866097243394,0.5880224115324401,Octahedron,1,4a,1,[0.6139410044715351],0.0,0.6139410044715351,ABCD2E3F12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-Na-O-P-Si-Zr,0.0363353929999981,-2.8116838965045146,3.7489,6,Monoclinic,m,Cc,oxide,Na,,Zr,,In,Si,"N, O, P, S",I,,,,"B $\in$ [0.5, 1]",Positive B,2.1660025988767395,[6.0],[6.0]
mp-2715278,Na6TaIn3Si2(PO6)4,1.8584203459948083,0.4434630566991823,Octahedron,1,1a,1,"[1.216496735841896, 0.8556061432671876, 1.1483326932430318, 0.5951630533587312, 0.6174141235022254, 0.4790826949772547, 0.8715761434230895, 0.999484150592682, 0.7233953216296395]",0.0,0.8340612288706375,AB2C3D4E6F24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-Na-O-P-Si-Ta,0.0406669036041682,-2.653146439437849,3.3595,6,Triclinic,1,P1,oxide,Na,,Ta,,In,Si,"N, O, P, S",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.169407441761072,[6.0],[6.0]
mp-2715288,Na3ScIn(PO4)3,1.8272290448092392,0.4791598151169351,Octahedron,1,1a,1,"[0.5831972169822761, 0.5940101029497005, 0.6335987766828717, 0.48456058797053886, 0.49116700135266617, 0.46026009651163435]",0.0,0.5411322970749479,ABC3D3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-Na-O-P-Sc,0.0182367489583334,-2.7872889254033253,3.9023,5,Triclinic,1,P1,phosphate,Na,,Sc,,In,,"N, O, P, S",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.16108126260232,[6.0],[6.0]
mp-2715289,Na3YIn(PO4)3,1.940152641764818,0.3491653681310431,Octahedron,1,1a,1,"[0.8459668755863677, 0.9869418182470429, 0.8802881934114446, 0.9876079854161678, 1.0503278725137122, 0.8891836532149104]",0.0,0.940052733064941,ABC3D3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-Na-O-P-Y,0.0216653326666689,-2.8018394955699915,3.6355,5,Triclinic,1,P1,phosphate,Na,,Y,,In,,"N, O, P",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.183699242894209,[6.0],[6.0]
mp-2715299,Na6Nb3In(SiO4)6,1.7786847524408806,0.5554816184352442,Octahedron,1,1a,1,"[0.6789363607309848, 0.8286829427216971, 1.6555242047262304]",0.0,1.0543811693929708,AB3C6D6E24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-Na-Nb-O-Si,0.0366574096458292,-2.870976167373564,2.6475,5,Triclinic,1,P1,silicate,Na,,Nb,,In,Si,"N, O, S",I,,,,"B $\in$ [0.5, 1]",Positive B,2.165874136582605,[6.0],[6.0]
mp-2715346,Na6Ta3In(SiO4)6,1.7555777656032947,0.6049215226794018,Octahedron,1,2a,1,[0.6212343935781256],0.0,0.6212343935781256,AB3C6D6E24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-Na-O-Si-Ta,0.0206600620833299,-2.9687870890485626,3.7908,5,Triclinic,1,P1,silicate,Na,,Ta,,In,Si,"N, O, S",I,,,,"B $\in$ [0.5, 1]",Positive B,2.177052565565876,[6.0],[6.0]
mp-2715347,Na6Ta3In(SiO4)6,1.7524104606434896,0.5945467917822544,Octahedron,1,1a,1,"[0.6772840513433543, 0.829293532347699, 1.6159475706178574]",0.0,1.0408417181029703,AB3C6D6E24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-Na-O-Si-Ta,0.0215916732083298,-2.967855477923563,3.5068,5,Triclinic,1,P1,silicate,Na,,Ta,,In,Si,"N, O, S",I,,,,"B $\in$ [0.5, 1]",Positive B,2.1666938702472285,[6.0],[6.0]
mp-2715367,Na6Nb3In(SiO4)6,1.7892958519105762,0.5451262060960326,Octahedron,1,2a,1,[0.5622476197773142],0.0,0.5622476197773142,AB3C6D6E24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-Na-Nb-O-Si,0.0356924117708308,-2.8719411652485625,2.9199999999999995,5,Triclinic,1,P1,silicate,Na,,Nb,,In,Si,"N, O, S",I,,,,"B $\in$ [0.5, 1]",Positive B,2.169292856478443,[6.0],[6.0]
mp-2715383,Na6NbIn3Si2(PO6)4,1.8732297750677909,0.4295049972749928,Octahedron,1,2a,1,"[0.6522623966045948, 0.750794833436014, 0.6962489348415539]",0.0,0.6997687216273875,AB2C3D4E6F24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-Na-Nb-O-P-Si,0.0450189966250027,-2.621523155046181,2.6833,6,Triclinic,1,P1,oxide,Na,,Nb,,In,Si,"N, O, P, S",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1736407908088724,[6.0],[6.0]
mp-2715396,Na3InGa(PO4)3,1.8702338763099289,0.4052100216956974,Octahedron,1,1a,1,"[0.7734474081240907, 0.7784358188294732, 0.7391652612811432, 0.6733113590455118]",0.0,0.7410899618200548,ABC3D3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Post-Transition Metals",GGA,Ga-In-Na-O-P,0.029611584708328,-2.5337217954866573,3.5648,5,Triclinic,1,P1,phosphate,Na,,,,"Ga, In",,"N, O, P",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.153562613998585,[6.0],[6.0]
mp-2715403,Na3YIn(PO4)3,1.92016097806276,0.3867609611269783,Octahedron,1,1a,1,"[0.9584501245981011, 1.0365723203746635, 0.6220504670504976, 0.77704162983084]",0.0,0.8485286354635255,ABC3D3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-Na-O-P-Y,0.0222130605000021,-2.8012917677366582,3.5651,5,Triclinic,1,P1,phosphate,Na,,Y,,In,,"N, O, P",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1906609776610297,[6.0],[6.0]
mp-2715416,Na3AlIn(PO4)3,1.802428862954578,0.4933660226538232,Octahedron,1,1a,1,"[1.2966265916977053, 1.161467036085302, 1.322222212711871, 0.49458589495134325, 0.42683464395063114, 0.46909042771319176]",0.0,0.8618044678516741,ABC3D3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Post-Transition Metals",GGA,Al-In-Na-O-P,0.0304797091666655,-2.6880633092366586,3.868700000000001,5,Triclinic,1,P1,phosphate,Na,,,,"Al, In",,"N, O, P",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.146183646631738,[6.0],[6.0]
mp-2715459,Na3In2(PO4)3,1.916144298357657,0.3590021757044992,Octahedron,1,4a,1,"[0.740787523116573, 0.5885519075521103]",0.0,0.6646697153343417,A2B3C3D12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Post-Transition Metals",GGA,In-Na-O-P,0.0201202836250002,-2.521368885194991,3.3889000000000005,4,Monoclinic,m,Cc,phosphate,Na,,,,In,,"N, O, P",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.166448433489942,[6.0],[6.0]
