material_id,chem_formula,R$_0$,B,Cl_chemenv,num_Cl_chemenvs,Cl_wyckoff,num_Cl_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Cl_sites,num_CN_env,num_charge_states,ClX_coordn,ClO_coordn,mean_coordn_Cl-X,min_coordn_Cl-X,max_coordn_Cl-X,mean_coordn_Cl-O,min_coordn_Cl-O,max_coordn_Cl-O,mean_Cl_charge,min_Cl_charge,max_Cl_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_ClO_BondL
mp-28137,Co(ClO4)2,1.6405191906132526,0.3459750357292847,Tetrahedron,1,8c,1,[0.015109670773257],0.0,0.015109670773257,AB2C8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",r2SCAN,Cl-Co-O,0.0,-0.560275878409091,3.1573,3,Trigonal,-1,R-3,perchlorate,,,Co,,,,"C, O",Cl,,,,"B $\in$ [0.1, 0.5]",Positive B,1.448016614289357
mp-28138,Ni(ClO4)2,1.6282978338221956,0.3295013954154108,Tetrahedron,1,8c,1,[0.014578358739884001],0.0,0.014578358739884001,AB2C8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",r2SCAN,Cl-Ni-O,0.0,-0.540402421136363,4.0918,3,Trigonal,-1,R-3,perchlorate,,,Ni,,,,"C, N, O",Cl,,,,"B $\in$ [0.1, 0.5]",Positive B,1.444963040460664
mp-28433,RbClO4,1.5436655971269175,0.17587190549026,Tetrahedron,1,4c,1,[0.0027104187813560003],0.0,0.0027104187813560003,ABC4,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals",r2SCAN,Cl-O-Rb,0.0,-1.094393234583335,5.4759,3,Orthorhombic,mmm,Pnma,perchlorate,Rb,,,,,,"C, O",Cl,,,,"B $\in$ [0.1, 0.5]",Positive B,1.4460990405818284
mp-28512,Ba(ClO3)2,1.7668129187715933,0.5431668236529639,Triangular non-coplanar,1,4b,1,[0.12289641998853301],0.0,0.12289641998853301,AB2C6,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Metalloids, Nonmetals",r2SCAN,Ba-Cl-O,0.015387531388882,-1.250106264444444,5.2826,3,Orthorhombic,mm2,Fdd2,chlorate,,Ba,,,,B,"C, O",Cl,,,,"B $\in$ [0.5, 1]",Positive B,1.4895274198720585
mp-28513,Pb(ClO3)2,1.7725209555333123,0.5466488896736881,Triangular non-coplanar,1,4b,1,[0.143776700782029],0.0,0.143776700782029,AB2C6,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Nonmetals, Post-Transition Metals",r2SCAN,Cl-O-Pb,0.0,-0.720550664444447,4.3339,3,Orthorhombic,mm2,Fdd2,chlorate,,,,,Pb,,"C, O, P",Cl,,,,"B $\in$ [0.5, 1]",Positive B,1.4934997855226186
mp-30301,LiClO4,1.635824044026462,0.3484500902339263,Tetrahedron,1,4c,1,[0.016390713151772002],0.0,0.016390713151772002,ABC4,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals",r2SCAN,Cl-Li-O,0.0,-1.00801586513889,5.7447,3,Orthorhombic,mmm,Pnma,perchlorate,Li,,,,,,"C, O",Cl,,,,"B $\in$ [0.1, 0.5]",Positive B,1.4408959203725895
mp-30937,HgClO3,1.6543049049300342,0.2620496508866737,Triangular non-coplanar,1,4e,1,"[0.10955358905760401, 0.167440788552237]",0.0,0.1384971888049205,ABC3,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",GGA,Cl-Hg-O,0.0427101415,-0.240896146312496,3.066099999999999,3,Monoclinic,2/m,P2_1/c,chlorate,,,Hg,,,,"H, C, O",Cl,,,,"B $\in$ [0.1, 0.5]",Positive B,1.5218144890278191
mp-554015,CsK(ClO4)2,1.546255174752709,0.1466093102072376,no_data,1,no_data,1,no_data,0.0,no_data,ABC2D8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals",GGA,Cl-Cs-K-O,0.0,-1.094434620575431,5.5307,4,Trigonal,-3m,R-3m,perchlorate,"K, Cs",,,,,,"C, O",Cl,,,,"B $\in$ [0.1, 0.5]",Positive B,1.4642635203816967
mp-557563,MoPb3Cl2O5,2.9425133604160454,0.1256357951168059,,1,,1,[],0.0,,AB2C3D5,1,2,1,"[8.0, 12.0]","[2.0, 6.0]",10.0,8.0,12.0,4.0,2.0,6.0,-1.0,-1.0,-1.0,2.0,2,2,"Pb2+, O2-","Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Cl-Mo-O-Pb,0.002205750568178,-1.7696360840909071,2.198199999999999,4,Orthorhombic,mmm,Cmcm,oxide,,,Mo,,Pb,,"C, O, P",Cl,,,,"B $\in$ [0.1, 0.5]",Positive B,3.2882666028318503
mp-557599,Rb2Bi(ClO4)5,1.883412562889062,0.744416542161245,Tetrahedron,1,2i,1,"[0.09193886848256201, 0.05677851358087001, 0.014027107196877001, 0.04892659901023701, 0.03496083582686]",0.0,0.049326384819481206,AB2C5D20,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Post-Transition Metals",GGA,Bi-Cl-O-Rb,0.0,-0.805905350714286,4.1067,4,Triclinic,-1,P-1,perchlorate,Rb,,,,Bi,B,"C, O",Cl,,,,"B $\in$ [0.5, 1]",Positive B,1.4674744302603329
