material_id,chem_formula,R$_0$,B,La_chemenv,num_La_chemenvs,La_wyckoff,num_La_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_La_sites,num_CN_env,num_charge_states,mean_coordn_La-X,min_coordn_La-X,max_coordn_La-X,mean_coordn_La-O,min_coordn_La-O,max_coordn_La-O,mean_La_charge,min_La_charge,max_La_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_LaO_BondL,LaX_coordn,LaO_coordn
mp-4974,La2Zr2O7,1.8330112389981168,0.7311226798514608,Cube,1,4c,1,[1.8537458716601813],0.0,1.8537458716601813,A2B2C7,1,1,1,8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",R2SCAN,La-O-Zr,0.0,-3.850635112272727,3.7346,3,Cubic,m-3m,Fd-3m,oxide,,,Zr,,,,O,,,La,,"B $\in$ [0.5, 1]",Positive B,2.562117920562592,[8.0],[8.0]
mp-5032,La3Ru3O11,2.2677687858035886,0.2210936691847571,"Cube, Tricapped triangular prism (three square-face caps)",2,"8e, 4c",2,"[2.9545128094735142, 0.23403232281330935]",0.0,1.5942725661434118,A3B3C11,2,2,2,8.5,8.0,9.0,8.5,8.0,9.0,2.5,2.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,La-O-Ru,0.0074837235294094,-2.545145004852941,0.0,3,Cubic,m-3,Pn-3,oxide,,,Ru,,,,O,,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.5801404596590496,"[8.0, 9.0]","[8.0, 9.0]"
mp-504831,La3ReO8,2.068120032271624,0.5268662545959281,"Square-face capped trigonal prism, Square-face bicapped trigonal prism",2,2e,1,"[2.8245573981791536, 3.3851872330363797, 3.051450901303864]",0.0,3.087065177506466,AB3C8,2,2,1,7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,La-O-Re,0.0,-3.297046603958333,1.8714000000000004,3,Monoclinic,2/m,P2_1/m,oxide,,,Re,,,,O,,,La,,"B $\in$ [0.5, 1]",Positive B,2.538471308282228,"[8.0, 7.0]","[8.0, 7.0]"
mp-5152,La2SiO5,2.2858305441644085,0.2965112432679894,"Tricapped triangular prism (three square-face caps), Face-capped octahedron",2,4e,1,"[3.687025002282038, 4.797324869220849]",0.0,4.242174935751443,AB2C5,2,2,1,7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",R2SCAN,La-O-Si,0.0,-3.645310626875,4.4804,3,Monoclinic,2/m,P2_1/c,oxide,,,,,,Si,"O, S",,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.526003293829268,"[8.0, 7.0]","[8.0, 7.0]"
mp-5163,LaRhO3,1.391699256272696,1.3032048425526237,Square-face bicapped trigonal prism,1,4c,1,[1.772933211181896],0.0,1.772933211181896,ABC3,1,1,1,8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",R2SCAN,La-O-Rh,0.0,-2.5424282955,0.5939999999999994,3,Orthorhombic,mmm,Pnma,oxide,,,Rh,,,,O,,,La,,B > 1,Positive B,2.5472600141098365,[8.0],[8.0]
mp-5299,La2RuO5,2.1271825449138144,0.5473525963199368,"Square-face monocapped antiprism, Tricapped triangular prism (three square-face caps)",2,4e,1,"[2.9150654653623596, 4.923557198285141]",0.0,3.9193113318237502,AB2C5,2,1,1,9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,La-O-Ru,0.0230889371874933,-2.9566629734375,0.0,3,Monoclinic,2/m,P2_1/c,oxide,,,Ru,,,,O,,,La,,"B $\in$ [0.5, 1]",Positive B,2.650354959008958,[9.0],[9.0]
mp-5308,LaTa3O9,3.012876827233306,-0.3484076483171748,Tricapped triangular prism (three square-face caps),1,4c,1,[2.6277687054989984],0.0,2.6277687054989984,AB3C9,1,1,1,9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,La-O-Ta,0.012235716538445,-3.3120452979743744,2.7517000000000005,3,Orthorhombic,mmm,Pnma,oxide,,,Ta,,,,O,,,La,,"B $\in$ [-1, -0.1]",Negative B,2.5856749030454025,[9.0],[9.0]
mp-531302,La10(Si2O9)3,2.173878925667156,0.4227727898676615,"Square-face capped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized, Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps), Pentagonal bipyramid",5,2a,1,"[3.4314284950976637, 4.627472013796031, 2.486566086422988, 2.7939629868777667, 2.320349871269897, 2.6559277685136657, 3.3621599174526775, 2.887533827118788, 2.703626022205041, 3.654514279701732]",0.0,3.092354126845625,A6B10C27,5,4,1,7.5,6.0,9.0,7.5,6.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",GGA,La-O-Si,0.0242781806976744,-3.588940301453487,3.7138,3,Monoclinic,m,Pc,oxide,,,,,,Si,"O, S",,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.585547440039952,"[8.0, 9.0, 6.0, 7.0]","[8.0, 9.0, 6.0, 7.0]"
mp-531717,La5Mn5O16,2.233689441949676,0.379601208257169,"Square-face bicapped square antiprism, Diminished icosahedron, Tridiminished icosahedron",3,1a,1,"[6.133713231380996, 5.8473920999320175, 5.2320758483773595, 5.59280419534351, 5.463184587815903, 6.108255047165391, 5.9917282651101536, 5.62589837884408, 5.372400066448698, 5.60973576376787, 6.3465305571550585, 5.6621969125542915, 5.790816008945987, 5.1388785322845525, 6.429170829589966]",1.0,5.756318688314389,A5B5C16,3,5,1,8.8,6.0,11.0,8.8,6.0,11.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,La-Mn-O,0.0,-3.159826956845712,0.0,3,Triclinic,1,P1,oxide,,,Mn,,,,O,,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.6619431967859173,"[6.0, 8.0, 9.0, 10.0, 11.0]","[6.0, 8.0, 9.0, 10.0, 11.0]"
mp-532198,LaAl22O34,1.83543960585362,0.6528591150658766,Hexagonal bipyramid,1,"1h, 1b",2,"[7.058346718136073, 7.054480887364857]",1.0,7.056413802750464,AB22C34,1,1,1,8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals",GGA,Al-La-O,0.035934478191308,-3.3944537983333323,0.0,3,Triclinic,-1,P-1,oxide,,,,,Al,,O,,,La,,"B $\in$ [0.5, 1]",Positive B,2.7582571283505057,[8.0],[8.0]
