material_id,chem_formula,R$_0$,B,Ir_chemenv,num_Ir_chemenvs,Ir_wyckoff,num_Ir_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ir_sites,num_CN_env,num_charge_states,IrX_coordn,IrO_coordn,mean_coordn_Ir-X,min_coordn_Ir-X,max_coordn_Ir-X,mean_coordn_Ir-O,min_coordn_Ir-O,max_coordn_Ir-O,mean_Ir_charge,min_Ir_charge,max_Ir_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_IrO_BondL
mp-11903,LiEu2IrO6,1.9532202098165192,0.0963615534960616,Octahedron,1,2d,1,[0.006929485313736001],0.0,0.006929485313736001,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",GGA,Eu-Ir-Li-O,0.012805673299999,-2.426162534333333,0.0,4,Monoclinic,2/m,P2_1/c,oxide,Li,,Ir,,,,O,I,,Eu,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9709069024230563
mp-11904,LiSm2IrO6,2.023172230448412,-0.2283901806659655,Octahedron,1,2d,1,[0.059143281867530005],0.0,0.059143281867530005,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",r2SCAN,Ir-Li-O-Sm,0.0,-2.742124424333325,0.0,4,Monoclinic,2/m,P2_1/c,oxide,Li,,Ir,,,,"O, S",I,,Sm,,"B $\in$ [-1, -0.1]",Negative B,1.9812517362333957
mp-11905,LiNd2IrO6,1.9791902476733607,0.0988093000153508,Octahedron,1,2d,1,[0.011930673276560002],0.0,0.011930673276560002,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",GGA,Ir-Li-Nd-O,0.0,-2.717315583833334,0.0,4,Monoclinic,2/m,P2_1/c,oxide,Li,,Ir,,,,"N, O",I,,Nd,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.99732628206195
mp-11906,LiPr2IrO6,1.9884581486698576,0.0492975900258826,Octahedron,1,2d,1,[0.010090959766791],0.0,0.010090959766791,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",GGA,Ir-Li-O-Pr,0.0,-2.699372322166667,0.0,4,Monoclinic,2/m,P2_1/c,oxide,Li,,Ir,,,,"O, P",I,,Pr,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.997505178274226
mp-1191066,La3IrO7,1.9466355333417424,0.2577478841924333,Octahedron,1,2a,1,[0.21815600762876602],0.0,0.21815600762876602,AB3C7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",r2SCAN,Ir-La-O,0.0,-3.077486343636363,0.0,3,Orthorhombic,mmm,Cmcm,oxide,,,Ir,,,,O,I,,La,,"B $\in$ [0.1, 0.5]",Positive B,1.994531277120868
mp-11912,NaNd2IrO6,2.0002421357842466,-0.0158238028358343,Octahedron,1,2d,1,[0.0072508726589600005],0.0,0.0072508726589600005,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",GGA,Ir-Na-Nd-O,0.005412503749999,-2.621297260137931,0.0,4,Monoclinic,2/m,P2_1/c,oxide,Na,,Ir,,,,"N, O",I,,Nd,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.997338321259491
mp-11913,NaPr2IrO6,1.9947963584758603,0.0180090710957633,Octahedron,1,2d,1,[0.006366661828635001],0.0,0.006366661828635001,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",GGA,Ir-Na-O-Pr,0.0,-2.621027141971264,0.0,4,Monoclinic,2/m,P2_1/c,oxide,Na,,Ir,,,,"N, O, P",I,,Pr,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9981014802022192
mp-11914,NaLa2IrO6,2.013180265956436,-0.0739963021990192,Octahedron,1,2d,1,[0.007295840617653],0.0,0.007295840617653,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",GGA,Ir-La-Na-O,0.0,-2.701588549637931,0.0,4,Monoclinic,2/m,P2_1/c,oxide,Na,,Ir,,,,"N, O",I,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9995999201366341
mp-1193907,SrIrO3,1.7926243825367003,0.5810805180684916,Octahedron,1,2c,1,"[0.159701067957658, 0.932908485493338, 0.9704602578723811]",0.0,0.6876899371077924,ABC3,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",r2SCAN,Ir-O-Sr,0.003468296333332,-2.030413166666667,0.0,3,Monoclinic,2/m,C2/c,oxide,,Sr,Ir,,,,"O, S",I,,,,"B $\in$ [0.5, 1]",Positive B,2.0240735510090904
mp-1194190,Ba3BiIr2O9,1.851984984384244,0.6159460218336499,Octahedron,1,4f,1,[0.11683451377779601],0.0,0.11683451377779601,AB2C3D9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.5,4.5,4.5,1.0,1,1,Ir4.50+-O2-,"Alkaline Earth Metals, Halogens, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Ba-Bi-Ir-O,0.003718478592572,-2.102765382333333,0.0,4,Monoclinic,2/m,C2/c,oxide,,Ba,Ir,,Bi,B,O,I,,,,"B $\in$ [0.5, 1]",Positive B,2.028049882763302
