material_id,chem_formula,R$_0$,B,Co_chemenv,num_Co_chemenvs,Co_wyckoff,num_Co_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Co_sites,num_CN_env,num_charge_states,CoX_coordn,CoO_coordn,mean_coordn_Co-X,min_coordn_Co-X,max_coordn_Co-X,mean_coordn_Co-O,min_coordn_Co-O,max_coordn_Co-O,mean_Co_charge,min_Co_charge,max_Co_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_CoO_BondL
mp-1037086,LiMg30CoO32,0.9846063641928214,1.5203762562760514,Octahedron,1,1a,1,[0.079374328200602],0.0,0.079374328200602,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Co-Li-Mg-O,0.009159861093749,-2.948358721458333,2.180699999999999,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,Co,,,,"C, O",,,,,B > 1,Positive B,2.0395468957199996
mp-1037750,YMg30CoO32,2.5298645774960584,-0.1580641076918842,Octahedron,1,1c,1,[0.00034180454724800003],0.0,0.00034180454724800003,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Co-Mg-O-Y,0.048799649580078,-2.9739356809375,1.0697,4,Tetragonal,4/mmm,P4/mmm,oxide,,Mg,"Co, Y",,,,"C, O",,,,,"B $\in$ [-1, -0.1]",Negative B,2.2465964922453394
mp-1038340,Mg30AlCoO32,1.34000359072308,0.5013568747271113,Octahedron,1,1c,1,[0.0034991555455030003],0.0,0.0034991555455030003,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Al-Co-Mg-O,0.033644916367187,-2.9725471856250003,1.191199999999999,4,Tetragonal,4/mmm,P4/mmm,oxide,,Mg,Co,,Al,,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.2385118978346714
mp-1038344,Mg30AlCoO32,1.132377268216761,0.6263212924728908,Octahedron,1,1b,1,[0.11134534966994901],0.0,0.11134534966994901,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Al-Co-Mg-O,0.029573655117187,-2.9766184468750003,1.343799999999999,4,Tetragonal,4/mmm,P4/mmm,oxide,,Mg,Co,,Al,,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.258998967454002
mp-1041840,MgCo(SiO3)2,1.3823509928761593,0.7380343082313761,Octahedron,1,8c,1,[3.607705425387247],0.0,3.607705425387247,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Co-Mg-O-Si,0.006863855999997,-2.844870474,3.0905,4,Orthorhombic,mmm,Pbca,oxide,,Mg,Co,,,Si,"C, O, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.2330082218404943
mp-1041850,ZnCo(SiO3)2,1.3639689449367434,0.7528636692982646,Octahedron,1,8c,1,[3.602963193192517],0.0,3.602963193192517,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA_U,Co-O-Si-Zn,0.048320323250001,-2.535313214250001,3.142499999999999,4,Orthorhombic,mmm,Pbca,oxide,,,"Co, Zn",,,Si,"C, O, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.2317131274212243
mp-1041999,CaCoP2O7,1.9020538232373816,0.2055879564579296,Square pyramid,1,2i,1,[1.116713621482176],0.0,1.116713621482176,ABC2D7,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Co-O-P,0.008339579188314,-2.725268855389609,3.158,4,Triclinic,-1,P-1,oxide,,Ca,Co,,,,"C, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.090882258343192
mp-1042011,MgCoP2O7,1.7959539907431126,0.3019332395519493,Trigonal bipyramid,1,4i,1,[2.05232138245558],0.0,2.05232138245558,ABC2D7,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Co-Mg-O-P,0.022240177613642,-2.60233359038961,2.752799999999999,4,Triclinic,-1,P-1,oxide,,Mg,Co,,,,"C, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0768838548393007
mp-1042205,YCo(WO4)2,2.4677900518875724,-0.2289186714782428,Octahedron,1,"1c, 1b",2,"[0.9134881408429911, 1.710366960675628]",0.0,1.3119275507593096,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Co-O-W-Y,0.031811689479157,-2.411102331250001,1.6945,4,Monoclinic,2,P2,oxide,,,"Co, Y, W",,,,"C, O",,,,,"B $\in$ [-1, -0.1]",Negative B,2.20936003067356
mp-1042471,BaYCoCuO5,4.470112578394904,-4.86879509365213,Square pyramid,1,1b,1,[1.536927693279914],0.0,1.536927693279914,ABCDE5,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Ba-Co-Cu-O-Y,0.039010675229695,-2.328158312777779,0.0,5,Tetragonal,4mm,P4mm,oxide,,Ba,"Co, Cu, Y",,,B,"C, O",,,,,B < -1,Negative B,1.9820371744798613
mp-1042722,MgCoAs2O7,1.8589594990238048,0.2143974311959216,Square pyramid,1,4e,1,[2.516036150582229],0.0,2.516036150582229,ABC2D7,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,As-Co-Mg-O,0.013756844848506,-1.923150231136364,2.0853,4,Monoclinic,2/m,P2_1/c,oxide,,Mg,Co,,,As,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0586009356187875
mp-1042739,CaCoAs2O7,1.8329018160050203,0.2398681495229183,Square pyramid,1,4e,1,[1.9343938319835061],0.0,1.9343938319835061,ABC2D7,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,As-Ca-Co-O,0.015355575487017,-2.044447314318182,2.2492,4,Monoclinic,2/m,P2_1/c,oxide,,Ca,Co,,,As,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0533120713128623
mp-1042753,Mg2Co3O8,1.7648802638234806,0.2598169482473957,Octahedron,1,6c,1,[0.704977730394719],0.0,0.704977730394719,A2B3C8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",r2SCAN,Co-Mg-O,0.014482778653848,-1.701694818076923,0.0,3,Hexagonal,6mm,P6_3mc,oxide,,Mg,Co,,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.8711037154621393
mp-1042775,ZnCoAs2O7,1.834581067621017,0.2309562282175766,no_data,1,no_data,1,no_data,0.0,no_data,ABC2D7,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA_U,As-Co-O-Zn,0.033840265984871,-1.6329826236363632,1.4904,4,Monoclinic,2/m,P2_1/c,oxide,,,"Co, Zn",,,As,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0496437661830185
mp-1042827,Zn2Co3O8,1.827993080080452,0.2960691119749949,Octahedron,1,6c,1,[0.592953175792379],0.0,0.592953175792379,A2B3C8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Co-O-Zn,0.023615497753035,-1.295767322307692,0.0,3,Hexagonal,6mm,P6_3mc,oxide,,,"Co, Zn",,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9506438903234182
mp-1043149,MgCo(GeO3)2,1.5861432375275868,0.520186887572371,Octahedron,1,4e,1,[0.738404090888167],0.0,0.738404090888167,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Co-Ge-Mg-O,0.019613122250003,-2.16627014925,1.9452,4,Monoclinic,2/m,P2_1/c,oxide,,Mg,Co,,,Ge,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.130189397629678
mp-1043170,CaCo(GeO3)2,1.67298880558207,0.4057239041912675,Octahedron,1,4e,1,[1.259694582919436],0.0,1.259694582919436,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Ca-Co-Ge-O,0.027428830749992,-2.2603024055,2.1914,4,Monoclinic,2/m,P2_1/c,oxide,,Ca,Co,,,Ge,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1255870828934973
mp-1043189,MgCo(GeO3)2,1.7029883803800214,0.3953422666719481,Octahedron,1,2e,1,[0.49576787621765306],0.0,0.49576787621765306,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Co-Ge-Mg-O,0.014745567500003,-2.171137704,2.1627,4,Monoclinic,2/m,C2/c,oxide,,Mg,Co,,,Ge,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.123080807941321
mp-1043196,ZnCo(GeO3)2,1.7531786317621465,0.4270491849990699,Octahedron,1,4i,1,[0.739419400574158],0.0,0.739419400574158,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA_U,Co-Ge-O-Zn,0.038035715749999,-1.87772908025,1.8436,4,Monoclinic,2/m,C2/c,oxide,,,"Co, Zn",,,Ge,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1555433950226237
mp-1043203,CaCo(GeO3)2,1.8861647609548324,0.2223132569290976,Octahedron,1,1a,1,"[0.657671962950308, 0.696516670525818]",0.0,0.677094316738063,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Ca-Co-Ge-O,0.006477158749992,-2.2812540775,1.2006,4,Monoclinic,2/m,C2/c,oxide,,Ca,Co,,,Ge,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.13250580524586
mp-1043317,ZnCo(GeO3)2,1.6739723503357546,0.4621610054135919,Octahedron,1,4e,1,[0.7495750516706321],0.0,0.7495750516706321,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA_U,Co-Ge-O-Zn,0.0379151325,-1.877849663499999,1.767199999999999,4,Monoclinic,2/m,P2_1/c,oxide,,,"Co, Zn",,,Ge,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.141452787867344
mp-1043894,CaLaFeCoO6,2.090030358813736,-0.3085606637831281,Octahedron,1,2a,1,[0.077401573490171],0.0,0.077401573490171,ABCDE6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",GGA_U,Ca-Co-Fe-La-O,0.047697685833332,-2.399504409000001,0.0,5,Monoclinic,m,Pc,oxide,,Ca,"Fe, Co",,,,"C, O",F,,La,,"B $\in$ [-1, -0.1]",Negative B,1.96465507791087
mp-1044222,CaTiCo(PO4)3,1.7159435202863051,0.3882374154490989,Octahedron,1,2a,1,[0.33391403167312],0.0,0.33391403167312,ABCD3E12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Co-O-P-Ti,0.049861253816974,-2.766052407070106,1.264,5,Trigonal,3m,R3c,phosphate,,Ca,"Ti, Co",,,,"C, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9922247356414142
mp-1044552,Al4Co13Si2(SbO14)2,1.5987915570117763,0.5336031299213417,"Octahedron, Trigonal bipyramid",2,"1a, 4j, 2g",3,"[0.5778291279296031, 0.727796160426142, 1.44474706994649, 1.48607207343437, 1.199335262143577]",0.0,1.0871559387760363,A2B2C4D13E28,2,2,1,"[5.0, 6.0]","[5.0, 6.0]",5.5,5.0,6.0,5.5,5.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Al-Co-O-Sb-Si,0.017616564557838,-2.070311625510204,1.8638,5,Monoclinic,2/m,C2/m,oxide,,,Co,,Al,"Si, Sb","C, O, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.117905168422095
mp-1044741,CaPr(CoO3)2,1.8829430205015087,0.1438351341276862,Octahedron,1,2a,1,"[0.063256872401672, 0.147276603673851]",0.0,0.10526673803776151,ABC2D6,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Ca-Co-O-Pr,0.046077371468753,-2.231611039166665,0.0,4,Monoclinic,m,Pc,oxide,,Ca,Co,,,,"C, O, P",,,Pr,,"B $\in$ [0.1, 0.5]",Positive B,1.9622428763567612
mp-1045773,MgCo(PO3)4,1.8756343868052368,0.206629196060358,Octahedron,1,2d,1,[0.5595200236960081],0.0,0.5595200236960081,ABC4D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Co-Mg-O-P,0.0,-2.620924572976191,3.2528,4,Monoclinic,2/m,C2/c,phosphite,,Mg,Co,,,,"C, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1065673371689395
mp-1045787,CaCo(PO3)4,2.136917111651752,-0.004529985960646,Octahedron,1,2c,1,[0.0434032955038],0.0,0.0434032955038,ABC4D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Co-O-P,0.0,-2.688315323531745,3.2999,4,Monoclinic,2/m,C2/c,phosphite,,Ca,Co,,,,"C, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.131851493309401
mp-1046092,Mg2Ta2CoO8,2.097260651693012,0.0529662571961987,Octahedron,1,4e,1,[0.352818130815645],0.0,0.352818130815645,AB2C2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Co-Mg-O-Ta,0.018159157820504,-2.95876374824359,2.2862,4,Monoclinic,-1,C2/c,oxide,,Mg,"Co, Ta",,,,"C, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.13621736072402
mp-1046160,Ta2Zn2CoO8,2.0550241610593107,0.0682949657805441,Octahedron,1,1a,1,"[0.312642633551563, 0.298776365807775, 0.316982830093814, 0.327665886341085]",0.0,0.31401692894855926,AB2C2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Co-O-Ta-Zn,0.024120024807697,-2.5407889028589743,0.0,4,Monoclinic,-1,C2/c,oxide,,,"Co, Zn, Ta",,,,"C, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.1356710933105627
mp-1046375,SrMgCo(PO4)2,1.5275250457085623,0.5436455005060578,Octahedron,1,2i,1,"[1.8797640196988192, 1.988731551398507]",0.0,1.934247785548663,ABCD2E8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Co-Mg-O-P-Sr,0.02395892363249,-2.8371376326373623,3.0854,5,Triclinic,-1,P-1,phosphate,,"Mg, Sr",Co,,,,"C, O, P, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.1316013511932312
mp-1046379,SrZnCo(PO4)2,1.7937636203791254,0.3033490269835365,Octahedron,1,4i,1,[1.7954296674277792],0.0,1.7954296674277792,ABCD2E8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Co-O-P-Sr-Zn,0.034463117980768,-2.614760241291208,3.1025,5,Triclinic,-1,P-1,phosphate,,Sr,"Co, Zn",,,,"C, O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.135263540783754
mp-1046419,SrCaCo(PO4)2,1.3279635834037975,0.7575519932419106,Octahedron,1,2i,1,[3.074787620523427],0.0,3.074787620523427,ABCD2E8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Co-O-P-Sr,0.028047831944412,-2.922207441098901,3.0398,5,Triclinic,-1,P-1,phosphate,,"Ca, Sr",Co,,,,"C, O, P, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.163676838622915
mp-1046497,Mg4Co5(TeO6)3,1.660634107465058,0.4615568989860368,Octahedron,1,"4f, 2e",2,"[2.8488886710058843, 2.351282048745729, 1.3250039467913561]",0.0,2.1750582221809895,A3B4C5D18,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Co-Mg-O-Te,0.014215792722217,-1.9021889325,1.4502000000000002,4,Monoclinic,2/m,C2/c,oxide,,Mg,Co,,,Te,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.174670895937105
mp-1046528,Zn4Co5(TeO6)3,1.6969519202377863,0.4237168806605288,Octahedron,1,"4f, 2e",2,"[2.615592395636546, 2.380079964133356, 1.432450381878308]",0.0,2.1427075805494034,A3B4C5D18,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA_U,Co-O-Te-Zn,0.0,-1.5492037505,0.9073,4,Monoclinic,2/m,C2/c,oxide,,,"Co, Zn",,,Te,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1687122097389495
mp-1046744,Mg2Nb2CoO8,2.167936028176319,-0.0031274639575319,Octahedron,1,2e,1,[0.371561381797246],0.0,0.371561381797246,AB2C2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Co-Mg-Nb-O,0.017575090961532,-2.797192030769231,2.852999999999999,4,Monoclinic,2/m,C2/c,oxide,,Mg,"Co, Nb",,,,"C, N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.1321748983887323
