material_id,chem_formula,R$_0$,B,Co_chemenv,num_Co_chemenvs,Co_wyckoff,num_Co_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Co_sites,num_CN_env,num_charge_states,CoX_coordn,CoO_coordn,mean_coordn_Co-X,min_coordn_Co-X,max_coordn_Co-X,mean_coordn_Co-O,min_coordn_Co-O,max_coordn_Co-O,mean_Co_charge,min_Co_charge,max_Co_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_CoO_BondL
mp-1011834,Na2CoP2O7,1.621015579826662,0.4677090785188191,Octahedron,1,1a,1,"[1.433389537426308, 1.466089731548283, 0.45875923411075603, 0.294262103336478]",0.0,0.9131251516054562,AB2C2D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Co-Na-O-P,0.029714687361125,-2.439854462462027,3.0059,4,Triclinic,1,P1,oxide,Na,,Co,,,,"C, N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1381485007489465
mp-1011858,Na2CoP2O7,1.4879350288652224,0.6244644432575527,Square pyramid,1,4c,1,[1.696911668929879],0.0,1.696911668929879,AB2C2D7,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Co-Na-O-P,0.040534906944459,-2.429034242878694,1.681999999999999,4,Orthorhombic,mmm,Pnma,oxide,Na,,Co,,,,"C, N, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.060572206335416
mp-1011860,Na2CoP2O7,1.5781327973619914,0.5461880555560243,Trigonal bipyramid,1,4e,1,[1.991734732178795],0.0,1.991734732178795,AB2C2D7,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Co-Na-O-P,0.006010801319458,-2.4635583485036943,2.5179,4,Monoclinic,2/m,P2_1/c,oxide,Na,,Co,,,,"C, N, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.0807353338720844
mp-1013565,Na2CoP2O7,1.4353849238736556,0.8180928543009995,Square plane,1,"1c, 1f, 1a, 1h",4,"[0.13259164866177, 0.13252917847188, 0.128531812902611, 0.13193809216507402]",0.0,0.13139768305033378,AB2C2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Co-Na-O-P,0.027097078611125,-2.442472071212028,2.3692,4,Monoclinic,-1,C2/c,oxide,Na,,Co,,,,"C, N, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.0030396447066736
mp-1013577,Na2CoP2O7,2.174629223789229,-0.0426999976589223,Octahedron,1,2i,1,"[1.045845274254067, 1.06621821020575]",0.0,1.0560317422299086,AB2C2D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Co-Na-O-P,0.025035477986126,-2.444533671837027,3.1288,4,Triclinic,-1,P-1,oxide,Na,,Co,,,,"C, N, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.127543608887992
mp-1022803,CoHCO4,1.4463455419712468,0.793971439946686,Octahedron,1,6g,1,[1.5897836441311521],0.0,1.5897836441311521,ABCD4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,C-Co-H-O,0.049467092857147,-1.45298593267857,0.166899999999999,4,Hexagonal,6/m,P6_3/m,oxide,,,Co,,,,"H, C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.0074828103665947
mp-1034976,LiMg14CoO16,1.2856586422335166,1.1047870998140952,Octahedron,1,1a,1,[0.066644230254757],0.0,0.066644230254757,ABC14D16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Co-Li-Mg-O,0.040818875312499,-2.8359091197916677,1.011,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,Co,,,,"C, O",,,,,B > 1,Positive B,2.052695704866972
mp-1035088,NaMg14CoO16,0.880096808395618,1.6664465921157865,Octahedron,1,1a,1,[0.30028218448084104],0.0,0.30028218448084104,ABC14D16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Co-Mg-Na-O,0.04099535125,-2.812213131918104,1.3648,4,Orthorhombic,mmm,Pmmm,oxide,Na,Mg,Co,,,,"C, N, O",,,,,B > 1,Positive B,2.03888886106406
mp-1035145,LiMg14CoO16,1.2914223015531965,1.0525859117709389,Octahedron,1,1a,1,[0.12500639917037001],0.0,0.12500639917037001,ABC14D16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Co-Li-Mg-O,0.035920557187499,-2.8408074379166672,1.877199999999999,4,Orthorhombic,mmm,Pmmm,oxide,Li,Mg,Co,,,,"C, O",,,,,B > 1,Positive B,2.0233586864492916
mp-1037022,NaMg30CoO32,1.333751857375208,0.9660087133128372,Octahedron,1,1a,1,[0.033212470743421],0.0,0.033212470743421,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Co-Mg-Na-O,0.013172190468749,-2.9325866361153023,2.5579,4,Tetragonal,4/mmm,P4/mmm,oxide,Na,Mg,Co,,,,"C, N, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.004035304853994
