material_id,chem_formula,R$_0$,B,Lu_chemenv,num_Lu_chemenvs,Lu_wyckoff,num_Lu_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Lu_sites,num_CN_env,num_charge_states,LuX_coordn,LuO_coordn,mean_coordn_Lu-X,min_coordn_Lu-X,max_coordn_Lu-X,mean_coordn_Lu-O,min_coordn_Lu-O,max_coordn_Lu-O,mean_Lu_charge,min_Lu_charge,max_Lu_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_LuO_BondL
mp-1193395,LuFeO3,1.9187170860371543,0.3905276024390009,Face-capped octahedron,1,"4b, 2a",2,"[3.105615420977583, 2.760915945079731]",0.0,2.933265683028657,ABC3,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",r2SCAN,Fe-Lu-O,0.013801381291665,-2.901636080666666,0.0,3,Hexagonal,6mm,P6_3cm,oxide,,,Fe,,,,O,F,,Lu,,"B $\in$ [0.1, 0.5]",Positive B,2.253147877627753
mp-1193926,K3Lu(PO4)2,2.001773333318273,0.4320019441474884,Square-face capped trigonal prism,1,2e,1,[1.7843109531272292],0.0,1.7843109531272292,AB2C3D8,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,K-Lu-O-P,0.020135255357145,-2.98139075805017,5.0522,4,Monoclinic,2/m,P2_1/m,phosphate,K,,,,,,"O, P",,,Lu,,"B $\in$ [0.1, 0.5]",Positive B,2.3320845908535475
mp-1193997,BaLuCo4O7,2.7806078284513283,-0.8005684073020973,Octahedron,1,2a,1,[0.301348385077411],0.0,0.301348385077411,ABC4D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Ba-Co-Lu-O,0.013237687259622,-2.091660052820514,0.797299999999999,4,Monoclinic,m,Cc,oxide,,Ba,Co,,,B,"C, O",,,Lu,,"B $\in$ [-1, -0.1]",Negative B,2.2256901089831795
mp-1194079,K3Lu(PO4)2,1.8588608837242864,0.5241765001339154,Octahedron,1,2e,1,[0.38877994149829803],0.0,0.38877994149829803,AB2C3D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,K-Lu-O-P,0.003285453214289,-2.998240560193026,4.9929000000000014,4,Monoclinic,2/m,P2_1/m,phosphate,K,,,,,,"O, P",,,Lu,,"B $\in$ [0.5, 1]",Positive B,2.219530576856532
mp-1194285,LuMoBrO4,2.094618607858502,0.1757340849352942,Square-face capped trigonal prism,1,2i,1,"[3.281492002467237, 2.93466037322046]",0.0,3.1080761878438485,ABCD4,1,2,1,"[7.0, 7.0]","[4.0, 6.0]",7.0,7.0,7.0,5.0,4.0,6.0,3.0,3.0,3.0,2.0,2,2,"Br-, O2-","Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Br-Lu-Mo-O,0.017268155952392,-2.5923890388095243,1.9634,4,Triclinic,-1,P-1,perbromate,,,Mo,,,B,O,Br,,Lu,,"B $\in$ [0.1, 0.5]",Positive B,2.2590766301443734
mp-1194557,BaLu2Si3O10,1.952949698890866,0.3959908040771062,Octahedron,1,4f,1,[4.288640618252621],0.0,4.288640618252621,AB2C3D10,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Ba-Lu-O-Si,0.0,-3.632689089895833,4.830500000000001,4,Monoclinic,2/m,P2_1/m,oxide,,Ba,,,,"B, Si","O, S",,,Lu,,"B $\in$ [0.1, 0.5]",Positive B,2.236399731853343
mp-1194756,Na4LuC3O9F,1.684515504519238,0.6529491400950449,"Square-face bicapped trigonal prism, Square-face capped trigonal prism",2,2a,1,"[2.854886740420706, 2.632592581232501]",0.0,2.743739660826604,ABC3D4E9,2,2,1,"[7.0, 8.0]","[5.0, 8.0]",7.5,7.0,8.0,6.5,5.0,8.0,3.0,3.0,3.0,1.5,1,2,"F-, O2-","Alkali Metals, Halogens, Lanthanides, Nonmetals",r2SCAN,C-F-Lu-Na-O,0.0,-2.454518946371324,4.511100000000001,5,Monoclinic,m,Cc,fluoride,Na,,,,,,"C, N, O",F,,Lu,,"B $\in$ [0.5, 1]",Positive B,2.3029358116709813
mp-1194793,Lu(FeO2)2,2.267706524472948,-0.0195350097246221,Octahedron,1,"4j, 2i",2,"[2.252564063924338, 2.21280483177627]",0.0,2.232684447850304,AB2C4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",GGA_U,Fe-Lu-O,0.047350299017855,-2.45839628452381,0.0,3,Monoclinic,2/m,C2/m,oxide,,,Fe,,,,O,F,,Lu,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.2493225861190007
mp-1194897,Na2LuC2O6F,2.050924174694608,0.2407749393837017,Dodecahedron with triangular faces - p2345 plane normalized,1,4f,1,[2.013935998746608],0.0,2.013935998746608,ABC2D2E6,1,1,1,[8.0],[6.0],8.0,8.0,8.0,6.0,6.0,6.0,3.0,3.0,3.0,2.0,2,2,"F-, O2-","Alkali Metals, Halogens, Lanthanides, Nonmetals",r2SCAN,C-F-Lu-Na-O,0.0,-2.610589308285435,4.8127,5,Monoclinic,2/m,C2/c,fluoride,Na,,,,,,"C, N, O",F,,Lu,,"B $\in$ [0.1, 0.5]",Positive B,2.2958343475379492
mp-1195028,Na2Lu2B2TeO10,1.4027555449664972,1.0896808350766456,Square-face capped trigonal prism,1,4e,1,[2.512601508396889],0.0,2.512601508396889,AB2C2D2E10,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",GGA,B-Lu-Na-O-Te,0.0,-2.87153977418188,2.9727,5,Monoclinic,2/m,P2_1/c,oxide,Na,,,,,"B, Te","N, O",,,Lu,,B > 1,Positive B,2.2855893689082243
mp-1195683,Na5LuH4(C2O7)2,2.5642640551094296,-0.262121825625713,Dodecahedron with triangular faces - p2345 plane normalized,1,2a,1,[1.6091301392328798],0.0,1.6091301392328798,AB4C4D5E14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,C-H-Lu-Na-O,0.0,-2.096473341734401,4.7705,5,Tetragonal,-42m,P-42_1c,oxide,Na,,,,,,"H, C, N, O",,,Lu,,"B $\in$ [-1, -0.1]",Negative B,2.3063679836948303
mp-1196239,Lu(FeO2)2,2.170043441000032,0.1114891774341234,"Face-capped octahedron, Octahedron",2,"4j, 2i",2,"[3.29577489886823, 2.224927102892015]",0.0,2.7603510008801226,AB2C4,2,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",GGA_U,Fe-Lu-O,0.045695261874998,-2.460051321666666,0.0,3,Monoclinic,2/m,C2/m,oxide,,,Fe,,,,O,F,,Lu,,"B $\in$ [0.1, 0.5]",Positive B,2.250359782205417
mp-1196570,Rb2LuSi4O10F,3.331595831965068,-1.7916346617009626,Octahedron,1,4f,1,[0.09652594770585],0.0,0.09652594770585,ABC2D4E10,1,1,1,[6.0],[4.0],6.0,6.0,6.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2,2,"F-, O2-","Alkali Metals, Halogens, Lanthanides, Metalloids, Nonmetals",GGA,F-Lu-O-Rb-Si,0.0,-3.32985431287037,4.927899999999999,5,Monoclinic,2/m,P2_1/m,fluoride,Rb,,,,,Si,"O, S",F,,Lu,,B < -1,Negative B,2.1917667119849384
mp-1197089,Na2LuPWO8,1.912801333219749,0.4577806970143745,Dodecahedron with triangular faces - p2345 plane normalized,1,4d,1,[0.506056369518324],0.0,0.506056369518324,ABCD2E8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Lu-Na-O-P-W,0.006508075384623,-2.810566961466779,4.7657,5,Orthorhombic,mmm,Ibca,oxide,Na,,W,,,,"N, O, P",,,Lu,,"B $\in$ [0.1, 0.5]",Positive B,2.3219375042384405
mp-1197326,KLuH8(CO3)4,2.135825522940378,0.206210400893685,Dodecahedron with triangular faces - p2345 plane normalized,1,2a,1,[0.17998973631744802],0.0,0.17998973631744802,ABC4D8E12,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,C-H-K-Lu-O,0.034761022788448,-1.7502513655352572,3.4538,5,Tetragonal,4/m,I4_1/a,carbonate,K,,,,,,"H, C, O",,,Lu,,"B $\in$ [0.1, 0.5]",Positive B,2.340985920291044
mp-1200479,BaLuCo4O7,2.2322684079506256,-0.0068964463617771,Octahedron,1,4a,1,[0.644459512029116],0.0,0.644459512029116,ABC4D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Ba-Co-Lu-O,0.011849862836545,-2.093047877243591,0.8084,4,Orthorhombic,mm2,Pna2_1,oxide,,Ba,Co,,,B,"C, O",,,Lu,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.227445961708249
mp-1202190,Lu2Si2O7,1.7047922201029404,0.7976404410754185,Pentagonal bipyramid,1,8b,1,[3.357390786728122],0.0,3.357390786728122,A2B2C7,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",GGA,Lu-O-Si,0.019960798409082,-3.570568500984858,5.1931,3,Tetragonal,422,P4_32_12,oxide,,,,,,Si,"O, S",,,Lu,,"B $\in$ [0.5, 1]",Positive B,2.29505587104552
mp-1204668,Na2Lu3Te4(IO4)3,3.064513819886842,-0.7173503707108099,"Cube, Square antiprism",2,"4g, 2e",2,"[2.863014658679586, 2.74178998450884]",0.0,2.8024023215942133,A2B3C3D4E12,2,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Lanthanides, Metalloids, Nonmetals",r2SCAN,I-Lu-Na-O-Te,0.0,-2.317717781851058,2.2596,5,Monoclinic,2/m,P2/c,periodate,Na,,,,,Te,"N, O",I,,Lu,,"B $\in$ [-1, -0.1]",Negative B,2.3464049466075467
mp-1205366,LuRhO3,0.5160430369078977,2.0597149306696614,Square-face bicapped trigonal prism,1,4c,1,[1.221265062654376],0.0,1.221265062654376,ABC3,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Lu-O-Rh,0.0,-2.521613752333331,1.0887,3,Orthorhombic,mmm,Pnma,oxide,,,Rh,,,,O,,,Lu,,B > 1,Positive B,2.360871287466151
mp-1209266,RbLu(MoO4)2,2.635635911662836,-0.2217595580574795,Dodecahedron with triangular faces - p2345 plane normalized,1,2e,1,[1.5769118075461361],0.0,1.5769118075461361,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Lu-Mo-O-Rb,0.032518174374999,-2.523370806597223,3.0489,4,Monoclinic,2/m,C2/c,oxide,Rb,,Mo,,,,O,,,Lu,,"B $\in$ [-1, -0.1]",Negative B,2.3836323521837923
mp-1209359,RbLu(WO4)2,2.239539121983704,-0.0138407550590617,Dodecahedron with triangular faces - p2345 plane normalized,1,2e,1,[2.2805198785013863],0.0,2.2805198785013863,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",r2SCAN,Lu-O-Rb-W,0.0,-2.677106441180554,3.3097,4,Monoclinic,2/m,C2/c,oxide,Rb,,W,,,,O,,,Lu,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.229425659179444
mp-1209535,RbLu(WO4)2,2.172071558603183,0.2398055554102907,Square-face bicapped trigonal prism,1,4e,1,[1.7459955525677402],0.0,1.7459955525677402,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Lu-O-Rb-W,0.016260254374999,-2.6608461868055557,3.8470999999999993,4,Monoclinic,2/m,P2_1/c,oxide,Rb,,W,,,,O,,,Lu,,"B $\in$ [0.1, 0.5]",Positive B,2.3802421743810958
mp-1209937,NdLuO3,2.27483458892935,-0.0884443851617115,Octahedron,1,4a,1,[0.092000691101444],0.0,0.092000691101444,ABC3,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",GGA,Lu-Nd-O,0.022672726374999,-3.842053071458335,4.8869,3,Orthorhombic,mmm,Pnma,oxide,,,,,,,"N, O",,,"Nd, Lu",,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.205978278334497
mp-1210117,NaLuSiO4,1.8022486672238096,0.6610880399146093,Octahedron,1,4c,1,[3.124505162627168],0.0,3.124505162627168,ABCD4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",GGA,Lu-Na-O-Si,0.0,-3.395102296863711,4.396599999999999,4,Orthorhombic,mmm,Pnma,silicate,Na,,,,,Si,"N, O, S",,,Lu,,"B $\in$ [0.5, 1]",Positive B,2.239867103400703
mp-1210307,NaLuTiO4,0.3901624571141994,2.176830221931924,Square-face bicapped trigonal prism,1,4d,1,[3.8949399982104103],0.0,3.8949399982104103,ABCD4,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Lu-Na-O-Ti,0.029182762566991,-3.397059059839901,2.1995,4,Orthorhombic,mmm,Pbcm,oxide,Na,,Ti,,,,"N, O",,,Lu,,B > 1,Positive B,2.399726370149785
mp-1210508,Lu3SbO7,1.9416808326322148,0.4369276239589853,"Cube, Pentagonal bipyramid",2,"4c, 2a",2,"[3.934489822210582, 1.122569148143459]",0.0,2.5285294851770206,AB3C7,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",r2SCAN,Lu-O-Sb,0.0,-3.351060333181816,3.114699999999999,3,Orthorhombic,222,C222_1,oxide,,,,,,Sb,"O, S",,,Lu,,"B $\in$ [0.1, 0.5]",Positive B,2.316621061200398
mp-1210574,Lu5(ReO6)2,2.1276508197408504,0.189592719004359,"Square-face capped trigonal prism, Octahedron",2,"2c, 1b",2,"[2.669255614636721, 4.07231546517723, 0.95527615104281]",0.0,2.56561574361892,A2B5C12,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Lu-O-Re,0.0,-3.402487577280703,0.023799999999999,3,Monoclinic,2/m,C2/m,oxide,,,Re,,,,O,,,Lu,,"B $\in$ [0.1, 0.5]",Positive B,2.266472858902417
mp-1210698,LuTiClO3,1.8360817102664744,0.5017445171789583,Face-capped octahedron,1,2i,1,[2.807467148530545],0.0,2.807467148530545,ABCD3,1,1,1,[7.0],[4.0],7.0,7.0,7.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2,2,"Cl-, O2-","Halogens, Lanthanides, Nonmetals, Transition Metals",GGA,Cl-Lu-O-Ti,0.0,-3.547251003333333,3.0696,4,Monoclinic,2/m,C2/m,chlorate,,,Ti,,,,"C, O",Cl,,Lu,,"B $\in$ [0.5, 1]",Positive B,2.2053142155309966
mp-1210736,LuTl(WO4)2,2.227811734840735,0.0297847686703815,Dodecahedron with triangular faces - p2345 plane normalized,1,2e,1,[2.048890838952733],0.0,2.048890838952733,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Lu-O-Tl-W,0.0,-2.509048591666667,2.775,4,Monoclinic,2/m,C2/c,oxide,,,W,,Tl,,O,,,Lu,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.2498143560582107
