material_id,chem_formula,R$_0$,B,Sb_chemenv,num_Sb_chemenvs,Sb_wyckoff,num_Sb_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Sb_sites,num_CN_env,num_charge_states,SbX_coordn,SbO_coordn,mean_coordn_Sb-X,min_coordn_Sb-X,max_coordn_Sb-X,mean_coordn_Sb-O,min_coordn_Sb-O,max_coordn_Sb-O,mean_Sb_charge,min_Sb_charge,max_Sb_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_SbO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-757850,K4Sb2O5,1.9510717590905753,0.5938594864004514,Triangular non-coplanar,1,4c,1,"[0.851531480751737, 0.8548039199309451]",0.0,0.853167700341341,A2B4C5,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",1.9526937348499553,r2SCAN,K-O-Sb,0.0,-1.853752598090904,2.5575,3,Orthorhombic,mmm,Pnma,oxide,K,None,None,None,None,Sb,"O, S",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-758899,Sb2OF8,1.895437781174929,0.1421540272475173,Octahedron,1,4g,1,"[0.19601357819717702, 1.428967944423163]",0.0,0.8124907613101701,AB2C8,1,1,1,[1.0],[1.0],1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,2.0,2,2,O2-,"Halogens, Metalloids, Nonmetals",1.915881431386203,GGA,F-O-Sb,0.044220298590906,-2.424074236136363,2.1494,3,Monoclinic,2/m,P2/c,fluoride,None,None,None,None,None,Sb,"O, S",F,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-759172,TaSb3O8,2.228901255672978,-0.15300564689294754,"Square pyramid, Octahedron",2,1a,1,"[8.53695025968685, 8.553486676327802, 0.261376805737404, 0.387237022455923, 8.652844029342845, 8.56238140834077, 8.417530518111446, 8.70034070178221, 0.270381571970487, 0.37834487857506405, 8.598093134750762, 8.579905939638769]",0.667,5.824906078893361,AB3C8,2,2,1,"[5.0, 6.0]","[5.0, 6.0]",5.5,5.0,6.0,5.5,5.0,6.0,3.67,3.67,3.67,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",2.164762954462395,GGA,O-Sb-Ta,0.001464699791657,-1.9980034712360912,2.0369,3,Triclinic,1,P1,oxide,None,None,Ta,None,None,Sb,"O, S",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-759185,LiSb(PO3)4,1.716739529500363,0.8223875779894485,Octahedron,1,2c,1,[0.21237136941735701],0.0,0.21237136941735701,ABC4D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",2.287104593068616,GGA,Li-O-P-Sb,0.025155448055543,-2.493897682605819,3.8986,4,Monoclinic,2/m,C2/c,phosphite,Li,None,None,None,None,Sb,"O, P, S",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-759207,LiSb(TeO4)3,1.9628472470341887,0.2213458839184101,Octahedron,1,1a,1,[0.15961422886773402],0.0,0.15961422886773402,ABC3D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",2.003518845992259,GGA,Li-O-Sb-Te,0.030019877598041003,-1.5406538549019602,1.4001000000000001,4,Triclinic,1,P1,oxide,Li,None,None,None,None,"Sb, Te","O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-759251,LiSb(PO3)4,0.6424852701102435,2.4768374562079436,Trigonal prism,1,4e,1,[8.696916766904291],1.0,8.696916766904291,ABC4D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",2.3700875031628335,GGA,Li-O-P-Sb,0.047929341527765006,-2.471123789133598,4.234199999999999,4,Monoclinic,2/m,P2_1/c,phosphite,Li,None,None,None,None,Sb,"O, P, S",None,None,None,None,B > 1,Positive B
mp-759602,Sb4O5F2,2.00399554203551,0.4373482751318248,"Square non-coplanar, See-saw, Triangular non-coplanar, Trigonal prism, Square pyramid, Octahedron",6,2a,1,"[10.80218653613449, 3.2725238297844372, 2.525150385453402, 9.949071276012107, 0.691004758628458, 3.466155785976844, 5.080780233013484, 5.294958521542496]",0.5,5.135228915818215,A2B4C5,6,6,1,"[2.0, 3.0, 3.0, 4.0, 4.0, 5.0]","[2.0, 3.0, 3.0, 4.0, 4.0, 5.0]",3.5,2.0,5.0,3.5,2.0,5.0,3.0,3.0,3.0,1.6666666666666667,1,2,O2-,"Halogens, Metalloids, Nonmetals",2.1844954499669282,GGA,F-O-Sb,0.04307619409091,-1.9534420784090911,2.885799999999999,3,Monoclinic,2,P2_1,fluoride,None,None,None,None,None,Sb,"O, S",F,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-759707,Sb4O5F2,2.020154884540924,0.2720048584357138,"See-saw, Pentagonal plane",2,"8d, 4c",2,"[3.7554952574246, 12.843781712585573, 2.174444901939579]",0.333,6.257907290649918,A2B4C5,2,3,1,"[2.0, 3.0, 3.0]","[2.0, 3.0, 3.0]",2.6666666666666665,2.0,3.0,2.6666666666666665,2.0,3.0,3.0,3.0,3.0,1.6666666666666667,1,2,O2-,"Halogens, Metalloids, Nonmetals",2.052381665671238,GGA,F-O-Sb,0.042907233409093005,-1.953611039090908,3.0228,3,Orthorhombic,mmm,Pnma,fluoride,None,None,None,None,None,Sb,"O, S",F,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-759729,V3Cu2Sb(PO4)6,1.8172154925783943,0.9445709870474177,Octahedron,1,1a,1,[0.41161900753058],0.0,0.41161900753058,AB2C3D6E24,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",1.9897262892474896,GGA_U,Cu-O-P-Sb-V,0.033959235509241,-2.375604631607143,0.0,5,Trigonal,3,R3,phosphate,None,None,"V, Cu",None,None,Sb,"C, O, P, S",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-759787,Co7(SbO6)2,1.9417568884970904,0.4837934714319235,Octahedron,1,2c,1,"[0.22393330367597902, 0.23877314732137103]",0.0,0.23135322549867504,A2B7C12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",2.0324944779211207,GGA_U,Co-O-Sb,0.011519028809523001,-1.517331769761905,0.573099999999999,3,Monoclinic,2,C2,oxide,None,None,Co,None,None,Sb,"C, O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
