material_id,chem_formula,R$_0$,B,Re_chemenv,num_Re_chemenvs,Re_wyckoff,num_Re_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Re_sites,num_CN_env,num_charge_states,ReX_coordn,ReO_coordn,mean_coordn_Re-X,min_coordn_Re-X,max_coordn_Re-X,mean_coordn_Re-O,min_coordn_Re-O,max_coordn_Re-O,mean_Re_charge,min_Re_charge,max_Re_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_ReO_BondL
mp-626819,ReH3O5,1.7841085477262495,0.0518626668686451,Tetrahedron,1,1a,1,"[0.02094871478999, 0.037211735515521004]",0.0,0.029080225152755504,AB3C5,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,H-O-Re,0.019051377222222,-1.643805521805556,3.8311,3,Triclinic,1,P1,oxide,,,Re,,,,"H, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.7571491241985742
mp-627380,Mn(ReO4)2,1.83156534800308,0.1417775203602586,Tetrahedron,1,8d,1,[0.002978754010375],0.0,0.002978754010375,AB2C8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Mn-O-Re,0.0,-2.207803734357368,3.141,3,Trigonal,-1,P-3,oxide,,,"Mn, Re",,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.752679441935186
mp-647218,Re2P2O11,1.899084053885328,0.3253744095652572,Octahedron,1,4c,1,"[0.24880644377744102, 0.24274052395714302]",0.0,0.24577348386729203,A2B2C11,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,O-P-Re,0.0,-2.304902737285715,0.5705,3,Orthorhombic,mmm,Pnma,oxide,,,Re,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9206820919628331
mp-649107,ReTe7O7F32,2.081309722074028,0.5741814354080773,Octahedron,1,2i,1,[0.54885551751566],0.0,0.54885551751566,AB7C7D32,1,1,1,[6.0],[5.0],6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,2.0,2,2,"F-, O2-","Halogens, Metalloids, Nonmetals, Transition Metals",GGA,F-O-Re-Te,0.027364648727816,-2.233607991046099,0.558999999999999,4,Triclinic,-1,P-1,fluoride,,,Re,,,Te,O,F,,,,"B $\in$ [0.5, 1]",Positive B,1.8862709650490157
mp-649177,ReTe5O6F25,1.940801677547763,0.3209710689366173,Octahedron,1,4e,1,[0.13031752655880802],0.0,0.13031752655880802,AB5C6D25,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,1.0,1,1,O2-,"Halogens, Metalloids, Nonmetals, Transition Metals",GGA,F-O-Re-Te,0.026490348778157,-2.221833516171171,2.1693,4,Monoclinic,2/m,P2_1/c,fluoride,,,Re,,,Te,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9037216770512853
mp-667283,Sr5Re3ClO15,2.0829628361591626,0.729329644003108,Square pyramid,1,"8d, 4c",2,"[1.888828757313008, 1.779427414227686]",0.0,1.834128085770347,AB3C5D15,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA,Cl-O-Re-Sr,0.0,-2.7741436522916683,2.3602,4,Orthorhombic,mmm,Pnma,hypochlorite,,Sr,Re,,,,"C, O, S",Cl,,,,"B $\in$ [0.5, 1]",Positive B,1.8377341767469002
mp-667291,ReHg2O5,1.7788752862059962,0.0618791041786428,Tetrahedron,1,2i,1,"[0.007169554447596001, 0.014518726521688001]",0.0,0.010844140484642,AB2C5,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Hg-O-Re,0.0,-1.504287073750005,1.4261,3,Triclinic,-1,P-1,oxide,,,"Re, Hg",,,,"H, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.7445737383575555
mp-667343,Re2(HgO2)5,1.7701638598887364,0.0216703251240272,Tetrahedron,1,4e,1,"[0.061789436669123, 0.008555176519471]",0.0,0.035172306594297,A2B5C10,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,Hg-O-Re,0.000459193529328,-1.431642174558825,1.602199999999999,3,Monoclinic,2/m,P2_1/c,oxide,,,"Re, Hg",,,,"H, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.7582724946704182
mp-674367,Re6Pb5O19,1.97894024178986,0.0865663056619472,Octahedron,1,"4g, 2e",2,"[0.41336689055075504, 0.41236525612136005, 0.40980623175942305, 0.41282806894163704]",0.0,0.4120916118432938,A5B6C19,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,4.5,4.0,5.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA,O-Pb-Re,0.007390768906251,-1.832058724833333,0.0,3,Monoclinic,2/m,P2/c,oxide,,,Re,,Pb,,"O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0019854560420156
mp-675733,Y5(ReO6)2,1.7090411590157517,1.018971675867573,Octahedron,1,2h,1,[0.418217122368213],0.0,0.418217122368213,A2B5C12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.5,4.5,4.5,1.0,1,1,Re4.50+-O2-,"Nonmetals, Transition Metals",r2SCAN,O-Re-Y,0.0,-3.317054344999999,0.0,3,Monoclinic,2/m,C2/m,oxide,,,"Y, Re",,,,O,,,,,B > 1,Positive B,2.0039114125086868
