material_id,chem_formula,R$_0$,B,Re_chemenv,num_Re_chemenvs,Re_wyckoff,num_Re_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Re_sites,num_CN_env,num_charge_states,ReX_coordn,ReO_coordn,mean_coordn_Re-X,min_coordn_Re-X,max_coordn_Re-X,mean_coordn_Re-O,min_coordn_Re-O,max_coordn_Re-O,mean_Re_charge,min_Re_charge,max_Re_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_ReO_BondL
mp-754760,Eu(ReO4)2,1.8452303647168573,0.1602586037034757,Tetrahedron,1,2d,1,[0.005566165571984001],0.0,0.005566165571984001,AB2C8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Eu-O-Re,0.012149112727289,-2.513560679090909,0.4788,3,Trigonal,-3,P-3,oxide,,,Re,,,,O,,,Eu,,"B $\in$ [0.1, 0.5]",Positive B,1.7560619776821658
mp-755194,Er(ReO4)2,1.857667147009519,0.162278354940006,Tetrahedron,1,2d,1,[0.011277875446639002],0.0,0.011277875446639002,AB2C8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.5,6.5,6.5,1.0,1,1,Re6.50+-O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Er-O-Re,0.019055803484841,-2.543080508636363,0.0,3,Trigonal,-3,P-3,oxide,,,Re,,,,O,,,Er,,"B $\in$ [0.1, 0.5]",Positive B,1.7801972726578064
mp-756519,Li(ReO3)4,1.899369814608804,0.3046338194233774,Octahedron,1,4k,1,[0.027792385504297003],0.0,0.027792385504297003,AB4C12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.75,5.75,5.75,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Li-O-Re,0.031848564460785,-2.123757287254903,0.0,3,Orthorhombic,mmm,Immm,oxide,Li,,Re,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9124748227261588
mp-758073,Re6Pb6O19,2.024107754060092,0.0005915289135462,Octahedron,1,"4c, 2b",2,"[0.44550216601416803, 0.45477060130677704, 0.44748911125577806, 0.46346545109040505]",0.0,0.45280683241678205,A6B6C19,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,4.5,4.0,5.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA,O-Pb-Re,0.008808295980707,-1.77286048596774,0.0,3,Orthorhombic,mm2,Pnn2,oxide,,,Re,,Pb,,"O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.024337070936525
mp-766367,Dy5(ReO6)2,1.7116687119579723,1.009167930175238,Octahedron,1,4f,1,[0.41965907432624605],0.0,0.41965907432624605,A2B5C12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.5,4.5,4.5,1.0,1,1,Re4.50+-O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Dy-O-Re,0.000240526842105,-3.354430200175437,0.0,3,Monoclinic,2/m,C2/m,oxide,,,Re,,,,O,,,Dy,,B > 1,Positive B,2.003701440881434
mp-768878,CuReO4,1.8266083540437443,0.1186427688821507,Tetrahedron,1,2i,1,"[0.011629684059170002, 0.13899898102968902, 0.029508273024993002]",0.0,0.06004564603795068,ABC4,1,2,2,"[4.0, 4.0]","[4.0, 4.0]",4.0,4.0,4.0,4.0,4.0,4.0,6.5,6.0,7.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,Cu-O-Re,0.023444757152778,-1.745691165972222,1.0352,3,Triclinic,-1,P-1,oxide,,,"Cu, Re",,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.771318745748418
mp-769285,Ho3ReO8,2.013623011215444,0.7541069989921066,Octahedron,1,2e,1,[0.093443114531914],0.0,0.093443114531914,AB3C8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Ho-O-Re,0.029216561875001,-3.292435065624997,1.7832,3,Monoclinic,2/m,P2_1/m,oxide,,,Re,,,,"H, O",,,Ho,,"B $\in$ [0.5, 1]",Positive B,1.89678616216779
mp-769345,Ho3ReO8,2.0579765337498404,1.1374504640191383,Octahedron,1,4e,1,[0.25195976403679304],0.0,0.25195976403679304,AB3C8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Ho-O-Re,0.0,-3.321651627499998,1.7553,3,Monoclinic,2/m,P2_1/c,oxide,,,Re,,,,"H, O",,,Ho,,B > 1,Positive B,1.8833553412708974
mp-772838,Er(ReO4)3,1.893870812939679,0.2467790435593972,Tetrahedron,1,6b,1,[0.267419495621871],0.0,0.267419495621871,AB3C12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Er-O-Re,0.0,-2.41569748515625,3.8254,3,Trigonal,3m,R3c,oxide,,,Re,,,,O,,,Er,,"B $\in$ [0.1, 0.5]",Positive B,1.7565624399633686
mp-774754,KRe4O8F13,1.7374182365297366,0.0444008020176598,Octahedron,1,2c,1,"[0.578609397192822, 0.6602768325992211]",0.0,0.6194431148960216,AB4C8D13,1,1,1,[6.0],[2.0],6.0,6.0,6.0,2.0,2.0,2.0,7.0,7.0,7.0,2.0,2,2,"F-, O2-","Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,F-K-O-Re,0.005513387596128,-2.475308678163462,3.1423,4,Monoclinic,2,C2,fluoride,K,,Re,,,,O,F,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.7102119904611826
mp-867296,RePO5,1.8503940554802267,0.4467973149443939,Octahedron,1,4f,1,[0.11575597137603301],0.0,0.11575597137603301,ABC5,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,O-P-Re,0.0,-2.323798486020409,0.0,3,Monoclinic,2/m,C2/c,oxide,,,Re,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9356902111304908
mp-9457,Ca3ReO6,1.934881923686547,-0.5102418536903606,Octahedron,1,2b,1,[0.03591370520557],0.0,0.03591370520557,AB3C6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",r2SCAN,Ca-O-Re,0.0,-2.923372625249997,0.0,3,Monoclinic,2/m,P2_1/c,oxide,,Ca,Re,,,,"C, O",,,,,"B $\in$ [-1, -0.1]",Negative B,1.9346897662253697
mp-974650,Re2S2O13,1.9424299976004271,0.3740885126839383,Octahedron,1,4c,1,[0.5220076555611151],0.0,0.5220076555611151,A2B2C13,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,O-Re-S,0.0,-1.851763707352942,2.3825,3,Orthorhombic,mm2,Pba2,oxide,,,Re,,,,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9318426567346627
