material_id,chem_formula,R$_0$,B,Tb_chemenv,num_Tb_chemenvs,Tb_wyckoff,num_Tb_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Tb_sites,num_CN_env,num_charge_states,TbX_coordn,TbO_coordn,mean_coordn_Tb-X,min_coordn_Tb-X,max_coordn_Tb-X,mean_coordn_Tb-O,min_coordn_Tb-O,max_coordn_Tb-O,mean_Tb_charge,min_Tb_charge,max_Tb_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_TbO_BondL
mp-1190577,TbPO4,1.0773136369319534,1.3154425955480993,Tricapped triangular prism (two square-face caps and one triangular-face cap),1,4e,1,[4.155370151915999],0.0,4.155370151915999,ABC4,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",SCAN,O-P-Tb,0.040055719583319,-3.46021655063492,5.8918,3,Monoclinic,2/m,P2_1/c,phosphate,,,,,,,"O, P",,,Tb,,B > 1,Positive B,2.4440598232674975
mp-1191047,Tb3RuO7,1.950084565601904,0.4700537452852145,"Cube, Pentagonal bipyramid",2,"4g, 2a",2,"[0.8249863635824931, 2.308958296252391]",0.0,1.566972329917442,AB3C7,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,O-Ru-Tb,0.0,-3.17857323772727,0.0,3,Orthorhombic,mmm,Cmcm,oxide,,,Ru,,,,O,,,Tb,,"B $\in$ [0.1, 0.5]",Positive B,2.3830329941916797
mp-1191300,Tb3OsO7,1.5681971821837524,1.039791946476288,"Cube, Pentagonal bipyramid",2,"4g, 2a",2,"[0.8516514199834431, 2.300578762657556]",0.0,1.5761150913204995,AB3C7,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.33,3.33,3.33,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,O-Os-Tb,0.0,-3.068974585000001,0.0,3,Orthorhombic,mmm,Cmcm,oxide,,,Os,,,,O,,,Tb,,B > 1,Positive B,2.3891470598646523
mp-1191378,Tb3SbO7,1.9632389979383909,0.4845016540689261,"Cube, Pentagonal bipyramid",2,"4c, 2a",2,"[3.782033886434657, 1.140034878858349]",0.0,2.461034382646503,AB3C7,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",r2SCAN,O-Sb-Tb,0.0,-3.294027590909089,2.752,3,Orthorhombic,mmm,Cmcm,oxide,,,,,,Sb,"O, S",,,Tb,,"B $\in$ [0.1, 0.5]",Positive B,2.387731342332313
mp-1192492,Na5Tb4Si4O16F,4.030909755133374,-1.662928033877055,Square-face bicapped trigonal prism,1,4g,1,[1.646703740266155],0.0,1.646703740266155,AB4C4D5E16,1,1,1,[8.0],[7.0],8.0,8.0,8.0,7.0,7.0,7.0,3.0,3.0,3.0,2.0,2,2,"F-, O2-","Alkali Metals, Halogens, Lanthanides, Metalloids, Nonmetals",GGA,F-Na-O-Si-Tb,0.0,-3.316587696952107,4.7059000000000015,5,Tetragonal,-4,I-4,fluoride,Na,,,,,Si,"N, O, S",F,,Tb,,B < -1,Negative B,2.3956846084449572
mp-1192573,TbWBrO4,1.9153835496393936,0.4582828098819106,"Dodecahedron with triangular faces - p2345 plane normalized, Square-face capped trigonal prism",2,2i,1,"[1.554443098117868, 2.7292107348226162]",0.0,2.141826916470242,ABCD4,2,2,1,"[8.0, 7.0]","[5.0, 6.0]",7.5,7.0,8.0,5.5,5.0,6.0,3.0,3.0,3.0,2.0,2,2,"Br-, O2-","Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Br-O-Tb-W,0.039040852916672,-2.66703991095238,2.6473,4,Triclinic,-1,P-1,perbromate,,,W,,,B,O,Br,,Tb,,"B $\in$ [0.1, 0.5]",Positive B,2.394323595836417
mp-1193942,NaTb(SiO3)2,2.012322545455909,0.3977115839846476,Octahedron,1,"1g, 2i",2,"[1.259339690227279, 2.812305414788243]",0.0,2.035822552507761,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",r2SCAN,Na-O-Si-Tb,0.0,-3.181067695666667,4.3118,4,Triclinic,-1,P-1,oxide,Na,,,,,Si,"N, O, S",,,Tb,,"B $\in$ [0.1, 0.5]",Positive B,2.29154082230362
mp-1194662,K3TbGe3(HO5)2,2.154688817689199,0.1849489369633846,Octahedron,1,4c,1,[0.22952601613335402],0.0,0.22952601613335402,AB2C3D3E10,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",GGA,Ge-H-K-O-Tb,0.0,-2.304897230969298,3.9615,5,Orthorhombic,mmm,Pnma,oxide,K,,,,,Ge,"H, O",,,Tb,,"B $\in$ [0.1, 0.5]",Positive B,2.2913300049927385
mp-1194953,TbH(CO2)3,2.2393521388041138,0.2095455377855007,no_data,1,no_data,1,no_data,0.0,no_data,ABC3D6,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",GGA,C-H-O-Tb,0.0,-2.055339845492425,3.3288,4,Orthorhombic,mmm,Pnma,oxide,,,,,,,"H, C, O",,,Tb,,"B $\in$ [0.1, 0.5]",Positive B,2.4541653523515183
mp-1195153,Tb2CuH4(SO6)2,2.339824973918369,0.1118908029858896,Tricapped triangular prism (three square-face caps),1,4e,1,[2.461628497318718],0.0,2.461628497318718,AB2C2D4E12,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Cu-H-O-S-Tb,0.010378677738092,-2.199153788968253,0.6404000000000001,5,Monoclinic,2/m,P2_1/c,oxide,,,Cu,,,,"H, C, O, S",,,Tb,,"B $\in$ [0.1, 0.5]",Positive B,2.4517888800555094
