material_id,chem_formula,R$_0$,B,Fe_chemenv,num_Fe_chemenvs,Fe_wyckoff,num_Fe_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Fe_sites,num_CN_env,num_charge_states,mean_coordn_Fe-X,min_coordn_Fe-X,max_coordn_Fe-X,mean_coordn_Fe-O,min_coordn_Fe-O,max_coordn_Fe-O,mean_Fe_charge,min_Fe_charge,max_Fe_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_FeO_BondL,FeX_coordn,FeO_coordn,elements
mp-1205381,Cs4FeO3,1.9675110046641688,-0.2495634242961111,Trigonal plane,1,4i,1,[0.009777110660153123],0.0,0.009777110660153123,AB3C4,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1,1,O2-,R2SCAN,Cs-Fe-O,0.0,-1.3739872470150871,0.3902999999999998,3,Triclinic,-1,P-1,oxide,Cs,,Fe,,,,"C, O",F,,,,"B $\in$ [-1, -0.1]",Negative B,1.866219307073602,[3.0],[3.0],"Alkali Metals, Halogens, Nonmetals, Transition Metals"
mp-1205448,FeP2(H4O5)2,2.3224749819123884,-0.1164885820626947,Octahedron,1,2a,1,[0.16775372566288038],0.0,0.16775372566288038,AB2C8D10,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,GGA_U,Fe-H-O-P,0.0,-1.802133210680272,4.3922,4,Monoclinic,2/m,P2_1/c,oxide,,,Fe,,,,"H, O, P",F,,,,"B $\in$ [-1, -0.1]",Negative B,2.1922840302008475,[6.0],[6.0],"Halogens, Nonmetals, Transition Metals"
mp-1205946,BaTmFeCuO5,3.5173107332567617,-2.983784941166161,Square pyramid,1,1a,1,[1.905566231672393],0.0,1.905566231672393,ABCDE5,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Ba-Cu-Fe-O-Tm,0.0090600751270013,-2.488396924166667,0.0,5,Tetragonal,4mm,P4mm,oxide,,Ba,"Fe, Cu",,,B,"C, O",F,,Tm,,B < -1,Negative B,1.992521261135633,[5.0],[5.0],"Alkaline Earth Metals, Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals"
mp-1206136,BaPrFeCuO5,3.924140712931783,-3.750114751969412,Square pyramid,1,1a,1,[1.3237391520588315],0.0,1.3237391520588315,ABCDE5,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Ba-Cu-Fe-O-Pr,0.0020511947242134,-2.415086654351851,0.0,5,Tetragonal,4mm,P4mm,oxide,,Ba,"Fe, Cu",,,B,"C, O, P",F,,Pr,,B < -1,Negative B,2.007736939628315,[5.0],[5.0],"Alkaline Earth Metals, Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals"
mp-1207068,BaDyFeCuO5,3.618986957139043,-3.1749167257925333,Square pyramid,1,1a,1,[1.7803088810505792],0.0,1.7803088810505792,ABCDE5,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Ba-Cu-Dy-Fe-O,0.0,-2.4778684821296286,0.0,5,Tetragonal,4mm,P4mm,oxide,,Ba,"Fe, Cu",,,B,"C, O",F,,Dy,,B < -1,Negative B,1.9965252567217828,[5.0],[5.0],"Alkaline Earth Metals, Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals"
mp-1207651,YMnFeO5,1.3749906400394072,1.162415411196863,Square pyramid,1,4g,1,[1.0303753630434904],0.0,1.0303753630434904,ABCD5,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Fe-Mn-O-Y,0.0,-2.505002501928878,1.1209000000000002,4,Orthorhombic,mmm,Pbam,oxide,,,"Mn, Fe, Y",,,,O,F,,,,B > 1,Positive B,1.9764464249031888,[5.0],[5.0],"Halogens, Nonmetals, Transition Metals"
mp-1207884,ZnFePO5,1.7723572886620076,0.4352162284413078,Octahedron,1,4e,1,"[2.1834906427463063, 3.6217500753320864, 2.283505725734234, 3.946740565820946]",0.0,3.008871752408393,ABCD5,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Fe-O-P-Zn,0.0460093955468732,-2.180289121283482,1.9124,4,Monoclinic,2/m,P2_1/c,oxide,,,"Fe, Zn",,,,"O, P",F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.087266547312393,[6.0],[6.0],"Halogens, Nonmetals, Transition Metals"
mp-1207906,V2Fe2Pb(O4F)2,1.907998838765086,0.1897106552834127,Octahedron,1,2f,1,[0.5979615084260776],0.0,0.5979615084260776,AB2C2D2E8,1,1,1,6.0,6.0,6.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2,2,"F-, O2-",GGA_U,F-Fe-O-Pb-V,0.0314766296666517,-2.169654684333332,0.0,5,Monoclinic,2/m,C2/m,fluoride,,,"V, Fe",,Pb,,"O, P",F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.040517092777095,[6.0],[4.0],"Halogens, Nonmetals, Post-Transition Metals, Transition Metals"
mp-1207977,VFe2BO5,2.053526625591766,0.1057464228423853,Octahedron,1,"2a, 4h, 2d",3,"[0.9173174683995691, 0.7047389838951021, 0.3313135727419155]",0.0,0.6511233416788622,ABC2D5,1,2,2,6.0,6.0,6.0,6.0,6.0,6.0,2.5,2.0,3.0,1.0,1,1,O2-,GGA_U,B-Fe-O-V,0.0,-2.2149736301851863,1.6459999999999997,4,Orthorhombic,mmm,Pbam,oxide,,,"V, Fe",,,B,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.172914663034402,[6.0],[6.0],"Halogens, Metalloids, Nonmetals, Transition Metals"
mp-1208083,TlCr2FeO8,1.9260618786757744,0.1257819149409427,Octahedron,1,1a,1,[0.02939196374568471],0.0,0.02939196374568471,ABC2D8,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Cr-Fe-O-Tl,0.0,-1.632856835277778,1.8589,4,Monoclinic,2/m,C2/m,oxide,,,"Cr, Fe",,Tl,,"C, O",F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.013266021470503,[6.0],[6.0],"Halogens, Nonmetals, Post-Transition Metals, Transition Metals"
mp-1208114,V3ZnFe2O11,1.9705595515626737,0.169931813057431,"Trigonal bipyramid, Octahedron",2,2i,1,"[0.7069646502438177, 3.3832026415955183]",0.0,2.045083645919668,AB2C3D11,2,2,1,5.5,5.0,6.0,5.5,5.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Fe-O-V-Zn,0.0327893639706076,-2.098251147794117,1.3171,4,Triclinic,-1,P-1,oxide,,,"V, Fe, Zn",,,,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0778902815801783,"[5.0, 6.0]","[5.0, 6.0]","Halogens, Nonmetals, Transition Metals"
mp-1208209,Tm3Fe5O12,1.7836913874566804,0.3850413182659277,"Octahedron, Tetrahedron",2,"12d, 8a",2,"[1.0786802093318753, 0.8849798133189655]",0.0,0.9818300113254204,A3B5C12,2,2,1,5.0,4.0,6.0,5.0,4.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Fe-O-Tm,0.0440417316874981,-2.5540860722500005,1.863,3,Cubic,m-3m,Ia-3d,oxide,,,Fe,,,,O,F,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,1.97252175130342,"[4.0, 6.0]","[4.0, 6.0]","Halogens, Lanthanides, Nonmetals, Transition Metals"
mp-1208422,TlCr2FeO8,1.977584931765248,0.0569633934198205,Octahedron,1,4c,1,[0.02192123037938252],0.0,0.02192123037938252,ABC2D8,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Cr-Fe-O-Tl,0.012075135624987,-1.6207816996527775,2.0252,4,Orthorhombic,mmm,Pnma,oxide,,,"Cr, Fe",,Tl,,"C, O",F,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0146300338907537,[6.0],[6.0],"Halogens, Nonmetals, Post-Transition Metals, Transition Metals"
mp-1208436,Ta2Fe4O9,2.6426170759490724,-0.3866411566591768,Octahedron,1,4d,1,"[0.4651701974172115, 1.393147464813836]",0.0,0.9291588311155238,A2B4C9,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,GGA_U,Fe-O-Ta,0.0058497446666603,-2.3700222351444427,2.6582,3,Trigonal,-3m,P-3c1,oxide,,,"Fe, Ta",,,,O,F,,,,"B $\in$ [-1, -0.1]",Negative B,2.191197948795805,[6.0],[6.0],"Halogens, Nonmetals, Transition Metals"
mp-1208510,Sr2YFe3O8,2.1161673205441125,-0.1820822312730073,"Octahedron, Square pyramid",2,"2g, 1a",2,"[1.634824931520269, 0.2107948634787635]",0.0,0.9228098974995163,AB2C3D8,2,2,1,5.5,5.0,6.0,5.5,5.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Fe-O-Sr-Y,0.0232659946205471,-2.516832558571427,0.0,4,Tetragonal,4/mmm,P4/mmm,oxide,,Sr,"Fe, Y",,,,"O, S",F,,,,"B $\in$ [-1, -0.1]",Negative B,2.0058603286040806,"[5.0, 6.0]","[5.0, 6.0]","Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals"
mp-1208570,V2Fe4Mo3O20,1.8914023340763613,0.1949675757447422,Octahedron,1,8d,1,"[1.2354055051996076, 0.5580157313046796]",0.0,0.8967106182521436,A2B3C4D20,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Fe-Mo-O-V,0.0170704081896548,-1.954513201896552,2.1118,4,Tetragonal,422,P4_122,oxide,,,"V, Fe, Mo",,,,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0279673835428884,[6.0],[6.0],"Halogens, Nonmetals, Transition Metals"
mp-1208725,Sr3Fe2Ag2S2O5,0.8064790642550907,2.329060297904342,Square pyramid,1,4e,1,[0.2936868974331178],0.0,0.2936868974331178,A2B2C2D3E5,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Ag-Fe-O-S-Sr,0.0222138244494045,-1.9412010339880947,0.0,5,Tetragonal,mmm,I4/mmm,oxide,,Sr,"Fe, Ag",,,,"O, S",F,,,,B > 1,Positive B,1.99671847565383,[5.0],[5.0],"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals"
mp-1208805,Sr4FeRh2O9,2.076772065042049,0.0298775798859994,Trigonal prism,1,"1a, 2d",2,"[0.1669168665115383, 0.20350480903314314]",0.0,0.1852108377723407,AB2C4D9,1,2,2,6.0,6.0,6.0,6.0,6.0,6.0,2.5,2.0,3.0,1.0,1,1,O2-,GGA_U,Fe-O-Rh-Sr,0.0,-2.31091898796875,0.0,4,Trigonal,32,P321,oxide,,Sr,"Fe, Rh",,,,"O, S",F,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.1017707477796144,[6.0],[6.0],"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals"
mp-1209473,RbNa3Fe7(PO4)6,1.5885202858933063,0.5619882619622528,no_data,1,no_data,1,no_data,0.0,no_data,AB3C6D7E24,2,2,1,5.5,5.0,6.0,5.5,5.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,GGA_U,Fe-Na-O-P-Rb,0.0,-2.3735800469389043,3.1491,5,Monoclinic,2/m,C2/c,phosphate,"Na, Rb",,Fe,,,,"N, O, P",F,,,,"B $\in$ [0.5, 1]",Positive B,2.183483359355617,"[5.0, 6.0]","[5.0, 6.0]","Alkali Metals, Halogens, Nonmetals, Transition Metals"
mp-1210013,Nb2Fe4O9,2.70035685596079,-0.4375196122661343,Octahedron,1,4d,1,"[0.451270712610908, 1.3319330947163046]",0.0,0.8916019036636063,A2B4C9,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,GGA_U,Fe-Nb-O,0.0053860496666597,-2.229148325833332,2.0215,3,Trigonal,-3m,P-3c1,oxide,,,"Fe, Nb",,,,"N, O",F,,,,"B $\in$ [-1, -0.1]",Negative B,2.1902866038429925,[6.0],[6.0],"Halogens, Nonmetals, Transition Metals"
