material_id,chem_formula,R$_0$,B,C_chemenv,num_C_chemenvs,C_wyckoff,num_C_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_C_sites,num_CN_env,num_charge_states,mean_coordn_C-X,min_coordn_C-X,max_coordn_C-X,mean_coordn_C-O,min_coordn_C-O,max_coordn_C-O,mean_C_charge,min_C_charge,max_C_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_CO_BondL,CX_coordn,CO_coordn
mp-1237189,FePH5CO8,1.4461793278178672,0.2599663632818282,Angular,1,4e,1,[0.15914507314030588],0.0,0.15914507314030588,ABCD5E8,1,1,1,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",GGA_U,C-Fe-H-O-P,0.0421245181249965,-1.7058585217745534,2.527,5,Monoclinic,2/m,P2_1/c,oxide,,,Fe,,,,"H, C, O, P",F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.2661292914054552,[2.0],[2.0]
mp-1238754,CsHCO3,1.9820216076873287,2.349387427676999,"Trigonal plane, Square-face bicapped square antiprism",2,4e,1,"[8.294463359308502, 0.09854587030387263]",0.5,4.196504614806187,ABCD3,2,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",GGA,C-Cs-H-O,0.0,-1.8683989868175293,4.9478,4,Monoclinic,2/m,P2_1/c,bicarbonate,Cs,,,,,,"H, C, O",,,,,B > 1,Positive B,1.306359154010608,[3.0],[3.0]
mp-1301551,Na3CoPCO7,1.4478264739930096,0.5104283386429541,"Octahedron, Trigonal plane",2,1a,1,"[2.063173215107921, 2.1967270251774194, 2.19840396884808, 2.1843180689491324, 0.005398941250748423, 0.012501697045116958, 0.006023344777824943, 0.005688047746768647]",0.0,1.0840292886128764,ABCD3E7,2,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-Co-Na-O-P,0.0026654678846282,-2.222709476444676,3.0748999999999995,5,Monoclinic,m,Pm,oxide,Na,,Co,,,,"C, N, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.301015829678008,[3.0],[3.0]
mp-1303576,LiCo(CO3)2,1.234042640987688,-0.2162556887429903,"Octahedron, Trigonal plane",2,1a,1,"[3.809821613158695, 2.8975934306193607, 3.0778273091336144, 2.97339330209122, 0.07427852461637323, 0.169316297112035, 0.17324553447136762, 0.14401102249947823, 0.12948645554861293, 0.13048520961335056, 0.09060474451148699, 0.13842051877519057]",0.0,1.1507069968458987,ABC2D6,2,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-Co-Li-O,0.0427183169583296,-1.7413321373333333,0.7002,4,Triclinic,1,P1,carbonate,Li,,Co,,,,"C, O",,,,,"B $\in$ [-1, -0.1]",Negative B,1.2961317071967275,[3.0],[3.0]
mp-15472,Ba4LiCu(CO5)2,1.7653104105967532,1.6080246582322513,"Square plane, Trigonal plane",2,"1a, 2e",2,"[0.025295786268558967, 0.013725338299743433]",0.0,0.0195105622841512,ABC2D4E10,2,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-C-Cu-Li-O,0.0,-2.4796188024074066,0.9265,5,Tetragonal,-42m,I-42m,oxide,Li,Ba,Cu,,,B,"C, O",,,,,B > 1,Positive B,1.3027448739733802,[3.0],[3.0]
mp-1567457,Li2Co(CO3)2,1.3739205254350713,0.2588941556168836,"Octahedron, Trigonal plane",2,1a,1,"[4.3531533279422305, 3.90493744786034, 4.343394657093619, 3.908559004523108, 0.02856542090176076, 0.029240147379672194, 0.0333635619567861, 0.03396983916108298, 0.03474400002219067, 0.03387428307268691, 0.02455713043044738, 0.025509038254674984]",0.0,1.3961556548832166,AB2C2D6,2,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-Co-Li-O,0.0446018702272716,-1.9419797346969705,2.7698,4,Triclinic,1,P1,carbonate,Li,,Co,,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.299512049966331,[3.0],[3.0]
mp-1568135,Li2Fe(CO3)2,1.3530134656746082,0.1856074739938785,Trigonal plane,1,2a,1,"[0.024485265484089705, 0.024932834999224357]",0.0,0.02470905024165703,AB2C2D6,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA_U,C-Fe-Li-O,0.0404049290909078,-1.9970531306060595,4.114199999999999,4,Orthorhombic,mm2,Fdd2,carbonate,Li,,Fe,,,,"C, O",F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.299868098684368,[3.0],[3.0]
mp-1574416,Na3VPCO7,1.406608633829476,0.3637071967585531,Trigonal plane,1,4a,1,[0.012282203875350024],0.0,0.012282203875350024,ABCD3E7,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-Na-O-P-V,0.0375119558934224,-2.3408561283677534,2.5203,5,Monoclinic,2/m,P2_1/m,oxide,Na,,V,,,,"C, N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.302127848567734,[3.0],[3.0]
mp-1575580,K3FePCO7,1.527156302240247,0.7742533023616402,Trigonal plane,1,2i,1,"[0.024458634429442443, 0.015664058643706718]",0.0,0.02006134653657458,ABCD3E7,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA_U,C-Fe-K-O-P,0.0019295273076949,-2.283273250107141,3.6584,5,Triclinic,-1,P-1,oxide,K,,Fe,,,,"C, O, P",F,,,,"B $\in$ [0.5, 1]",Positive B,1.3044639442905976,[3.0],[3.0]
mp-1580470,K3CoPCO7,1.556104935044771,0.8773617975628809,"Octahedron, Trigonal plane",2,2i,1,"[1.6371776079188591, 1.6257609291524693, 0.031096079757004316, 0.03337216820596559]",0.0,0.8318516962585746,ABCD3E7,2,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-Co-K-O-P,0.0030582618589747,-2.2327047143379124,2.9167,5,Triclinic,-1,P-1,oxide,K,,Co,,,,"C, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.303772088747073,[3.0],[3.0]
mp-1638962,Li3Co2(CO3)4,1.382835631890023,0.2987539277781217,"Trigonal prism, Octahedron, Trigonal plane, Trigonal bipyramid",4,1a,1,"[6.933299188724493, 1.5657505938554368, 6.397449392832678, 6.018466762848894, 0.09404953968035625, 0.14435609184033454, 0.035180119665030575, 0.043926084756325, 0.02052488995977693, 0.022641386882547646, 0.07835935102174088, 0.10812490742659531]",0.25,1.7885106924578509,A2B3C4D12,4,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-Co-Li-O,0.0367089245039737,-1.8506412280952376,0.6923,4,Triclinic,1,P1,carbonate,Li,,Co,,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.2971404253012964,[3.0],[3.0]
mp-1640104,Li3Co2(CO3)4,1.3838652620843686,0.3026664308274039,"Trigonal prism, Octahedron, Trigonal plane, Trigonal bipyramid",4,1a,1,"[5.903660734500624, 1.618031368571041, 7.49884544320276, 5.732888519791033, 0.14665626907952842, 0.09478483592196137, 0.03381461491630483, 0.04553626111339446, 0.021656012640387898, 0.020575358288689505, 0.07739741602679749, 0.10852922400233245]",0.25,1.7751980048379046,A2B3C4D12,4,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-Co-Li-O,0.0366917940277824,-1.850658358571429,0.7432,4,Triclinic,1,P1,carbonate,Li,,Co,,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.2970510428523017,[3.0],[3.0]
mp-1641018,Li3Co2(CO3)4,1.3878733743918026,0.3171368434813663,"Trigonal prism, Octahedron, Trigonal plane",3,1a,1,"[7.01351986645145, 7.847492003505615, 6.7136138480358225, 5.688917615379249, 0.09961926854115315, 0.14755392661852687, 0.03591879943051829, 0.042879487957113785, 0.023027679131398127, 0.02122272046738694, 0.07642691541810893, 0.10912547818891924]",0.333,2.318276467427105,A2B3C4D12,3,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-Co-Li-O,0.0373164935515921,-1.85003365904762,0.6345999999999999,4,Triclinic,1,P1,carbonate,Li,,Co,,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.2968924534766748,[3.0],[3.0]
mp-1644889,Na5Fe2P2(CO7)2,1.4727729547481716,0.598642476948059,Trigonal plane,1,1a,1,"[0.041254600496430066, 0.009960700663110549, 0.022079148779622637, 0.05585059438581703]",0.0,0.03228626108124507,A2B2C2D5E14,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA_U,C-Fe-Na-O-P,0.0124322003999992,-2.250331528247289,1.5622,5,Triclinic,1,P1,oxide,Na,,Fe,,,,"C, N, O, P",F,,,,"B $\in$ [0.5, 1]",Positive B,1.3008430592473563,[3.0],[3.0]
mp-1646256,K2VPCO7,1.480531739297177,0.6348202424663019,Trigonal plane,1,1a,1,"[0.16690145467984357, 0.17048107080164548, 0.16822583674835043, 0.1717990905583779]",0.0,0.16935186319705436,ABCD2E7,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-K-O-P-V,0.0379498539583327,-2.3923590407619044,0.0,5,Triclinic,-1,P-1,oxide,K,,V,,,,"C, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.298953046587619,[3.0],[3.0]
mp-1649939,LiMn(CO3)2,1.2050086431449296,-0.328089772183567,Trigonal plane,1,2a,1,"[0.10818180354676653, 0.11104209173781855, 0.10597354269342957, 0.10437671220743835]",0.0,0.10739353754636324,ABC2D6,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-Li-Mn-O,0.0433052862500007,-1.9388095796264373,1.8426,4,Monoclinic,2,P2_1,carbonate,Li,,Mn,,,,"C, O",,,,,"B $\in$ [-1, -0.1]",Negative B,1.299178938189095,[3.0],[3.0]
mp-1649942,K3CoPCO7,1.570172010298618,0.9284201721531976,"Octahedron, Trigonal plane",2,1a,1,"[1.703819336067896, 1.7212215541408158, 1.7697382427807926, 1.7349482553165656, 0.02506105402936525, 0.03159185783247146, 0.03107357599864206, 0.03116104064943754]",0.0,0.8810768646019983,ABCD3E7,2,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-Co-K-O-P,0.0043168930128212,-2.231446083184065,2.9857,5,Monoclinic,2,P2_1,oxide,K,,Co,,,,"C, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.3031372697667558,[3.0],[3.0]
mp-1649964,K3CoPCO7,1.5598216415380588,0.8921042384814584,"Octahedron, Trigonal plane",2,1a,1,"[1.7875509205790434, 1.7688460870732978, 1.7603515355995094, 1.7647638679707751, 0.026651357029320845, 0.02523953253709895, 0.028264803517964676, 0.027385584920602654]",0.0,0.8986317111534516,ABCD3E7,2,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-Co-K-O-P,0.0073047039743592,-2.2284582722225275,0.0,5,Triclinic,1,P1,oxide,K,,Co,,,,"C, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.30323223019922,[3.0],[3.0]
mp-1653394,Na3CoPCO7,1.3751661775198427,0.2530743477099342,"Octahedron, Trigonal plane, Trigonal bipyramid",3,1a,1,"[2.260079766662089, 2.6693169867331443, 2.2631434522316964, 2.847913874609211, 0.002968449594006115, 0.0032620795822046124, 0.0037580100772398165, 0.0035658026178459067]",0.0,1.2567510527634296,ABCD3E7,3,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-Co-Na-O-P,0.018479424615398,-2.2068955197139064,2.4933999999999994,5,Triclinic,1,P1,oxide,Na,,Co,,,,"C, N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.3024506858541909,[3.0],[3.0]
mp-1666747,Na5Fe2P2(CO7)2,1.4826801200277089,0.6325406414452173,Trigonal plane,1,1a,1,"[0.03513194558867422, 0.008991807051286615, 0.019315486969824006, 0.05642841376215499]",0.0,0.029966913342984958,A2B2C2D5E14,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA_U,C-Fe-Na-O-P,0.0153311731999989,-2.24743255544729,1.1586,5,Triclinic,1,P1,oxide,Na,,Fe,,,,"C, N, O, P",F,,,,"B $\in$ [0.5, 1]",Positive B,1.300977795672558,[3.0],[3.0]
mp-1667139,NaLi2FePCO7,1.309504013711441,0.0305734538195811,Trigonal plane,1,1a,1,"[0.015705345365780665, 0.016218725844611835, 0.011861004328609889, 0.01695666348071266]",0.0,0.015185434754928763,ABCDE2F7,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA_U,C-Fe-Li-Na-O-P,0.0257850590384602,-2.3190101596299093,3.983200000000001,6,Triclinic,1,P1,oxide,"Li, Na",,Fe,,,,"C, N, O, P",F,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.300709687115307,[3.0],[3.0]
mp-1667345,Na3CoAsCO7,1.408220914666219,0.3707420151570875,"Octahedron, Trigonal plane",2,1a,1,"[2.624185276443905, 2.79305248283902, 2.603972977578545, 2.8096926433793996, 0.008535868145088749, 0.0057548873512760215, 0.002958614208886476, 0.0033774795016785434]",0.0,1.356441278680975,ABCD3E7,2,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,As-C-Co-Na-O,0.0024250509615386,-1.924213242049072,2.8883,5,Triclinic,1,P1,oxide,Na,,Co,,,As,"C, N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.301587161881782,[3.0],[3.0]
mp-1667394,NaLi2MnPCO7,1.3070810610581325,0.0196482353175232,Trigonal plane,1,4i,1,[0.018238750238902503],0.0,0.018238750238902503,ABCDE2F7,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-Li-Mn-Na-O-P,0.0243274904487336,-2.405875779086144,3.5988,6,Triclinic,-1,P-1,oxide,"Li, Na",,Mn,,,,"C, N, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.3014372959137688,[3.0],[3.0]
mp-17799,KCdC3(NO)3,1.620217344650314,0.64214720923701,"Linear, Octahedron",2,4c,1,"[0.9224030643108153, 0.004045347269612182, 0.0008774667078906266, 0.0047353796681010125]",0.0,0.23301531448910476,ABC3D3E3,2,1,1,2.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,2,2,"O2-, N3-","Alkali Metals, Nonmetals, Transition Metals",GGA,C-Cd-K-N-O,0.0039430362878825,-1.0015217497500002,4.1312,5,Orthorhombic,mmm,Pnma,oxide,K,,Cd,,,,"C, N, O",,,,,"B $\in$ [0.5, 1]",Positive B,1.2033191219613446,[2.0],[1.0]
mp-18111,Ba2LaC3O9F,1.5108972031123715,0.7644707400094646,Trigonal plane,1,2e,1,"[0.01792712963144054, 0.020117915621068544, 0.014734387898430495]",0.0,0.017593144383646526,ABC2D3E9,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Lanthanides, Metalloids, Nonmetals",R2SCAN,Ba-C-F-La-O,0.0,-2.856411845156249,3.9314,5,Monoclinic,2/m,P2_1/m,fluoride,,Ba,,,,B,"C, O",F,,La,,"B $\in$ [0.5, 1]",Positive B,1.2907685145282863,[3.0],[3.0]
mp-18136,UTl4C3O11,1.4212124906721924,0.4213614062736106,Trigonal plane,1,"4f, 2e",2,"[0.0768511870485356, 0.0749300862148622]",0.0,0.0758906366316989,AB3C4D11,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Nonmetals, Post-Transition Metals",GGA,C-O-Tl-U,0.0,-2.0300015717543864,1.7982999999999998,4,Monoclinic,2/m,C2/c,oxide,,,,,Tl,,"C, O",,,,U,"B $\in$ [0.1, 0.5]",Positive B,1.3008485685852484,[3.0],[3.0]
mp-18698,CsPr(CO3)2,1.4499221957373452,0.521365580565288,"Square-face bicapped trigonal prism, Trigonal plane, Bicapped square prism (adjacent faces)",3,2i,1,"[8.053994771131379, 10.801517546336951, 0.03813625069890713, 0.025542109986803802, 0.03010643021166847, 0.03740518743414161]",0.333,3.164450382633309,ABC2D6,3,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,C-Cs-O-Pr,0.0,-2.535055943382184,4.5623,4,Triclinic,-1,P-1,carbonate,Cs,,,,,,"C, O, P",,,Pr,,"B $\in$ [0.5, 1]",Positive B,1.3000691054646971,[3.0],[3.0]
mp-19261,Na3MnPCO7,1.398476786126699,0.3407636859342656,Trigonal plane,1,2e,1,[0.0030870244439605427],0.0,0.0030870244439605427,ABCD3E7,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-Mn-Na-O-P,0.0,-2.357851228208601,2.0790999999999995,5,Monoclinic,2/m,P2_1/m,oxide,Na,,Mn,,,,"C, N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.30046539347053,[3.0],[3.0]
mp-2228787,MgV2(CO3)4,1.3772780144751071,0.292937244527984,Trigonal plane,1,2c,1,"[0.016785426890418207, 0.06885169671331966]",0.0,0.04281856180186893,AB2C4D12,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,C-Mg-O-V,0.0314865748026225,-2.1137259518421048,1.6349000000000002,4,Monoclinic,2,C2,carbonate,,Mg,V,,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.2936665768901177,[3.0],[3.0]
mp-23724,KHCO3,1.634196189068959,1.1968386276964629,Trigonal plane,1,2i,1,[0.06071490047240814],0.0,0.06071490047240814,ABCD3,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",SCAN,C-H-K-O,0.0152959566666677,-1.871203583625,5.0147,4,Triclinic,-1,P-1,bicarbonate,K,,,,,,"H, C, O",,,,,B > 1,Positive B,1.2901803138870414,[3.0],[3.0]
mp-23733,Cu3H2(CO4)2,1.298514515012835,0.0120007081241851,"Square plane, Trigonal plane, Square pyramid",3,"2a, 4e",2,"[0.7019949344216199, 0.07241619009328508, 0.00604183187746425]",0.0,0.260150985464123,A2B2C3D8,3,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,C-Cu-H-O,0.0048701221666673,-1.3337519651666667,0.0,4,Monoclinic,2/m,P2_1/c,oxide,,,Cu,,,,"H, C, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.2950889426465204,[3.0],[3.0]
mp-23755,BaH3C3O7,1.3897344988418456,0.2963741055486758,Angular,1,4e,1,"[0.10532337961572562, 0.18225138610305694, 0.15785594696361263]",0.0,0.14847690422746507,AB3C3D7,1,1,1,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Ba-C-H-O,0.0492110673660652,-1.7923401408035713,2.7691,4,Monoclinic,2/m,P2_1/c,oxide,,Ba,,,,B,"H, C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.2703226203596192,[2.0],[2.0]
mp-23823,Co2PH2CO7,1.1140538816635768,-0.384498764456646,"Octahedron, Angular",2,4e,1,"[2.575132970086749, 2.547434079880341, 0.1366263631154951]",0.0,1.7530644710275283,ABC2D2E7,2,1,1,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,C-Co-H-O-P,0.0223144890865318,-1.7712592997802186,2.4370000000000003,5,Monoclinic,2/m,P2_1/c,oxide,,,Co,,,,"H, C, O, P",,,,,"B $\in$ [-1, -0.1]",Negative B,1.2699316946794574,[2.0],[2.0]
mp-23852,Na3H5(CO4)2,1.3386074259702816,0.1288238465681763,Trigonal plane,1,4f,1,[0.0370187934984035],0.0,0.0370187934984035,A2B3C5D8,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",GGA,C-H-Na-O,0.0012322828857964,-1.7311704789104394,4.6176,4,Monoclinic,2/m,C2/c,oxide,Na,,,,,,"H, C, N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.302100812746365,[3.0],[3.0]
mp-23905,KMgH9(CO5)2,1.3478885579189737,0.1655616440567001,Trigonal plane,1,2i,1,[0.032036875380431665],0.0,0.032036875380431665,ABC2D9E10,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals",GGA,C-H-K-Mg-O,0.0103925773913067,-1.6774877905869563,5.0253000000000005,5,Triclinic,-1,P-1,oxide,K,Mg,,,,,"H, C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.300836920844537,[3.0],[3.0]
mp-24144,Na5ScH4(C2O7)2,1.4441110451137498,0.5274874358115991,Trigonal plane,1,8e,1,[0.0719120957316122],0.0,0.0719120957316122,AB4C4D5E14,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",R2SCAN,C-H-Na-O-Sc,0.0,-2.072705452389162,4.837,5,Tetragonal,-42m,P-42_1c,oxide,Na,,Sc,,,,"H, C, N, O, S",,,,,"B $\in$ [0.5, 1]",Positive B,1.2927849805861047,[3.0],[3.0]
mp-24228,Na2CuH6C2O9,1.448241927935091,0.5445093564115426,"Octahedron, Trigonal plane",2,4e,1,"[5.791800889963547, 0.12130268059717061, 0.05029641843542048]",0.333,1.987799996332046,AB2C2D6E9,2,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",R2SCAN,C-Cu-H-Na-O,0.0192344377499971,-1.5671333473879314,0.8191,5,Monoclinic,2/m,P2_1/c,oxide,Na,,Cu,,,,"H, C, N, O",,,,,"B $\in$ [0.5, 1]",Positive B,1.2920168367503588,[3.0],[3.0]
mp-24229,Na2CaH10C2O11,1.3319899225395058,0.1050942680819236,"Dodecahedron with triangular faces - p2345 plane normalized, Trigonal plane",2,"4f, 2e",2,"[2.7929337171745185, 0.010990278666091743]",0.0,1.401961997920305,AB2C2D10E11,2,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals",GGA,C-Ca-H-Na-O,0.003712241209933,-1.7295326933753308,4.6291,5,Monoclinic,2/m,C2/c,oxide,Na,Ca,,,,,"H, C, N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.301776507911062,[3.0],[3.0]
mp-24350,K2CoH8(CO5)2,1.3149358504019912,0.0460039058645899,"Octahedron, Trigonal plane",2,"2d, 4e",2,"[0.024227860319688176, 0.004077840999459905]",0.0,0.01415285065957404,AB2C2D8E10,2,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-Co-H-K-O,0.0302062984782613,-1.5612806771521746,3.5964,5,Monoclinic,2/m,P2_1/c,oxide,K,,Co,,,,"H, C, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.3017651252754672,[3.0],[3.0]
mp-24573,K2NiH8(CO5)2,1.3152161342917097,0.0480933380417879,Trigonal plane,1,4e,1,[0.004051918896221633],0.0,0.004051918896221633,AB2C2D8E10,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-H-K-Ni-O,0.0,-1.5943637130217396,4.3339,5,Monoclinic,2/m,P2_1/c,oxide,K,,Ni,,,,"H, C, N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.3014465282200596,[3.0],[3.0]
mp-24606,Rb2MgH8(CO5)2,1.3384067585746708,0.1252308159563618,Trigonal plane,1,4e,1,[0.0016738156683641869],0.0,0.0016738156683641869,AB2C2D8E10,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals",GGA,C-H-Mg-O-Rb,0.0,-1.7614780304347832,4.3182,5,Monoclinic,2/m,P2_1/c,oxide,Rb,Mg,,,,,"H, C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.3024926072655143,[3.0],[3.0]
mp-24623,Rb2NiH8(CO5)2,1.3489800042781457,0.1800987450288085,Trigonal plane,1,4e,1,[0.010891945562182105],0.0,0.010891945562182105,AB2C2D8E10,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-H-Ni-O-Rb,0.0168569327717422,-1.5624424797826086,2.9004000000000003,5,Monoclinic,2/m,P2_1/c,oxide,Rb,,Ni,,,,"H, C, N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.2972409350219278,[3.0],[3.0]
