material_id,chem_formula,R$_0$,B,C_chemenv,num_C_chemenvs,C_wyckoff,num_C_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_C_sites,num_CN_env,num_charge_states,mean_coordn_C-X,min_coordn_C-X,max_coordn_C-X,mean_coordn_C-O,min_coordn_C-O,max_coordn_C-O,mean_C_charge,min_C_charge,max_C_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_CO_BondL,CX_coordn,CO_coordn
mp-1101700,Na5Ni2P2(CO7)2,1.3912358379498937,0.3324046712124057,Trigonal plane,1,2i,1,"[0.07923437109949337, 0.015132076738043853]",0.0,0.04718322391876861,A2B2C2D5E14,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-Na-Ni-O-P,0.0204602706666729,-2.152702440847289,0.0,5,Triclinic,-1,P-1,oxide,Na,,Ni,,,,"C, N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.2960326458531253,[3.0],[3.0]
mp-1101703,NaLi2FePCO7,1.3055316851914864,0.0187709506161301,Trigonal plane,1,1a,1,"[0.01033191844018416, 0.01084114180468621, 0.013135555420708146, 0.00416113101279]",0.0,0.009617436669592128,ABCDE2F7,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA_U,C-Fe-Li-Na-O-P,0.0388775034615376,-2.3059177152068324,2.0243999999999995,6,Triclinic,1,P1,oxide,"Li, Na",,Fe,,,,"C, N, O, P",F,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.3001338206130109,[3.0],[3.0]
mp-1101707,Na5Ni2P2(CO7)2,1.42067472386354,0.4411356419130478,Trigonal plane,1,2i,1,"[0.049003749378212405, 0.06321304087744493]",0.0,0.05610839512782867,A2B2C2D5E14,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-Na-Ni-O-P,0.0180290004666723,-2.15513371104729,0.0,5,Triclinic,-1,P-1,oxide,Na,,Ni,,,,"C, N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.2939815491355586,[3.0],[3.0]
mp-1101716,NaLi2FePCO7,1.3143021373271842,0.043527275281487,Trigonal plane,1,1a,1,"[0.0061192415525977255, 0.008563336946034084, 0.014120194396397001, 0.007769959811395402]",0.0,0.009143183176606054,ABCDE2F7,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA_U,C-Fe-Li-Na-O-P,0.0384624684615371,-2.3063327502068325,1.3709,6,Triclinic,1,P1,oxide,"Li, Na",,Fe,,,,"C, N, O, P",F,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.3018073215519348,[3.0],[3.0]
mp-1101899,Na2CO3,1.353596853587946,0.1841523440447433,Trigonal plane,1,2i,1,[0.0009313229201789681],0.0,0.0009313229201789681,AB2C3,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",GGA,C-Na-O,0.0134401354861113,-2.054059554626436,3.3516,3,Monoclinic,2/m,C2/m,carbonate,Na,,,,,,"C, N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.3006403419020327,[3.0],[3.0]
mp-1173193,Sr8Y4Cu11CO28,1.3240595421378842,0.0703344455836154,"Square plane, Trigonal plane, Square pyramid",3,"1a, 2d",2,"[1.3900218410398422, 0.11793491929400278, 0.014951301438514173, 0.7280230981059396, 0.8258078100956209, 0.09952279811319656, 0.3622724194228178, 0.0019853342938475223]",0.0,0.44256494022547266,AB4C8D11E28,3,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,C-Cu-O-Sr-Y,0.028132517043268,-2.2829778455288454,0.0,5,Orthorhombic,mm2,Amm2,oxide,,Sr,"Cu, Y",,,,"C, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.3039497018140294,[3.0],[3.0]
mp-1173626,Nd2CO5,1.3759446226766876,0.3019592264123913,Trigonal plane,1,2c,1,[0.05731321111899289],0.0,0.05731321111899289,AB2C5,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",R2SCAN,C-Nd-O,0.0,-3.062566405,3.9784,3,Orthorhombic,mmm,Cmcm,oxide,,,,,,,"C, N, O",,,Nd,,"B $\in$ [0.1, 0.5]",Positive B,1.2891865317750328,[3.0],[3.0]
mp-1173843,Na3H12Ru2(C2O9)2,1.3324903079920871,0.1119389805208016,Trigonal plane,1,1a,1,"[0.01932935491199272, 0.020854875941257147, 0.04026647718536447, 0.0244247298823483, 0.025110445927215955, 0.03700657693820033, 0.020081870028653404, 0.020251857056054465]",0.0,0.025915773483885848,A2B3C4D12E18,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,C-H-Na-O-Ru,0.0274944755128219,-1.5437367884394344,0.7499999999999999,5,Triclinic,1,P1,oxide,Na,,Ru,,,,"H, C, N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.301373422688117,[3.0],[3.0]
mp-1176327,Na5Ni2P2(CO7)2,1.429172758485029,0.4680234874515389,Trigonal plane,1,2e,1,"[0.060375315837855825, 0.05786727441932969]",0.0,0.05912129512859276,A2B2C2D5E14,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-Na-Ni-O-P,0.021197517466672,-2.15196519404729,0.0,5,Monoclinic,2/m,P2_1/m,oxide,Na,,Ni,,,,"C, N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.2947490339760732,[3.0],[3.0]
mp-1176328,Na5Ni2P2(CO7)2,1.4341571475472932,0.4842317193250828,Trigonal plane,1,1a,1,"[0.029384054268303813, 0.02479560163388079, 0.07632973204672702, 0.04985288331362051]",0.0,0.04509056781563303,A2B2C2D5E14,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,C-Na-Ni-O-P,0.0400929216666723,-2.1330697898472897,0.0,5,Triclinic,1,P1,oxide,Na,,Ni,,,,"C, N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.2950045324476844,[3.0],[3.0]
