material_id,chem_formula,R$_0$,B,Ca_chemenv,num_Ca_chemenvs,Ca_wyckoff,num_Ca_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ca_sites,num_CN_env,num_charge_states,CaX_coordn,CaO_coordn,mean_coordn_Ca-X,min_coordn_Ca-X,max_coordn_Ca-X,mean_coordn_Ca-O,min_coordn_Ca-O,max_coordn_Ca-O,mean_Ca_charge,min_Ca_charge,max_Ca_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_CaO_BondL
mp-1019569,Ca10Ge16(B2O17)3,2.210583899313308,0.2026585320509854,"Square-face capped trigonal prism, Square antiprism",2,4c,1,"[3.176330513573829, 1.441540967227137, 2.871323569543642, 2.066667859937219, 2.960775408463698]",0.0,2.503327663749105,A6B10C16D51,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Ca-Ge-O,0.0,-2.653662829759037,3.0963,4,Orthorhombic,mm2,Pba2,oxide,,Ca,,,,"B, Ge","C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.491946389348717
mp-1019570,Ca8Si5O18,2.1866907938931903,0.2060287625421363,"Octahedron, Square antiprism",2,"4c, 8d, 4b",3,"[3.103672653669427, 2.704895168415458, 3.223648918219918, 2.795035849012542, 1.3859421054996681]",0.0,2.642638938963403,A5B8C18,2,2,1,"[6.0, 8.0]","[6.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Ca-O-Si,0.000551980940864,-3.319730936559136,4.7787,3,Orthorhombic,mmm,Pbcn,oxide,,Ca,,,,Si,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.4259436781054835
mp-1019572,CaAl2SiO6,2.250141963788149,0.161758755513081,Square antiprism,1,1a,1,"[2.876396076545957, 2.979573381082643, 2.94871813489217, 2.980096542946201]",0.0,2.946196033866743,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ca-O-Si,0.033692449388881,-3.41135347025,4.549800000000001,4,Triclinic,1,P1,oxide,,Ca,,,Al,Si,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.490569698556583
mp-1019573,CaAl2SiO6,2.251311626465693,0.1627839963779795,Square antiprism,1,1a,1,"[3.192798927025258, 2.628133896075023, 2.587994642140181, 2.976002288092132]",0.0,2.846232438333149,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ca-O-Si,0.016939515638881,-3.428106404,4.619100000000001,4,Triclinic,1,P1,oxide,,Ca,,,Al,Si,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.4856199779165595
mp-1019575,Ca4Al6SO16,2.030315145062836,0.400556137455336,"Pentagonal bipyramid, Trigonal bipyramid",2,4e,1,"[6.349694101178854, 3.7344968400373393, 5.6269429538525415, 5.65310315400504]",0.75,5.341059262268443,AB4C6D16,2,3,1,"[4.0, 5.0, 7.0]","[4.0, 5.0, 7.0]",5.333333333333333,4.0,7.0,5.333333333333333,4.0,7.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Al-Ca-O-S,0.0,-3.295773933055555,4.6874,4,Orthorhombic,mm2,Pcc2,oxide,,Ca,,,Al,,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.4251794864932115
mp-1019581,CaS3O10,2.132945216439059,0.2610433921925288,Dodecahedron with triangular faces - p2345 plane normalized,1,4e,1,[1.00879626673795],0.0,1.00879626673795,AB3C10,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals",GGA,Ca-O-S,0.0,-2.086758551785713,5.0004,3,Monoclinic,2/m,P2_1/c,oxide,,Ca,,,,,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.5052071371948674
mp-1019583,CaAl2SiO6,2.088075828874853,0.3000131742789546,Square antiprism,1,4e,1,[3.07109346207655],0.0,3.07109346207655,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ca-O-Si,0.049249523638882,-3.395796396,4.291799999999999,4,Monoclinic,2/m,P2_1/c,oxide,,Ca,,,Al,Si,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.4992630696938134
mp-1019584,CaAl2SiO6,2.250973684096367,0.1636764175683085,Square antiprism,1,"2f, 2e",2,"[2.367819035995506, 3.317093836116451]",0.0,2.8424564360559783,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ca-O-Si,0.016791177138881,-3.4282547425,4.605699999999999,4,Monoclinic,2/m,P2/c,oxide,,Ca,,,Al,Si,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.4868604029603008
mp-1019586,CaAl2SiO6,2.2644476710207684,0.1516534612504868,no_data,1,no_data,1,no_data,0.0,no_data,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ca-O-Si,0.016824049638882,-3.42822187,4.536299999999999,4,Monoclinic,2,C2,oxide,,Ca,,,Al,Si,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.482787791378991
mp-1019714,CsCa10(PO4)7,1.8140057810048984,0.528702883560155,"Tricapped triangular prism (three square-face caps), Octahedron, Square-face bicapped trigonal prism",3,"6b, 2a",2,"[2.200623820185933, 3.078927020258408, 2.673775297432769, 4.836928324572504]",0.0,3.1975636156124034,AB7C10D28,3,3,1,"[6.0, 8.0, 9.0]","[6.0, 8.0, 9.0]",7.666666666666667,6.0,9.0,7.666666666666667,6.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals",GGA,Ca-Cs-O-P,0.0,-3.283418606133807,5.203,4,Trigonal,3m,R3c,phosphate,Cs,Ca,,,,,"C, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.543957387335012
