material_id,chem_formula,R$_0$,B,U_chemenv,num_U_chemenvs,U_wyckoff,num_U_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_U_sites,num_CN_env,num_charge_states,UX_coordn,UO_coordn,mean_coordn_U-X,min_coordn_U-X,max_coordn_U-X,mean_coordn_U-O,min_coordn_U-O,max_coordn_U-O,mean_U_charge,min_U_charge,max_U_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_UO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1182635,Ba8CaY2U4O24,2.0831222002221113,1.2054068140016934,Octahedron,1,"4y, 2t, 2s, 2r, 2q, 4z",6,"[0.12407840910557001, 0.13106743972305102, 0.11046362095047702, 0.143438756312763, 0.111159723041949, 0.13551190298075802]",0.0,0.12595330868576135,AB2C4D8E24,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Actinides, Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",2.0911460584593735,GGA,Ba-Ca-O-U-Y,0.002462540384614,-3.568061197564102,1.8908,5,Orthorhombic,mmm,Pmmm,oxide,None,"Ca, Ba",Y,None,None,B,"C, O",None,None,None,U,B > 1,Positive B
mp-1182767,BaU11(GeO19)2,2.139770053845429,0.3607440922467012,"Pentagonal bipyramid, Octahedron",2,"12i, 6h, 4f",3,"[1.183397318962086, 1.8701214897984881, 2.363700834883148]",0.0,1.8057398812145742,AB2C11D38,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,6.0,6.0,6.0,1.0,1,1,O2-,"Actinides, Alkaline Earth Metals, Metalloids, Nonmetals",2.2065974552339793,GGA,Ba-Ge-O-U,0.049198797836542005,-3.401486729230767,1.6020999999999992,4,Trigonal,-3m,P-31c,oxide,None,Ba,None,None,None,"B, Ge",O,None,None,None,U,"B $\in$ [0.1, 0.5]",Positive B
mp-1188279,Ca3UO6,2.0951147045953045,-0.6280195665354192,Octahedron,1,2a,1,[0.08991473628940701],0.0,0.08991473628940701,AB3C6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Actinides, Alkaline Earth Metals, Nonmetals",2.0948390344060512,GGA,Ca-O-U,0.038747768499971004,-3.581028673999999,2.198899999999999,3,Monoclinic,2,P2_1,oxide,None,Ca,None,None,None,None,"C, O",None,None,None,U,"B $\in$ [-1, -0.1]",Negative B
mp-1188375,Sr3UO6,2.1016917855539305,-0.2640885999229622,Octahedron,1,2a,1,[0.046151443716560006],0.0,0.046151443716560006,AB3C6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Actinides, Alkaline Earth Metals, Nonmetals",2.1015931154483156,GGA,O-Sr-U,0.0014722115000010002,-3.5324403335,2.2266,3,Monoclinic,2,P2_1,oxide,None,Sr,None,None,None,None,"O, S",None,None,None,U,"B $\in$ [-1, -0.1]",Negative B
mp-11887,K2U3(TeO7)2,2.1021653493870125,0.4415667360985327,"Pentagonal bipyramid, Octahedron",2,"1a, 2i",2,"[1.719480623658593, 2.755894054704738]",0.0,2.2376873391816656,A2B2C3D14,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,6.0,6.0,6.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Metalloids, Nonmetals",2.1949928324051995,GGA,K-O-Te-U,0.0,-2.874956071325395,1.8600999999999992,4,Triclinic,-1,P-1,oxide,K,None,None,None,None,Te,O,None,None,None,U,"B $\in$ [0.1, 0.5]",Positive B
mp-1188876,Sr2UCdO6,2.094358741535104,0.13080915497427872,Octahedron,1,2c,1,[0.026782219867229003],0.0,0.026782219867229003,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Actinides, Alkaline Earth Metals, Nonmetals, Transition Metals",2.0944110570864893,GGA,Cd-O-Sr-U,0.010074257500007,-3.150806093499999,1.964299999999999,4,Monoclinic,2/m,P2_1/c,oxide,None,Sr,Cd,None,None,None,"C, O, S",None,None,None,U,"B $\in$ [0.1, 0.5]",Positive B
mp-1190329,Na2U2O7,2.105780723503104,0.7253697748068841,Octahedron,1,2a,1,"[2.012567964486324, 3.841396381724445]",0.0,2.9269821731053844,A2B2C7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Nonmetals",2.117653579446675,GGA,Na-O-U,0.004338366818183,-3.269889350705327,1.5976,3,Monoclinic,2,P2_1,oxide,Na,None,None,None,None,None,"N, O",None,None,None,U,"B $\in$ [0.5, 1]",Positive B
mp-1190512,Na2UTeO7,2.013544842715513,1.015235940755102,Pentagonal bipyramid,1,2b,1,[3.001449757797098],0.0,3.001449757797098,ABC2D7,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Metalloids, Nonmetals",2.214138226106155,GGA,Na-O-Te-U,0.0,-2.517456909947752,1.880799999999999,4,Orthorhombic,mm2,Ama2,oxide,Na,None,None,None,None,Te,"N, O",None,None,None,U,B > 1,Positive B
mp-1190548,Na2U2O7,2.070465594327131,0.8623689504903839,"Pentagonal bipyramid, Octahedron",2,"2e, 2i",2,"[1.644865360889245, 2.4743548868470953]",0.0,2.05961012386817,A2B2C7,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,6.0,6.0,6.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Nonmetals",2.1555614682503084,r2SCAN,Na-O-U,0.0,-3.27422771752351,1.5582,3,Monoclinic,2/m,C2/m,oxide,Na,None,None,None,None,None,"N, O",None,None,None,U,"B $\in$ [0.5, 1]",Positive B
mp-1191140,US2O9,2.0461737240777955,0.3940547734961516,Pentagonal bipyramid,1,2i,1,[2.057602483357756],0.0,2.057602483357756,AB2C9,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,1.0,1,1,O2-,"Actinides, Nonmetals",2.22774122497273,r2SCAN,O-S-U,0.005919219166665,-2.351581309166668,2.146,3,Triclinic,-1,P-1,oxide,None,None,None,None,None,None,"O, S",None,None,None,U,"B $\in$ [0.1, 0.5]",Positive B
