material_id,chem_formula,R$_0$,B,Ni_chemenv,num_Ni_chemenvs,Ni_wyckoff,num_Ni_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ni_sites,num_CN_env,num_charge_states,NiX_coordn,NiO_coordn,mean_coordn_Ni-X,min_coordn_Ni-X,max_coordn_Ni-X,mean_coordn_Ni-O,min_coordn_Ni-O,max_coordn_Ni-O,mean_Ni_charge,min_Ni_charge,max_Ni_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_NiO_BondL
mp-1038314,Mg30AlNiO32,0.4153644428978875,1.0240390650945987,Octahedron,1,1b,1,[0.29753096323640005],0.0,0.29753096323640005,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Al-Mg-Ni-O,0.033116900664063,-2.971837685156249,1.7857,4,Tetragonal,4/mmm,P4/mmm,oxide,,Mg,Ni,,Al,,"N, O",,,,,B > 1,Positive B,2.257398050660002
mp-1040914,CaNi2(PO4)2,1.6764105960193032,0.4283958219748646,"Square pyramid, Octahedron, Trigonal prism",3,"4f, 2c, 2e",3,"[1.554942853141229, 5.927728984484487, 6.515174719345223]",0.667,4.6659488523236465,AB2C2D8,3,3,1,"[4.0, 5.0, 6.0]","[4.0, 5.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Ni-O-P,0.012089604209402,-2.503994431098902,3.1073,4,Monoclinic,2/m,C2/c,phosphate,,Ca,Ni,,,,"C, N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0779243820491633
mp-1040979,Zn(NiO2)2,1.8966882210791725,0.1222867762578885,"Tetrahedron, Octahedron",2,1a,1,"[0.593240653072523, 0.257427105772259, 0.7057186249135401, 0.75090776532833, 0.8881349216899521, 0.6810304926502511, 0.17325731178859302, 0.587170985658219, 1.08645689598775, 0.827217804231905, 0.67252552090435, 0.114500223171242]",0.0,0.6114656920974095,AB2C4,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Ni-O-Zn,0.030190923095238,-1.200087112619047,0.0,3,Triclinic,1,P1,oxide,,,"Ni, Zn",,,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9787514101656203
mp-1041000,Mg(NiO2)2,1.7456834190858808,0.3591169279534734,"Tetrahedron, Octahedron",2,"3d, 1a, 1b",3,"[0.46833241832659206, 0.49832057538554103, 1.002344495108594, 0.378111846722399, 0.449119761973283, 0.000157717010704]",0.0,0.4660644690878522,AB2C4,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-Ni-O,0.03365443174603,-1.536137684761905,0.0,3,Trigonal,3m,P3m1,oxide,,Mg,Ni,,,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9815559962827958
mp-1041166,Mg(NiO2)2,1.8582403830328864,0.1928485085051763,"Tetrahedron, Octahedron",2,"2b, 1a",2,"[0.391518512684909, 0.550686993764638, 0.5257757406114281, 0.7720954708048221, 0.059722314121684, 0.408190682674532, 0.47225974450568403, 0.40410953100407904, 0.012012558528907001]",0.0,0.3995968387445204,AB2C4,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-Ni-O,0.041081831031744,-1.52871028547619,0.0,3,Monoclinic,m,Cm,oxide,,Mg,Ni,,,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.974792616879516
mp-1041663,Ca(NiO2)2,1.209645511979027,1.4822643423179336,Octahedron,1,8e,1,[1.474775917463543],0.0,1.474775917463543,AB2C4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Ni-O,0.025280587499999,-1.6368118299999992,0.2016,3,Orthorhombic,mmm,Pbcm,oxide,,Ca,Ni,,,,"C, N, O",,,,,B > 1,Positive B,2.0576612128656984
mp-1041887,MgSi2NiO6,1.553978361349889,0.5820845835077568,Octahedron,1,8c,1,[3.6274937436753243],0.0,3.6274937436753243,ABC2D6,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Mg-Ni-O-Si,0.015691301291662,-2.830690812124999,3.937499999999999,4,Orthorhombic,mmm,Pbca,oxide,,Mg,Ni,,,Si,"N, O, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.112860941297354
mp-1042016,CaNiP2O7,1.9522282260661303,0.1220192288571776,Square pyramid,1,2i,1,[0.910479730897857],0.0,0.910479730897857,ABC2D7,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Ni-O-P,0.01561122810606,-2.711059151753245,3.6138,4,Triclinic,-1,P-1,oxide,,Ca,Ni,,,,"C, N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.064301830425088
mp-1042060,MgNiP2O7,1.87036530675012,0.2038553675983429,Trigonal bipyramid,1,4i,1,[2.129229392015683],0.0,2.129229392015683,ABC2D7,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-Ni-O-P,0.002496988750007,-2.601712412662337,3.8079,4,Triclinic,-1,P-1,oxide,,Mg,Ni,,,,"N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.06004084517881
mp-1042104,ZnNiP2O7,1.839997626786276,0.2226481490669414,Trigonal bipyramid,1,4i,1,[1.9655836956082062],0.0,1.9655836956082062,ABC2D7,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Ni-O-P-Zn,0.020653729715918,-2.310011806298701,3.5472,4,Triclinic,-1,P-1,oxide,,,"Ni, Zn",,,,"N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.04716038328453
mp-1042795,ZnNiAs2O7,1.8548726320320017,0.1594001797943934,Trigonal bipyramid,1,4e,1,[1.932548815831408],0.0,1.932548815831408,ABC2D7,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",r2SCAN,As-Ni-O-Zn,0.027082032954542,-1.629026573636363,2.065699999999999,4,Monoclinic,2/m,P2_1/c,oxide,,,"Ni, Zn",,,As,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0033039125331764
mp-1042817,MgNiAs2O7,1.889975742167029,0.1551965181270666,Square pyramid,1,4e,1,[2.577739629235942],0.0,2.577739629235942,ABC2D7,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,As-Mg-Ni-O,0.015062525909084,-1.911130267045453,2.642299999999999,4,Monoclinic,2/m,P2_1/c,oxide,,Mg,Ni,,,As,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0344883802270357
mp-1042887,CaNiAs2O7,1.79766927254333,0.2564475485903251,Square pyramid,1,4e,1,[1.899672032312524],0.0,1.899672032312524,ABC2D7,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,As-Ca-Ni-O,0.020264686515149,-2.030143152727272,2.7064,4,Monoclinic,2/m,P2_1/c,oxide,,Ca,Ni,,,As,"C, N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0333044572341556
mp-1043031,MgTiNiP2O9,1.93662873096018,0.1182842962961771,Octahedron,1,4a,1,[1.021171368342632],0.0,1.021171368342632,ABCD2E9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-Ni-O-P-Ti,0.046853514047626,-2.770621761794218,3.0266,5,Orthorhombic,mmm,Pnma,oxide,,Mg,"Ti, Ni",,,,"N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0736289610416008
mp-1043092,CaTiNiP2O9,2.1302792240542345,-0.0398537089096796,Octahedron,1,4a,1,[1.16057250537399],0.0,1.16057250537399,ABCD2E9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Ni-O-P-Ti,0.0,-2.919581371079932,3.0134,5,Orthorhombic,mmm,Pnma,oxide,,Ca,"Ti, Ni",,,,"C, N, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0841211786236884
