material_id,chem_formula,R$_0$,B,Hg_chemenv,num_Hg_chemenvs,Hg_wyckoff,num_Hg_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Hg_sites,num_CN_env,num_charge_states,HgX_coordn,HgO_coordn,mean_coordn_Hg-X,min_coordn_Hg-X,max_coordn_Hg-X,mean_coordn_Hg-O,min_coordn_Hg-O,max_coordn_Hg-O,mean_Hg_charge,min_Hg_charge,max_Hg_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_HgO_BondL
mp-23644,Hg3AsClO4,1.8275066206898416,1.1525241214773234,See-saw,1,12b,1,[4.200283417525854],0.0,4.200283417525854,ABC3D4,1,1,1,[4.0],[3.0],4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2,2,"Cl-, O2-","Halogens, Metalloids, Nonmetals, Transition Metals",GGA,As-Cl-Hg-O,0.009453584351849,-0.8169341639814811,2.0411,4,Cubic,23,P2_13,perchlorate,,,Hg,,,As,"H, C, O",Cl,,,,B > 1,Positive B,2.474212223538021
mp-24216,ZnHgAsHO5,1.7221727833821858,0.59960382272527,Square-face capped trigonal prism,1,4c,1,[2.324629543589117],0.0,2.324629543589117,ABCDE5,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA,As-H-Hg-O-Zn,0.0,-1.448516387361112,1.3969,5,Orthorhombic,mmm,Pnma,oxide,,,"Zn, Hg",,,As,"H, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.5660224607743154
mp-24426,HgH2SeO5,2.818958001945851,-0.1909635089649057,Square-face capped trigonal prism,1,4e,1,[3.10110912410371],0.0,3.10110912410371,ABC2D5,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,H-Hg-O-Se,0.0,-1.080913883871529,1.4897,4,Monoclinic,2/m,P2_1/c,oxide,,,Hg,,,,"H, O, S, Se",,,,,"B $\in$ [-1, -0.1]",Negative B,2.5157335260400067
mp-28318,HgTeO3,2.2971172414814776,0.0781227394634175,"Square-face capped trigonal prism, Octahedron",2,2i,1,"[7.451609779145561, 7.8495138699876215]",1.0,7.650561824566591,ABC3,2,2,1,"[5.0, 6.0]","[5.0, 6.0]",5.5,5.0,6.0,5.5,5.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",r2SCAN,Hg-O-Te,0.014454452625,-1.169260638333334,2.2362,3,Triclinic,-1,P-1,oxide,,,Hg,,,Te,"H, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.4320498742417387
mp-28455,Hg2P2O7,1.8450699270672783,0.5530315851558882,Octahedron,1,2i,1,"[1.438888680939654, 8.844966146210643]",0.5,5.141927413575148,A2B2C7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Hg-O-P,0.0,-1.706373204632037,1.484199999999999,3,Triclinic,-1,P-1,oxide,,,Hg,,,,"H, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.416578899059369
mp-29112,CrHg5O6,2.1269493602648395,0.5251156548960416,"Triangular non-coplanar, Octahedron",2,"4f, 2a",2,"[4.1903254920698885, 4.72911429149963, 2.642931562139046]",0.0,3.854123781902855,AB5C6,2,3,2,"[1.0, 3.0, 6.0]","[1.0, 3.0, 6.0]",3.333333333333333,1.0,6.0,3.333333333333333,1.0,6.0,1.3333333333333333,1.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Cr-Hg-O,0.043208686145833,-0.930268126875003,0.859399999999999,3,Monoclinic,2/m,C2/c,oxide,,,"Cr, Hg",,,,"H, C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.5073972452533075
mp-29189,V(HgO2)2,2.008505806485594,0.4013964272323578,"See-saw, Square pyramid, Octahedron",3,"2c, 2b, 4e",3,"[6.232996350569192, 4.382311896087663, 1.707396210232517, 3.400966615166189, 4.515068513894905]",0.2,4.047747917190093,AB2C4,3,3,2,"[2.0, 5.0, 6.0]","[1.0, 4.0, 6.0]",4.333333333333333,2.0,6.0,3.6666666666666665,1.0,6.0,1.3333333333333333,1.0,2.0,1.6666666666666667,1,2,"Hg+, O2-","Nonmetals, Transition Metals",r2SCAN,Hg-O-V,0.0,-1.478410062678571,1.238999999999999,3,Monoclinic,2/m,P2_1/c,oxide,,,"V, Hg",,,,"H, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.504372295643789
mp-29709,Hg3PO4,1.8604486377642016,0.5791191539580894,Triangular non-coplanar,1,4e,1,"[4.039827610722411, 4.965496506005406, 4.431514739669607]",0.0,4.478946285465808,AB3C4,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Hg-O-P,0.002078614374998,-1.297272299747025,0.7357,3,Monoclinic,2/m,P2_1/c,phosphate,,,Hg,,,,"H, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.4750046915925403
mp-29710,Hg4P2O7,1.873688442793955,0.6205024720186703,"Triangular non-coplanar, Angular",2,4g,1,"[7.078224276426328, 5.557650988546876]",1.0,6.317937632486602,A2B4C7,2,2,1,"[2.0, 3.0]","[2.0, 3.0]",2.5,2.0,3.0,2.5,2.0,3.0,1.0,1.0,1.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Hg-O-P,0.0,-1.4991747327655651,1.588499999999999,3,Monoclinic,2/m,P2/c,oxide,,,Hg,,,,"H, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.4017571841818333
mp-29893,Hg2MoO4,1.432892916496499,0.8462253555812657,See-saw,1,4e,1,"[9.253297018334292, 4.274922015497953]",0.5,6.764109516916123,AB2C4,1,2,1,"[5.0, 6.0]","[4.0, 5.0]",5.5,5.0,6.0,4.5,4.0,5.0,1.0,1.0,1.0,2.0,2,2,"Hg+, O2-","Nonmetals, Transition Metals",r2SCAN,Hg-Mo-O,0.004412687500004,-1.352835377500001,2.0451,3,Monoclinic,2/m,P2_1/c,oxide,,,"Mo, Hg",,,,"H, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.6531076070133826
mp-29894,Hg2WO4,2.9675201465675984,-0.4290035377466837,See-saw,1,4f,1,[6.86198857961529],1.0,6.86198857961529,AB2C4,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Hg-O-W,0.0,-1.448770275000004,1.9051999999999991,3,Monoclinic,2/m,C2/c,oxide,,,"W, Hg",,,,"H, O",,,,,"B $\in$ [-1, -0.1]",Negative B,2.437449217653153
mp-29958,Hg7(PO5)2,2.179554936261728,0.1808052966751926,"See-saw, Triangular non-coplanar, Linear",3,"2b, 4e",2,"[3.8915976324574685e-30, 4.081304321786999, 5.866835324758839, 9.8117508702262]",0.5,4.93997262919301,A2B7C10,3,4,2,"[3.0, 4.0, 2.0, 3.0]","[3.0, 4.0, 2.0, 3.0]",3.0,2.0,4.0,3.0,2.0,4.0,1.5,1.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Hg-O-P,0.0,-1.163104558339601,1.6085,3,Monoclinic,2/m,P2_1/c,oxide,,,Hg,,,,"H, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.3249619657801697
mp-30123,Hg2SeO5,1.9211257329021845,0.453650563367791,"Octahedron, Trigonal prism",2,4e,1,"[6.480168794511194, 2.078386849216362, 6.7018736777582095, 5.323926038925734]",0.75,5.146088840102875,AB2C5,2,2,1,"[5.0, 6.0]","[5.0, 6.0]",5.5,5.0,6.0,5.5,5.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Hg-O-Se,0.0,-0.5640443812890651,1.0118,3,Monoclinic,2/m,P2_1/c,oxide,,,Hg,,,,"H, O, S, Se",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.464298464432066
mp-30890,Hg3SO6,2.0606399785856304,0.3804900495152053,"Face-capped octahedron, Octahedron, Square pyramid",3,3a,1,"[4.704827073061518, 4.848769059433192, 6.117010605693445]",0.333,5.223535579396052,AB3C6,3,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Hg-O-S,0.0,-1.187674060333334,0.5752,3,Trigonal,3,P3_1,oxide,,,Hg,,,,"H, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.5377981549508717
mp-30937,HgClO3,2.5449695993895327,0.0733679179510622,"See-saw, T-shaped",2,4e,1,"[11.033079809491934, 8.209261063656545]",1.0,9.62117043657424,ABC3,2,2,1,"[3.0, 5.0]","[2.0, 4.0]",4.0,3.0,5.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,2,2,"Hg+, O2-","Halogens, Nonmetals, Transition Metals",GGA,Cl-Hg-O,0.0427101415,-0.240896146312496,3.066099999999999,3,Monoclinic,2/m,P2_1/c,chlorate,,,Hg,,,,"H, C, O",Cl,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.6401457686211978
mp-31132,Hg4OF6,1.4058753964342938,1.0893741263916803,"Square-face bicapped trigonal prism, Square-face capped trigonal prism",2,"6c, 2b",2,"[1.63273256516666, 4.365640336514346]",0.0,2.999186450840503,AB4C6,2,2,1,"[7.0, 8.0]","[1.0, 1.0]",7.5,7.0,8.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2,2,"F-, O2-","Halogens, Nonmetals, Transition Metals",r2SCAN,F-Hg-O,0.0,-1.361334352272727,0.2036,3,Hexagonal,6mm,P6_3mc,fluoride,,,Hg,,,,"H, O",F,,,,B > 1,Positive B,2.1612839226383627
mp-4445,Hg3AsO4,1.7643148744932833,0.6590968560307024,Triangular non-coplanar,1,4e,1,"[4.00990910527873, 5.074037603581483, 4.216326571577051]",0.333,4.433424426812421,AB3C4,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",r2SCAN,As-Hg-O,0.0,-0.8076329015624991,0.5021,3,Monoclinic,2/m,P2_1/c,oxide,,,Hg,,,As,"H, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.4688558378877863
mp-5363,Hg2TeO5,2.3028695043342235,0.2807107400845576,"Square pyramid, Trigonal prism",2,4a,1,"[11.452423398449971, 5.592767127788811]",1.0,8.522595263119392,AB2C5,2,2,1,"[4.0, 7.0]","[4.0, 7.0]",5.5,4.0,7.0,5.5,4.0,7.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",r2SCAN,Hg-O-Te,0.019736852708334,-1.055440153333336,0.5348,3,Orthorhombic,mm2,Pna2_1,oxide,,,Hg,,,Te,"H, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.4897600743086947
mp-540645,Hg3(ClO)2,1.9934473732398053,0.5084445506881211,"Linear, Tetrahedron, T-shaped, Trigonal bipyramid, Trigonal prism",5,4e,1,"[4.922170563545106, 0.050993585483667, 5.233863082832353, 5.504199657668526, 4.349380366410995, 4.785024176495157]",0.333,4.140938572072634,A2B2C3,5,3,1,"[5.0, 6.0, 6.0]","[2.0, 2.0, 3.0]",5.666666666666667,5.0,6.0,2.333333333333333,2.0,3.0,2.0,2.0,2.0,2.0,2,2,"Cl-, O2-","Halogens, Nonmetals, Transition Metals",GGA,Cl-Hg-O,0.004535016250006,-0.512846231071421,0.928999999999999,3,Monoclinic,2/m,P2_1/c,hypochlorite,,,Hg,,,,"H, C, O",Cl,,,,"B $\in$ [0.5, 1]",Positive B,2.314015543247418
mp-541164,Hg9(AsO4)4,2.4942788465267984,0.0073214958496388,See-saw,1,6b,1,"[6.213661492823571, 8.813733718002279, 5.443237361303457]",1.0,6.823544190709769,A4B9C16,1,3,2,"[3.0, 4.0, 4.0]","[3.0, 4.0, 4.0]",3.6666666666666665,3.0,4.0,3.6666666666666665,3.0,4.0,1.3333333333333333,1.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA,As-Hg-O,0.012754112758617,-0.850901802500002,1.7867000000000002,3,Trigonal,3m,R3c,oxide,,,Hg,,,As,"H, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.5068743403931593
mp-541193,Hg7Cl2O3,1.6721439111738905,0.8272736593626014,"Single neighbor, Linear, Angular",3,"4d, 8e, 4a",3,"[6.404846623125808, 5.374999071616539, 0.0, 6.220875572876825, 1.0837406285060731e-28]",0.6,3.600144253523834,A2B3C7,3,4,2,"[4.0, 3.0, 3.0, 4.0]","[1.0, 2.0, 3.0, 2.0]",3.5,3.0,4.0,2.0,1.0,3.0,1.25,1.0,2.0,1.75,1,2,"Cl-, O2-","Halogens, Nonmetals, Transition Metals",r2SCAN,Cl-Hg-O,0.0,-0.404256182708342,1.3838,3,Orthorhombic,mmm,Pbcm,oxide,,,Hg,,,,"H, C, O",Cl,,,,"B $\in$ [0.5, 1]",Positive B,2.2533325001129763
mp-542054,Hg9(PO4)4,2.2533262055516787,0.1477238538412093,"Square pyramid, Triangular non-coplanar",2,6b,1,"[5.400135759766135, 3.048585853848413, 16.677097604280398]",0.667,8.375273072631648,A4B9C16,2,2,2,"[3.0, 3.0]","[3.0, 3.0]",3.0,3.0,3.0,3.0,3.0,3.0,1.5,1.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,Hg-O-P,0.013899550603447,-1.391598233686369,1.9039,3,Trigonal,3m,R3c,phosphate,,,Hg,,,,"H, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.388837629154682
mp-542115,Hg3Se3O10,2.4935808864948936,0.0062863668689088,"Cube, Square antiprism, Trigonal bipyramid",3,2a,1,"[3.184352348016528, 4.26728623330659, 3.451989595783895]",0.0,3.6345427257023375,A3B3C10,3,2,1,"[5.0, 8.0]","[5.0, 8.0]",6.5,5.0,8.0,6.5,5.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Hg-O-Se,0.0,-0.6548926490429701,1.8688999999999991,3,Monoclinic,2,P2_1,oxide,,,Hg,,,,"H, O, S, Se",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.4967274632575407
mp-553949,Ag2Hg2(TeO4)3,1.926890841081132,0.6416651808735535,Trigonal bipyramid,1,4e,1,[3.31621957327664],0.0,3.31621957327664,A2B2C3D12,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",r2SCAN,Ag-Hg-O-Te,0.0,-1.105035922807017,0.1606,4,Monoclinic,2/m,P2_1/c,oxide,,,"Ag, Hg",,,Te,"H, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.4488947366784077
mp-554533,Hg2Mo2O7,2.036206194341289,0.7290228882323003,Triangular non-coplanar,1,2i,1,"[3.125315976039147, 11.38099069278379]",0.5,7.2531533344114685,A2B2C7,1,2,1,"[1.0, 2.0]","[1.0, 2.0]",1.5,1.0,2.0,1.5,1.0,2.0,1.0,1.0,1.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Hg-Mo-O,0.005388446249995,-1.558184639545455,2.198899999999999,3,Triclinic,-1,P-1,oxide,,,"Mo, Hg",,,,"H, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.429328620379232
mp-554914,Hg3PO4,2.354140859328936,0.0808226363069158,"Angular, Square pyramid, Triangular non-coplanar",3,4e,1,"[15.177178302303307, 10.742829314574807, 5.752477852213305]",1.0,10.557495156363807,AB3C4,3,2,1,"[2.0, 3.0]","[2.0, 3.0]",2.5,2.0,3.0,2.5,2.0,3.0,1.0,1.0,1.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Hg-O-P,0.0,-1.299350914122023,2.2021,3,Monoclinic,2/m,P2_1/c,phosphate,,,Hg,,,,"H, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.436467279411897
mp-555759,Re2(HgO2)5,2.195426198669174,0.2792226969091196,"See-saw, Octahedron",2,"2d, 4e",2,"[5.9150574581196125, 6.246644604299778, 2.835558987633858]",0.667,4.999087016684416,A2B5C10,2,3,2,"[5.0, 6.0, 6.0]","[4.0, 5.0, 6.0]",5.666666666666667,5.0,6.0,5.0,4.0,6.0,1.3333333333333333,1.0,2.0,1.6666666666666667,1,2,"Hg+, O2-","Nonmetals, Transition Metals",r2SCAN,Hg-O-Re,0.0,-1.432101368088196,1.2845,3,Monoclinic,2/m,P2_1/c,oxide,,,"Re, Hg",,,,"H, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.620767589290787
mp-555918,Hg2SeO3,1.7972049683700604,0.6167988544094822,"See-saw, Square pyramid",2,4b,1,"[10.658158073896058, 6.370622168621864]",1.0,8.51439012125896,AB2C3,2,2,1,"[5.0, 6.0]","[4.0, 5.0]",5.5,5.0,6.0,4.5,4.0,5.0,1.0,1.0,1.0,2.0,2,2,"Hg+, O2-","Nonmetals, Transition Metals",SCAN,Hg-O-Se,0.00595110375001,-0.618729623177069,2.3109,3,Orthorhombic,mm2,Cmc2_1,oxide,,,Hg,,,,"H, O, S, Se",,,,,"B $\in$ [0.5, 1]",Positive B,2.6417151790756908
mp-556308,CrHg(PbO3)2,1.7099506542948697,0.9171335702680776,T-shaped,1,2i,1,[2.810159056159388],0.0,2.810159056159388,ABC2D6,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Cr-Hg-O-Pb,0.0,-1.500121868250001,2.0918,4,Triclinic,-1,P-1,oxide,,,"Cr, Hg",,Pb,,"H, C, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.4267203562395245
mp-556339,Hg3AsO4,2.223730377305666,0.2044612695304832,Triangular non-coplanar,1,4e,1,"[9.684618578337115, 5.783464528886382, 9.334033968201712, 12.277461808949557, 9.763902123807577, 3.069941939134049]",0.833,8.318903824552732,AB3C4,1,2,1,"[2.0, 3.0]","[2.0, 3.0]",2.5,2.0,3.0,2.5,2.0,3.0,1.0,1.0,1.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",r2SCAN,As-Hg-O,0.0033456196875,-0.8042872818749981,1.8158,3,Monoclinic,2/m,P2_1/c,oxide,,,Hg,,,As,"H, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.43504549080281
mp-556369,CdHg2SeO6,1.86498892043568,0.7322571505763525,"T-shaped, Square plane",2,2i,1,"[2.215006988487394, 3.646400410097526]",0.0,2.9307036992924598,ABC2D6,2,2,1,"[3.0, 6.0]","[3.0, 6.0]",4.5,3.0,6.0,4.5,3.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,Cd-Hg-O-Se,0.0,-1.070476693234376,0.9505999999999992,4,Triclinic,-1,P-1,oxide,,,"Cd, Hg",,,,"H, C, O, S, Se",,,,,"B $\in$ [0.5, 1]",Positive B,2.5208160733710545
mp-556798,AgHg2PO4,1.7768057812592546,0.5310236084125067,Triangular non-coplanar,1,8i,1,[5.065743688009014],1.0,5.065743688009014,ABC2D4,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,Ag-Hg-O-P,0.0,-1.5083162942261912,1.1892,4,Orthorhombic,mmm,Pbam,phosphate,,,"Ag, Hg",,,,"H, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.363052765472592
mp-557224,HgSeO3,2.759943617398154,0.0905761003194858,Octahedron,1,4e,1,[7.398488080242052],1.0,7.398488080242052,ABC3,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Hg-O-Se,0.000734086000001,-0.6875520458124981,2.6045,3,Monoclinic,2/m,P2_1/c,oxide,,,Hg,,,,"H, O, S, Se",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.5894109709613957
mp-557250,HgINO3,2.221070680300639,0.326181496898097,Hexagonal bipyramid,1,4c,1,[1.999224654499908],0.0,1.999224654499908,ABCD3,1,1,1,[6.0],[4.0],6.0,6.0,6.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2,2,"I-, O2-","Halogens, Nonmetals, Transition Metals",GGA,Hg-I-N-O,0.0,-0.7511069195833351,1.9661,4,Orthorhombic,mmm,Pnma,nitrate,,,Hg,,,,"H, N, O",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.6799103213242583
mp-557269,Ba2Hg3(PdO2)7,2.0955274923347327,0.523344120356525,"Triangular non-coplanar, Linear",2,"2i, 1c",2,"[2.575923150206623, 1.081544710473485e-27]",0.0,1.2879615751033116,A2B3C7D14,2,2,1,"[2.0, 3.0]","[2.0, 3.0]",2.5,2.0,3.0,2.5,2.0,3.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Hg-O-Pd,0.0,-1.197342337980769,0.0,4,Monoclinic,2/m,C2/m,oxide,,Ba,"Pd, Hg",,,B,"H, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.2696260577186105
mp-557697,Hg2Sb2O7,2.0175515690984,0.3398013127097237,Hexagonal bipyramid,1,4c,1,[2.387354494682098],0.0,2.387354494682098,A2B2C7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",r2SCAN,Hg-O-Sb,0.0,-1.208181807727274,0.0,3,Cubic,m-3m,Fd-3m,oxide,,,Hg,,,Sb,"H, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.533066182907736
mp-558188,AgHg2AsO4,1.892972802087047,0.3964464902279992,Triangular non-coplanar,1,8i,1,[5.920118188529056],1.0,5.920118188529056,ABC2D4,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",r2SCAN,Ag-As-Hg-O,0.0,-1.054451005520835,0.738599999999999,4,Orthorhombic,mmm,Pbam,oxide,,,"Ag, Hg",,,As,"H, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.3306476973634074
mp-558585,Hg3PClO4,1.5368725234609568,1.7040747767336817,Square pyramid,1,12b,1,[10.85569176951361],1.0,10.85569176951361,ABC3D4,1,1,1,[4.0],[3.0],4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2,2,"Cl-, O2-","Halogens, Nonmetals, Transition Metals",GGA,Cl-Hg-O-P,0.024955930740741,-1.237715895423283,2.3788,4,Cubic,23,P2_13,perchlorate,,,Hg,,,,"H, C, O, P",Cl,,,,B > 1,Positive B,2.5205980498006877
mp-558802,Hg2MoO4,3.0287727910035303,-0.4778056131693472,See-saw,1,4f,1,[6.658913449951417],1.0,6.658913449951417,AB2C4,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Hg-Mo-O,0.0,-1.357248065000004,1.8942,3,Monoclinic,2/m,C2/c,oxide,,,"Mo, Hg",,,,"H, O",,,,,"B $\in$ [-1, -0.1]",Negative B,2.450104774737802
mp-558934,Hg3ClO,1.6825219365282134,0.8882952527600375,"Triangular non-coplanar, Angular",2,4f,1,"[8.682093874182856, 9.51783137446168, 7.82415496579896, 9.288091551446003, 7.232656440938323, 9.272719451504752, 9.067297519571392, 3.451173331571626, 6.716782019331593]",0.889,7.894755614311909,ABC3,2,4,1,"[3.0, 4.0, 2.0, 3.0]","[1.0, 1.0, 1.0, 2.0]",3.0,2.0,4.0,1.25,1.0,2.0,1.0,1.0,1.0,2.0,2,2,"Cl-, O2-","Halogens, Nonmetals, Transition Metals",GGA,Cl-Hg-O,0.0045865405,-0.40165198066666,1.2708,3,Monoclinic,2/m,C2/c,hypochlorite,,,Hg,,,,"H, C, O",Cl,,,,"B $\in$ [0.5, 1]",Positive B,2.292992377778277
mp-558945,Hg3AsBrO4,1.7929376632904652,1.2350668873410031,See-saw,1,12b,1,[4.3051677105473605],0.0,4.3051677105473605,ABC3D4,1,1,1,[4.0],[3.0],4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2,2,"Br-, O2-","Halogens, Metalloids, Nonmetals, Transition Metals",GGA,As-Br-Hg-O,0.016965110740741,-0.7819509770370351,1.8436,4,Cubic,23,P2_13,perbromate,,,Hg,,,"B, As","H, O",Br,,,,B > 1,Positive B,2.489424982596572
mp-559070,Li2Hg(PO3)4,1.1674408497861473,1.149571699401478,Octahedron,1,4e,1,[3.311007273283968],0.0,3.311007273283968,AB2C4D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Hg-Li-O-P,0.005016920504385,-2.458917780275689,3.3346,4,Monoclinic,2/m,P2_1/c,phosphite,Li,,Hg,,,,"H, O, P",,,,,B > 1,Positive B,2.4401473653438632
mp-559462,CrHg3(PbO4)2,2.022461935556612,0.4805803241971847,"T-shaped, Square pyramid, Linear",3,4e,1,"[0.011109424519954001, 2.135563564189249, 2.838196602126485]",0.0,1.6616231969452293,AB2C3D8,3,2,1,"[2.0, 5.0]","[2.0, 5.0]",3.5,2.0,5.0,3.5,2.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Cr-Hg-O-Pb,0.0,-1.253997437321429,1.9243,4,Monoclinic,2/m,P2_1/c,oxide,,,"Cr, Hg",,Pb,,"H, C, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.2723092913506444
mp-559722,Hg3(NO4)2,1.9650129906816736,0.4500601220771152,"Face-capped octahedron, Square pyramid, Pentagonal bipyramid",3,8c,1,"[5.305230264074878, 5.979710583728724, 6.306267175458354]",1.0,5.863736007753985,A2B3C8,3,2,1,"[5.0, 7.0]","[5.0, 7.0]",6.0,5.0,7.0,6.0,5.0,7.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,Hg-N-O,0.0,-0.7589517222115401,0.8522000000000001,3,Orthorhombic,mmm,Pbca,oxide,,,Hg,,,,"H, N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.5994346342232286
