material_id,chem_formula,R$_0$,B,Hg_chemenv,num_Hg_chemenvs,Hg_wyckoff,num_Hg_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Hg_sites,num_CN_env,num_charge_states,HgX_coordn,HgO_coordn,mean_coordn_Hg-X,min_coordn_Hg-X,max_coordn_Hg-X,mean_coordn_Hg-O,min_coordn_Hg-O,max_coordn_Hg-O,mean_Hg_charge,min_Hg_charge,max_Hg_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_HgO_BondL
mp-1194584,Hg3Te2SeO10,2.3289384891526064,0.1713601018998631,"Dodecahedron with triangular faces, Octahedron, Square-face capped trigonal prism",3,2a,1,"[6.044967444535654, 3.700725060409378, 4.924748682341822]",0.333,4.890147062428952,AB2C3D10,3,2,1,"[6.0, 8.0]","[6.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA,Hg-O-Se-Te,0.035720174479171,-1.111376695823569,2.099199999999999,4,Monoclinic,2,P2_1,oxide,,,Hg,,,Te,"H, O, S, Se",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.528314951444859
mp-1194904,CuHg(SeO3)2,2.055312658312326,0.4559463678221547,Dodecahedron with triangular faces - p2345 plane normalized,1,4e,1,[3.565808118598172],0.0,3.565808118598172,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,Cu-Hg-O-Se,0.0,-1.07447900371875,0.7590999999999991,4,Monoclinic,2/m,P2_1/c,oxide,,,"Cu, Hg",,,,"H, C, O, S, Se",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.6211273730219524
mp-1198489,Hg3H4(IO6)2,2.169474412220231,0.2138914440254806,"Face-capped octahedron, Square-face capped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized",3,4e,1,"[8.18576522581682, 6.877220588160196, 6.649215191888786]",1.0,7.2374003352886005,A2B3C4D12,3,3,1,"[2.0, 3.0, 4.0]","[2.0, 3.0, 4.0]",3.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",GGA,H-Hg-I-O,0.0,-0.834885097619049,1.144299999999999,4,Monoclinic,2/m,P2_1/c,hypoiodite,,,Hg,,,,"H, O",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.2788239403857937
mp-1202858,Hg2GeS6Cl2O21,2.4532725494375494,0.2255282562445614,"Cube, Square-face capped trigonal prism",2,4e,1,"[4.366759180546163, 3.98159669727767]",0.0,4.1741779389119165,AB2C2D6E21,2,2,1,"[6.0, 7.0]","[4.0, 5.0]",6.5,6.0,7.0,4.5,4.0,5.0,2.0,2.0,2.0,2.0,2,2,"Cl-, O2-","Halogens, Metalloids, Nonmetals, Transition Metals",GGA,Cl-Ge-Hg-O-S,0.0,-1.594570089609376,2.1278,5,Monoclinic,2/m,P2_1/c,oxide,,,Hg,,,Ge,"H, C, O, S",Cl,,,,"B $\in$ [0.1, 0.5]",Positive B,2.794431612803952
mp-1203433,Hg3AsO5,2.106390425078348,0.3922496626766993,"Tetrahedron, Square pyramid, Octahedron",3,4e,1,"[5.460481671248355, 3.717831866593545, 14.926234719048463]",0.667,8.034849418963454,AB3C5,3,3,2,"[4.0, 5.0, 6.0]","[4.0, 5.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,1.6666666666666667,1.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",r2SCAN,As-Hg-O,0.0,-0.779587088333332,1.3663,3,Monoclinic,2/m,P2_1/c,oxide,,,Hg,,,As,"H, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.5285012747110125
mp-1205446,Hg8Br3O4,1.5248168979428358,1.110336212673736,"Single neighbor, Linear, See-saw, T-shaped, Angular",5,4e,1,"[0.0, 4.981593542823753, 7.8955360392608736, 0.0, 7.16332600268917, 3.83864838529791, 0.052287641304694, 2.339603900863557]",0.25,3.2838744390299945,A3B4C8,5,7,2,"[3.0, 5.0, 5.0, 3.0, 5.0, 5.0, 6.0]","[1.0, 2.0, 1.0, 2.0, 2.0, 3.0, 4.0]",4.571428571428571,3.0,6.0,2.142857142857143,1.0,4.0,1.4285714285714286,1.0,2.0,2.0,2,2,"Br-, O2-","Halogens, Metalloids, Nonmetals, Transition Metals",r2SCAN,Br-Hg-O,0.0,-0.406155171,0.6139,3,Monoclinic,2/m,P2_1/c,oxide,,,Hg,,,B,"H, O",Br,,,,B > 1,Positive B,2.2723113642814243
mp-1208167,VAg2HgO4,2.2029204968325047,0.2398276621700822,Triangular non-coplanar,1,8e,1,[1.6741559645791941],0.0,1.6741559645791941,ABC2D4,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Ag-Hg-O-V,0.031375239791681,-1.2453469615104171,0.740699999999999,4,Tetragonal,-42m,I-42d,oxide,,,"V, Ag, Hg",,,,"H, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.391040752715671
mp-1208895,Sm2HgO4,0.91888780163147,2.1165711911005927,Linear,1,2i,1,[0.035465947844082],0.0,0.035465947844082,AB2C4,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Hg-O-Sm,0.0,-2.8365570289285733,2.2249,3,Monoclinic,2/m,C2/m,oxide,,,Hg,,,,"H, O, S",,,Sm,,B > 1,Positive B,2.429734086445271
mp-1212477,Hg3BI2(OF2)2,2.078886070806806,0.1123134847828628,"See-saw, T-shaped",2,4e,1,"[2.392844546705802, 4.772211264747854, 7.379111678726]",0.333,4.848055830059885,AB2C2D3E4,2,3,1,"[5.0, 3.0, 4.0]","[2.0, 2.0, 2.0]",4.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.6666666666666665,3,4,"F-, O-, I-, O2-","Halogens, Metalloids, Nonmetals, Transition Metals",GGA,B-F-Hg-I-O,0.046033311002604,-1.57455595138889,0.2261,5,Monoclinic,2/m,P2_1/c,fluoride,,,Hg,,,B,"H, O","F, I",,,,"B $\in$ [0.1, 0.5]",Positive B,2.1799237407649015
mp-1218732,Sr7Cu2HgBiSbO15,4.510412590990402,-2.7751154995635985,Linear,1,2e,1,[0.004407965399619],0.0,0.004407965399619,ABCD2E7F15,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2,2,"O-, O2-","Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Bi-Cu-Hg-O-Sb-Sr,0.016575280462964,-2.332822416018518,0.0,6,Orthorhombic,mmm,Pmma,oxide,,Sr,"Cu, Hg",,Bi,"B, Sb","H, C, O, S",,,,,B < -1,Negative B,2.542989017552358
