material_id,chem_formula,R$_0$,B,Sc_chemenv,num_Sc_chemenvs,Sc_wyckoff,num_Sc_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Sc_sites,num_CN_env,num_charge_states,mean_coordn_Sc-X,min_coordn_Sc-X,max_coordn_Sc-X,mean_coordn_Sc-O,min_coordn_Sc-O,max_coordn_Sc-O,mean_Sc_charge,min_Sc_charge,max_Sc_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_ScO_BondL,ScX_coordn,ScO_coordn
mp-10517,LiScP2O7,1.8795347970866447,0.3350593528698381,Octahedron,1,2a,1,[0.6963161451366946],0.0,0.6963161451366946,ABC2D7,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Li-O-P-Sc,0.0,-3.080414867738094,4.7646,4,Monoclinic,2,P2_1,oxide,Li,,Sc,,,,"O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1154344266904137,[6.0],[6.0]
mp-1094074,ScFe2BO5,1.8349280594648265,0.430822008449038,Octahedron,1,4g,1,[0.7693161582967654],0.0,0.7693161582967654,ABC2D5,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Metalloids, Nonmetals, Transition Metals",GGA_U,B-Fe-O-Sc,0.0,-2.5834796432407408,3.1989,4,Orthorhombic,mmm,Pbam,oxide,,,"Sc, Fe",,,B,"O, S",F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1377460470203027,[6.0],[6.0]
mp-1096978,Eu2Sc2O5,1.913835547248714,0.3395256441724736,"Octahedron, Tetrahedron",2,"2a, 2b",2,"[0.27430857936995445, 0.4383213776518492]",0.0,0.3563149785109018,A2B2C5,2,2,1,5.0,4.0,6.0,5.0,4.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Eu-O-Sc,0.0346612343055561,-3.555987631944445,0.0,3,Orthorhombic,mm2,Ima2,oxide,,,Sc,,,,"O, S",,,Eu,,"B $\in$ [0.1, 0.5]",Positive B,2.078770997689496,"[4.0, 6.0]","[4.0, 6.0]"
mp-1102514,ScSeO3F,1.973823981039164,0.3013003732263002,Pentagonal bipyramid,1,2i,1,[1.9775743638137118],0.0,1.9775743638137118,ABCD3,1,1,1,7.0,7.0,7.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,2,2,"O2-, F-","Halogens, Nonmetals, Transition Metals",GGA,F-O-Sc-Se,0.0021306466666768,-2.708587090390625,3.6881,4,Triclinic,-1,P-1,fluoride,,,Sc,,,,"O, S, Se",F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.2113065151219087,[7.0],[5.0]
mp-1105225,Sc2MnNiO6,0.0388637293730248,2.5761602958363263,Square-face bicapped trigonal prism,1,4e,1,[1.9985036024579086],0.0,1.9985036024579086,ABC2D6,1,1,1,8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Mn-Ni-O-Sc,0.0346337993750012,-2.7567870607931027,1.8181,4,Monoclinic,2/m,P2_1/c,oxide,,,"Sc, Mn, Ni",,,,"N, O, S",,,,,B > 1,Positive B,2.324154164035116,[8.0],[8.0]
mp-1105395,Ca2ScOsO6,2.058721677533957,0.067929128185469,Octahedron,1,2b,1,[0.0306083096163174],0.0,0.0306083096163174,ABC2D6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Ca-O-Os-Sc,0.0,-2.912578258499998,0.0,4,Monoclinic,2/m,P2_1/c,oxide,,Ca,"Sc, Os",,,,"C, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.105908272746128,[6.0],[6.0]
mp-1105811,ScMnO3,0.9470846192759772,1.6430565508092176,Square-face capped trigonal prism,1,4e,1,[1.400380305516775],0.0,1.400380305516775,ABC3,1,1,1,7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Mn-O-Sc,0.0499739205624987,-2.938770691086206,1.7979999999999996,3,Monoclinic,2/m,P2_1/c,oxide,,,"Sc, Mn",,,,"O, S",,,,,B > 1,Positive B,2.2505533662401302,[7.0],[7.0]
mp-1173738,Na3Mg4ScSi8(O11F)2,1.6241714834877516,0.7243016761698595,Octahedron,1,1a,1,[0.5776493309968816],0.0,0.5776493309968816,AB2C3D4E8F22,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA,F-Mg-Na-O-Sc-Si,0.0003543365,-3.2418350849784483,4.619199999999999,6,Triclinic,1,P1,fluoride,Na,Mg,Sc,,,Si,"N, O, S",F,,,,"B $\in$ [0.5, 1]",Positive B,2.135843001686616,[6.0],[6.0]
mp-1173812,Na3Mg4ScSi8(O11F)2,1.636999694558685,0.7071166620479911,Octahedron,1,2i,1,[0.5776680233898298],0.0,0.5776680233898298,AB2C3D4E8F22,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA,F-Mg-Na-O-Sc-Si,0.0,-3.242189421478448,4.553699999999999,6,Monoclinic,2/m,C2/c,fluoride,Na,Mg,Sc,,,Si,"N, O, S",F,,,,"B $\in$ [0.5, 1]",Positive B,2.1375605039573577,[6.0],[6.0]
mp-1178101,Li10Sc9Fe(SiO3)20,1.6976842921068402,0.6241054168298574,Octahedron,1,"2c, 1a",2,"[0.39810275236540615, 0.39323483125552383, 0.3836474793593641, 0.40264431374123927, 0.4561592829584369]",0.0,0.406757731935994,AB9C10D20E60,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA_U,Fe-Li-O-Sc-Si,0.005150644191664,-3.278126974883333,3.0593000000000004,5,Monoclinic,2,C2,oxide,Li,,"Sc, Fe",,,Si,"O, S",F,,,,"B $\in$ [0.5, 1]",Positive B,2.1361902050919834,[6.0],[6.0]
mp-1178124,La3ScO6,2.0648978384817704,-0.2135497984520287,Tetrahedron,1,2a,1,[1.2507060601555025],0.0,1.2507060601555025,AB3C6,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,La-O-Sc,0.0473654996250019,-3.7537248221249966,3.903699999999999,3,Orthorhombic,mm2,Cmc2_1,oxide,,,Sc,,,,"O, S",,,La,,"B $\in$ [-1, -0.1]",Negative B,1.997696651709776,[4.0],[4.0]
