material_id,chem_formula,R$_0$,B,Sc_chemenv,num_Sc_chemenvs,Sc_wyckoff,num_Sc_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Sc_sites,num_CN_env,num_charge_states,mean_coordn_Sc-X,min_coordn_Sc-X,max_coordn_Sc-X,mean_coordn_Sc-O,min_coordn_Sc-O,max_coordn_Sc-O,mean_Sc_charge,min_Sc_charge,max_Sc_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_ScO_BondL,ScX_coordn,ScO_coordn
mp-1178539,Cs3ScO3,1.772826304608655,0.8101008442925636,Tetrahedron,1,4e,1,[1.3524147812004605],0.0,1.3524147812004605,AB3C3,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",R2SCAN,Cs-O-Sc,0.0103901592857091,-2.1799159285714285,2.4443,3,Monoclinic,2/m,P2_1/c,oxide,Cs,,Sc,,,,"C, O, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.00825083999148,[4.0],[4.0]
mp-1180540,LiSc(SiO3)2,1.6220482771932976,0.7804510643180664,Octahedron,1,4e,1,[0.3913700355113374],0.0,0.3913700355113374,ABC2D6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,Li-O-Sc-Si,0.0035608734166601,-3.337503019083333,4.957599999999999,4,Monoclinic,2/m,P2_1/c,oxide,Li,,Sc,,,Si,"O, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.1292337298173787,[6.0],[6.0]
mp-1189528,Ca2ScSbO6,2.168199118104408,-0.0750793784101138,Octahedron,1,2b,1,[0.052918358889561166],0.0,0.052918358889561166,ABC2D6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ca-O-Sb-Sc,0.0,-3.124920209,3.6318,4,Monoclinic,2/m,P2_1/c,oxide,,Ca,Sc,,,Sb,"C, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.116045610069303,[6.0],[6.0]
mp-1192501,BaScZn3GaO7,1.1808661077722449,1.407977226103568,Octahedron,1,2b,1,[0.10779198389109675],0.0,0.10779198389109675,ABCD3E7,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Ba-Ga-O-Sc-Zn,0.0061881017387914,-2.5224263223076924,2.3120000000000003,5,Hexagonal,6mm,P6_3mc,oxide,,Ba,"Sc, Zn",,Ga,B,"O, S",,,,,B > 1,Positive B,2.158977173782952,[6.0],[6.0]
mp-1194561,NaSc(SeO3)2,1.926678351667928,0.284058762053642,Octahedron,1,4c,1,[0.22803485553196928],0.0,0.22803485553196928,ABC2D6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Na-O-Sc-Se,0.0,-2.1409236221066807,3.8413,4,Orthorhombic,mmm,Pnma,oxide,Na,,Sc,,,,"N, O, S, Se",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.125819397656108,[6.0],[6.0]
mp-1194629,CsSc(SeO3)2,1.6935840903606034,0.6260344857672703,Octahedron,1,4c,1,[0.08173172512857904],0.0,0.08173172512857904,ABC2D6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Cs-O-Sc-Se,0.0,-2.166027430184267,4.1332,4,Orthorhombic,mmm,Pnma,oxide,Cs,,Sc,,,,"C, O, S, Se",,,,,"B $\in$ [0.5, 1]",Positive B,2.1340257946498595,[6.0],[6.0]
mp-1194740,LiSc(GeO3)2,1.6382334455654717,0.7555049002222377,Octahedron,1,4e,1,[0.5445566161166346],0.0,0.5445566161166346,ABC2D6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ge-Li-O-Sc,0.0097657228333352,-2.653244983833333,3.605900000000001,4,Monoclinic,2/m,P2_1/c,oxide,Li,,Sc,,,Ge,"O, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.134350455887628,[6.0],[6.0]
mp-1194798,Sc2Se3O10,2.1497377420619586,0.05112921175311,Pentagonal bipyramid,1,4e,1,"[0.6037239091501992, 1.5187901640287194]",0.0,1.0612570365894594,A2B3C10,1,1,1,7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,O-Sc-Se,0.0,-2.161643829302083,3.6378,3,Monoclinic,2/m,P2_1/c,oxide,,,Sc,,,,"O, S, Se",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.201190684771773,[7.0],[7.0]
mp-1194834,BaSc2Si3O10,1.829055992564996,0.4409912107686428,Octahedron,1,4f,1,[5.255163814606616],1.0,5.255163814606616,AB2C3D10,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",R2SCAN,Ba-O-Sc-Si,0.0,-3.545640817812499,4.758,4,Monoclinic,2/m,P2_1/m,oxide,,Ba,Sc,,,"B, Si","O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.143868191154706,[6.0],[6.0]
mp-1195246,Sc2Te(SeO5)2,2.12162879154537,0.0504666874457386,"Octahedron, Pentagonal bipyramid",2,4e,1,"[0.7476872376723178, 2.645638845649562]",0.0,1.6966630416609398,AB2C2D10,2,2,1,6.5,6.0,7.0,6.5,6.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA,O-Sc-Se-Te,0.0198356373703552,-2.2075480405902783,3.4939,4,Monoclinic,2/m,P2_1/c,oxide,,,Sc,,,Te,"O, S, Se",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.172897618831644,"[6.0, 7.0]","[6.0, 7.0]"
mp-1195567,Sc2(TeO3)3,2.052793395425637,0.1694514311836088,"Octahedron, Square-face capped trigonal prism",2,4e,1,"[3.834148123663709, 1.3094671906362079]",0.0,2.571807657149958,A2B3C9,2,2,1,6.5,6.0,7.0,6.5,6.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA,O-Sc-Te,0.0011504947857083,-2.387123543571429,3.4061000000000003,3,Monoclinic,2/m,P2_1/c,oxide,,,Sc,,,Te,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.187045964611728,"[6.0, 7.0]","[6.0, 7.0]"
mp-1195909,BaPr2Sc2O7,2.458113585719777,-0.4628362527932336,Octahedron,1,8j,1,[0.3887949168738317],0.0,0.3887949168738317,AB2C2D7,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Ba-O-Pr-Sc,0.0,-3.7370644771527775,3.5432999999999995,4,Tetragonal,4/mmm,P4_2/mnm,oxide,,Ba,Sc,,,B,"O, P, S",,,Pr,,"B $\in$ [-1, -0.1]",Negative B,2.1344303372962017,[6.0],[6.0]
mp-1196025,Rb3Sc2Si4(O2F)5,1.8844025754003344,0.3049738377245937,Octahedron,1,8d,1,[0.16425596014377403],0.0,0.16425596014377403,A2B3C4D5E10,1,1,1,6.0,6.0,6.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2,2,"O2-, F-","Alkali Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA,F-O-Rb-Sc-Si,0.0,-3.4451177732291662,5.195399999999999,5,Orthorhombic,mmm,Pnma,fluoride,Rb,,Sc,,,Si,"O, S",F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.056295537757656,[6.0],[2.0]
mp-1196171,LiScH2Se2O7,2.0806039868206274,0.0543208346190465,Octahedron,1,"4g, 2c, 2f",3,"[0.19569997426876887, 0.10458532395869044, 0.03647758472735565]",0.0,0.11225429431827165,ABC2D2E7,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,H-Li-O-Sc-Se,0.0,-1.9647875585016024,4.07,5,Monoclinic,2/m,P2/c,oxide,Li,,Sc,,,,"H, O, S, Se",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.12154228151927,[6.0],[6.0]
mp-1197295,ScV(TeO4)2,2.0336148047795364,0.1197995613743792,Octahedron,1,4e,1,[0.8805015651379672],0.0,0.8805015651379672,ABC2D8,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA_U,O-Sc-Te-V,0.008978592361112,-2.276570474652777,2.9711,4,Monoclinic,2/m,P2_1/c,oxide,,,"Sc, V",,,Te,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1306361122972053,[6.0],[6.0]
mp-1197417,BaLa2Sc2O7,2.492465390734243,-0.5037400773931326,Octahedron,1,8j,1,[0.31918388293247035],0.0,0.31918388293247035,AB2C2D7,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Ba-La-O-Sc,0.0,-3.7955672097916655,3.6458,4,Tetragonal,4/mmm,P4_2/mnm,oxide,,Ba,Sc,,,B,"O, S",,,La,,"B $\in$ [-1, -0.1]",Negative B,2.141081326421012,[6.0],[6.0]
mp-1197457,RbBaSc(SiO3)3,1.7390857230827752,0.5355589661894369,Octahedron,1,4e,1,[0.3302751572747399],0.0,0.3302751572747399,ABCD3E9,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",R2SCAN,Ba-O-Rb-Sc-Si,0.0,-3.341587677833333,4.9748,5,Monoclinic,2/m,P2_1/c,oxide,Rb,Ba,Sc,,,"B, Si","O, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.1125349417983927,[6.0],[6.0]
mp-1198043,SrSc4Si5O17,1.8691748488378048,0.4104214224027305,Octahedron,1,4f,1,"[4.9047777447944885, 4.682136614077182]",0.0,4.793457179435835,AB4C5D17,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,O-Sc-Si-Sr,0.0028836349999927,-3.422154554444445,4.3818,4,Monoclinic,2/m,P2_1/m,oxide,,Sr,Sc,,,Si,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.147948272458119,[6.0],[6.0]
mp-1198101,BaNd2Sc2O7,2.418633704953052,-0.4109668555499848,Octahedron,1,8j,1,[0.39277041801136614],0.0,0.39277041801136614,AB2C2D7,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Nd-O-Sc,0.0,-3.752934517916666,3.5251,4,Tetragonal,4/mmm,P4_2/mnm,oxide,,Ba,Sc,,,B,"N, O, S",,,Nd,,"B $\in$ [-1, -0.1]",Negative B,2.130241134476324,[6.0],[6.0]
mp-1198458,Rb2ScSi4O10F,2.045598275408426,0.0856924785373641,Octahedron,1,4f,1,[0.11664290177858654],0.0,0.11664290177858654,ABC2D4E10,1,1,1,6.0,6.0,6.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2,2,"O2-, F-","Alkali Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA,F-O-Rb-Sc-Si,0.0,-3.285929504166667,5.0158000000000005,5,Monoclinic,2/m,P2_1/m,fluoride,Rb,,Sc,,,Si,"O, S",F,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.1012945010276565,[6.0],[4.0]
mp-1199276,CsScAs2(HO4)2,1.9419171296703144,0.2562225146119388,Octahedron,1,"2i, 1g",2,"[0.22797731469307825, 0.11986610190339965]",0.0,0.17392170829823894,ABC2D2E8,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,As-Cs-H-O-Sc,0.0,-2.14686460967775,3.7284,5,Triclinic,-1,P-1,oxide,Cs,,Sc,,,As,"H, C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1214989358379577,[6.0],[6.0]
mp-1200860,NaScP2O7,1.7539226204794611,0.5149361689590625,Octahedron,1,4e,1,[0.4314136107028436],0.0,0.4314136107028436,ABC2D7,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Na-O-P-Sc,0.0,-3.05927823369682,4.791499999999999,4,Monoclinic,2/m,P2_1/c,oxide,Na,,Sc,,,,"N, O, P, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.11276198915308,[6.0],[6.0]
mp-1200892,BaSm2Sc2O7,2.378917934672088,-0.3775621272203466,Octahedron,1,8j,1,[0.4626390395086447],0.0,0.4626390395086447,AB2C2D7,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",R2SCAN,Ba-O-Sc-Sm,0.0,-3.774606431458303,3.5340000000000003,4,Tetragonal,4/mmm,P4_2/mnm,oxide,,Ba,Sc,,,B,"O, S",,,Sm,,"B $\in$ [-1, -0.1]",Negative B,2.113228122622884,[6.0],[6.0]
mp-1200926,ScV(SeO4)2,2.046105104951088,0.1056803062746131,Octahedron,1,4e,1,[1.1857553730763561],0.0,1.1857553730763561,ABC2D8,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,O-Sc-Se-V,0.0027456096875146,-2.129296211223957,2.7794000000000003,4,Monoclinic,2/m,P2_1/c,oxide,,,"Sc, V",,,,"O, S, Se",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.129065746917405,[6.0],[6.0]
mp-1201569,Sc2VO5,1.804923980330068,0.4644901997622785,"Square-face capped trigonal prism, Trigonal prism, Pentagonal bipyramid",3,"4g, 2e",2,"[5.810144862593508, 2.874444260214415, 3.7392901836809767]",0.333,4.141293102162966,AB2C5,3,2,1,6.5,6.0,7.0,6.5,6.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",R2SCAN,O-Sc-V,0.0306782393437501,-3.3930160289375,0.0,3,Tetragonal,-4,I-4,oxide,,,"Sc, V",,,,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1891986881142023,"[6.0, 7.0]","[6.0, 7.0]"
mp-1201917,Na9Sc(MoO4)6,1.9496087495803365,0.2335708020873336,Octahedron,1,2c,1,[0.42295696353982687],0.0,0.42295696353982687,AB6C9D24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Mo-Na-O-Sc,0.0040163174062453,-2.2424022034353444,4.2232,4,Trigonal,-3,R-3,oxide,Na,,"Sc, Mo",,,,"N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.111559817592753,[6.0],[6.0]
mp-1202200,ScV(SeO4)2,1.9373337577956875,0.3239148320823463,Pentagonal bipyramid,1,4e,1,[1.2419522284984321],0.0,1.2419522284984321,ABC2D8,1,1,1,7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,O-Sc-Se-V,0.003287919479181,-2.1287539014322907,2.6083000000000003,4,Monoclinic,2/m,P2_1/c,oxide,,,"Sc, V",,,,"O, S, Se",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.197304485044392,[7.0],[7.0]
mp-1202710,BaGd2Sc2O7,2.3574433666622974,-0.3248527683640794,Octahedron,1,8j,1,[0.5052243364916671],0.0,0.5052243364916671,AB2C2D7,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Gd-O-Sc,0.0,-3.775814749791665,2.9688000000000003,4,Tetragonal,4/mmm,P4_2/mnm,oxide,,Ba,Sc,,,B,"O, S",,,Gd,,"B $\in$ [-1, -0.1]",Negative B,2.126918705425494,[6.0],[6.0]
mp-1203138,Sc3B5O12,1.8517732223562569,0.3948365410496383,Square antiprism,1,"4e, 8i",2,"[0.7087172565850045, 1.8730411779092035]",0.0,1.290879217247104,A3B5C12,1,1,1,8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",R2SCAN,B-O-Sc,0.0,-3.120795849124998,3.7969,3,Orthorhombic,mmm,Pmna,oxide,,,Sc,,,B,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.251641249909789,[8.0],[8.0]
mp-1205185,Rb3Sc2(AsO4)3,1.7986935813275218,0.4739867923075503,Octahedron,1,"24d, 4b, 4a",3,"[1.4821147368509362, 0.0006858048757107184, 0.1220074865984171]",0.0,0.5349360094416881,A2B3C3D12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,As-O-Rb-Sc,0.0,-2.4666860738749987,3.8362,4,Cubic,m-3,Pa-3,oxide,Rb,,Sc,,,As,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1279745309559863,[6.0],[6.0]
mp-1207696,TmScO3,2.2558712691382743,-0.1866879331847419,Octahedron,1,4a,1,[0.1302555849807779],0.0,0.1302555849807779,ABC3,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,O-Sc-Tm,0.0493298766250021,-3.898243506874997,4.4531,3,Orthorhombic,mmm,Pnma,oxide,,,Sc,,,,"O, S",,,Tm,,"B $\in$ [-1, -0.1]",Negative B,2.117360964401544,[6.0],[6.0]
mp-1208776,Sr2ScTaO6,2.102223039055289,0.0209503487867682,Octahedron,1,2a,1,[0.006458480511501324],0.0,0.006458480511501324,ABC2D6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,O-Sc-Sr-Ta,0.0,-3.618418542233333,3.4213,4,Monoclinic,2/m,P2_1/c,oxide,,Sr,"Sc, Ta",,,,"O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.1167759023492514,[6.0],[6.0]
mp-1209046,ScBi3(MoO6)2,1.7587387547765787,0.6588647149962519,Trigonal prism,1,2e,1,[4.784555093938421],0.0,4.784555093938421,AB2C3D12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Bi-Mo-O-Sc,0.0,-2.179260398888889,2.8937000000000004,4,Monoclinic,2/m,C2/c,oxide,,,"Sc, Mo",,Bi,B,"O, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.1717828729359305,[6.0],[6.0]
