material_id,chem_formula,R$_0$,B,N_chemenv,num_N_chemenvs,N_wyckoff,num_N_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_N_sites,num_CN_env,num_charge_states,NX_coordn,NO_coordn,mean_coordn_N-X,min_coordn_N-X,max_coordn_N-X,mean_coordn_N-O,min_coordn_N-O,max_coordn_N-O,mean_N_charge,min_N_charge,max_N_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_NO_BondL
mp-1203963,RbUCrNO9,1.4413863222877208,0.3394121515527204,Trigonal plane,1,4e,1,[0.052552649458600005],0.0,0.052552649458600005,ABCDE9,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Nonmetals, Transition Metals",GGA_U,Cr-N-O-Rb-U,0.0,-2.168929557307692,2.1079,5,Monoclinic,2/m,P2_1/c,oxide,Rb,,Cr,,,,"C, N, O",,,,U,"B $\in$ [0.1, 0.5]",Positive B,1.2693593972142896
mp-1204140,MnH4(NO4)2,1.3320911721589936,0.1269269161325476,Trigonal plane,1,4a,1,"[0.009011878263165001, 0.020697240532532003, 0.015151090002577002, 0.010588528082177001]",0.0,0.013862184220112752,AB2C4D8,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,H-Mn-N-O,0.007443434999999,-1.1783720150287351,2.612199999999999,4,Orthorhombic,222,P2_12_12_1,oxide,,,Mn,,,,"H, N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.2681548945890924
mp-1204303,Cs2K2Pd2N8O25,1.450070770468205,0.3514815985867312,Trigonal plane,1,4f,1,"[0.09393676114324301, 0.097269208325145, 0.080566462635124, 0.10057772337406101]",0.0,0.09308753886939326,A2B2C2D8E25,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Cs-K-N-O-Pd,0.045875505341874,-1.044123241379753,0.199,5,Monoclinic,2/m,C2/c,oxide,"K, Cs",,Pd,,,,"C, N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.2735688102634886
mp-1204580,NdH6SNO10,1.313031564347846,0.1074583635868782,"Trigonal plane, Square-face monocapped antiprism",2,2e,1,"[2.738576726742965, 0.021804176793216]",0.0,1.3801904517680905,ABCD6E10,2,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",r2SCAN,H-N-Nd-O-S,0.003534916622813,-1.7184733806578971,3.1477,5,Monoclinic,2/m,P2_1/m,oxide,,,,,,,"H, N, O, S",,,Nd,,"B $\in$ [0.1, 0.5]",Positive B,1.2591593872639433
mp-1204949,Ca6Te5N2O21,1.3029788777472258,0.0681399721552247,Trigonal plane,1,4e,1,"[0.001286394082891, 0.007138221182546]",0.0,0.0042123076327185,A2B5C6D21,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Ca-N-O-Te,0.033773161911759,-2.182268074656862,2.715,4,Monoclinic,2/m,P2_1/c,oxide,,Ca,,,,Te,"C, N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.2688606828873834
mp-1204994,H4Pd(NO4)2,1.343834090533829,0.15273177339004,Trigonal plane,1,8c,1,[0.10653738800157501],0.0,0.10653738800157501,AB2C4D8,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,H-N-O-Pd,0.010905091222221,-0.959987241666667,1.5519,4,Orthorhombic,mmm,Pbca,oxide,,,Pd,,,,"H, N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.2732537765738101
mp-1205029,Rb2NdH8N5O19,1.5983585632306938,0.6453643131151707,"Icosahedron, Trigonal plane",2,2a,1,"[2.28171907617733, 0.019883536382816, 0.028374526029464, 0.025764894420901, 0.031798773872509005, 0.024788720590404]",0.0,0.40205492124557063,AB2C5D8E19,2,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,H-N-Nd-O-Rb,0.015268093250005,-1.386154413071429,3.4667,5,Monoclinic,m,Cc,oxide,Rb,,,,,,"H, N, O",,,Nd,,"B $\in$ [0.5, 1]",Positive B,1.2688152536610802
mp-1205113,VN3O10,1.4416205493707042,0.3556329625130066,Trigonal plane,1,4e,1,"[0.20986739693460002, 0.22027201502983002, 0.14111373304177402]",0.0,0.19041771500206803,AB3C10,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,N-O-V,0.0,-1.122044450535714,3.0186,3,Monoclinic,2/m,P2_1/c,oxide,,,V,,,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.263323235722833
mp-1205168,NiH8(NO5)2,1.3096351941899118,0.0878014958623146,"Trigonal plane, Octahedron",2,"1h, 1a, 2i",3,"[0.39488364928419706, 0.480849363461028, 0.027521889546417003, 0.029953526650053002]",0.0,0.23330210723542377,AB2C8D10,2,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,H-N-Ni-O,0.00960361797619,-1.115309483571428,2.7816,4,Triclinic,-1,P-1,oxide,,,Ni,,,,"H, N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.2690581524692603
mp-1205242,La(NO3)3,1.6876554117863407,0.821301517746261,Trigonal plane,1,4f,1,"[0.028508488912368003, 0.036503763461925, 0.031616181338553005, 0.027476310199683003, 0.018619517670272, 0.019954562312438]",0.0,0.02711313731587317,AB3C9,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",GGA,La-N-O,0.0,-1.4825321872115391,3.1374,3,Monoclinic,2/m,C2/c,nitrate,,,,,,,"N, O",,,La,,"B $\in$ [0.5, 1]",Positive B,1.2683919688266863
mp-1208149,ThH6(NO5)2,1.3374207076630775,0.1390901827783604,Trigonal plane,1,4f,1,[0.026681851031016002],0.0,0.026681851031016002,AB2C6D10,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Actinides, Nonmetals",GGA,H-N-O-Th,0.019326984934219,-1.5703966475,3.5309,4,Monoclinic,2/m,C2/c,oxide,,,,,,,"H, N, O",,,,Th,"B $\in$ [0.1, 0.5]",Positive B,1.267687184086301
mp-1209584,Rb2Th(NO3)6,1.6246243698917708,0.6977599488342984,Trigonal plane,1,4e,1,"[0.047380310011448004, 0.045703403192780004, 0.055568702372681]",0.0,0.049550805192303,AB2C6D18,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Nonmetals",GGA,N-O-Rb-Th,0.0,-1.4413770111111122,3.6611,4,Monoclinic,2/m,P2_1/c,nitrate,Rb,,,,,,"N, O",,,,Th,"B $\in$ [0.5, 1]",Positive B,1.268776194743797
mp-1210467,Na3H2SNO8,1.279045067924822,0.0234873990754439,"Trigonal plane, Octahedron, Pentagonal bipyramid",3,"4f, 2e",2,"[4.020682903048408, 2.6904443059164063, 0.00104457251113]",0.0,2.237390593825315,ABC2D3E8,3,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",GGA,H-N-Na-O-S,0.00154045883333,-1.737871943275862,3.2489,5,Monoclinic,2/m,P2_1/m,oxide,Na,,,,,,"H, N, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.2672693780789879
