material_id,chem_formula,R$_0$,B,P_chemenv,num_P_chemenvs,P_wyckoff,num_P_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_P_sites,num_CN_env,num_charge_states,PX_coordn,PO_coordn,mean_coordn_P-X,min_coordn_P-X,max_coordn_P-X,mean_coordn_P-O,min_coordn_P-O,max_coordn_P-O,mean_P_charge,min_P_charge,max_P_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_PO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1019530,Ba2P2O7,1.6268741505200253,0.3156843357870326,Tetrahedron,1,4c,1,"[0.05269052939121, 0.061325677172490003]",0.0,0.057008103281850006,A2B2C7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",1.5598709625741574,GGA,Ba-O-P,0.0,-3.223110419025973,5.3745,3,Orthorhombic,mmm,Pnma,oxide,None,Ba,None,None,None,B,"O, P",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019551,BaNa2Mg(PO4)2,1.6678670443952874,0.5138596644070328,Tetrahedron,1,2d,1,[0.011586604365618001],0.0,0.011586604365618001,ABC2D2E8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",1.5532722386134112,GGA,Ba-Mg-Na-O-P,0.004719869285714,-2.953102795503166,4.8864,5,Trigonal,-3m,P-3m1,phosphate,Na,"Mg, Ba",None,None,None,B,"N, O, P",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1019593,Ce(PO3)4,1.6081313818916556,0.2616981030826104,Tetrahedron,1,4f,1,"[0.205640603686521, 0.24364280427842303, 0.216392871424288, 0.242737320461402, 0.240674466624672, 0.25849079110082, 0.24443156508982003, 0.23006732257547602]",0.0,0.23525971815517777,AB4C12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",1.5550770100368516,GGA,Ce-O-P,0.0,-2.877267321165965,1.2397,3,Monoclinic,2/m,C2/c,phosphite,None,None,None,None,None,None,"C, O, P",None,None,Ce,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019609,Cs2Sr2Li3B3(PO4)6,1.6624488480606139,0.4951506965330218,no_data,1,no_data,1,no_data,0.0,no_data,A2B2C3D3E6F24,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",1.5526704048924451,GGA,B-Cs-Li-O-P-Sr,0.0,-2.901800295804188,5.6206,6,Cubic,23,P2_13,phosphate,"Li, Cs",Sr,None,None,None,B,"C, O, P, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019614,Cs3Y(PO4)2,1.7219571447359567,0.7245545679187504,Tetrahedron,1,2a,1,"[0.128366446396633, 0.013711579319832001, 0.024598294429688004, 0.099042959960873]",0.0,0.0664298200267565,AB2C3D8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.5604256013511055,GGA,Cs-O-P-Y,0.0,-2.949137237553659,4.588900000000001,4,Monoclinic,2,P2_1,phosphate,Cs,None,Y,None,None,None,"C, O, P",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1019714,CsCa10(PO4)7,1.6080261115457766,0.22233399541969345,Tetrahedron,1,"2a, 6b",2,"[0.021049014757348, 0.108514490449875, 0.09286950383371301]",0.0,0.07414433634697867,AB7C10D28,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals",1.557657702367688,GGA,Ca-Cs-O-P,0.0,-3.283418606133807,5.203,4,Trigonal,3m,R3c,phosphate,Cs,Ca,None,None,None,None,"C, O, P",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019725,CsY(PO3)4,1.6378118053827582,0.3603553230229227,Tetrahedron,1,4e,1,"[0.23392855576652402, 0.326423185883262, 0.133239760566189, 0.272846353415866]",0.0,0.2416094639079603,ABC4D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.5626845956077502,GGA,Cs-O-P-Y,0.005703632569443001,-2.9121688374014782,5.5193,4,Monoclinic,2/m,P2_1/c,phosphite,Cs,None,Y,None,None,None,"C, O, P",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019728,RbEu(PO3)4,1.6433319231281316,0.38509032095489926,Tetrahedron,1,4e,1,"[0.322907285435914, 0.13387072081807702, 0.246690533819124, 0.273184770653568]",0.0,0.24416332768167076,ABC4D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",1.5621131400379817,GGA,Eu-O-P-Rb,0.022562025347226,-2.789527483809523,0.0,4,Monoclinic,2/m,P2_1/c,phosphite,Rb,None,None,None,None,None,"O, P",None,None,Eu,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019736,CsEu(PO3)4,1.6447597715970317,0.38711557104521005,Tetrahedron,1,4e,1,"[0.312307570308883, 0.12784076590631602, 0.2636991186404, 0.25411798172721]",0.0,0.23949135914570227,ABC4D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",1.563266466768059,GGA,Cs-Eu-O-P,0.020818985833333,-2.7893043225403673,0.0,4,Monoclinic,2/m,P2_1/c,phosphite,Cs,None,None,None,None,None,"C, O, P",None,None,Eu,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019737,KEu(PO3)4,1.6204981314196552,0.2917612325772878,Tetrahedron,1,4e,1,"[0.297746935526269, 0.33611259308628305, 0.13978501492556, 0.24259268634229703]",0.0,0.2540593074701023,ABC4D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",1.561443583235706,GGA,Eu-K-O-P,0.026722703333332,-2.786646658656746,0.0,4,Monoclinic,2/m,P2_1/c,phosphite,K,None,None,None,None,None,"O, P",None,None,Eu,None,"B $\in$ [0.1, 0.5]",Positive B
