material_id,chem_formula,R$_0$,B,Ti_chemenv,num_Ti_chemenvs,Ti_wyckoff,num_Ti_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ti_sites,num_CN_env,num_charge_states,mean_coordn_Ti-X,min_coordn_Ti-X,max_coordn_Ti-X,mean_coordn_Ti-O,min_coordn_Ti-O,max_coordn_Ti-O,mean_Ti_charge,min_Ti_charge,max_Ti_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_TiO_BondL,TiX_coordn,TiO_coordn
mp-17904,Nd2TiO5,1.7421405742997056,0.7609383763710184,Square pyramid,1,4c,1,[2.60014311765228],0.0,2.60014311765228,AB2C5,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",R2SCAN,Nd-O-Ti,0.0,-3.656383466145833,3.3138,3,Orthorhombic,mmm,Pnma,oxide,,,Ti,,,,"N, O",,,Nd,,"B $\in$ [0.5, 1]",Positive B,1.9164411739444176,[5.0],[5.0]
mp-17986,TiTl2O3,1.806701774239079,0.5295804691002372,Trigonal bipyramid,1,4c,1,[2.30885369601416],0.0,2.30885369601416,AB2C3,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",R2SCAN,O-Ti-Tl,0.0,-2.079142761111114,2.0959000000000003,3,Orthorhombic,mmm,Pnma,oxide,,,Ti,,Tl,,O,,,,,"B $\in$ [0.5, 1]",Positive B,1.916453494836849,[5.0],[5.0]
mp-18005,NaYTiO4,1.5857756372604097,1.1815976904930825,Square pyramid,1,4d,1,[1.0483502572005496],0.0,1.0483502572005496,ABCD4,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Na-O-Ti-Y,0.0206162004687353,-3.3582368035303776,2.3722,4,Orthorhombic,mmm,Pbcm,oxide,Na,,"Ti, Y",,,,"N, O",,,,,B > 1,Positive B,2.019867068019644,[6.0],[6.0]
mp-18051,La2TiO5,1.7375034707355983,0.8053584626911814,Square pyramid,1,4c,1,[2.5197850145439853],0.0,2.5197850145439853,AB2C5,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",R2SCAN,La-O-Ti,0.0,-3.851740212291668,3.2886,3,Orthorhombic,mmm,Pnma,oxide,,,Ti,,,,O,,,La,,"B $\in$ [0.5, 1]",Positive B,1.9240122947735927,[5.0],[5.0]
mp-18082,Sm3Ti3(SeO4)2,1.823006515864122,0.3457927018023592,"Square pyramid, Octahedron",2,2e,1,"[2.0520211235095664, 1.2895778353239145, 1.4274261613451162]",0.0,1.5896750400595323,A2B3C3D8,2,3,2,5.666666666666667,5.0,6.0,5.333333333333333,5.0,6.0,3.6666666666666665,3.0,4.0,1.3333333333333333,1,2,"Se2-, O2-","Lanthanides, Nonmetals, Transition Metals",R2SCAN,O-Se-Sm-Ti,0.0,-3.361001664042968,0.0,4,Monoclinic,2/m,P2_1/m,oxide,,,Ti,,,,"O, S, Se",,,Sm,,"B $\in$ [0.1, 0.5]",Positive B,1.9805825163794355,"[5.0, 6.0]","[5.0, 6.0]"
mp-18182,CsNa3TiO4,1.850617024222997,0.1651096049073457,Tetrahedron,1,2i,1,"[0.23013065920874554, 0.15282437631543097]",0.0,0.19147751776208827,ABC3D4,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Cs-Na-O-Ti,0.0,-2.3942783227362705,3.4808,4,Triclinic,-1,P-1,oxide,"Na, Cs",,Ti,,,,"C, N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.8503362131738057,[4.0],[4.0]
mp-18271,Na5Ti2Si2PO13,1.6387180905725736,0.8762010093124692,Octahedron,1,2i,1,"[0.8697384808096214, 0.08035258340307404]",0.0,0.4750455321063477,AB2C2D5E13,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,Na-O-P-Si-Ti,0.0,-2.941639029813308,2.5262,5,Triclinic,-1,P-1,oxide,Na,,Ti,,,Si,"N, O, P, S",,,,,"B $\in$ [0.5, 1]",Positive B,1.9988032164899547,[6.0],[6.0]
mp-18281,Ti2Ni(PO5)2,2.079133827809468,-0.0469946269911636,Octahedron,1,4e,1,[0.689550807860142],0.0,0.689550807860142,AB2C2D10,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Ni-O-P-Ti,0.0,-2.879539235063492,2.6241,4,Monoclinic,2/m,P2_1/c,oxide,,,"Ti, Ni",,,,"N, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.006454883261151,[6.0],[6.0]
mp-18582,Rb2Ti(Si2O5)3,1.9506863019214529,0.0145071083603506,Octahedron,1,2a,1,[0.034181652069278014],0.0,0.034181652069278014,AB2C6D15,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",R2SCAN,O-Rb-Si-Ti,0.0,-3.190953711701391,3.4853,4,Monoclinic,m,Cc,oxide,Rb,,Ti,,,Si,"O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.956593205519956,[6.0],[6.0]
mp-18640,LiTi2(PO4)3,1.6687905395347826,0.7068555614138099,Octahedron,1,4c,1,[0.3188039962716815],0.0,0.3188039962716815,AB2C3D12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Li-O-P-Ti,0.0,-3.0153284299404755,2.4404,4,Trigonal,-3m,R-3c,phosphate,Li,,Ti,,,,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.9567789967716047,[6.0],[6.0]
mp-18647,Nd3Ti3(SeO4)2,1.851258723800552,0.263088503390727,"Square pyramid, Octahedron",2,2e,1,"[1.0119050926715958, 1.1471492188232901, 1.7997786470155195]",0.0,1.319610986170135,A2B3C3D8,2,3,2,5.666666666666667,5.0,6.0,5.333333333333333,5.0,6.0,3.6666666666666665,3.0,4.0,1.3333333333333333,1,2,"Se2-, O2-","Lanthanides, Nonmetals, Transition Metals",R2SCAN,Nd-O-Se-Ti,0.0,-3.348637550761717,0.0,4,Monoclinic,2/m,P2_1/m,oxide,,,Ti,,,,"N, O, S, Se",,,Nd,,"B $\in$ [0.1, 0.5]",Positive B,1.976807189563402,"[5.0, 6.0]","[5.0, 6.0]"
