material_id,chem_formula,R$_0$,B,Se_chemenv,num_Se_chemenvs,Se_wyckoff,num_Se_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Se_sites,num_CN_env,num_charge_states,SeX_coordn,SeO_coordn,mean_coordn_Se-X,min_coordn_Se-X,max_coordn_Se-X,mean_coordn_Se-O,min_coordn_Se-O,max_coordn_Se-O,mean_Se_charge,min_Se_charge,max_Se_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_SeO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-510018,Rb2CuH12(SeO7)2,1.691310473820901,0.029238179691970033,Tetrahedron,1,4e,1,[0.016047974634893002],0.0,0.016047974634893002,AB2C2D12E14,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.6795530322496073,GGA,Cu-H-O-Rb-Se,0.0,-1.362084831925403,0.5613,5,Monoclinic,2/m,P2_1/c,oxide,Rb,None,Cu,None,None,None,"H, C, O, S, Se",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-510022,MnH10SeO9,1.6826835259295088,0.007872570533041487,Tetrahedron,1,2i,1,[0.026295696518635003],0.0,0.026295696518635003,ABC9D10,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",1.6799561840163382,GGA_U,H-Mn-O-Se,0.016736007499998002,-1.339524626560703,1.1322,4,Triclinic,-1,P-1,oxide,None,None,Mn,None,None,None,"H, O, S, Se",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-510293,Pb3SeO5,1.5699675127972903,-0.4989683702962345,Triangular non-coplanar,1,2a,1,[0.380319589501639],0.0,0.380319589501639,AB3C5,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals",1.7134031039564102,r2SCAN,O-Pb-Se,0.0,-1.20847606045139,2.4633000000000003,3,Orthorhombic,mm2,Cmc2_1,oxide,None,None,None,None,Pb,None,"O, P, S, Se",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-5226,K2SeO4,2.103792084076319,1.104885417732674,Tetrahedron,1,4c,1,[0.011162199774767002],0.0,0.011162199774767002,AB2C4,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",1.6549902610400735,r2SCAN,K-O-Se,0.000112001190474,-1.8025923552633931,3.611999999999999,3,Orthorhombic,mmm,Pnma,oxide,K,None,None,None,None,None,"O, S, Se",None,None,None,None,B > 1,Positive B
mp-532676,LiMgAl3(SeO4)6,1.8690442039420216,0.4996790527638308,Tetrahedron,1,1a,1,"[0.10289194503651701, 0.112490271209829, 0.10233492765088201, 0.15004721286538902, 0.13183029143321, 0.174910679517697, 0.38077727871114103, 0.09475286468909001, 0.26229704185603403, 0.167538240336288, 0.10413472873153601, 0.12060970430977201]",0.0,0.15871793219561542,ABC3D6E24,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Post-Transition Metals",1.6665951472447693,GGA,Al-Li-Mg-O-Se,0.008619836809524,-1.780080560354166,3.1184,5,Triclinic,1,P1,oxide,Li,Mg,None,None,Al,None,"O, S, Se",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-5338,ZnSeO3,1.7965710170816613,0.26739426943753813,Triangular non-coplanar,1,8c,1,[0.7563330259424681],0.0,0.7563330259424681,ABC3,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",1.7201847212784298,r2SCAN,O-Se-Zn,0.0,-1.5024296932187502,3.9227,3,Orthorhombic,mmm,Pbca,oxide,None,None,Zn,None,None,None,"O, S, Se",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-541090,Ce(SeO3)2,1.8075798342981535,0.3169589134334874,Triangular non-coplanar,1,4e,1,"[1.184588876946696, 0.5706547766354261]",0.0,0.8776218267910609,AB2C6,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",1.7167146184350706,r2SCAN,Ce-O-Se,0.0,-2.138710006631945,1.2671000000000001,3,Monoclinic,2/m,P2_1/c,oxide,None,None,None,None,None,None,"C, O, S, Se",None,None,Ce,None,"B $\in$ [0.1, 0.5]",Positive B
mp-541147,Cu4Se3O10,1.7514947953974265,0.11546146402330734,Triangular non-coplanar,1,2i,1,"[0.9220866885180221, 0.5672889373555331, 0.7048287741560421]",0.0,0.7314014666765324,A3B4C10,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",1.7184526472962562,r2SCAN,Cu-O-Se,0.0,-0.809773790716912,0.0,3,Triclinic,-1,P-1,oxide,None,None,Cu,None,None,None,"C, O, S, Se",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-5416,Na2SeO3,1.8034178868316109,0.2967857809732291,Triangular non-coplanar,1,4e,1,[0.5415429255934681],0.0,0.5415429255934681,AB2C3,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",1.7181125235350592,r2SCAN,Na-O-Se,0.0,-1.597023650677083,4.2235,3,Monoclinic,2/m,P2_1/c,oxide,Na,None,None,None,None,None,"N, O, S, Se",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-542045,UTlH(SeO4)2,1.9553627751419165,0.7531095437907108,Triangular non-coplanar,1,4e,1,"[0.9549033218082391, 0.75253429146837]",0.0,0.8537188066383046,ABCD2E8,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Nonmetals, Post-Transition Metals",1.739329218221392,GGA,H-O-Se-Tl-U,0.0,-1.990473768982371,2.1303,5,Monoclinic,2/m,P2_1/c,oxide,None,None,None,None,Tl,None,"H, O, S, Se",None,None,None,U,"B $\in$ [0.5, 1]",Positive B
