material_id,chem_formula,R$_0$,B,Pt_chemenv,num_Pt_chemenvs,Pt_wyckoff,num_Pt_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Pt_sites,num_CN_env,num_charge_states,PtX_coordn,PtO_coordn,mean_coordn_Pt-X,min_coordn_Pt-X,max_coordn_Pt-X,mean_coordn_Pt-O,min_coordn_Pt-O,max_coordn_Pt-O,mean_Pt_charge,min_Pt_charge,max_Pt_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_PtO_BondL
mp-1197023,Pt(SO4)2,1.9936368661199448,0.2380219699427241,Square pyramid,1,4e,1,[0.33992349832113505],0.0,0.33992349832113505,AB2C8,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,O-Pt-S,0.0,-1.403062018181818,0.000399999999999,3,Monoclinic,2/m,P2_1/c,sulfate,,,Pt,,,,"O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0515418158963667
mp-1200998,Ba2H8PtO8,2.0337369153335496,0.0249635181087983,Octahedron,1,4a,1,[0.045960047018183],0.0,0.045960047018183,AB2C8D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-H-O-Pt,0.0,-1.676968180526316,2.4355,4,Orthorhombic,mmm,Pbca,oxide,,Ba,Pt,,,B,"H, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.044199346644295
mp-1202747,Sr2H8PtO8,2.041029289319306,0.0121467596143789,Octahedron,1,2a,1,[0.098818926538611],0.0,0.098818926538611,AB2C8D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,H-O-Pt-Sr,0.0,-1.696701248947369,2.5652,4,Monoclinic,2/m,P2_1/c,oxide,,Sr,Pt,,,,"H, O, P, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.046040306540203
mp-1204209,CsHPt2(SO4)4,1.5955021324697884,0.9381823477218032,Square pyramid,1,4e,1,"[0.14547409499569, 0.16861149688567]",0.0,0.15704279594068,ABC2D4E16,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Cs-H-O-Pt-S,0.0,-1.628086922121048,0.7178,5,Monoclinic,2/m,P2_1/c,sulfate,Cs,,Pt,,,,"H, C, O, P, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.075382958744727
mp-1208543,Tb2CoPtO6,2.034860150509225,0.0575424892665605,Octahedron,1,2a,1,[0.032835760961431],0.0,0.032835760961431,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Co-O-Pt-Tb,0.026508542687499,-2.570667225333333,0.0,4,Monoclinic,2/m,P2_1/c,oxide,,,"Co, Pt",,,,"C, O, P",,,Tb,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.058300458547371
mp-1208902,Sm2ZnPtO6,2.018269534196984,0.0965879321498339,Octahedron,1,2a,1,[0.02530211271053],0.0,0.02530211271053,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,O-Pt-Sm-Zn,0.034153243062496,-2.6055048565,1.7044,4,Monoclinic,2/m,P2_1/c,oxide,,,"Zn, Pt",,,,"O, P, S",,,Sm,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0576155988821507
mp-1208919,Sm2MgPtO6,2.0174315885680847,0.0879868162398702,Octahedron,1,2a,1,[0.026039879572294002],0.0,0.026039879572294002,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Mg-O-Pt-Sm,0.003190231062497,-2.885949879999999,2.0802,4,Monoclinic,2/m,P2_1/c,oxide,,Mg,Pt,,,,"O, P, S",,,Sm,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.053274092647275
mp-1208920,Sm2CoPtO6,2.029028831016501,0.0837173592415096,Octahedron,1,2a,1,[0.026518911985040004],0.0,0.026518911985040004,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Co-O-Pt-Sm,0.005007201312495,-2.5308373050000013,1.7723,4,Monoclinic,2/m,P2_1/c,oxide,,,"Co, Pt",,,,"C, O, P, S",,,Sm,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0631317851041278
mp-1208922,Sm2NiPtO6,2.0179962013856008,0.0960467786008814,Octahedron,1,2a,1,[0.025004497663822],0.0,0.025004497663822,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Ni-O-Pt-Sm,0.008608662562498,-2.5164866745,1.668099999999999,4,Monoclinic,2/m,P2_1/c,oxide,,,"Ni, Pt",,,,"N, O, P, S",,,Sm,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.057120969541272
mp-1209351,Pr2ZnPtO6,2.0252661565659125,0.0886925659014477,Octahedron,1,2a,1,[0.014183403425869],0.0,0.014183403425869,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,O-Pr-Pt-Zn,0.0,-2.558768000833332,0.0,4,Monoclinic,2/m,P2_1/c,oxide,,,"Zn, Pt",,,,"O, P",,,Pr,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0613959697791078
mp-1209742,Pr2MgPtO6,2.02051884386509,0.0819480787532237,Octahedron,1,2a,1,[0.013867448511368001],0.0,0.013867448511368001,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Mg-O-Pr-Pt,0.0,-2.840139070833332,2.0522,4,Monoclinic,2/m,P2_1/c,oxide,,Mg,Pt,,,,"O, P",,,Pr,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0539021192307683
mp-1209764,Pr2NiPtO6,2.012309058837696,0.1103765430537258,Octahedron,1,2a,1,[0.014571768424321],0.0,0.014571768424321,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Ni-O-Pr-Pt,0.0,-2.466633758333333,1.8264,4,Monoclinic,2/m,P2_1/c,oxide,,,"Ni, Pt",,,,"N, O, P",,,Pr,,"B $\in$ [0.1, 0.5]",Positive B,2.0572721025548666
mp-1209786,Nd2MgPtO6,2.026129144146772,0.0663989773881981,Octahedron,1,2a,1,[0.016759072832887002],0.0,0.016759072832887002,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Mg-Nd-O-Pt,0.0,-2.8591508755,2.0683,4,Monoclinic,2/m,P2_1/c,oxide,,Mg,Pt,,,,"N, O, P",,,Nd,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.053177062325369
mp-1209897,Ni(PtO2)3,1.9783628154485624,0.1088053747359905,"Octahedron, Square plane",2,"4h, 2c",2,"[0.813392563956965, 2.3324263359235022]",0.0,1.5729094499402336,AB3C6,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,3.33,3.33,3.33,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Ni-O-Pt,0.000969365749999,-0.9822770769999992,0.0,3,Orthorhombic,mmm,Pbam,oxide,,,"Ni, Pt",,,,"N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0337017822851795
mp-1209914,Nd2ZnPtO6,2.0461167157243225,0.02871864720274,Octahedron,1,2a,1,[0.019807143348281],0.0,0.019807143348281,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Nd-O-Pt-Zn,0.017236804374997,-2.578072024,1.7003,4,Monoclinic,2/m,P2_1/c,oxide,,,"Zn, Pt",,,,"N, O, P",,,Nd,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.057816356665086
mp-1209936,Nd2NiPtO6,2.0276072703108303,0.0732147994163886,Octahedron,1,2a,1,[0.017725222786133],0.0,0.017725222786133,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Nd-Ni-O-Pt,0.0,-2.487354999499999,1.8452,4,Monoclinic,2/m,P2_1/c,oxide,,,"Ni, Pt",,,,"N, O, P",,,Nd,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0574312433562283
mp-1212356,Ho2CoPtO6,2.0298473625015374,0.0763866243684008,Octahedron,1,2a,1,[0.044870423370186006],0.0,0.044870423370186006,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Co-Ho-O-Pt,0.038259854437497,-2.5796776335,1.7584,4,Monoclinic,2/m,P2_1/c,oxide,,,"Co, Pt",,,,"H, C, O, P",,,Ho,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.060962055354148
mp-1212708,Gd2NiPtO6,2.0233159071603337,0.0809140208565537,Octahedron,1,2a,1,[0.028660807215148004],0.0,0.028660807215148004,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Gd-Ni-O-Pt,0.0,-2.514124334999999,0.0,4,Monoclinic,2/m,P2_1/c,oxide,,,"Ni, Pt",,,,"N, O, P",,,Gd,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.056276566416187
mp-1212711,Gd2MgPtO6,1.991582601738144,0.0948313908016749,Octahedron,1,2a,1,[0.035300390701409],0.0,0.035300390701409,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",r2SCAN,Gd-Mg-O-Pt,0.0,-2.883619893499998,2.035799999999999,4,Monoclinic,2/m,P2_1/c,oxide,,Mg,Pt,,,,"O, P",,,Gd,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.030212285530909
mp-1212755,Gd2ZnPtO6,1.9904304639176489,0.1111125574699862,Octahedron,1,2a,1,[0.043260628531181004],0.0,0.043260628531181004,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Gd-O-Pt-Zn,0.0,-2.6020982924999982,0.0,4,Monoclinic,2/m,P2_1/c,oxide,,,"Zn, Pt",,,,"O, P",,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,2.035693863372576
