material_id,chem_formula,R$_0$,B,Hf_chemenv,num_Hf_chemenvs,Hf_wyckoff,num_Hf_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Hf_sites,num_CN_env,num_charge_states,HfX_coordn,HfO_coordn,mean_coordn_Hf-X,min_coordn_Hf-X,max_coordn_Hf-X,mean_coordn_Hf-O,min_coordn_Hf-O,max_coordn_Hf-O,mean_Hf_charge,min_Hf_charge,max_Hf_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_HfO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1101177,Y2Hf2O7,1.9065213715782516,0.8707041726521828,Trigonal bipyramid,1,2i,1,[0.7144351104521801],0.0,0.7144351104521801,A2B2C7,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",2.05088251670796,GGA,Hf-O-Y,0.047235059431812006,-3.868027537386369,4.428199999999999,3,Monoclinic,2/m,C2/m,oxide,None,None,"Y, Hf",None,None,None,"H, O",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1178405,Cs2HfO3,1.6655496660383586,1.666413077027686,Square pyramid,1,2c,1,[2.399689596027576],0.0,2.399689596027576,AB2C3,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",2.0387145780359455,r2SCAN,Cs-Hf-O,0.0,-2.743462579999999,3.8149,3,Orthorhombic,mmm,Cmcm,oxide,Cs,None,Hf,None,None,None,"H, C, O",None,None,None,None,B > 1,Positive B
mp-1178408,Cs2HfO3,1.9648093756007672,0.5925035520135816,Tetrahedron,1,4f,1,[0.025062062246706002],0.0,0.025062062246706002,AB2C3,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.9664400854592465,GGA,Cs-Hf-O,0.045059997500001,-2.698402582500004,3.5968,3,Orthorhombic,mmm,Cmce,oxide,Cs,None,Hf,None,None,None,"H, C, O",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1198622,Li7La3Hf2O12,1.9902722135894728,0.23073517171934266,Octahedron,1,8c,1,[0.1614398438358],0.0,0.1614398438358,A2B3C7D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",2.0838859593605696,r2SCAN,Hf-La-Li-O,0.009968351718751,-3.185109127534721,4.3384,4,Tetragonal,4/mmm,I4_1/acd,oxide,Li,None,Hf,None,None,None,"H, O",None,None,La,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1201301,K2Hf2O5,1.6882487300412194,1.0610288085123039,Octahedron,1,8e,1,[0.7243044530929561],0.0,0.7243044530929561,A2B2C5,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",2.099824823541729,r2SCAN,Hf-K-O,0.0,-3.2862341157777752,4.4449,3,Orthorhombic,mmm,Pnna,oxide,K,None,Hf,None,None,None,"H, O",None,None,None,None,B > 1,Positive B
mp-1205471,K10Hf3Mo12PbO48,0.9989918353740596,2.664924278634266,Octahedron,1,"2c, 1a",2,"[0.008142433463418001, 0.289110962827833]",0.0,0.14862669814562549,AB3C10D12E48,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals, Transition Metals",2.079621319934384,GGA_U,Hf-K-Mo-O-Pb,0.005222669605857,-2.341124673547297,2.7925,5,Trigonal,-3,R-3,oxide,K,None,"Mo, Hf",None,Pb,None,"H, O, P",None,None,None,None,B > 1,Positive B
mp-1207897,Y2Hf2(MoO4)7,1.9570706338456767,0.3030558330564129,Octahedron,1,4f,1,[0.36631479259481303],0.0,0.36631479259481303,A2B2C7D28,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",2.080215545922284,GGA_U,Hf-Mo-O-Y,0.004652973952977001,-2.579568744999997,3.2042,4,Monoclinic,2/m,C2/c,oxide,None,None,"Y, Mo, Hf",None,None,None,"H, O",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1208737,Tb2Hf2(MoO4)7,1.9432864866396624,0.34087791377023646,Octahedron,1,4f,1,[0.365177263151987],0.0,0.365177263151987,A2B2C7D28,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.0818007220811303,GGA_U,Hf-Mo-O-Tb,0.0,-2.587879192521367,3.2106,4,Monoclinic,2/m,C2/c,oxide,None,None,"Mo, Hf",None,None,None,"H, O",None,None,Tb,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1209249,Sm2Hf2(MoO4)7,1.9308477665513137,0.3800370342333574,Octahedron,1,4f,1,[0.36308918065809503],0.0,0.36308918065809503,A2B2C7D28,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.0852734678399707,GGA_U,Hf-Mo-O-Sm,0.0,-2.584654069487179,3.2931,4,Monoclinic,2/m,C2/c,oxide,None,None,"Mo, Hf",None,None,None,"H, O, S",None,None,Sm,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1209493,Rb8Hf(MoO4)6,0.8638091195141161,3.0118522903345797,Octahedron,1,1a,1,[0.255653685880053],0.0,0.255653685880053,AB6C8D24,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",2.085041389544568,GGA_U,Hf-Mo-O-Rb,0.0,-2.312537084615384,3.9993,4,Monoclinic,2/m,C2/m,oxide,Rb,None,"Mo, Hf",None,None,None,"H, O",None,None,None,None,B > 1,Positive B
