material_id,chem_formula,R$_0$,B,Ru_chemenv,num_Ru_chemenvs,Ru_wyckoff,num_Ru_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ru_sites,num_CN_env,num_charge_states,RuX_coordn,RuO_coordn,mean_coordn_Ru-X,min_coordn_Ru-X,max_coordn_Ru-X,mean_coordn_Ru-O,min_coordn_Ru-O,max_coordn_Ru-O,mean_Ru_charge,min_Ru_charge,max_Ru_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_RuO_BondL
mp-1173266,Sr2La2MgRuO8,2.32612702771877,-0.7918140584216582,Octahedron,1,2i,1,[0.10199293086485901],0.0,0.10199293086485901,ABC2D2E8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA,La-Mg-O-Ru-Sr,0.033095178749999,-3.021687624642857,0.0,5,Triclinic,-1,P-1,oxide,,"Mg, Sr",Ru,,,,"O, S",,,La,,"B $\in$ [-1, -0.1]",Negative B,2.0047996620356003
mp-1173476,Sr18Fe6Ru3O34,2.01642238333896,-0.100160961691998,no_data,1,no_data,1,no_data,0.0,no_data,A3B6C18D34,2,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,4.5,4.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Fe-O-Ru-Sr,0.030375191836061,-2.540248951147541,0.0,4,Monoclinic,2/m,C2/m,oxide,,Sr,"Fe, Ru",,,,"O, S",F,,,,"B $\in$ [-1, -0.1]",Negative B,1.9862536013510583
mp-1173635,Sr18La2MgRu9O40,2.319982282104445,-0.766112907894233,Octahedron,1,"1a, 2i",2,"[0.06382295706892001, 0.038661022046947005, 0.038658736544017004, 0.038058373401367, 0.038019065924211004]",0.0,0.0434440309970924,AB2C9D18E40,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA,La-Mg-O-Ru-Sr,0.016589890464287,-2.5727319627857157,0.0,5,Monoclinic,2/m,C2/m,oxide,,"Mg, Sr",Ru,,,,"O, S",,,La,,"B $\in$ [-1, -0.1]",Negative B,2.007524641196911
mp-1173638,Sr10Cu(RuO5)4,2.22528424594552,-0.6247584247540534,Octahedron,1,4h,1,[0.152516438799456],0.0,0.152516438799456,AB4C10D20,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Cu-O-Ru-Sr,0.014828518857099,-2.306033944666671,0.0,4,Tetragonal,4/m,I4/m,oxide,,Sr,"Cu, Ru",,,,"C, O, S",,,,,"B $\in$ [-1, -0.1]",Negative B,1.9787585373950545
mp-1188108,Sr2DyRuO6,1.9851002423825377,0.0233961471844472,Octahedron,1,2b,1,[0.006700725557952001],0.0,0.006700725557952001,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Dy-O-Ru-Sr,0.0,-2.857345851166667,0.2518,4,Monoclinic,2/m,P2_1/c,oxide,,Sr,Ru,,,,"O, S",,,Dy,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9893787464888053
mp-11892,NaNd2RuO6,1.9748795376794048,0.0596383343625265,Octahedron,1,2d,1,[0.009550227082368001],0.0,0.009550227082368001,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Na-Nd-O-Ru,0.037560917750004,-2.673883322137931,0.0,4,Monoclinic,2/m,P2_1/c,oxide,Na,,Ru,,,,"N, O",,,Nd,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9858259515155392
mp-1190489,LaTb2RuO7,1.9658526582870115,0.0813685528442739,Octahedron,1,2b,1,[0.26337543753187304],0.0,0.26337543753187304,ABC2D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,La-O-Ru-Tb,0.0,-3.190906396666666,0.0,4,Orthorhombic,mmm,Cmcm,oxide,,,Ru,,,,O,,,"La, Tb",,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9809720409117864
mp-1191047,Tb3RuO7,1.9413350217970848,0.0208215991131931,Octahedron,1,2b,1,[0.309592446756357],0.0,0.309592446756357,AB3C7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,O-Ru-Tb,0.0,-3.17857323772727,0.0,3,Orthorhombic,mmm,Cmcm,oxide,,,Ru,,,,O,,,Tb,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9452017669421295
mp-1193175,Na(RuO2)2,2.0409532489013684,-0.0407258509401773,Octahedron,1,4c,1,"[0.8065248751751041, 0.472920565479776]",0.0,0.63972272032744,AB2C4,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,Na-O-Ru,0.010980762321429,-1.475466854839901,0.0,3,Orthorhombic,mmm,Pnma,oxide,Na,,Ru,,,,"N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0228887609886232
mp-1194240,Sr2GdCu2RuO8,1.6853581876176855,1.6690155773446012,Octahedron,1,2a,1,[0.009078030607855002],0.0,0.009078030607855002,ABC2D2E8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Cu-Gd-O-Ru-Sr,0.021344923928549,-2.268234198214285,0.0,5,Tetragonal,4/mmm,P4/mbm,oxide,,Sr,"Cu, Ru",,,,"C, O, S",,,Gd,,B > 1,Positive B,1.989763622182947
