material_id,chem_formula,R$_0$,B,Th_chemenv,num_Th_chemenvs,Th_wyckoff,num_Th_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Th_sites,num_CN_env,num_charge_states,ThX_coordn,ThO_coordn,mean_coordn_Th-X,min_coordn_Th-X,max_coordn_Th-X,mean_coordn_Th-O,min_coordn_Th-O,max_coordn_Th-O,mean_Th_charge,min_Th_charge,max_Th_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_ThO_BondL
mp-1194895,Th2Te3MoO13,2.4641415871931294,0.0244344876561991,"Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps)",2,4e,1,"[2.913935658365481, 3.776637247481593]",0.0,3.345286452923537,AB2C3D13,2,2,1,"[8.0, 9.0]","[8.0, 9.0]",8.5,8.0,9.0,8.5,8.0,9.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Metalloids, Nonmetals, Transition Metals",GGA_U,Mo-O-Te-Th,0.0111510306908,-2.507404374868421,3.4705,4,Monoclinic,2/m,P2_1/c,oxide,,,Mo,,,Te,O,,,,Th,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.4750047764514966
mp-1194965,Li2Th(AsO4)2,2.0656804200050525,0.5659231808229835,Tricapped triangular prism (three square-face caps),1,4e,1,[4.261806628991716],0.0,4.261806628991716,AB2C2D8,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Metalloids, Nonmetals",GGA,As-Li-O-Th,0.0,-2.542340858589743,3.9494,4,Monoclinic,2/m,P2_1/c,oxide,Li,,,,,As,O,,,,Th,"B $\in$ [0.5, 1]",Positive B,2.5068302737655435
mp-1195019,Rb2Th3Mg(MoO4)8,1.9392277480881213,0.6960064676907558,"Square antiprism, Dodecahedron with triangular faces - p2345 plane normalized",2,"4f, 2e",2,"[0.5906012730282001, 0.35458306765680303]",0.0,0.47259217034250156,AB2C3D8E32,2,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-Mo-O-Rb-Th,0.0,-2.56300337902174,3.5741,5,Monoclinic,2/m,C2/c,oxide,Rb,Mg,Mo,,,,O,,,,Th,"B $\in$ [0.5, 1]",Positive B,2.422674816221415
mp-1195400,ThTeWO7,2.523930086727655,0.0151866466040629,Tricapped octahedron (cap faces are aligned),1,4e,1,[4.129552967626844],0.0,4.129552967626844,ABCD7,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Metalloids, Nonmetals, Transition Metals",GGA_U,O-Te-Th-W,0.026682857000015,-2.6144862811666663,3.258199999999999,4,Monoclinic,2/m,P2_1/c,oxide,,,W,,,Te,O,,,,Th,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.500365597286183
mp-1195447,Rb8Th(MoO4)6,1.6914496841414148,1.131531379122568,Square antiprism,1,2e,1,[0.615736850917463],0.0,0.615736850917463,AB6C8D24,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Nonmetals, Transition Metals",GGA_U,Mo-O-Rb-Th,0.000184083846152,-2.339157032820512,4.004300000000001,4,Monoclinic,2/m,C2/c,oxide,Rb,,Mo,,,,O,,,,Th,B > 1,Positive B,2.4777260742592064
mp-1195516,K2SrTh2(MoO4)6,2.422112507842806,0.0131211844143777,Square antiprism,1,2i,1,"[1.489052540330179, 1.044822093473103]",0.0,1.266937316901641,AB2C2D6E24,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,K-Mo-O-Sr-Th,0.029636166375007,-2.543203161985713,0.0,5,Triclinic,-1,P-1,oxide,K,Sr,Mo,,,,"O, S",,,,Th,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.4372318989259405
mp-1195528,Rb2Th(MoO4)3,2.130873406954538,0.4918165771990985,Dodecahedron with triangular faces - p2345 plane normalized,1,2e,1,[1.913810025364367],0.0,1.913810025364367,AB2C3D12,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Nonmetals, Transition Metals",GGA_U,Mo-O-Rb-Th,0.0039136421875,-2.484004182499999,3.616,4,Monoclinic,2/m,C2/c,oxide,Rb,,Mo,,,,O,,,,Th,"B $\in$ [0.1, 0.5]",Positive B,2.4527726723082095
mp-1195548,K2Th(AsO4)2,2.151739991978926,0.4576782011453503,Square antiprism,1,4e,1,[1.031578711833927],0.0,1.031578711833927,AB2C2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Metalloids, Nonmetals",GGA,As-K-O-Th,0.0,-2.531051792076922,3.890099999999999,4,Monoclinic,2/m,P2_1/c,oxide,K,,,,,As,O,,,,Th,"B $\in$ [0.1, 0.5]",Positive B,2.4693798220560783
mp-1195554,ThTe2MoO9,2.250576259912021,0.2877730888198755,Tricapped triangular prism (three square-face caps),1,4f,1,[5.044566271587277],1.0,5.044566271587277,ABC2D9,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Metalloids, Nonmetals, Transition Metals",GGA_U,Mo-O-Te-Th,0.010090512932679,-2.308725281410256,3.346499999999999,4,Monoclinic,2/m,C2/c,oxide,,,Mo,,,Te,O,,,,Th,"B $\in$ [0.1, 0.5]",Positive B,2.515961970363457
mp-1195570,Th(SeO3)2,2.117008192455139,0.5259297449769643,Square-face bicapped trigonal prism,1,4a,1,[4.04555744471302],0.0,4.04555744471302,AB2C6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Nonmetals",r2SCAN,O-Se-Th,0.005591265555557,-2.3033670441319423,3.9917,3,Orthorhombic,mm2,Pna2_1,oxide,,,,,,,"O, S, Se",,,,Th,"B $\in$ [0.5, 1]",Positive B,2.450409867888654
