CN,n_samples,n_materials,avg_formal_charge,s_avg_approx,savg_class,charge_fraction_breakdown
0.0,10,10,4.0,inf,s_avg > 1,4+:1.0000
1.0,14,14,4.0,4.0,s_avg > 1,4+:1.0000
2.0,7,7,4.0,2.0,s_avg > 1,4+:1.0000
3.0,5,5,4.0,1.3333333333333333,s_avg > 1,4+:1.0000
4.0,2280,2280,4.0,1.0,s_avg ≤ 1,4+:1.0000
6.0,23,23,4.0,0.6666666666666666,s_avg ≤ 1,4+:1.0000
