CN,formal_charge,count,fraction_within_cn,weighted_charge_contribution
0.0,2,1,1.0,2.0
1.0,2,2,1.0,2.0
2.0,2,3,1.0,2.0
3.0,2,35,0.9722222222222222,1.9444444444444444
3.0,3,1,0.027777777777777776,0.08333333333333333
4.0,2,23,0.6571428571428571,1.3142857142857143
4.0,3,1,0.02857142857142857,0.08571428571428572
4.0,4,11,0.3142857142857143,1.2571428571428571
5.0,2,17,0.7727272727272727,1.5454545454545454
5.0,3,2,0.09090909090909091,0.2727272727272727
5.0,4,3,0.13636363636363635,0.5454545454545454
6.0,2,24,0.04979253112033195,0.0995850622406639
6.0,3,8,0.016597510373443983,0.049792531120331954
6.0,4,450,0.9336099585062241,3.7344398340248963
7.0,2,1,0.3333333333333333,0.6666666666666666
7.0,4,2,0.6666666666666666,2.6666666666666665
