material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ta_wyckoff,num_Ta_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-10347,CsCa2Ta3O10,1.93856465354588,0.4733682396075765,[6.0],5.0,5.0,5.0,Octahedron,"1a, 2g",1,6.0,Ta,0.0,True,3.0,6.0,1.9695695348159998,1.9753170000000004,1.973401178272,0.0027093810708264184,0.0057474651840006,72.0,36.0,0.0,90.0,2.0,0.3333333333333333,1,Octahedron
mp-10347,CsCa2Ta3O10,1.93856465354588,0.4733682396075765,[6.0],5.0,5.0,5.0,Octahedron,"1a, 2g",1,6.0,Ta,0.0,True,4.0,6.0,1.798439542704,2.3034522009600003,2.0291380135744137,0.14659788569686397,0.5050126582560002,83.35691855018571,40.64661552757394,0.0,180.0,5.0,0.8333333333333334,2,Octahedron
mp-10347,CsCa2Ta3O10,1.93856465354588,0.4733682396075765,[6.0],5.0,5.0,5.0,Octahedron,"1a, 2g",1,6.0,Ta,0.0,True,5.0,6.0,1.7984395427039974,2.303452200959999,2.0291380135744137,0.14659788569686422,0.5050126582560015,83.35691855018571,40.64661552757394,0.0,180.0,5.0,0.8333333333333334,3,Octahedron
mp-10390,Ta2O5,1.9513620708989048,0.4922568165380432,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ta,0.0,True,0.0,6.0,1.844100843961626,2.150957494280837,2.0034467853617586,0.10902154241290499,0.30685665031921117,88.92271137715262,36.32268601665111,30.42565212513805,165.1073749008833,6.0,1.0,1,Octahedron
mp-10390,Ta2O5,1.9513620708989048,0.4922568165380432,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ta,0.0,True,1.0,6.0,1.8440957522761232,2.150957539037985,2.003444309664557,0.10902192906253139,0.3068617867618617,77.73866151234851,36.351080879263876,26.395531285191787,166.5317137503207,6.0,1.0,2,Octahedron
mp-10390,Ta2O5,1.9513620708989048,0.4922568165380432,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ta,0.0,True,2.0,6.0,1.844100843961626,2.150957494280837,2.0034467853617586,0.10902154241290474,0.30685665031921117,100.05964297862077,33.701248168542776,44.25629687121189,166.53163028440076,6.0,1.0,3,Octahedron
mp-10390,Ta2O5,1.9513620708989048,0.4922568165380432,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ta,0.0,True,3.0,6.0,1.8440957522761234,2.1509575390379845,2.0034443096645567,0.10902192906253133,0.30686178676186104,61.51988841705497,24.88431313943532,17.353973082031455,103.54600526705806,6.0,1.0,4,Octahedron
mp-1040806,CaLaTaCrO6,2.0159762280888565,-0.0332976097767896,[6.0],5.0,5.0,5.0,Octahedron,4a,1,6.0,Ta,0.0,True,8.0,6.0,1.9810014132482507,2.0364535106431267,2.009867973217977,0.017137699161795535,0.055452097394876,60.779381265527924,26.730230331854003,18.985428093517267,102.85133362445352,6.0,1.0,1,Octahedron
mp-1040806,CaLaTaCrO6,2.0159762280888565,-0.0332976097767896,[6.0],5.0,5.0,5.0,Octahedron,4a,1,6.0,Ta,0.0,True,9.0,6.0,1.9810750872882716,2.0365175909220574,2.0098809908946955,0.017124570103399097,0.05544250363378578,60.77930933192685,26.730185174577013,18.98472700271059,102.85142903006773,6.0,1.0,2,Octahedron
mp-1040806,CaLaTaCrO6,2.0159762280888565,-0.0332976097767896,[6.0],5.0,5.0,5.0,Octahedron,4a,1,6.0,Ta,0.0,True,10.0,6.0,1.9809805386218557,2.036455203351674,2.0098240240475174,0.017158684455808985,0.0554746647298181,107.74011963509504,35.52257258911668,86.674267665552,178.88939301405105,6.0,1.0,3,Octahedron
