material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ta_wyckoff,num_Ta_chemenvs,CN,element,charge_range,is_single_charge
mp-1218099,Ta6TiTl2O18,1.933343023711425,0.3792574457831236,[6.0],5.0,5.0,5.0,Octahedron,2c,1,6.0,Ta,0.0,True
mp-1218100,Ta3NbV4O20,1.9268995587051223,0.2897588443525306,[6.0],5.0,5.0,5.0,Octahedron,"1a, 1b",1,6.0,Ta,0.0,True
mp-1218105,Ta2CuO6,1.9527843091328247,0.2652270355642041,[6.0],5.0,5.0,5.0,Octahedron,4k,1,6.0,Ta,0.0,True
mp-1218131,TaBi(P2O7)2,1.9064264404165865,0.2737816427224057,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ta,0.0,True
mp-1218158,Ta4InBi3O16,1.9748494300441728,0.2024369382535595,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True
mp-1218166,Ta2InBiO8,1.9585841170514413,0.2675583485866724,[6.0],5.0,5.0,5.0,Octahedron,2i,1,6.0,Ta,0.0,True
mp-1218194,Ta2O5,1.936918012611616,0.4637980948885619,"[5.0, 6.0]",5.0,5.0,5.0,"Square pyramid, Octahedron",1a,2,5.0,Ta,0.0,True
mp-1218194,Ta2O5,1.936918012611616,0.4637980948885619,"[5.0, 6.0]",5.0,5.0,5.0,"Square pyramid, Octahedron",1a,2,6.0,Ta,0.0,True
mp-1218203,SrLaMgTaO6,1.97151402574456,0.1866215464886474,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ta,0.0,True
mp-1218312,Ta2O5,1.9226489858872795,0.4088883032365656,"[6.0, 7.0]",5.0,5.0,5.0,no_data,no_data,1,6.0,Ta,0.0,True
mp-1218312,Ta2O5,1.9226489858872795,0.4088883032365656,"[6.0, 7.0]",5.0,5.0,5.0,no_data,no_data,1,7.0,Ta,0.0,True
mp-1218412,Sr4TaFeO8,2.231889662882914,-1.2823913434624508,[6.0],5.0,5.0,5.0,Octahedron,1c,1,6.0,Ta,0.0,True
mp-1218425,Sr3TaCoO7,2.32958966685474,-1.898708856653116,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ta,0.0,True
mp-1218521,Sr3TaFeO7,2.2543576512038954,-1.520605989743873,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True
mp-1218631,Sr3LaTa2(FeO6)2,1.9037335481315103,0.5668707794898383,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True
mp-1218658,Sr3Ta4TiO15,1.944457510639814,0.3130631653512503,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ta,0.0,True
mp-1218665,Sr3Ta4Ti4O21,1.9365554534996032,0.3329488590629046,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ta,0.0,True
mp-1218704,Sr2TaNO3,2.094585230311317,-0.2601954689178322,[4.0],5.0,5.0,5.0,Octahedron,1a,1,4.0,Ta,0.0,True
mp-1219194,Sm6Ta2Ti4O21,1.979494223551073,0.1479183849201955,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ta,0.0,True
mp-1219213,Sm2ScTaO7,1.9773074345098904,0.1171073625520092,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ta,0.0,True
mp-1219245,Sm2Ta3(SO4)2,1.94769333337554,0.457818540527554,"[2.0, 6.0]",4.5,4.0,5.0,Octahedron,"4c, 2a",1,2.0,Ta,1.0,False
mp-1219245,Sm2Ta3(SO4)2,1.94769333337554,0.457818540527554,"[2.0, 6.0]",4.5,4.0,5.0,Octahedron,"4c, 2a",1,6.0,Ta,1.0,False
mp-1219619,RbLa2TaTi2O10,1.9907604941019408,0.480948133167445,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True
mp-1219631,RbTaTiO5,1.9423875337499423,0.4980768973844555,[6.0],5.0,5.0,5.0,Octahedron,4c,1,6.0,Ta,0.0,True
mp-1219788,PrTaTiO6,1.8844870751197496,0.6893523296507718,[6.0],5.0,5.0,5.0,Octahedron,4a,1,6.0,Ta,0.0,True
mp-1220116,NdTaTiO6,1.8802147965856115,0.7039485970981965,[6.0],5.0,5.0,5.0,Octahedron,4a,1,6.0,Ta,0.0,True
mp-1220264,NdTa7O19,1.9628198641762304,0.2143283431611013,[6.0],5.0,5.0,5.0,"Pentagonal bipyramid, Octahedron","12i, 2c",2,6.0,Ta,0.0,True
mp-1220741,NaLaTa2O7,1.9482756907344227,0.4055307977840546,[6.0],5.0,5.0,5.0,Octahedron,2e,1,6.0,Ta,0.0,True
mp-1220854,NaLa2TaTi2O10,1.9557977417937724,0.4306497017465112,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True
mp-1220872,NaSr2Ta3O9,2.014488915762615,0.0165449006171509,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"2d, 1b",1,6.0,Ta,1.0,False
mp-1220872,NaSr2Ta3O9,2.014488915762615,0.0165449006171509,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"2d, 1b",1,6.0,Ta,1.0,False
mp-1220909,NaTa4Bi5O18,1.9014201790178595,0.6129568739037656,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ta,0.0,True
mp-1220959,NaTa4O8,1.9536012648290264,0.2206047950255638,"[4.0, 4.0, 6.0]",3.6666666666666665,3.0,4.0,"Square non-coplanar, Octahedron","1a, 2b",2,4.0,Ta,1.0,False
mp-1220959,NaTa4O8,1.9536012648290264,0.2206047950255638,"[4.0, 4.0, 6.0]",3.6666666666666665,3.0,4.0,"Square non-coplanar, Octahedron","1a, 2b",2,4.0,Ta,1.0,False
mp-1220959,NaTa4O8,1.9536012648290264,0.2206047950255638,"[4.0, 4.0, 6.0]",3.6666666666666665,3.0,4.0,"Square non-coplanar, Octahedron","1a, 2b",2,6.0,Ta,1.0,False
mp-1220985,NdTa3O9,1.9178880306035324,0.3984820550306886,[6.0],5.0,5.0,5.0,Octahedron,"2d, 4e",1,6.0,Ta,0.0,True
mp-1221096,NaCa2Ta3O10,1.9299921850001112,0.4547946818045852,[6.0],5.0,5.0,5.0,no_data,no_data,1,6.0,Ta,0.0,True
mp-1221172,Na4TaAl3(PO4)6,2.002832465829935,-0.1352119904136171,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True
mp-1221175,Na4SrTa5O15,2.003330656774201,0.0065290104639887,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1e, 2i, 1h",1,6.0,Ta,1.0,False
mp-1221175,Na4SrTa5O15,2.003330656774201,0.0065290104639887,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1e, 2i, 1h",1,6.0,Ta,1.0,False
mp-1221219,Na3SrTa4O12,1.8218648810803275,0.7375588651827059,[6.0],4.75,4.75,4.75,Octahedron,2c,1,6.0,Ta,0.0,True
mp-1222197,Mg2Ta2Ni2O9,1.834023841673599,1.030844737590098,[6.0],5.0,5.0,5.0,Octahedron,4c,1,6.0,Ta,0.0,True
mp-1222344,LiTaGeO5,1.959566179882141,0.2108676126637788,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ta,0.0,True
mp-1222583,LuTaTiO6,1.898728510924559,0.7979598801979062,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Ta,0.0,True
mp-1222764,LaTaTiO6,1.9437717193457515,0.3171870265464554,[6.0],5.0,5.0,5.0,Octahedron,2c,1,6.0,Ta,0.0,True
mp-1222878,LaTaTiO6,1.864605220513896,0.7163537009437715,[6.0],5.0,5.0,5.0,Octahedron,4a,1,6.0,Ta,0.0,True
mp-1222999,LaZrTa3O11,1.9178767799695973,0.5093007882665217,"[6.0, 7.0]",5.0,5.0,5.0,"Pentagonal bipyramid, Octahedron","1a, 1b, 2c",2,6.0,Ta,0.0,True
mp-1222999,LaZrTa3O11,1.9178767799695973,0.5093007882665217,"[6.0, 7.0]",5.0,5.0,5.0,"Pentagonal bipyramid, Octahedron","1a, 1b, 2c",2,7.0,Ta,0.0,True
mp-1223321,KTaSi2O7,2.0088029554868703,-0.052097503489313,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Ta,0.0,True
mp-1223326,La3Mg2TaO9,2.00516139578564,0.0013901932838533,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Ta,0.0,True
mp-1223362,La7Ta3(W2O15)2,1.8895424180058904,0.7159499289225233,[6.0],5.0,5.0,5.0,Octahedron,"1d, 2i",1,6.0,Ta,0.0,True
mp-1223384,La3TaCo2O9,1.990642570095721,0.0795567675187768,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Ta,0.0,True
mp-1223394,KTaTiO5,1.940803275771053,0.5297370880440386,[6.0],5.0,5.0,5.0,Octahedron,4c,1,6.0,Ta,0.0,True
mp-1223468,KTaW2O9,2.020959918589424,-0.086393338667686,[6.0],5.0,5.0,5.0,no_data,no_data,1,6.0,Ta,0.0,True
mp-1223498,KLaTa2O7,1.948598615238772,0.4353386353668228,[6.0],5.0,5.0,5.0,Octahedron,1b,1,6.0,Ta,0.0,True
mp-1223520,KCa2Ta3O10,1.9284332415003616,0.4627987644033944,[6.0],5.0,5.0,5.0,Octahedron,1b,1,6.0,Ta,0.0,True
mp-1223615,KTa5Pb2O15,1.981821337516932,0.1058968585824308,[6.0],5.0,5.0,5.0,no_data,no_data,1,6.0,Ta,0.0,True
mp-1224209,HoTaTiO6,1.9002316762476947,0.806464101290851,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Ta,0.0,True
mp-1224718,La6TaGa11O28,1.990819090578618,0.0875096584430136,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True
mp-1225201,GdTa3O9,1.9089085107375368,0.4414992122869609,[6.0],5.0,5.0,5.0,Octahedron,2i,1,6.0,Ta,0.0,True
mp-1225272,EuTa3O9,1.8957351991055384,0.4632472424845798,[6.0],5.0,5.0,5.0,Octahedron,2i,1,6.0,Ta,0.0,True
mp-1225383,Dy2YTaO7,1.9875046952155089,0.0734064607189568,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ta,0.0,True
mp-1225854,CsTaWO6,1.9411436516077487,0.293732134276229,[6.0],5.0,5.0,5.0,no_data,no_data,1,6.0,Ta,0.0,True
mp-1226851,CeTaTiO6,1.8636408530542767,0.8211623392317966,[6.0],5.0,5.0,5.0,Octahedron,4a,1,6.0,Ta,0.0,True
mp-1227101,CaTaAlO5,1.942389242087165,0.3193744321745703,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ta,0.0,True
mp-1227158,CeTa7O19,1.9466150223449048,0.3803391417682479,"[6.0, 7.0]",5.0,5.0,5.0,"Pentagonal bipyramid, Octahedron",2a,2,6.0,Ta,0.0,True
mp-1227158,CeTa7O19,1.9466150223449048,0.3803391417682479,"[6.0, 7.0]",5.0,5.0,5.0,"Pentagonal bipyramid, Octahedron",2a,2,7.0,Ta,0.0,True
mp-1227405,Ca2NdTaO6,2.035762012200795,-0.1012032228215751,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ta,0.0,True
mp-1227477,Ca2LaTaO6,2.0067846811619794,-0.0377130394730547,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ta,0.0,True
mp-1227496,Ca2GdTaO6,2.041280592667387,-0.1266566777761476,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ta,0.0,True
mp-1227686,Ca3Ta4(O6F)2,1.973532918898008,0.1059436821070615,[6.0],5.0,5.0,5.0,Octahedron,"1a, 3d",1,6.0,Ta,0.0,True
mp-1228048,Ba4Ta2TiZnO12,1.7474173184446902,1.5254385350424973,[6.0],5.0,5.0,5.0,Octahedron,"1a, 1d",1,6.0,Ta,0.0,True
mp-1228058,Ba3MgTaNbO9,1.793444230682221,1.2681602903387006,[6.0],5.0,5.0,5.0,Octahedron,1c,1,6.0,Ta,0.0,True
mp-1228141,Ba3CaTa2O9,1.727142593027081,1.6454427795806446,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ta,0.0,True
mp-1228145,Ba6Ca2Ta(RuO6)3,1.6740443021695353,1.890531776147952,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True
mp-1228225,Ba3Ta4TiO15,2.0424227476358814,-0.1400340700187056,[6.0],5.0,5.0,5.0,no_data,no_data,1,6.0,Ta,0.0,True
mp-1228281,Ba3ZrTa4O15,1.5911083402752353,2.472610182757513,[6.0],5.0,5.0,5.0,Octahedron,8d,1,6.0,Ta,0.0,True
mp-1228378,Ba3HfTa4O15,2.038487944252542,-0.1102333402796128,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ta,0.0,True
mp-1228430,Ba3Ta4TiO15,2.070289819903426,-0.313489631869979,[6.0],5.0,5.0,5.0,no_data,no_data,1,6.0,Ta,0.0,True
mp-1228432,Ba8Ta2Ru3(BrO9)2,1.6399304477500352,2.1285613320993533,[6.0],5.0,5.0,5.0,Octahedron,2c,1,6.0,Ta,0.0,True
