CN,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,fraction_within_cn
1.0,2.0,30,6,2.021925946011982,2.021925946011982,0.0,0.46875
1.0,2.333333333333333,25,12,2.002943673794147,2.002943673794147,0.0,0.390625
1.0,3.0,4,2,1.9115724243509327,1.9115724243509327,0.0,0.0625
1.0,2.6666666666666665,3,2,1.958076857800516,1.958076857800516,0.0,0.046875
1.0,2.5,2,1,2.004156855914897,2.004156855914897,0.0,0.03125
2.0,2.0,13,5,1.995391706644578,1.9954444370120243,5.273036744620468e-05,0.34210526315789475
2.0,2.333333333333333,10,7,1.9316302433572805,1.931839644105039,0.00020940074775846186,0.2631578947368421
2.0,3.0,10,6,1.9790430645522423,1.9875379902193426,0.008494925667100316,0.2631578947368421
2.0,2.6666666666666665,3,2,1.9373974925231188,1.9405068962064114,0.003109403683292371,0.07894736842105263
2.0,2.5,2,1,1.8849578364123587,1.9005053982832327,0.015547561870874027,0.05263157894736842
3.0,2.0,66,16,1.9181629477217497,1.9384562270303376,0.021731564647432103,0.7586206896551724
3.0,2.5,12,3,1.8562306091575407,1.871323875575878,0.010673174416476918,0.13793103448275862
3.0,2.6666666666666665,6,2,1.9369924920847499,1.965232274341619,0.024289445427490855,0.06896551724137931
3.0,3.0,3,2,1.9269764626239285,1.9423172925766616,0.0216952097772143,0.034482758620689655
4.0,3.0,1198,215,1.8894372585854677,1.9173627655354137,0.023008536400557764,0.7221217600964437
4.0,2.0,218,75,2.0385444902876744,2.0869412267968386,0.04177978431709408,0.13140446051838456
4.0,2.5,141,33,1.9515510113908534,1.9880489196489262,0.030736664238751918,0.08499095840867993
4.0,4.0,32,9,1.79209447505507,1.808606264092571,0.015151420820566846,0.019288728149487643
4.0,2.333333333333333,20,5,1.9624523913361875,1.9965468896081586,0.025372808681086653,0.012055455093429777
4.0,2.6666666666666665,19,8,1.9056220340728787,1.9259650725556225,0.01752185975376669,0.011452682338758288
4.0,3.5,8,1,1.8190325697355767,1.8621638979077952,0.032151034451511684,0.004822182037371911
4.0,6.0,8,2,1.63843219914545,1.6444340010650726,0.004012885955386571,0.004822182037371911
4.0,3.333333333333333,6,2,1.826584013739583,1.8536855362834201,0.016702493733617183,0.003616636528028933
4.0,5.0,4,1,1.6943567865201852,1.7133484532922258,0.016437316616881515,0.0024110910186859553
4.0,3.25,3,2,1.857510201566333,1.8695329803979288,0.00792942405690509,0.0018083182640144665
4.0,2.75,2,2,,,,0.0012055455093429777
5.0,2.0,445,243,2.022626541644239,2.1430274534782487,0.10474367176795565,0.36356209150326796
5.0,3.0,366,124,1.9191817082100087,1.9881171225117875,0.052853644387506366,0.29901960784313725
5.0,2.5,333,49,1.9939447177176206,2.0919136245933294,0.08165628515495245,0.27205882352941174
5.0,3.5,34,8,1.8686678684322227,1.9164700504049237,0.03094430567504114,0.027777777777777776
5.0,2.333333333333333,12,9,1.9798662715522355,2.0499387517208674,0.04992063229947707,0.00980392156862745
5.0,2.75,9,2,1.9328085846093066,2.064112257091968,0.20503539739734278,0.007352941176470588
5.0,3.6666666666666665,8,3,1.8579495631499217,1.888392212565332,0.02863541251918676,0.006535947712418301
5.0,2.6,7,1,1.95919378321619,2.0617155718490383,0.05865492642722038,0.005718954248366013
5.0,3.25,4,2,1.8899246320865015,1.9372581636928516,0.039541120619123675,0.0032679738562091504
5.0,3.333333333333333,3,2,1.9032448755059408,1.9630267224944689,0.036004382872896416,0.0024509803921568627
5.0,4.0,2,2,,,,0.0016339869281045752
5.0,2.6666666666666665,1,1,,,,0.0008169934640522876
6.0,3.0,3920,964,1.979943370905657,2.0519966477169493,0.06328777410962902,0.5541419281877297
6.0,2.5,1296,198,2.0306942921316384,2.116141306103097,0.06505291027388702,0.183206106870229
6.0,2.0,1282,374,2.079390159828084,2.174515491462425,0.0839758029413044,0.18122702855527284
6.0,3.5,233,45,1.9494369618089997,1.9981375734380524,0.0426605711587432,0.0329375176703421
6.0,2.333333333333333,93,13,2.016339724962096,2.1443454996482507,0.1085106330885254,0.013146734520780322
6.0,2.6666666666666665,82,9,2.039657022720647,2.0942148371581077,0.04846042646229776,0.011591744416171897
6.0,4.0,77,33,1.9089198176069184,1.9759282779619962,0.06808169220123282,0.010884930732258977
6.0,3.6666666666666665,24,3,1.9224243660755038,1.9556093356983133,0.03231967307371915,0.0033927056827820186
6.0,3.333333333333333,16,3,1.9684080465824036,2.082811598651726,0.1569302932198072,0.0022618037885213456
6.0,3.25,13,2,1.9348420059586648,1.9837563923549402,0.047245035472744674,0.0018377155781735934
6.0,2.33333333,12,1,2.021605690789368,2.025931680717625,0.004465040706036381,0.0016963528413910093
6.0,2.75,7,2,2.0292165293463222,2.076698850026348,0.03780425288354901,0.0009895391574780887
6.0,2.66666667,6,1,1.9804480012482433,2.0596000160240284,0.050392365104108106,0.0008481764206955047
6.0,2.6,5,1,2.0189157065488543,2.190110646060145,0.11473873371986634,0.0007068136839129206
6.0,1.0,4,2,2.144963528391624,2.1795637552041565,0.03940170736490215,0.0005654509471303364
6.0,5.0,4,1,1.7542578054048037,1.8694685001104085,0.11521067666400102,0.0005654509471303364
7.0,2.0,4,1,2.0570004537325355,2.324713634331805,0.26002082280651717,0.5
7.0,3.0,4,1,1.961851326343084,2.0781744240791866,0.07650522125697115,0.5
8.0,2.5,6,1,2.289530100159202,2.368200751442956,0.07866814811164267,0.75
8.0,2.333333333333333,2,1,2.179244126231854,2.435072161042412,0.25582192293246186,0.25
