material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Hg_wyckoff,num_Hg_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-10798,HgSeO3,0.6083633723632165,1.653190125355405,[7.0],2.0,2.0,2.0,Pentagonal bipyramid,4e,1,7.0,Hg,0.0,True,0.0,7.0,2.203700720893891,2.9676516169884386,2.500060241499471,0.22901377343462415,0.7639508960945478,57.910317930765956,27.635386365049982,0.0,88.38597433457464,7.0,1.0,1,Pentagonal bipyramid
mp-10798,HgSeO3,0.6083633723632165,1.653190125355405,[7.0],2.0,2.0,2.0,Pentagonal bipyramid,4e,1,7.0,Hg,0.0,True,1.0,7.0,2.2037007208938926,2.967651616988438,2.50006024149947,0.22901377343462398,0.7639508960945456,90.33498003703605,34.34543046693111,0.0,146.6410889991164,7.0,1.0,2,Pentagonal bipyramid
mp-10798,HgSeO3,0.6083633723632165,1.653190125355405,[7.0],2.0,2.0,2.0,Pentagonal bipyramid,4e,1,7.0,Hg,0.0,True,2.0,7.0,2.203700720893893,2.96765161698844,2.50006024149947,0.2290137734346245,0.7639508960945469,57.91031797142184,27.635386279855034,8.537736462515939e-07,88.38597433457466,7.0,1.0,3,Pentagonal bipyramid
mp-10798,HgSeO3,0.6083633723632165,1.653190125355405,[7.0],2.0,2.0,2.0,Pentagonal bipyramid,4e,1,7.0,Hg,0.0,True,3.0,7.0,2.203700720893892,2.967651616988438,2.500060241499471,0.2290137734346237,0.763950896094546,90.33498003703606,34.34543046693112,0.0,146.64108899911636,7.0,1.0,4,Pentagonal bipyramid
mp-11691,Nd2HgO4,0.8399480920859237,2.2653379701982,[4.0],2.0,2.0,2.0,Linear,2i,1,4.0,Hg,0.0,True,4.0,4.0,2.0005798362806697,2.9120669705951614,2.456966040096935,0.45510080571152084,0.9114871343144917,63.52693336838819,32.793853877907885,1.2074182697257333e-06,91.24829551287534,4.0,1.0,1,Linear
mp-11691,Nd2HgO4,0.8399480920859237,2.2653379701982,[4.0],2.0,2.0,2.0,Linear,2i,1,4.0,Hg,0.0,True,5.0,4.0,2.0005798362806724,2.9120669705951627,2.4569660400969364,0.4551008057115211,0.9114871343144904,63.52693316715179,32.793854267734886,0.0,91.24829551287533,4.0,1.0,2,Linear
mp-11706,Ho2HgO4,1.079150935020518,1.8167255085901184,[4.0],2.0,2.0,2.0,See-saw,2i,1,4.0,Hg,0.0,True,4.0,4.0,2.007846869026785,2.741194824697441,2.3760149061874,0.3651850702699484,0.7333479556706561,54.7758993459199,31.59880444215942,0.0,92.22409045327117,4.0,1.0,1,See-saw
mp-11706,Ho2HgO4,1.079150935020518,1.8167255085901184,[4.0],2.0,2.0,2.0,See-saw,2i,1,4.0,Hg,0.0,True,5.0,4.0,2.0078468690267854,2.741194824697442,2.3760149061874003,0.3651850702699488,0.7333479556706566,54.77589934591992,31.598804442159427,0.0,92.22409045327119,4.0,1.0,2,See-saw
mp-1173247,Sr3LaCu2HgBiO10,1.955721383626972,0.9956932459074408,[3.0],2.0,2.0,2.0,Linear,1a,1,3.0,Hg,0.0,True,,,,,,,,,,,,,,0,Linear
mp-1183876,CdHg2SeO6,1.6929182875612026,0.973984185906054,[4.0],2.0,2.0,2.0,See-saw,2i,1,4.0,Hg,0.0,True,,,,,,,,,,,,,,0,See-saw
mp-1184786,Hg2P2O7,1.8872029801671533,0.4989499487199104,"[6.0, 7.0]",2.0,2.0,2.0,"Octahedron, Square-face capped trigonal prism",2i,2,6.0,Hg,0.0,True,0.0,6.0,2.2474393136455935,2.5867788830176246,2.4148675748302764,0.12085314741233287,0.33933956937203114,61.29122410682351,30.268168460004354,15.354849921502069,104.95038404687938,6.0,1.0,1,"Octahedron, Square-face capped trigonal prism"
