material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Au_wyckoff,num_Au_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-10559,Gd3AuO6,2.391872844658919,-1.3178292808354333,[4.0],3.0,3.0,3.0,Square plane,1a,1,4.0,Au,0.0,True,3.0,4.0,2.0019563562755165,2.0234727836026467,2.0127145699390816,0.010758213663564997,0.021516427327130216,53.46363050149108,18.21221130791275,23.5788712264636,73.78524547669076,4.0,1.0,1,Square plane
mp-10560,Sm3AuO6,2.4445122611699555,-1.4975539160743012,[4.0],3.0,3.0,3.0,Square plane,1a,1,4.0,Au,0.0,True,3.0,4.0,2.0014722916913503,2.025814721963729,2.0136435068275396,0.01217121513618924,0.02434243027237848,53.74364253774024,18.49596276904468,23.750350252734155,74.0638598311632,4.0,1.0,1,Square plane
mp-1105366,KAu(IO3)4,2.0297788354791635,-0.0337402266372792,[4.0],3.0,3.0,3.0,Square plane,1b,1,4.0,Au,0.0,True,1.0,4.0,2.00891299991982,2.028440352474814,2.0186766684712785,0.00976366854288814,0.01952735255499416,54.213598936240885,26.285688058364716,23.336420019640858,90.09941780719873,4.0,1.0,1,Square plane
mp-1105750,LiAu(S2O7)2,2.038077901095836,-0.0202903677259646,[4.0],3.0,3.0,3.0,Square plane,1h,1,4.0,Au,0.0,True,1.0,4.0,2.0316869753696754,2.0327834174196133,2.032235196394644,0.0005482210249688757,0.0010964420499379735,119.99999979876361,42.44596607490951,88.42199801296042,180.0,4.0,1.0,1,Square plane
mp-1105854,CsAu(IO3)4,2.0405856099955915,-0.0620724761461484,[4.0],3.0,3.0,3.0,Square plane,1b,1,4.0,Au,0.0,True,1.0,4.0,2.0098925209643568,2.0333583419994516,2.021625433523516,0.01173290674126571,0.02346582103509487,53.641368628279515,26.958395539914644,21.938353502566493,88.96828395030023,4.0,1.0,1,Square plane
mp-1188141,RbAu(IO3)4,2.0361189400823068,-0.0545552367360983,[4.0],3.0,3.0,3.0,Square plane,1b,1,4.0,Au,0.0,True,1.0,4.0,2.0091439293071582,2.02976635968686,2.01945523426163,0.010311124537712293,0.020622430379701573,55.16421242528991,27.616765355558172,23.163064102523936,89.77467322615696,4.0,1.0,1,Square plane
mp-1188818,NaAu(IO3)4,2.013858054610048,-0.0081098649325313,[4.0],3.0,3.0,3.0,Square plane,1a,1,4.0,Au,0.0,True,1.0,4.0,2.0028792253396275,2.019679168727416,2.0115221146368123,0.006769926645809194,0.016799943387788563,55.7023395962698,19.447367229416333,25.50146554846971,81.77313650987311,4.0,1.0,1,Square plane
mp-1194889,MgAu2(SO4)4,1.9825532951480416,0.1769894689232891,[4.0],3.0,3.0,3.0,Square plane,4b,1,4.0,Au,0.0,True,2.0,4.0,2.0147323851491317,2.046944454801079,2.033863531504369,0.012935623914833603,0.03221206965194723,119.41331932960811,41.85481581457804,83.58674046123083,178.76530475823392,4.0,1.0,1,Square plane
mp-1194889,MgAu2(SO4)4,1.9825532951480416,0.1769894689232891,[4.0],3.0,3.0,3.0,Square plane,4b,1,4.0,Au,0.0,True,3.0,4.0,2.0147323843625573,2.0469425104795262,2.0338630689578525,0.012932157981432251,0.03221012611696894,119.413234643134,41.854689609268426,83.5867079291404,178.76505724477707,4.0,1.0,2,Square plane
mp-1194889,MgAu2(SO4)4,1.9825532951480416,0.1769894689232891,[4.0],3.0,3.0,3.0,Square plane,4b,1,4.0,Au,0.0,True,4.0,4.0,2.0147323850231755,2.0469457255622925,2.033863885447277,0.012935081116613362,0.03221334053911695,36.046271453659564,10.891708600187378,21.480134015570297,52.31292938375243,4.0,1.0,3,Square plane
mp-1194889,MgAu2(SO4)4,1.9825532951480416,0.1769894689232891,[4.0],3.0,3.0,3.0,Square plane,4b,1,4.0,Au,0.0,True,5.0,4.0,2.0147323846375773,2.0469506626141065,2.033865061433728,0.012935428387456576,0.03221827797652921,32.67316521714283,9.93675938668338,23.88342937203762,52.73104500934377,4.0,1.0,4,Square plane
mp-1195201,K2Au(IO3)5,2.0243524783287823,0.0107548104354687,[4.0],3.0,3.0,3.0,Square plane,2a,1,4.0,Au,0.0,True,4.0,4.0,2.021964934165247,2.0341940519834947,2.0266648871278057,0.005108011141175874,0.012229117818247648,33.499467893471,17.62730060645622,4.427477277213908,65.39189690934107,4.0,1.0,1,Square plane
mp-1195201,K2Au(IO3)5,2.0243524783287823,0.0107548104354687,[4.0],3.0,3.0,3.0,Square plane,2a,1,4.0,Au,0.0,True,5.0,4.0,2.021964934165246,2.0341940519834947,2.0266648871278052,0.0051080111411759554,0.012229117818248536,33.499467893470985,17.62730060645624,4.427477277213826,65.39189690934107,4.0,1.0,2,Square plane
mp-1198003,NaAu(S2O7)2,2.06375924837634,-0.0849701139014438,[4.0],3.0,3.0,3.0,Square plane,2a,1,4.0,Au,0.0,True,2.0,4.0,2.0371091870773754,2.0414642681179282,2.039286727597652,0.0021775405202758558,0.004355081040552822,50.26983755960932,24.3039396202698,13.606689280434486,84.99707465970744,4.0,1.0,1,Square plane
mp-1198003,NaAu(S2O7)2,2.06375924837634,-0.0849701139014438,[4.0],3.0,3.0,3.0,Square plane,2a,1,4.0,Au,0.0,True,3.0,4.0,2.0371091870773768,2.0414642681179287,2.0392867275976525,0.0021775405202754117,0.004355081040551934,58.80591584494676,24.241125543859773,28.220245265325936,89.90791818692013,4.0,1.0,2,Square plane
mp-1200560,CsAu(IO3)4,2.0202831886757666,0.0189406419589447,[4.0],3.0,3.0,3.0,Square plane,2i,1,4.0,Au,0.0,True,,,,,,,,,,,,,,0,Square plane
mp-1202202,NaAu(IO3)4,2.0073501303977306,0.0029348620407708,[4.0],3.0,3.0,3.0,Square plane,2a,1,4.0,Au,0.0,True,,,,,,,,,,,,,,0,Square plane
mp-1229194,AgAu(IO3)4,2.0269519895951804,0.0059274815128725,[4.0],3.0,3.0,3.0,Square plane,2a,1,4.0,Au,0.0,True,2.0,4.0,2.024930059679915,2.0348660644980243,2.0289802597753153,0.0036393159385518133,0.00993600481810919,51.5854124765609,37.093769184866694,11.42307992940431,94.18201352883104,4.0,1.0,1,Square plane
mp-1229194,AgAu(IO3)4,2.0269519895951804,0.0059274815128725,[4.0],3.0,3.0,3.0,Square plane,2a,1,4.0,Au,0.0,True,3.0,4.0,2.024930059679915,2.0348660644980248,2.0289802597753153,0.0036393159385520314,0.009936004818109634,119.84561662257853,42.37376880677894,85.09126246777429,179.82359622597957,4.0,1.0,2,Square plane
mp-1234500,MgAu4Se4(ClO3)4,2.0386657434750965,-0.0021347617243044,"[0, 2.0, 3.0, 4.0]",3.0,3.0,3.0,"See-saw, Square plane",1a,2,2.0,Au,0.0,True,4.0,2.0,2.0263615942850075,2.0482260142581206,2.037293804271564,0.01093220998655653,0.02186441997311306,176.15142660253383,0.0,176.15142660253383,176.15142660253383,2.0,1.0,1,"See-saw, Square plane"
mp-1234500,MgAu4Se4(ClO3)4,2.0386657434750965,-0.0021347617243044,"[0, 2.0, 3.0, 4.0]",3.0,3.0,3.0,"See-saw, Square plane",1a,2,3.0,Au,0.0,True,3.0,3.0,2.020076095686625,2.0632195627314265,2.039797874105398,0.01780649111640262,0.04314346704480165,115.5446082264714,40.40909539326306,85.68343988314591,172.67205785792194,3.0,1.0,1,"See-saw, Square plane"
mp-1234500,MgAu4Se4(ClO3)4,2.0386657434750965,-0.0021347617243044,"[0, 2.0, 3.0, 4.0]",3.0,3.0,3.0,"See-saw, Square plane",1a,2,4.0,Au,0.0,True,2.0,4.0,2.020615592417102,2.0557105802390216,2.037575587947316,0.013154956425328929,0.035094987821919776,51.620049747403165,23.498443130527523,17.669397824646914,80.04170703927247,4.0,1.0,1,"See-saw, Square plane"
mp-1235050,LiAu4Se4(ClO3)4,2.082415485034933,-0.0696040145889979,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,2.0,Au,0.0,True,4.0,2.0,2.0223319971866123,2.0413045082908727,2.0318182527387423,0.00948625555213023,0.01897251110426046,86.93961781054438,0.0,86.93961781054438,86.93961781054438,2.0,1.0,1,Square plane
mp-1235050,LiAu4Se4(ClO3)4,2.082415485034933,-0.0696040145889979,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,3.0,Au,0.0,True,1.0,3.0,2.0458912189588268,2.0637366082738855,2.0573908094327282,0.008145986991429734,0.017845389315058746,114.13631828482092,39.274450328753616,85.65926564727532,169.6727474286458,3.0,1.0,1,Square plane
mp-1235050,LiAu4Se4(ClO3)4,2.082415485034933,-0.0696040145889979,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,3.0,Au,0.0,True,3.0,3.0,2.065127978816122,2.1182830541298094,2.0893288255559486,0.021959227172892466,0.05315507531368757,42.10085819094338,7.129682394158714,34.96977023569975,51.83967075119624,3.0,1.0,2,Square plane
mp-1235050,LiAu4Se4(ClO3)4,2.082415485034933,-0.0696040145889979,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,4.0,Au,0.0,True,2.0,4.0,2.053557472419075,2.0638007913743732,2.0572602211339825,0.003900846391417547,0.010243318955298175,51.4920321237407,15.204597903544606,38.64753519633973,83.2374993880332,4.0,1.0,1,Square plane
mp-1235220,LiAu4Se4(ClO3)4,2.071298559754345,0.0082940829712529,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,2.0,Au,0.0,True,4.0,2.0,2.018324991185355,2.040235027942166,2.0292800095637604,0.010955018378405512,0.021910036756811024,90.66950243561111,0.0,90.66950243561111,90.66950243561111,2.0,1.0,1,Square plane
mp-1235220,LiAu4Se4(ClO3)4,2.071298559754345,0.0082940829712529,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,3.0,Au,0.0,True,1.0,3.0,2.0419726694709346,2.1392316083402045,2.0865675985231324,0.04011365391639644,0.09725893886926995,114.18019981722779,37.64469419827812,87.34537218960448,167.41725101725405,3.0,1.0,1,Square plane
mp-1235220,LiAu4Se4(ClO3)4,2.071298559754345,0.0082940829712529,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,3.0,Au,0.0,True,3.0,3.0,2.0359363530104897,2.0664849430395376,2.0506709863247075,0.012494740025121041,0.030548590029047862,113.69735338561331,38.70926750708862,84.63493976538157,168.40496088478974,3.0,1.0,2,Square plane
mp-1235220,LiAu4Se4(ClO3)4,2.071298559754345,0.0082940829712529,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,4.0,Au,0.0,True,2.0,4.0,2.0695130497671643,2.136565056275089,2.106993842811081,0.025945799029998818,0.06705200650792476,55.85706995387083,13.403373213560071,37.42773760246561,69.90149593394574,4.0,1.0,1,Square plane
mp-1235291,LiAu4Se4(ClO3)4,2.06225630161284,0.0199121503706835,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,2.0,Au,0.0,True,4.0,2.0,2.022781760251894,2.0228155359976197,2.022798648124757,1.688787286280302e-05,3.377574572560604e-05,101.692259987371,0.0,101.692259987371,101.692259987371,2.0,1.0,1,Square plane
mp-1235291,LiAu4Se4(ClO3)4,2.06225630161284,0.0199121503706835,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,3.0,Au,0.0,True,1.0,3.0,2.0609795241340416,2.1251327525642183,2.093570954026715,0.0262005634169607,0.06415322843017668,112.80578610340541,37.623962384180174,81.28226841412051,165.68956930824828,3.0,1.0,1,Square plane
mp-1235291,LiAu4Se4(ClO3)4,2.06225630161284,0.0199121503706835,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,3.0,Au,0.0,True,3.0,3.0,2.065194980898519,2.138548126824198,2.093260220050778,0.03232786428960055,0.0733531459256791,113.45221153443516,37.730839033263045,83.33843197032742,166.6574241040541,3.0,1.0,2,Square plane
mp-1235291,LiAu4Se4(ClO3)4,2.06225630161284,0.0199121503706835,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,4.0,Au,0.0,True,,,,,,,,,,,,,,0,Square plane
mp-1235582,LiAu4Se4(ClO3)4,2.1361901670004912,-0.2056569142607832,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,2.0,Au,0.0,True,4.0,2.0,2.0279962981249846,2.0399571754784023,2.0339767368016934,0.0059804386767088324,0.011960877353417665,105.49548622796354,0.0,105.49548622796354,105.49548622796354,2.0,1.0,1,Square plane
mp-1235582,LiAu4Se4(ClO3)4,2.1361901670004912,-0.2056569142607832,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,3.0,Au,0.0,True,1.0,3.0,2.134540251118425,2.201659183656316,2.1630449295180703,0.028318314656388822,0.06711893253789114,43.403049236716754,7.870260519775256,34.39902380813348,53.57137870307661,3.0,1.0,1,Square plane
