material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Mo_wyckoff,num_Mo_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1012668,LiMo2P2O9,2.1673414706368863,-0.1166957145533666,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Mo,1.0,False,4.0,6.0,1.9556176959686666,2.1576643841033003,2.0753079909168552,0.07289106219005696,0.20204668813463367,94.03090202441898,35.89720452503587,2.8613143309069065,171.0044111733821,6.0,1.0,1,Octahedron
mp-1012668,LiMo2P2O9,2.1673414706368863,-0.1166957145533666,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Mo,1.0,False,5.0,6.0,1.955617695968667,2.1576643841033047,2.075307990916856,0.0728910621900582,0.20204668813463766,94.03090202441896,35.897204525035846,2.8613143309069065,171.00441117338195,6.0,1.0,2,Octahedron
mp-1012668,LiMo2P2O9,2.1673414706368863,-0.1166957145533666,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Mo,1.0,False,6.0,6.0,1.9556176959686653,2.1576643841033043,2.0753079909168557,0.07289106219005863,0.202046688134639,68.72921713725441,31.300004637376812,2.8613143309069065,94.93483188803832,6.0,1.0,3,Octahedron
mp-1012668,LiMo2P2O9,2.1673414706368863,-0.1166957145533666,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Mo,1.0,False,7.0,6.0,1.9556176959686669,2.157664384103304,2.0753079909168552,0.07289106219005827,0.202046688134637,68.72921713725441,31.300004637376812,2.8613143309069065,94.93483188803835,6.0,1.0,4,Octahedron
mp-1012668,LiMo2P2O9,2.1673414706368863,-0.1166957145533666,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Mo,1.0,False,8.0,6.0,2.142221530945227,2.1732384929156408,2.155310598379345,0.013116749299072611,0.031016961970413703,47.524730003803725,26.188845470272494,13.388442429863337,83.79004655542668,6.0,1.0,5,Octahedron
mp-1012668,LiMo2P2O9,2.1673414706368863,-0.1166957145533666,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Mo,1.0,False,9.0,6.0,2.1422215309452306,2.173238492915641,2.1553105983793457,0.013116749299071992,0.031016961970410595,108.0,36.59274607150422,77.3964026526394,180.0,6.0,1.0,6,Octahedron
mp-1012668,LiMo2P2O9,2.1673414706368863,-0.1166957145533666,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Mo,1.0,False,10.0,6.0,2.1422215309452297,2.173238492915641,2.1553105983793457,0.013116749299072038,0.031016961970411483,55.469983111837244,26.045679595555033,25.28846857088424,98.45620571278047,6.0,1.0,7,Octahedron
mp-1012668,LiMo2P2O9,2.1673414706368863,-0.1166957145533666,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Mo,1.0,False,11.0,6.0,2.142221530945227,2.1732384929156408,2.155310598379345,0.013116749299072077,0.031016961970413703,54.52875232619293,21.12572370291263,13.280653347282843,79.481571262062,6.0,1.0,8,Octahedron
mp-1012668,LiMo2P2O9,2.1673414706368863,-0.1166957145533666,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Mo,1.0,False,4.0,6.0,1.9556176959686666,2.1576643841033003,2.0753079909168552,0.07289106219005696,0.20204668813463367,94.03090202441898,35.89720452503587,2.8613143309069065,171.0044111733821,6.0,1.0,1,Octahedron
mp-1012668,LiMo2P2O9,2.1673414706368863,-0.1166957145533666,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Mo,1.0,False,5.0,6.0,1.955617695968667,2.1576643841033047,2.075307990916856,0.0728910621900582,0.20204668813463766,94.03090202441896,35.897204525035846,2.8613143309069065,171.00441117338195,6.0,1.0,2,Octahedron
mp-1012668,LiMo2P2O9,2.1673414706368863,-0.1166957145533666,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Mo,1.0,False,6.0,6.0,1.9556176959686653,2.1576643841033043,2.0753079909168557,0.07289106219005863,0.202046688134639,68.72921713725441,31.300004637376812,2.8613143309069065,94.93483188803832,6.0,1.0,3,Octahedron
mp-1012668,LiMo2P2O9,2.1673414706368863,-0.1166957145533666,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Mo,1.0,False,7.0,6.0,1.9556176959686669,2.157664384103304,2.0753079909168552,0.07289106219005827,0.202046688134637,68.72921713725441,31.300004637376812,2.8613143309069065,94.93483188803835,6.0,1.0,4,Octahedron
mp-1012668,LiMo2P2O9,2.1673414706368863,-0.1166957145533666,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"4c, 4a",1,6.0,Mo,1.0,False,8.0,6.0,2.142221530945227,2.1732384929156408,2.155310598379345,0.013116749299072611,0.031016961970413703,47.524730003803725,26.188845470272494,13.388442429863337,83.79004655542668,6.0,1.0,5,Octahedron
