CN,formal_charge,count,fraction_within_cn,weighted_charge_contribution
2.0,6,2,1.0,6.0
3.0,5,1,0.5,2.5
3.0,6,1,0.5,3.0
4.0,5,5,0.010416666666666666,0.05208333333333333
4.0,6,475,0.9895833333333334,5.9375
5.0,3,5,0.056179775280898875,0.16853932584269662
5.0,5,6,0.06741573033707865,0.33707865168539325
5.0,6,78,0.8764044943820225,5.258426966292135
6.0,2,7,0.016203703703703703,0.032407407407407406
6.0,3,55,0.12731481481481483,0.3819444444444445
6.0,4,54,0.125,0.5
6.0,5,74,0.1712962962962963,0.8564814814814815
6.0,6,242,0.5601851851851852,3.3611111111111116
7.0,6,2,1.0,6.0
