material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Mo_wyckoff,num_Mo_chemenvs,CN,element,charge_range,is_single_charge
mp-721324,Gd2(MoO4)3,1.9526187851902528,0.4682575537081394,[4.0],6.0,6.0,6.0,Tetrahedron,"2a, 4e",1,4.0,Mo,0.0,True
mp-725121,K3LiMn4(MoO4)6,1.9267393103289256,0.3079238307871853,[4.0],6.0,6.0,6.0,Tetrahedron,6b,1,4.0,Mo,0.0,True
mp-726052,KMgIn(MoO4)3,1.8650535361482992,0.1729276622247821,[4.0],6.0,6.0,6.0,Tetrahedron,6b,1,4.0,Mo,0.0,True
mp-726071,MgZr3Tl10(MoO4)12,2.068994907334237,0.6586733245047336,[4.0],6.0,6.0,6.0,Tetrahedron,3b,1,4.0,Mo,0.0,True
mp-729006,LiLa(MoO4)2,1.9471686344691783,0.3627486516461158,[4.0],6.0,6.0,6.0,Tetrahedron,8c,1,4.0,Mo,0.0,True
mp-735483,Na3LiMo2(H6O7)2,1.873004182085132,0.1850729850942064,[4.0],6.0,6.0,6.0,Tetrahedron,2a,1,4.0,Mo,0.0,True
mp-735565,Sr11LaFe6(MoO6)6,1.9578079645108388,0.2119244603539539,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,1a,1,6.0,Mo,1.0,False
mp-735565,Sr11LaFe6(MoO6)6,1.9578079645108388,0.2119244603539539,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,1a,1,6.0,Mo,1.0,False
mp-836278,LiSb(MoO4)2,2.0679619955715745,0.2129103891010806,[6.0],6.0,6.0,6.0,Octahedron,4f,1,6.0,Mo,0.0,True
mp-862560,Cu3Mo2(HO5)2,1.7587840884803838,-0.0261991427918196,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,Mo,0.0,True
mp-866480,CoMoH2SeO7,2.0297807797342107,0.5723721258172795,[6.0],6.0,6.0,6.0,Octahedron,2i,1,6.0,Mo,0.0,True
mp-975958,KNaMo(OF2)2,1.86365684175982,0.2610954685177993,[2.0],6.0,6.0,6.0,Octahedron,2c,1,2.0,Mo,0.0,True
