material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,N_wyckoff,num_N_chemenvs,CN,element,charge_range,is_single_charge
mp-560443,AgHg2NO5,1.3001723599518376,0.0597641107933328,[3.0],5.0,5.0,5.0,Trigonal plane,4c,1,3.0,N,0.0,True
mp-560578,RbTeNO3F4,1.317438695484864,0.094490748343152,[3.0],5.0,5.0,5.0,Trigonal plane,1a,1,3.0,N,0.0,True
mp-560716,Cs2Cr(NO3)5,1.6258566632470235,0.6944792175235004,[3.0],5.0,5.0,5.0,Trigonal plane,"6c, 3a",1,3.0,N,0.0,True
mp-561037,K8UCr4(NO12)2,1.190912938737093,-0.152536176217974,[3.0],5.0,5.0,5.0,Trigonal plane,2i,1,3.0,N,0.0,True
mp-561127,K2Ce(NO3)6,1.5958419270394342,0.6625285263373808,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-561222,K2HgBr2(NO6)2,1.4600115024239222,0.3744305045318571,[3.0],5.0,5.0,5.0,Trigonal plane,4g,1,3.0,N,0.0,True
mp-561251,Rb2Y(NO3)5,1.6385191879954129,0.7239617260984132,[3.0],5.0,5.0,5.0,Trigonal plane,"6c, 3a",1,3.0,N,0.0,True
mp-561966,Rb2U(N2O7)2,1.642854960101492,0.7339103450951693,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-562172,CoAg(NO3)3,1.5892223807452903,0.6408169907262993,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-572149,Cs2Al(NO3)5,1.6349052455271438,0.7117371594078519,[3.0],5.0,5.0,5.0,Trigonal plane,"6c, 3a",1,3.0,N,0.0,True
mp-5915,TlNO3,1.503108181880289,0.4721537673035655,[3.0],5.0,5.0,5.0,Trigonal plane,4c,1,3.0,N,0.0,True
mp-614951,RbNO3,1.4604146088227778,0.3729835071238228,[3.0],5.0,5.0,5.0,Trigonal plane,3a,1,3.0,N,0.0,True
mp-615850,Pb2Se(NO4)2,1.2707255286745167,0.000184411721855,"[2.0, 3.0]",5.0,5.0,5.0,"Trigonal plane, Angular",2a,2,2.0,N,0.0,True
mp-615850,Pb2Se(NO4)2,1.2707255286745167,0.000184411721855,"[2.0, 3.0]",5.0,5.0,5.0,"Trigonal plane, Angular",2a,2,3.0,N,0.0,True
mp-622000,Cs3Sb2N3(O3F2)3,1.2026676025950345,-0.1390384013299123,[3.0],5.0,5.0,5.0,Trigonal plane,"4f, 2e",1,3.0,N,0.0,True
mp-625861,H7NO6,1.2955992878131368,0.0537248733479352,[3.0],5.0,5.0,5.0,Trigonal plane,4a,1,3.0,N,0.0,True
mp-625868,H7NO6,1.2938655491237472,0.0496566549824127,[3.0],5.0,5.0,5.0,Trigonal plane,2a,1,3.0,N,0.0,True
mp-626066,H7NO6,1.3502613381209545,0.1617464490794301,[3.0],5.0,5.0,5.0,Trigonal plane,4a,1,3.0,N,0.0,True
mp-626093,H7NO6,1.268612797913804,-0.0021834531980586,[3.0],5.0,5.0,5.0,Trigonal plane,4a,1,3.0,N,0.0,True
mp-626112,H7NO6,1.338173125054656,0.1371735726478059,[3.0],5.0,5.0,5.0,Trigonal plane,1a,1,3.0,N,0.0,True
mp-626529,H7NO6,1.3343658616989826,0.1292762905980138,[3.0],5.0,5.0,5.0,Trigonal plane,2a,1,3.0,N,0.0,True
mp-6330,RbUN3O11,0.7268052065134107,-1.0642431128033016,[3.0],5.0,5.0,5.0,no_data,no_data,1,3.0,N,0.0,True
mp-640926,Cu(NO3)2,1.361282596000452,0.199566330044372,[3.0],5.0,5.0,5.0,Trigonal plane,"4b, 2a",1,3.0,N,0.0,True
mp-645487,Na2Co(NO3)4,1.5147301278169631,0.4825960559683225,[3.0],5.0,5.0,5.0,"Bicapped octahedron (cap faces with one edge in common), Face-capped octahedron, Trigonal plane",4e,3,3.0,N,0.0,True
mp-649415,KBiN(ClO)3,1.4860425192467468,0.4172192785908998,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-649470,K3Nd2(NO3)9,1.712526375626915,0.8698227356735126,[3.0],5.0,5.0,5.0,"Icosahedron, Trigonal plane","8c, 24e, 12d",2,3.0,N,0.0,True
mp-649608,K3Pr2(NO3)9,1.766088579553287,0.9736300717682927,[3.0],5.0,5.0,5.0,Trigonal plane,"24e, 12d",1,3.0,N,0.0,True
mp-662543,Cu(NO3)2,1.3988562909274818,0.2540396244075208,[3.0],5.0,5.0,5.0,Trigonal plane,8d,1,3.0,N,0.0,True
mp-667318,K3Ce2(NO3)9,1.7645536144477645,0.9718683159468966,[3.0],5.0,5.0,5.0,Trigonal plane,"24e, 12d",1,3.0,N,0.0,True
mp-667353,Rb3Ce2(NO3)9,1.6949950706373016,0.8332621199108308,[3.0],5.0,5.0,5.0,Trigonal plane,"24e, 12d",1,3.0,N,0.0,True
mp-667380,Rb3Nd2(NO3)9,1.7356465756638648,0.915272640015188,[3.0],5.0,5.0,5.0,"Icosahedron, Trigonal plane","8c, 24e, 12d",2,3.0,N,0.0,True
mp-669466,AgNO3,1.255870211834473,-0.0281286871221956,[3.0],5.0,5.0,5.0,Trigonal plane,4a,1,3.0,N,0.0,True
mp-669474,RbTeNO3F4,1.2910764765410396,0.0401440886593534,[3.0],5.0,5.0,5.0,Trigonal plane,2i,1,3.0,N,0.0,True
mp-669540,K2PtN4(ClO4)2,1.257132659959037,0.0466162928298879,[2.0],3.0,3.0,3.0,Angular,4e,1,2.0,N,0.0,True
mp-672644,KNO3,1.4893286328979736,0.4319730067332803,[3.0],5.0,5.0,5.0,Trigonal plane,4c,1,3.0,N,0.0,True
mp-674297,NaNO3,1.2870181164367651,0.0370350539017962,[3.0],5.0,5.0,5.0,"Face-capped octahedron, Bicapped octahedron (cap faces with one atom in common), Octahedron, Trigonal plane",1a,4,3.0,N,0.0,True
mp-676599,Cu8NO11,1.3217242268907674,0.1075812164523787,[3.0],5.0,5.0,5.0,Trigonal plane,1a,1,3.0,N,0.0,True
mp-677509,K4N2O5,1.3092678203003345,0.079370837045188,[2.0],3.0,3.0,3.0,Angular,4f,1,2.0,N,0.0,True
mp-679927,Rb2Sc(NO3)5,1.5764346651474004,0.6218330390588427,[3.0],5.0,5.0,5.0,Trigonal plane,"6c, 3b",1,3.0,N,0.0,True
mp-679928,Rb3Pr2(NO3)9,1.6570411883335254,0.7582711423046637,[3.0],5.0,5.0,5.0,Trigonal plane,"24e, 12d",1,3.0,N,0.0,True
mp-679958,Na3Nd2(NO3)9,1.7263595425381706,0.8973179747015658,[3.0],5.0,5.0,5.0,"Icosahedron, Trigonal plane, Metabidiminished icosahedron","8c, 24e, 12d",3,3.0,N,0.0,True
mp-680063,K3La2(NO3)9,1.7275631730177694,0.8999127821234776,[3.0],5.0,5.0,5.0,Trigonal plane,"24e, 12d",1,3.0,N,0.0,True
mp-695894,NdH12(NO5)3,1.3433749765816327,0.14723255416867,[3.0],5.0,5.0,5.0,"Trigonal plane, Square-face bicapped square antiprism",2i,2,3.0,N,0.0,True
mp-696189,TlH6(NO4)3,1.3299717262721362,0.1192931521094848,[3.0],5.0,5.0,5.0,Trigonal plane,6f,1,3.0,N,0.0,True
mp-696291,ZnH4(NO4)2,1.3597535862537955,0.1783176651310318,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-699485,AlH12(NO5)3,1.3472419652649656,0.1552961066812516,[3.0],5.0,5.0,5.0,Trigonal plane,12d,1,3.0,N,0.0,True
mp-703542,CdH8(NO5)2,1.311945816880788,0.0866794240673202,[3.0],5.0,5.0,5.0,Trigonal plane,1a,1,3.0,N,0.0,True
mp-706430,H3NO4,1.3684349610372943,0.1965733432038271,[3.0],5.0,5.0,5.0,Trigonal plane,4a,1,3.0,N,0.0,True
mp-706913,BeH8(NO5)2,1.2352018423962918,-0.0627455495758285,[3.0],5.0,5.0,5.0,Trigonal plane,4d,1,3.0,N,0.0,True
mp-707334,K7P6H2NO22,1.2264072051924355,-0.0842705438502759,[3.0],5.0,5.0,5.0,Trigonal plane,1a,1,3.0,N,0.0,True
mp-707744,K2TeH10(NO7)2,1.2002219923382729,-0.1330353252077599,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-707784,AlH18(NO6)3,1.2313023907484757,-0.0567050768566946,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-720586,CaH4NClO5,1.5286188643000211,0.5128369974876221,[3.0],5.0,5.0,5.0,Trigonal plane,8c,1,3.0,N,0.0,True
mp-720789,UH12(NO7)2,1.3253444029936283,0.1169953232571233,[3.0],5.0,5.0,5.0,Trigonal plane,2a,1,3.0,N,0.0,True
mp-722330,Li3La2H6(N3O10)3,1.368005015070786,0.1962729928583841,[3.0],5.0,5.0,5.0,Trigonal plane,12b,1,3.0,N,0.0,True
mp-722862,CdH3NO5,1.299314317286176,0.0588301589247727,[3.0],5.0,5.0,5.0,Trigonal plane,8c,1,3.0,N,0.0,True
mp-722900,CaH3NO5,1.3573805671434482,0.1762348202907108,[3.0],5.0,5.0,5.0,Trigonal plane,8c,1,3.0,N,0.0,True
mp-722980,Hg4HN3O10,1.319958133080105,0.0989181506687868,[3.0],5.0,5.0,5.0,Trigonal plane,4b,1,3.0,N,0.0,True
mp-723059,Li3Nd2H6(N3O10)3,1.3643601799282503,0.1892122445932891,[3.0],5.0,5.0,5.0,"Icosahedron, Trigonal plane","4a, 12b",2,3.0,N,0.0,True
mp-727472,MnH8(NO5)2,1.302789642688741,0.0733615883689919,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-733522,NiH12(NO6)2,1.2672863737137294,-0.0012940473929123,[3.0],5.0,5.0,5.0,"Trigonal plane, Octahedron",2i,2,3.0,N,0.0,True
mp-759030,KSmH4(N2O7)2,1.49005250437548,0.4327977854723605,[3.0],5.0,5.0,5.0,Trigonal plane,4a,1,3.0,N,0.0,True
mp-762082,ThH10N4O17,1.354703559497142,0.1722172767971747,[3.0],5.0,5.0,5.0,Trigonal plane,4b,1,3.0,N,0.0,True
mp-762501,CaH8(NO5)2,1.3112118216530408,0.0859715361666808,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-766274,Cu2H3NO6,1.2820244027108112,0.0296982645094561,[3.0],5.0,5.0,5.0,Trigonal plane,4a,1,3.0,N,0.0,True
mp-768311,Cs3NO4,1.3318924296982226,-0.3446966139401549,[4.0],5.0,5.0,5.0,Tetrahedron,4c,1,4.0,N,0.0,True
mp-773130,Co(NO3)4,1.372885512055949,0.21187115461863,[3.0],5.0,5.0,5.0,Trigonal plane,2i,1,3.0,N,0.0,True
mp-778950,Cs3NO4,1.4565440852035234,0.2225115131497961,[4.0],5.0,5.0,5.0,Tetrahedron,8c,1,4.0,N,0.0,True
mp-780939,Mn(NO3)4,1.4174327191325795,0.2966298604560931,[3.0],5.0,5.0,5.0,Trigonal plane,2i,1,3.0,N,0.0,True
mp-849229,H5NO5,1.30286769195296,0.0722617859073342,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-864887,MgH4(NO4)2,1.3334305112704117,0.1333086410402873,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-9475,KNO3,1.6461403640542962,0.7540817478649204,[3.0],5.0,5.0,5.0,Trigonal plane,4c,1,3.0,N,0.0,True
