CN,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean
1.0,1,1,,,,
2.0,21,6,1.2498450134976888,1.2531133592035233,0.0032683457058345264,0.0
3.0,810,214,1.2441808656374482,1.26874126590333,0.01954052489961728,0.5507868383404864
4.0,32,5,1.3922422930895801,1.3965838540552438,0.0043206256896006785,0.5625
