CN,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean
4.0,185,39,2.0239820449937316,2.045862066204372,0.020492887380313258,0.9916201117318436
6.0,73,10,2.1195072737823515,2.1765026677645363,0.06217228726352374,1.0
8.0,12,1,2.120361530833294,2.3717919749053897,0.24802581012389927,1.0
