element,CN,n_points,beta,beta0,method
B,2.0,5,-5.142707540333484,7.364497215980166,OLS
B,3.0,986,-4.779778096698243,6.923009416239892,OLS
B,4.0,508,-3.4411803997289665,5.092907096524164,OLS
C,1.0,7,1.75199548435554,-2.204634613804396,OLS
C,2.0,64,2.3492206497306425,-2.9721935646824624,OLS
C,3.0,772,3.4506736466102126,-4.476243543345777,OLS
N,2.0,6,2.1946489389028287,-2.739593099565842,OLS
N,3.0,214,1.955765096770661,-2.4777072850039383,OLS
N,4.0,5,4.4575498097019235,-6.249810545104254,OLS
Al,1.0,8,-2.1642848611263736,3.9543114711994978,OLS
Al,2.0,7,-2.3143035979181374,4.194928477944587,OLS
Al,3.0,11,-1.1036660789642323,2.1394393463575834,OLS
Al,4.0,503,-3.3398640519709604,5.940172963835129,OLS
Al,5.0,62,-2.03424671491942,3.8020305705154773,OLS
Al,6.0,543,-1.486794046863441,2.860743394580052,OLS
Si,1.0,14,-6.077014401205741,10.351731808733772,OLS
Si,2.0,7,-8.633621869907827,14.686878242188463,OLS
Si,3.0,5,-28.61536502052785,47.62876915314761,OLS
Si,4.0,2281,1.0557792048042767,-1.4897665340392585,OLS
Si,6.0,23,-2.611224034691963,4.688588530018059,OLS
P,1.0,7,2.681014269592811,-4.056173326904826,OLS
P,2.0,27,2.9182223696371814,-4.451038177775862,OLS
P,3.0,91,2.913521328923293,-4.501164008347799,OLS
P,4.0,3726,4.349035183003155,-6.737117581356151,OLS
S,3.0,33,2.511545373236955,-3.742093111990528,OLS
S,4.0,1708,2.456167608281233,-3.6523624230536034,OLS
Ga,4.0,264,-3.4084113765672948,6.372372113969058,OLS
Ga,5.0,49,-1.989032035698268,3.8842326291957328,OLS
Ga,6.0,315,-1.458772536850884,2.923511761692124,OLS
Ge,4.0,430,0.6639153584392846,-0.8424949474716962,OLS
Ge,5.0,44,-3.140960202674899,6.105014973568882,OLS
Ge,6.0,132,-2.6291470305058873,4.9976658065397865,OLS
As,3.0,40,3.9673363699196655,-6.631514616792258,OLS
As,4.0,426,4.3330564236106675,-7.456168764086054,OLS
As,5.0,7,-0.4854749392781477,1.5341987133418922,OLS
As,6.0,32,-1.4499978032322471,2.9644405469903097,OLS
Se,3.0,355,3.411752251613313,-5.908590221850531,OLS
Se,4.0,199,2.4790777879479826,-4.163307940434629,OLS
In,4.0,29,-3.100539953736625,6.650247249977124,OLS
In,5.0,28,-1.6648387934259525,3.611534099988257,OLS
In,6.0,397,-1.3795873578957825,3.012952346645842,OLS
In,7.0,14,-1.1948891706248936,2.739886603804376,OLS
In,8.0,9,-1.1189529017680235,2.5863318032771745,OLS
Sn,3.0,39,-1.8690673451233517,4.152308141454262,OLS
