element,CN,method,beta,beta0,n_points
Ba,1.0,Huber,-0.9064240910670625,2.5072325791522365,18
Ba,2.0,Huber,-0.9010926861637542,2.4864004313095323,27
Ba,3.0,Huber,-0.7733797636505176,2.189089575589954,32
Ba,4.0,Huber,-0.8170113803767188,2.3205445032691694,42
Ba,5.0,Huber,-0.7877989111088018,2.2399408450621485,38
Ba,6.0,Huber,-0.7256000856636949,2.0825442493765296,236
Ba,7.0,Huber,-0.763872967093139,2.188587920592469,162
Ba,8.0,Huber,-0.711086918734388,2.061623100534086,418
Ba,9.0,Huber,-0.6688866990607667,1.952484386539454,488
Ba,10.0,Huber,-0.6122946369455636,1.8100569716614208,468
Ba,11.0,Huber,-0.6079910954970416,1.815985560763347,124
Ba,12.0,Huber,-0.5587190964864086,1.6746936397703092,644
Ba,13.0,Huber,-0.5843575652696971,1.7495564219254787,10
Be,3.0,Huber,-1.851441892374565,2.961343252717095,17
Be,4.0,Huber,-1.4358473529114497,2.3600056659838775,126
Ca,3.0,Huber,-0.8357643845318654,2.0592457755232663,10
Ca,4.0,Huber,-0.8951264613725521,2.196692036607713,44
Ca,5.0,Huber,-0.9149520697058668,2.223227817724169,79
Ca,6.0,Huber,-0.8727080597154062,2.085798699846728,738
Ca,7.0,Huber,-0.8107965085263504,2.0099266726367593,372
Ca,8.0,Huber,-0.7583980132878936,1.9020999109512902,795
Ca,9.0,Huber,-0.6696651326310844,1.7272858343556123,153
Ca,10.0,Huber,-0.6686341303569617,1.732671783716149,20
Ca,12.0,Huber,-0.5799652331890722,1.5711806133033182,29
Cs,2.0,Huber,-0.9261127025197815,2.850880503877059,12
Cs,3.0,Huber,-0.6331412575512796,2.029767815476427,26
Cs,4.0,Huber,-0.6527497797370228,2.0629705622861176,57
Cs,5.0,Huber,-0.610915889468754,1.9512774415566994,67
Cs,6.0,Huber,-0.5409314054243239,1.7594624869315145,111
Cs,7.0,Huber,-0.5035104037213379,1.654053543411116,57
Cs,8.0,Huber,-0.45581531673659154,1.515526836443681,82
Cs,9.0,Huber,-0.4437852689017762,1.4820952331548545,82
Cs,10.0,Huber,-0.44329148526655177,1.4874656822826011,73
Cs,11.0,Huber,-0.4375385817233887,1.4772418096587205,20
Cs,12.0,Huber,-0.37740964483414874,1.2841858638625605,42
K,1.0,Huber,-0.6731723471258115,1.9868012242493416,15
K,2.0,Huber,-0.7608316371068391,2.1178691400143688,37
K,3.0,Huber,-0.7183360986552043,2.030684671744919,41
K,4.0,Huber,-0.6010674863396308,1.7116360359468852,133
K,5.0,Huber,-0.5893222147213534,1.680142483857683,151
K,6.0,Huber,-0.5288283262093528,1.529616528085496,360
K,7.0,Huber,-0.5054403163202198,1.4740698137371322,230
K,8.0,Huber,-0.46937796004274035,1.389059543350739,295
K,9.0,Huber,-0.4455917173256933,1.3395345090073634,267
K,10.0,Huber,-0.42887824298402333,1.3017079512979013,188
K,11.0,Huber,-0.38758767212538253,1.2082347537664628,25
K,12.0,Huber,-0.39018309967532605,1.19917061202214,109
K,13.0,Huber,-0.3968609097761283,1.225256698899543,11
Li,1.0,Huber,-0.8527060099569623,1.8503531776865414,30
Li,2.0,Huber,-0.831233335559124,1.715873089026823,33
Li,3.0,Huber,-0.7316151118799618,1.5034428787452,230
Li,4.0,Huber,-0.7280969825378777,1.475324395940628,2782
Li,5.0,Huber,-0.6404559956941149,1.3626614879896164,1056
Li,6.0,Huber,-0.5730557352203782,1.245394179000544,1933
Li,7.0,Huber,-0.5526381455856734,1.2857691004666265,46
Li,8.0,Huber,-0.5112446005967957,1.232386400484376,33
Mg,4.0,Huber,-1.0931163484088042,2.2291319817877038,167
Mg,5.0,Huber,-1.0875644335815637,2.2509569894187456,107
Mg,6.0,Huber,-0.9184051846888684,1.9306458810962153,1084
Na,2.0,Huber,-0.60274713202497,1.476701893310287,32
Na,3.0,Huber,-0.6035177009682519,1.5092401985756838,85
Na,4.0,Huber,-0.6276897440672231,1.5395913800139422,387
Na,5.0,Huber,-0.5878271631086571,1.4592443274675628,502
Na,6.0,Huber,-0.4935354173151819,1.272986290562242,2396
Na,7.0,Huber,-0.4809487282408693,1.241201210288783,759
Na,8.0,Huber,-0.4744349382061073,1.2375191536964867,1170
Na,9.0,Huber,-0.4622145556727921,1.2306378324706628,150
Na,10.0,Huber,-0.4139712428044504,1.14351301412393,33
Na,12.0,Huber,-0.39283069866805687,1.105503597827829,79
Rb,2.0,Huber,-0.7252853117134707,2.1108068435278318,13
Rb,3.0,Huber,-0.6343683785745784,1.900298488443137,25
Rb,4.0,Huber,-0.6291417681010937,1.8914694756851778,83
Rb,5.0,Huber,-0.5990575592908278,1.8061527525949825,98
Rb,6.0,Huber,-0.5446220384606021,1.6706373290255425,136
Rb,7.0,Huber,-0.5155701278674385,1.579502581631273,71
Rb,8.0,Huber,-0.4502900733638203,1.4104586942179316,116
Rb,9.0,Huber,-0.45110765725082613,1.412147949605857,97
Rb,10.0,Huber,-0.4417429327150807,1.3969872797235736,93
Rb,11.0,Huber,-0.4409485837483533,1.4121082611299844,13
Rb,12.0,Huber,-0.33800539742690267,1.108073923055801,78
Sr,1.0,Huber,-0.9563577732372053,2.4191388787577655,10
Sr,2.0,Huber,-0.6357673154117971,1.7011107015922102,13
Sr,4.0,Huber,-0.7232632949303949,1.9960901841767653,73
Sr,5.0,Huber,-0.7783040831838889,2.0820286570027196,30
Sr,6.0,Huber,-0.8156555637046291,2.1481872824785335,207
Sr,7.0,Huber,-0.8009175024841964,2.119402140302408,184
Sr,8.0,Huber,-0.765585947481673,2.0623631302734537,635
Sr,9.0,Huber,-0.6748472448458646,1.8330937943103431,503
Sr,10.0,Huber,-0.6102582645102974,1.7045653062103154,145
Sr,11.0,Huber,-0.5339765012093353,1.5048362794001882,55
Sr,12.0,Huber,-0.5533535163799964,1.572770856011471,301
Ba,1.0,OLS,-0.7460109513373299,2.142229793157033,18
Ba,2.0,OLS,-0.7225728565628917,2.0950006005444486,27
Ba,3.0,OLS,-0.7817957586004938,2.225047778993477,32
Ba,4.0,OLS,-0.8649532851113445,2.4309809525380537,42
Ba,5.0,OLS,-0.8296119003302633,2.3444456537655487,38
Ba,6.0,OLS,-0.7518680409581487,2.1500213464127857,236
Ba,7.0,OLS,-0.7554409735727229,2.174456396065832,162
Ba,8.0,OLS,-0.7030043692236404,2.047704751905928,418
Ba,9.0,OLS,-0.6648050040928483,1.9447488578747898,488
Ba,10.0,OLS,-0.6125348803147906,1.8156712039041154,468
Ba,11.0,OLS,-0.6092753754852585,1.8235457416710497,124
Ba,12.0,OLS,-0.5570045780218985,1.6725251597663153,644
Ba,13.0,OLS,-0.5843236394744113,1.7490820797342432,10
Be,3.0,OLS,-1.944844758618472,3.091289761405598,17
Be,4.0,OLS,-1.4407433706242863,2.3705071303412524,126
Ca,3.0,OLS,-0.8061966192414676,1.995049579075237,10
Ca,4.0,OLS,-0.9378467018920212,2.3065136720035255,44
Ca,5.0,OLS,-0.9261124917867999,2.2544453522248222,79
Ca,6.0,OLS,-0.8764248489645255,2.0922308535764342,738
Ca,7.0,OLS,-0.8142978727794092,2.0215489247319085,372
Ca,8.0,OLS,-0.7511930442250646,1.893625079595423,795
Ca,9.0,OLS,-0.6618933895231023,1.715773231717808,153
Ca,10.0,OLS,-0.6611631530108586,1.7281111605792614,20
Ca,12.0,OLS,-0.5803593658912227,1.5774196602555843,29
Cs,2.0,OLS,-0.9039875453288464,2.7861924679450882,12
Cs,3.0,OLS,-0.6685837637543445,2.135744033503147,26
Cs,4.0,OLS,-0.6682876631942616,2.111661927301867,57
Cs,5.0,OLS,-0.6127822222370541,1.9607120673449854,67
Cs,6.0,OLS,-0.5397300903157948,1.7646535748436911,111
Cs,7.0,OLS,-0.5103767725431676,1.6789718269428626,57
Cs,8.0,OLS,-0.46338381634575154,1.5378132621598717,82
Cs,9.0,OLS,-0.4441812297114838,1.4863228527349674,82
Cs,10.0,OLS,-0.4403301401722083,1.4863660509432677,73
Cs,11.0,OLS,-0.43566283009679635,1.4725131683869102,20
Cs,12.0,OLS,-0.38208854596124475,1.302868203509216,42
K,1.0,OLS,-0.6899112070535571,2.014129534834343,15
K,2.0,OLS,-0.806657718773833,2.240663736790593,37
K,3.0,OLS,-0.7855227577693302,2.212421743543449,41
K,4.0,OLS,-0.599555935408756,1.7184191381619471,133
K,5.0,OLS,-0.6124977906185416,1.755254684376661,151
K,6.0,OLS,-0.5235804473950046,1.517600801266793,360
K,7.0,OLS,-0.523615509906247,1.5248256170462564,230
K,8.0,OLS,-0.46805846641974247,1.3879014922742041,295
K,9.0,OLS,-0.4497526720773295,1.353203216747969,267
K,10.0,OLS,-0.43515879762909626,1.3233276897517223,188
K,11.0,OLS,-0.3812741900647465,1.198349790382155,25
K,12.0,OLS,-0.38558648490151726,1.1872706113744076,109
K,13.0,OLS,-0.39442324390394684,1.2154879632752227,11
Li,1.0,OLS,-0.8395525517122693,1.847568113586718,30
Li,2.0,OLS,-0.8109641901861137,1.7118253908804026,33
Li,3.0,OLS,-0.7496726143949355,1.543696397664565,230
Li,4.0,OLS,-0.7261516704670194,1.4758380163193725,2782
Li,5.0,OLS,-0.6294550192761122,1.3500733573088262,1056
Li,6.0,OLS,-0.5720152042066404,1.249854470176879,1933
Li,7.0,OLS,-0.5516154771938949,1.2851318967949832,46
Li,8.0,OLS,-0.5114829393509135,1.2326494578898317,33
Mg,4.0,OLS,-1.1307628542525576,2.2950947856039767,167
Mg,5.0,OLS,-1.0793892047844031,2.2385010045121962,107
Mg,6.0,OLS,-0.9214069800631619,1.9381097894140893,1084
Na,2.0,OLS,-0.627381642264962,1.5298603318833786,32
Na,3.0,OLS,-0.5992063814130897,1.5085698836831105,85
Na,4.0,OLS,-0.6285768062646111,1.5410654638813421,387
Na,5.0,OLS,-0.5916878995008034,1.46966050117297,502
Na,6.0,OLS,-0.5063833628340654,1.3006359787383022,2396
Na,7.0,OLS,-0.49217546738803336,1.269841771934903,759
Na,8.0,OLS,-0.4770336959484378,1.2450583822924748,1170
Na,9.0,OLS,-0.45286480844669,1.2174892944140447,150
Na,10.0,OLS,-0.4186263128722719,1.1577200683283961,33
Na,12.0,OLS,-0.4021099384204234,1.1316745315387398,79
Rb,2.0,OLS,-0.6480613082704051,1.91726170291218,13
Rb,3.0,OLS,-0.6173513155972495,1.8614089201214281,25
Rb,4.0,OLS,-0.6397773875698953,1.923748280836592,83
Rb,5.0,OLS,-0.5965206072294611,1.8021003019552535,98
Rb,6.0,OLS,-0.5346648511496234,1.6509711398372,136
Rb,7.0,OLS,-0.5192170530906272,1.594100195971722,71
Rb,8.0,OLS,-0.45169880271809204,1.4126728703125855,116
Rb,9.0,OLS,-0.45383086459010175,1.4228430297880894,97
Rb,10.0,OLS,-0.4387235776894901,1.3915382426702814,93
Rb,11.0,OLS,-0.43487582169826433,1.398108522672798,13
Rb,12.0,OLS,-0.3563715151462208,1.1670229323520318,78
Sr,1.0,OLS,-0.9744286882112216,2.4661139046526186,10
Sr,2.0,OLS,-0.621980501021943,1.6533954845413148,13
Sr,4.0,OLS,-0.6894560851488923,1.9165244321765331,73
Sr,5.0,OLS,-0.7107785941751469,1.9594999283560965,30
Sr,6.0,OLS,-0.8228973677236399,2.1623043124591126,207
Sr,7.0,OLS,-0.7849767610652467,2.0880886099245766,184
Sr,8.0,OLS,-0.7374338440200645,2.011314947097949,635
Sr,9.0,OLS,-0.6663742698733396,1.8166604079530977,503
Sr,10.0,OLS,-0.6116299794835824,1.7096362635037177,145
Sr,11.0,OLS,-0.5345101369738618,1.506145659469439,55
Sr,12.0,OLS,-0.5511562283715065,1.5711101435448867,301
Ba,1.0,RANSAC,-0.9359322176515997,2.533208929349767,18
Ba,2.0,RANSAC,-0.9433154893785971,2.597278041706333,27
Ba,3.0,RANSAC,-0.7627240636471524,2.156953096906247,32
Ba,4.0,RANSAC,-0.8671633406227361,2.445091535805741,42
Ba,5.0,RANSAC,-0.7785736393729802,2.2217439356902444,38
