CN,formal_charge,count,fraction_within_cn,weighted_charge_contribution
2.0,7,3,1.0,7.0
4.0,6,2,0.03571428571428571,0.21428571428571427
4.0,7,54,0.9642857142857143,6.75
5.0,6,1,0.08333333333333333,0.5
5.0,7,11,0.9166666666666666,6.416666666666666
6.0,4,1,0.013888888888888888,0.05555555555555555
6.0,5,28,0.3888888888888889,1.9444444444444444
6.0,6,12,0.16666666666666666,1.0
6.0,7,31,0.4305555555555556,3.0138888888888893
