material_id,chem_formula,n_rows,CN_values,R0_mean,B_mean,chemenv_examples,mean_charge_mean,min_charge_min,max_charge_max
mp-1016092,Re2O7,2,"[4, 6]",1.939720464035301,0.3092325725429793,"Tetrahedron, Octahedron",7.0,7.0,7.0
mp-1209784,Pr3Re2O9,2,"[4, 6]",1.9429711975516253,0.070643886887378,"Square non-coplanar, Octahedron",4.5,4.0,5.0
mp-1210151,Nd3Re2O9,2,"[4, 6]",1.941940395381217,0.0717786688602865,"Square non-coplanar, Octahedron",4.5,4.0,5.0
mp-29532,Ca11(ReO6)4,2,[6],1.9393936226037527,0.1642521373650293,Octahedron,6.5,6.0,7.0
mp-29908,Sr11(ReO6)4,2,[6],1.9417150493873152,0.1672561416650052,Octahedron,6.5,6.0,7.0
mp-531197,Sr(ReO3)3,2,[6],1.9438594093318065,0.0684425318401512,Octahedron,5.5,5.0,6.0
mp-540878,La3Re2O9,2,"[4, 6]",1.9443271568939504,0.0718234872194483,"Square non-coplanar, Octahedron",4.5,4.0,5.0
mp-541928,Sm3Re2O9,2,"[4, 6]",1.9403281315472167,0.0981836209411878,"Square non-coplanar, Octahedron",4.5,4.0,5.0
mp-625238,Re2H4O9,2,"[4, 6]",1.96989907949921,0.3883111717699344,"Tetrahedron, Octahedron",7.0,7.0,7.0
mp-674367,Re6Pb5O19,2,[6],1.97894024178986,0.0865663056619472,Octahedron,4.5,4.0,5.0
mp-686110,Li(ReO3)5,2,[6],1.9059497536313263,0.032706734980961,Octahedron,5.5,5.0,6.0
mp-758073,Re6Pb6O19,2,[6],2.024107754060092,0.0005915289135462,Octahedron,4.5,4.0,5.0
mp-768878,CuReO4,2,[4],1.8266083540437443,0.1186427688821507,Tetrahedron,6.5,6.0,7.0
mp-10094,Tm5(ReO6)2,1,[6],1.85558389951746,0.7712906405964093,Octahedron,5.0,5.0,5.0
mp-10326,Zn(ReO4)2,1,[4],1.7994983140771024,0.1095863164472836,Tetrahedron,7.0,7.0,7.0
mp-1041019,CuReO4,1,[4],1.817563088002352,0.1178354292182303,Tetrahedron,6.0,6.0,6.0
mp-1042110,Re2O7,1,[4],1.913291862987668,0.2714204788564761,Tetrahedron,7.0,7.0,7.0
mp-1096938,Cs2ReO4,1,[4],2.286223196221989,1.1722600894136517,Tetrahedron,6.0,6.0,6.0
mp-1106155,Ca2MnReO6,1,[6],1.942926210336314,-0.4272483982314211,Octahedron,6.0,6.0,6.0
mp-11207,Pr3ReO7,1,[6],1.9715978696054104,0.1179547691181734,Octahedron,5.0,5.0,5.0
mp-1188807,Sr2CaReO6,1,[6],1.9460812129766405,0.0596789597515412,Octahedron,6.0,6.0,6.0
mp-1188946,Re2BiO6,1,[6],1.9503719871783944,0.1625583910954283,Octahedron,4.5,4.5,4.5
mp-1191971,FeRe2(H2O3)4,1,[4],1.7600162867319131,0.009327499516145,Tetrahedron,7.0,7.0,7.0
mp-1191990,Dy3ReO7,1,[6],1.948150024387528,0.1954491420974697,Octahedron,5.0,5.0,5.0
mp-1192782,CuRe2(H2O3)4,1,[4],1.7897152702647348,0.062351594853696,Tetrahedron,7.0,7.0,7.0
mp-1193019,MnRe(PbO3)2,1,[6],1.9382921782573088,-0.1718539947983209,Octahedron,6.0,6.0,6.0
mp-1193300,ReS2ClO9,1,[5],1.9846858094658155,0.4163833122759857,Octahedron,7.0,7.0,7.0
mp-1196004,Re2Sb4O13,1,[4],1.769010382358293,0.0458651015941103,Tetrahedron,7.0,7.0,7.0
mp-1197149,ReSi2(PO5)3,1,[6],1.913665536720862,0.3167337384354579,Octahedron,7.0,7.0,7.0
mp-1197231,ReBi9O17,1,[4],1.7576741061121042,-0.000982008043554,Tetrahedron,7.0,7.0,7.0
mp-1197783,ReBi3O8,1,[4],1.835304954352766,0.1709742188462971,Tetrahedron,7.0,7.0,7.0
mp-1197806,Ba16Re6O37,1,[6],1.9986441851536576,0.601986577926543,Octahedron,7.0,7.0,7.0
mp-1200983,Re2S(ClO2)4,1,[4],1.9723262333125624,0.3804713872732334,Octahedron,7.0,7.0,7.0
mp-1203700,RePO6,1,[6],1.943500318640528,0.3307333110665523,no_data,7.0,7.0,7.0
mp-1205130,Re2S2O13,1,[6],1.9539511504890483,0.3813145277271397,Octahedron,7.0,7.0,7.0
mp-1205210,NdRe3(H2O5)3,1,[4],1.7819283557091066,0.0512654771951006,Tetrahedron,7.0,7.0,7.0
mp-1208421,Tb5(ReO6)2,1,[6],1.4508785412002916,1.365710878792047,Octahedron,4.0,4.0,4.0
mp-1208774,Sr5Re3BrO15,1,[5],2.0818493394265944,0.7255493096974938,Square pyramid,7.0,7.0,7.0
mp-1209145,RePbBrO4,1,[4],1.9072218429046195,0.2760558993040612,Tetrahedron,7.0,7.0,7.0
mp-1209366,Pr3(ReO5)2,1,[6],1.9728691688366025,0.2899945165334764,Octahedron,6.0,6.0,6.0
mp-1209401,Sr5Re3IO15,1,[5],2.1106273413904617,0.8033091097130776,Square pyramid,7.0,7.0,7.0
mp-1209462,Rb3NaRe2O9,1,[6],2.159388396093169,1.5533010307699553,Octahedron,7.0,7.0,7.0
mp-1210574,Lu5(ReO6)2,1,[6],1.719276937676104,0.9561227606366476,Octahedron,4.5,4.5,4.5
mp-1213202,Er5(ReO6)2,1,[6],1.7101802942736797,1.0013038146551492,Octahedron,4.5,4.5,4.5
mp-1214601,Ba5Re3IO15,1,[5],4.51885120990187,7.969434995823474,Square pyramid,7.0,7.0,7.0
mp-1218565,Sr4Co3ReO12,1,[6],1.889349518740776,-0.0001743979999516,Octahedron,7.0,7.0,7.0
mp-1224026,K3ReMoO8,1,[4],1.805029011069324,0.112471859536676,Tetrahedron,7.0,7.0,7.0
mp-1225661,Dy5(ReO6)2,1,[6],1.9188018839096688,0.5406812341159764,Octahedron,5.0,5.0,5.0
mp-1227487,Ca2MgReO6,1,[6],1.940382479614397,-0.0550354308904095,Octahedron,6.0,6.0,6.0
mp-1228167,Ba4ScReWO12,1,[6],2.141605549995716,1.4688336143913376,Octahedron,7.0,7.0,7.0
mp-1228183,Ba4Re2NiO12,1,[6],2.2119205239291,1.95322835227884,Octahedron,7.0,7.0,7.0
mp-1228593,Ba6Y(ReO6)3,1,[6],2.1690203192245248,1.6630742224949528,Octahedron,7.0,7.0,7.0
mp-1229259,Ba6Gd(ReO6)3,1,[6],2.148343213583412,1.546521428368343,Octahedron,7.0,7.0,7.0
mp-1272927,CrReO4,1,[6],1.870928088778807,0.6174012072627105,Octahedron,5.0,5.0,5.0
mp-1276532,VReO4,1,[6],1.913019789482624,0.3852781158679147,Octahedron,5.0,5.0,5.0
mp-1276812,VReO4,1,[6],1.8891508258626253,0.4867393294483566,Octahedron,5.0,5.0,5.0
mp-1278503,CrReO4,1,[6],1.8756063368799964,0.5710164750621154,Octahedron,5.0,5.0,5.0
mp-1279065,VReO4,1,[6],1.866858353614229,0.6509402556755809,Octahedron,5.0,5.0,5.0
mp-1284292,VReO4,1,[6],1.863895180732409,0.6706941000613662,Octahedron,5.0,5.0,5.0
