material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ga_wyckoff,num_Ga_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1020596,NaGa(GeO3)2,1.673396723295155,0.5480457387676398,[6.0],3.0,3.0,3.0,Octahedron,2e,1,6.0,Ga,0.0,True,2.0,6.0,1.9533517037221906,2.1110148738768313,2.034558534118911,0.0644533121816856,0.1576631701546407,67.16811209802147,37.075666602672776,10.55722313215511,106.00033075525052,6.0,1.0,1,Octahedron
mp-1020596,NaGa(GeO3)2,1.673396723295155,0.5480457387676398,[6.0],3.0,3.0,3.0,Octahedron,2e,1,6.0,Ga,0.0,True,3.0,6.0,1.9533517037221908,2.111014873876832,2.0345585341189114,0.06445331218168598,0.15766317015464137,67.16811209802148,37.07566660267279,10.557223132155077,106.00033075525053,6.0,1.0,2,Octahedron
mp-1020613,Rb5GaO4,1.945188272835097,-0.1565864331450746,[4.0],3.0,3.0,3.0,Tetrahedron,8c,1,4.0,Ga,0.0,True,40.0,4.0,1.8927795132391267,1.907692259319437,1.9000610544212917,0.005467815221069524,0.014912746080310235,109.46588738670943,1.0969157137993029,107.59976133298909,110.77010351886742,0.0,0.0,1,Tetrahedron
mp-1020613,Rb5GaO4,1.945188272835097,-0.1565864331450746,[4.0],3.0,3.0,3.0,Tetrahedron,8c,1,4.0,Ga,0.0,True,41.0,4.0,1.8927795132391267,1.907692259319435,1.9000610544212913,0.0054678152210689435,0.014912746080308237,90.82660717631911,19.847841971013846,63.2953135257371,110.77010351886737,0.0,0.0,2,Tetrahedron
mp-1020613,Rb5GaO4,1.945188272835097,-0.1565864331450746,[4.0],3.0,3.0,3.0,Tetrahedron,8c,1,4.0,Ga,0.0,True,42.0,4.0,1.8927795132391256,1.9076922593194354,1.9000610544212908,0.005467815221069329,0.014912746080309791,90.15285196762154,21.23252470438838,59.52542743571376,110.06856361709006,0.0,0.0,3,Tetrahedron
mp-1020613,Rb5GaO4,1.945188272835097,-0.1565864331450746,[4.0],3.0,3.0,3.0,Tetrahedron,8c,1,4.0,Ga,0.0,True,43.0,4.0,1.8927795132391256,1.9076922593194354,1.900061054421291,0.005467815221069243,0.014912746080309791,76.22646310696807,17.45123150642711,59.52542743571376,109.95678692601524,0.0,0.0,4,Tetrahedron
mp-1020613,Rb5GaO4,1.945188272835097,-0.1565864331450746,[4.0],3.0,3.0,3.0,Tetrahedron,8c,1,4.0,Ga,0.0,True,44.0,4.0,1.892779513239125,1.9076922593194354,1.9000610544212913,0.005467815221069578,0.014912746080310457,109.46588738670944,1.0969157137993,107.5997613329891,110.77010351886742,0.0,0.0,5,Tetrahedron
mp-1020613,Rb5GaO4,1.945188272835097,-0.1565864331450746,[4.0],3.0,3.0,3.0,Tetrahedron,8c,1,4.0,Ga,0.0,True,45.0,4.0,1.892779513239125,1.9076922593194352,1.9000610544212906,0.005467815221069477,0.014912746080310235,90.8266071763191,19.847841971013853,63.295313525737086,110.77010351886742,0.0,0.0,6,Tetrahedron
mp-1020613,Rb5GaO4,1.945188272835097,-0.1565864331450746,[4.0],3.0,3.0,3.0,Tetrahedron,8c,1,4.0,Ga,0.0,True,46.0,4.0,1.8927795132391274,1.9076922593194352,1.9000610544212913,0.005467815221068727,0.014912746080307793,90.15285196762157,21.232524704388382,59.52542743571376,110.06856361709019,0.0,0.0,7,Tetrahedron
mp-1020613,Rb5GaO4,1.945188272835097,-0.1565864331450746,[4.0],3.0,3.0,3.0,Tetrahedron,8c,1,4.0,Ga,0.0,True,47.0,4.0,1.8927795132391263,1.9076922593194363,1.9000610544212915,0.005467815221069414,0.014912746080310013,76.2264631069681,17.451231506427114,59.52542743571377,109.95678692601525,0.0,0.0,8,Tetrahedron
mp-1020709,Sr5(Ga3O7)2,1.7762290576726971,0.3505258058305404,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Ga,0.0,True,10.0,4.0,1.8570949876150982,1.8860803510805242,1.876415462389165,0.01139069662285714,0.028985363465426017,93.77386540551203,28.67446242252076,44.45695078143391,120.46101598634914,4.0,1.0,1,Tetrahedron
mp-1020709,Sr5(Ga3O7)2,1.7762290576726971,0.3505258058305404,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Ga,0.0,True,11.0,4.0,1.8570949876150995,1.8860803510805229,1.8764154623891645,0.011390696622856215,0.028985363465423353,109.31917298781293,4.581115905807131,103.7060295717414,116.69180357986562,4.0,1.0,2,Tetrahedron
mp-1020709,Sr5(Ga3O7)2,1.7762290576726971,0.3505258058305404,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Ga,0.0,True,12.0,4.0,1.8570949876150982,1.886080351080524,1.876415462389164,0.011390696622857003,0.028985363465425795,93.77386540551201,28.67446242252076,44.45695078143392,120.46101598634912,4.0,1.0,3,Tetrahedron
mp-1020709,Sr5(Ga3O7)2,1.7762290576726971,0.3505258058305404,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Ga,0.0,True,13.0,4.0,1.8570949876150968,1.8860803510805242,1.8764154623891645,0.011390696622857771,0.02898536346542735,109.31917298781293,4.581115905807164,103.70602957174135,116.69180357986565,4.0,1.0,4,Tetrahedron
mp-1020709,Sr5(Ga3O7)2,1.7762290576726971,0.3505258058305404,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Ga,0.0,True,14.0,4.0,1.8209511642124838,1.9032002800667112,1.8733234579431295,0.03381226218291471,0.08224911585422734,109.22757444702846,5.4964218868649075,102.81973894492305,116.16360251170974,4.0,1.0,5,Tetrahedron
mp-1020709,Sr5(Ga3O7)2,1.7762290576726971,0.3505258058305404,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Ga,0.0,True,15.0,4.0,1.820951164212484,1.9032002800667134,1.8733234579431302,0.0338122621829155,0.08224911585422934,63.22317218351015,40.08735788451318,19.8817889268273,116.16360251170974,4.0,1.0,6,Tetrahedron
mp-1020709,Sr5(Ga3O7)2,1.7762290576726971,0.3505258058305404,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Ga,0.0,True,16.0,4.0,1.820951164212483,1.9032002800667132,1.8733234579431297,0.03381226218291604,0.08224911585423023,109.22757444702847,5.496421886864893,102.81973894492303,116.16360251170974,4.0,1.0,7,Tetrahedron
mp-1020709,Sr5(Ga3O7)2,1.7762290576726971,0.3505258058305404,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Ga,0.0,True,17.0,4.0,1.820951164212483,1.9032002800667116,1.8733234579431293,0.03381226218291532,0.08224911585422867,63.22317218351014,40.08735788451319,19.881788926827262,116.16360251170974,4.0,1.0,8,Tetrahedron
mp-1020709,Sr5(Ga3O7)2,1.7762290576726971,0.3505258058305404,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Ga,0.0,True,18.0,4.0,1.8287921006901735,1.9178154675298396,1.8832959362092692,0.03327373749465735,0.08902336683966605,93.43584062431852,25.568162075685716,48.605571825855534,121.1719374358846,3.0,0.75,9,Tetrahedron
mp-1020709,Sr5(Ga3O7)2,1.7762290576726971,0.3505258058305404,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Ga,0.0,True,19.0,4.0,1.8287921006901744,1.9178154675298391,1.8832959362092692,0.033273737494656834,0.08902336683966472,93.43584062431849,25.568162075685734,48.60557182585548,121.17193743588456,3.0,0.75,10,Tetrahedron
mp-1020709,Sr5(Ga3O7)2,1.7762290576726971,0.3505258058305404,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Ga,0.0,True,20.0,4.0,1.8287921006901737,1.9178154675298387,1.883295936209269,0.03327373749465705,0.08902336683966494,93.43584062431849,25.568162075685734,48.60557182585548,121.17193743588459,3.0,0.75,11,Tetrahedron
mp-1020709,Sr5(Ga3O7)2,1.7762290576726971,0.3505258058305404,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Ga,0.0,True,21.0,4.0,1.8287921006901737,1.91781546752984,1.883295936209269,0.03327373749465731,0.08902336683966627,93.43584062431853,25.568162075685724,48.60557182585552,121.17193743588459,3.0,0.75,12,Tetrahedron
mp-1020723,Sr2Ga2O5,1.6677464588313011,0.7438473053163044,[4.0],3.0,3.0,3.0,Tetrahedron,8c,1,4.0,Ga,0.0,True,16.0,4.0,1.8535411885410236,1.911960020516033,1.8826953223498195,0.026671339208143522,0.05841883197500941,109.42211745402572,6.333060377586248,101.58817968241559,119.403779633408,4.0,1.0,1,Tetrahedron
mp-1020723,Sr2Ga2O5,1.6677464588313011,0.7438473053163044,[4.0],3.0,3.0,3.0,Tetrahedron,8c,1,4.0,Ga,0.0,True,17.0,4.0,1.853541188541022,1.9119600205160348,1.8826953223498195,0.026671339208144632,0.05841883197501274,91.55011198199914,25.03786814280752,51.965507105006765,119.40377963340804,4.0,1.0,2,Tetrahedron
mp-1020723,Sr2Ga2O5,1.6677464588313011,0.7438473053163044,[4.0],3.0,3.0,3.0,Tetrahedron,8c,1,4.0,Ga,0.0,True,18.0,4.0,1.8535411885410231,1.9119600205160343,1.8826953223498202,0.026671339208144004,0.05841883197501119,14.30508898452718,4.0860880437085925,5.961075722826823,17.723971478785092,4.0,1.0,3,Tetrahedron
mp-1020723,Sr2Ga2O5,1.6677464588313011,0.7438473053163044,[4.0],3.0,3.0,3.0,Tetrahedron,8c,1,4.0,Ga,0.0,True,19.0,4.0,1.8535411885410238,1.911960020516034,1.8826953223498193,0.026671339208143813,0.0584188319750103,27.23945460981437,12.662074668137501,12.439968243380545,46.67947142419596,4.0,1.0,4,Tetrahedron
mp-1020723,Sr2Ga2O5,1.6677464588313011,0.7438473053163044,[4.0],3.0,3.0,3.0,Tetrahedron,8c,1,4.0,Ga,0.0,True,20.0,4.0,1.853541188541022,1.9119600205160343,1.8826953223498197,0.02667133920814456,0.0584188319750123,109.42211745402572,6.333060377586257,101.5881796824156,119.40377963340804,4.0,1.0,5,Tetrahedron
mp-1020723,Sr2Ga2O5,1.6677464588313011,0.7438473053163044,[4.0],3.0,3.0,3.0,Tetrahedron,8c,1,4.0,Ga,0.0,True,21.0,4.0,1.8535411885410238,1.9119600205160334,1.8826953223498197,0.026671339208143782,0.05841883197500963,91.55011198199917,25.037868142807515,51.965507105006765,119.40377963340804,4.0,1.0,6,Tetrahedron
