material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ga_wyckoff,num_Ga_chemenvs,CN,element,charge_range,is_single_charge
mp-1195176,Ba4NaGa2B8(ClO6)3,1.8770397482857475,-0.0716638784692088,[4.0],3.0,3.0,3.0,Tetrahedron,4c,1,4.0,Ga,0.0,True
mp-1195423,Ba4NaGa2B8(BrO6)3,1.8523643957712024,0.0274329618592891,[4.0],3.0,3.0,3.0,Tetrahedron,4c,1,4.0,Ga,0.0,True
mp-1195440,GaAs(H2O3)2,1.97219320270082,0.0452565212009383,[6.0],3.0,3.0,3.0,Octahedron,8c,1,6.0,Ga,0.0,True
mp-1195660,Ba4GaB10H7O24,1.9234052012950875,-0.2089435712329932,[4.0],3.0,3.0,3.0,Tetrahedron,2a,1,4.0,Ga,0.0,True
mp-1195697,VGa(TeO4)2,1.9590318079126408,0.0676491192488409,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,Ga,0.0,True
mp-1195913,Ga4Bi2O9,1.7946605303175756,0.291420586205921,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","4c, 8d",2,4.0,Ga,0.0,True
mp-1195913,Ga4Bi2O9,1.7946605303175756,0.291420586205921,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","4c, 8d",2,6.0,Ga,0.0,True
mp-1196063,Ga2Se2O7,1.7425427064832295,0.3643941850771669,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","4c, 4d, 8e",2,4.0,Ga,0.0,True
mp-1196063,Ga2Se2O7,1.7425427064832295,0.3643941850771669,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","4c, 4d, 8e",2,6.0,Ga,0.0,True
mp-1197280,KGa2NiP3(H2O7)2,1.8517100427651445,0.1391836850561449,[5.0],3.0,3.0,3.0,Trigonal bipyramid,4f,1,5.0,Ga,0.0,True
mp-1197686,GaGe2H5CNO6,1.850590103160291,0.0102514097636455,[4.0],3.0,3.0,3.0,Tetrahedron,2i,1,4.0,Ga,0.0,True
mp-1197916,SrGaBO4,1.7661516394389871,0.3183278368125854,[4.0],3.0,3.0,3.0,Tetrahedron,4c,1,4.0,Ga,0.0,True
mp-1198930,LiGa(SeO3)2,1.9299897601386504,0.1125004687470264,[6.0],3.0,3.0,3.0,Octahedron,4d,1,6.0,Ga,0.0,True
mp-1199672,NaGaBP2H3O10,1.939014953111352,0.0787098112951882,[6.0],3.0,3.0,3.0,Octahedron,2c,1,6.0,Ga,0.0,True
mp-1200666,CsGaP3HO10,1.7765760710805238,0.2568205310531567,[6.0],3.0,3.0,3.0,Octahedron,2c,1,6.0,Ga,0.0,True
mp-1200733,CsGa(PO3)4,2.408124877240978,-0.601001140274634,[6.0],3.0,3.0,3.0,no_data,no_data,1,6.0,Ga,0.0,True
mp-1200899,Cs2GaP4H3O14,2.134466712565146,-0.2047055002675125,[6.0],3.0,3.0,3.0,Octahedron,2c,1,6.0,Ga,0.0,True
mp-1200987,CsGa(SeO3)2,1.9460841576061303,0.1217022630925973,[6.0],3.0,3.0,3.0,Octahedron,2i,1,6.0,Ga,0.0,True
mp-1201408,CsGaBP2HO9,1.777706631984363,0.3100495939181173,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,Ga,0.0,True
mp-1201552,Ga2Cu(SeO3)4,1.7352971471774872,0.4066926846061547,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,Ga,0.0,True
mp-1202879,NaGa(SeO3)2,1.821144644824286,0.2711156872130003,[6.0],3.0,3.0,3.0,Octahedron,4c,1,6.0,Ga,0.0,True
mp-1203192,Ga2CuSe3O10,1.7036523399635304,0.5204006539731438,[6.0],3.0,3.0,3.0,Octahedron,"4h, 4g",1,6.0,Ga,0.0,True
mp-1203461,Rb2EuGa(SiO3)4,1.8034090134393383,0.1376867446715496,[4.0],3.0,3.0,3.0,Tetrahedron,4f,1,4.0,Ga,0.0,True
mp-1203519,KMnGa2P3(H2O7)2,1.8422048134020448,0.1688728100325644,[5.0],3.0,3.0,3.0,Trigonal bipyramid,4f,1,5.0,Ga,0.0,True
mp-1203541,KGa(SeO3)2,2.0528645458116963,-0.040921299233873,[6.0],3.0,3.0,3.0,Octahedron,4c,1,6.0,Ga,0.0,True
mp-1203611,Ga2Cu3(SeO3)6,1.9168610490690927,0.1297886795306359,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,Ga,0.0,True
mp-1204230,Sr4Ga2O7,1.784200846500283,0.3052439912307272,[4.0],3.0,3.0,3.0,Tetrahedron,2a,1,4.0,Ga,0.0,True
mp-1204714,Ca4NbGaO8,1.7961081961414926,0.2716934651941175,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Ga,0.0,True
mp-1204881,CsMnGa2P3(H2O7)2,1.7385930797267828,0.3868555996349819,[5.0],3.0,3.0,3.0,Trigonal bipyramid,4f,1,5.0,Ga,0.0,True
mp-1207709,YMnGaO5,1.521083997232061,0.7847422666824435,[5.0],3.0,3.0,3.0,Square pyramid,4g,1,5.0,Ga,0.0,True
mp-1208125,Tm3Ga5O12,1.7531393095495609,0.3710271072324512,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8a",2,4.0,Ga,0.0,True
mp-1208125,Tm3Ga5O12,1.7531393095495609,0.3710271072324512,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8a",2,6.0,Ga,0.0,True
mp-1208375,TbGaGe2O7,1.9912908306935044,-0.0973092819494329,[5.0],3.0,3.0,3.0,Trigonal bipyramid,4e,1,5.0,Ga,0.0,True
mp-1208678,SmGaGe2O7,1.967534440048592,-0.0507105177523337,[5.0],3.0,3.0,3.0,Trigonal bipyramid,4e,1,5.0,Ga,0.0,True
mp-1208750,Sr3Ti3(Ga2O5)4,1.809919627043936,0.1854999751259011,[4.0],3.0,3.0,3.0,Tetrahedron,4j,1,4.0,Ga,0.0,True
mp-1208765,Sr2TmGaCu2O7,2.600994701109063,-2.481081060294517,[4.0],3.0,3.0,3.0,Tetrahedron,2b,1,4.0,Ga,0.0,True
mp-1208777,Sr3NbGa3(SiO7)2,1.813687818432444,0.1754213439021534,[4.0],3.0,3.0,3.0,Tetrahedron,3f,1,4.0,Ga,0.0,True
