CN,n_samples,n_materials,avg_formal_charge,s_avg_approx,savg_class,charge_fraction_breakdown
4.0,263,263,3.0,0.75,s_avg ≤ 1,3+:1.0000
5.0,49,49,3.0,0.6,s_avg ≤ 1,3+:1.0000
6.0,314,314,3.0,0.5,s_avg ≤ 1,3+:1.0000
