material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Os_wyckoff,num_Os_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1191300,Tb3OsO7,1.9614980317365664,0.0045768442104153,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Os,0.0,True,6,6,1.9631763234125106,1.9637303849703174,1.9633610105984465,0.00026118712314609534,0.0005540615578067953,107.99999994308178,36.33246526587798,83.70244963966007,180.0,6,1.0,1,Octahedron
mp-1191300,Tb3OsO7,1.9614980317365664,0.0045768442104153,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Os,0.0,True,7,6,1.9631763234125106,1.9637303849703163,1.9633610105984463,0.00026118712314551957,0.0005540615578056851,60.63985270558229,34.272081224861736,13.76979426955713,97.06460287038449,6,1.0,2,Octahedron
mp-1205467,Te7OsO5F32,2.3955509743347583,1.031295741575362,[5.0],4.0,4.0,4.0,Octahedron,2i,1,5.0,Os,0.0,True,14,5,1.680695170333855,1.9327771673223852,1.8796774668594007,0.09953814365174549,0.2520819969885302,70.4228938214275,32.9294074019932,16.22713264846984,109.62054682614855,4,0.8,1,Octahedron
mp-1205467,Te7OsO5F32,2.3955509743347583,1.031295741575362,[5.0],4.0,4.0,4.0,Octahedron,2i,1,5.0,Os,0.0,True,15,5,1.680695170333857,1.932777167322386,1.8796774668594012,0.09953814365174467,0.25208199698852884,70.4228938214275,32.92940740199323,16.227132648469865,109.6205468261486,4,0.8,2,Octahedron
mp-1219620,RbOsNO3,1.8068669950041767,0.081292038473718,[3.0],4.0,4.0,4.0,no_data,no_data,1,3.0,Os,0.0,True,4,3,1.7609992745257617,1.7715437851899951,1.7653841327762017,0.004483978666968106,0.010544510664233453,110.84751125729021,0.49120442722767843,110.21170464039326,111.40776790989686,0,0.0,1,no_data
mp-1219620,RbOsNO3,1.8068669950041767,0.081292038473718,[3.0],4.0,4.0,4.0,no_data,no_data,1,3.0,Os,0.0,True,5,3,1.7609992745257637,1.7715437851899944,1.7653841327762017,0.004483978666967355,0.010544510664230788,21.178491099125935,13.664496963289187,1.8844564332896858,31.765128368369858,0,0.0,2,no_data
mp-1219620,RbOsNO3,1.8068669950041767,0.081292038473718,[3.0],4.0,4.0,4.0,no_data,no_data,1,3.0,Os,0.0,True,6,3,1.760999274525764,1.7715437851899936,1.765384132776201,0.00448397866696695,0.010544510664229456,110.8475112572902,0.49120442722766694,110.21170464039325,111.40776790989682,0,0.0,3,no_data
mp-1219620,RbOsNO3,1.8068669950041767,0.081292038473718,[3.0],4.0,4.0,4.0,no_data,no_data,1,3.0,Os,0.0,True,7,3,1.7609992745257632,1.7715437851899958,1.7653841327762025,0.004483978666967963,0.010544510664232565,21.178491099125925,13.66449696328918,1.8844564332896858,31.76512836836984,0,0.0,4,no_data
mp-12449,LiPr2OsO6,1.968734500359139,0.0590176799371644,[6.0],4.0,4.0,4.0,Octahedron,2d,1,6.0,Os,0.0,True,6,6,1.9868764814060327,2.000163803441969,1.9928152212280432,0.0055153708487701925,0.01328732203593641,59.98508473843522,28.287453064110878,14.305933720215581,104.0363495061429,6,1.0,1,Octahedron
mp-12449,LiPr2OsO6,1.968734500359139,0.0590176799371644,[6.0],4.0,4.0,4.0,Octahedron,2d,1,6.0,Os,0.0,True,7,6,1.9868764814060327,2.0001638034419695,1.992815221228043,0.005515370848770371,0.013287322035936855,68.40144859100991,41.38312762769887,6.002653845506644,118.65811137854948,6,1.0,2,Octahedron
mp-20009,NaPr2OsO6,1.9726793777704312,0.0518632867671252,[6.0],4.0,4.0,4.0,Octahedron,2d,1,6.0,Os,0.0,True,6,6,1.9886127046133448,2.0036691856785303,1.9938404349607521,0.006954684121894575,0.015056481065185423,59.3568960929017,27.524467877335525,15.387861444446871,100.36119623783914,6,1.0,1,Octahedron
mp-20009,NaPr2OsO6,1.9726793777704312,0.0518632867671252,[6.0],4.0,4.0,4.0,Octahedron,2d,1,6.0,Os,0.0,True,7,6,1.9886127046133446,2.0036691856785303,1.9938404349607515,0.006954684121894499,0.015056481065185645,66.510708061801,41.006809176991254,6.0896000072096585,117.33382034744348,6,1.0,2,Octahedron
mp-22020,Ca2NiOsO6,1.8841025004627447,0.1503057231355803,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Os,0.0,True,6,6,1.9380114705771896,1.9507526254633805,1.9457102558274233,0.005528389596130588,0.012741154886190875,60.28936001044998,28.160174445124117,14.522854439102863,104.47592485447798,6,1.0,1,Octahedron
mp-22020,Ca2NiOsO6,1.8841025004627447,0.1503057231355803,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Os,0.0,True,7,6,1.9365169346904743,1.9490868989793024,1.944624836212254,0.005736337274058719,0.012569964288828173,47.36525590927199,24.173782172265174,10.563181353095123,82.69288337084693,6,1.0,2,Octahedron
mp-31354,Pr3OsO7,1.9099556229560548,0.1788736030017901,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Os,0.0,True,6,6,1.9755566118192491,1.9971913502211351,1.982768191286545,0.010198713488779881,0.02163473840188601,59.69247264882969,34.3516166548471,12.76442729666008,96.088077637918,6,1.0,1,Octahedron
mp-31354,Pr3OsO7,1.9099556229560548,0.1788736030017901,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Os,0.0,True,7,6,1.975556611819249,1.9971913502211356,1.9827681912865451,0.010198713488780145,0.021634738401886677,107.99999994308176,36.11931888705336,86.09096160245375,180.0,6,1.0,2,Octahedron
mp-644707,La5MnOs3O16,1.964940533849548,0.0515287113906507,[6.0],4.0,4.0,4.0,Octahedron,"1a, 2i",1,6.0,Os,0.0,True,6,6,1.9740377133678326,2.0129408225882477,1.9887561729480308,0.013692384243257196,0.038903109220415066,105.44424419953491,32.0148351924702,82.05928826524519,171.04960201145784,6,1.0,1,Octahedron
mp-644707,La5MnOs3O16,1.964940533849548,0.0515287113906507,[6.0],4.0,4.0,4.0,Octahedron,"1a, 2i",1,6.0,Os,0.0,True,7,6,1.9740377133678333,2.0129408225882472,1.9887561729480305,0.013692384243256974,0.038903109220413956,105.4442441995349,32.014835192470194,82.05928826524523,171.04960201145784,6,1.0,2,Octahedron
mp-644707,La5MnOs3O16,1.964940533849548,0.0515287113906507,[6.0],4.0,4.0,4.0,Octahedron,"1a, 2i",1,6.0,Os,0.0,True,8,6,1.9640456468492482,2.002269705717188,1.9892946363135584,0.01785602614108954,0.03822405886793967,47.69234749521713,27.333360409055754,8.907062005858,86.03948912958964,6,1.0,3,Octahedron
mp-757458,Tl8Os8O27,2.284673406973216,-0.7857589972813489,[6.0],4.0,4.0,4.0,Octahedron,"4j, 4k",1,6.0,Os,0.0,True,8,6,1.9131556306613149,1.9923305349448923,1.9727938138371746,0.027751876175780132,0.07917490428357743,78.48499427935415,35.28145557108853,25.704103697582326,173.5582319810399,6,1.0,1,Octahedron
mp-757458,Tl8Os8O27,2.284673406973216,-0.7857589972813489,[6.0],4.0,4.0,4.0,Octahedron,"4j, 4k",1,6.0,Os,0.0,True,9,6,1.9131556306613142,1.9923305349448914,1.972793813837174,0.027751876175780305,0.07917490428357721,68.28928792713045,27.149992826527075,25.704103697582326,104.3972924668439,6,1.0,2,Octahedron
mp-757458,Tl8Os8O27,2.284673406973216,-0.7857589972813489,[6.0],4.0,4.0,4.0,Octahedron,"4j, 4k",1,6.0,Os,0.0,True,10,6,1.9342179430869648,2.0034670570776374,1.9616804730001487,0.021421535405791014,0.06924911399067257,68.42353412037512,27.36732645397317,16.860283591086613,106.16501287548806,6,1.0,3,Octahedron
mp-757458,Tl8Os8O27,2.284673406973216,-0.7857589972813489,[6.0],4.0,4.0,4.0,Octahedron,"4j, 4k",1,6.0,Os,0.0,True,11,6,1.9342179430869646,2.003467057077639,1.961680473000149,0.021421535405791628,0.06924911399067457,78.40803565986478,36.500470242433146,16.860283591086567,174.80396367434014,6,1.0,4,Octahedron
mp-757458,Tl8Os8O27,2.284673406973216,-0.7857589972813489,[6.0],4.0,4.0,4.0,Octahedron,"4j, 4k",1,6.0,Os,0.0,True,12,6,1.9342179430869637,2.0034670570776396,1.9616804730001494,0.021421535405792082,0.0692491139906759,96.91485589990694,36.11078936115923,29.02807882159138,177.4180407326498,6,1.0,5,Octahedron
mp-757458,Tl8Os8O27,2.284673406973216,-0.7857589972813489,[6.0],4.0,4.0,4.0,Octahedron,"4j, 4k",1,6.0,Os,0.0,True,13,6,1.9342179430869635,2.003467057077639,1.9616804730001494,0.02142153540579195,0.06924911399067568,107.30877713945482,34.67943935137215,85.76181094179309,177.41804073264998,6,1.0,6,Octahedron
mp-757458,Tl8Os8O27,2.284673406973216,-0.7857589972813489,[6.0],4.0,4.0,4.0,Octahedron,"4j, 4k",1,6.0,Os,0.0,True,14,6,1.9131556306613138,1.9923305349448919,1.9727938138371741,0.027751876175780787,0.0791749042835781,68.28928792713045,27.149992826527075,25.704103697582326,104.39729246684391,6,1.0,7,Octahedron
mp-757458,Tl8Os8O27,2.284673406973216,-0.7857589972813489,[6.0],4.0,4.0,4.0,Octahedron,"4j, 4k",1,6.0,Os,0.0,True,15,6,1.9131556306613147,1.9923305349448928,1.9727938138371741,0.027751876175780572,0.0791749042835781,78.48499427935414,35.28145557108854,25.704103697582326,173.55823198104,6,1.0,8,Octahedron
