level,name,intercept_A,slope_B,n,R2,MAE,RMSE
global,all,-1.419765538679807,-1.0389801560690692,91,0.9775283983120516,0.04631464420943226,0.05727304445212462
group,Group1,-1.4635048417773302,-1.0229417468486732,53,0.9812681065520419,0.04222896396706572,0.052190571712651096
group,Group2,-1.417827321215385,-1.0147822209855575,38,0.9790316996398887,0.03941334872377114,0.04846827647728097
element,Li,-1.5166715030484355,-0.9684882473666017,8,0.8024312275192307,0.04955537047335662,0.05650119348779952
element,Na,-1.6444261835433909,-0.8466936605181998,10,0.8990724179042942,0.03146552357711374,0.03808548537392269
element,K,-1.6478293505079837,-0.8811255183730992,13,0.8423444159980794,0.029786294168423384,0.04122319774125345
element,Rb,-1.051284888419338,-1.2822082385118316,11,0.8706690062124576,0.0251942404718014,0.03624218850528413
element,Cs,-1.4627059466693644,-1.0422173840139999,11,0.7080049560504649,0.03833504722663473,0.05234209227893595
element,Mg,-1.8018450519990747,-0.4131307168910799,3,0.9824028321593115,0.0031922981374347494,0.003408441701720463
element,Ca,-1.6556321351129315,-0.7758283603574637,9,0.9467293264540803,0.01734608572483746,0.021496846664886715
element,Sr,-1.7433008500091938,-0.7664374913510291,11,0.6272493665891963,0.0377376910560189,0.05325371304893029
element,Ba,-1.8758902335242253,-0.7034706032698386,13,0.8473999767506363,0.02328564865722834,0.03036206009007312
